date,symbol,price,currency
2010-07-01,ALL,0.0097839,CHF
2010-07-02,ALL,0.009792,CHF
2010-07-05,ALL,0.0098869,CHF
2010-07-06,ALL,0.0098404,CHF
2010-07-07,ALL,0.0099323,CHF
2010-07-08,ALL,0.0097849,CHF
2010-07-09,ALL,0.0098253,CHF
2010-07-12,ALL,0.0098253,CHF
2010-07-13,ALL,0.0098253,CHF
2010-07-14,ALL,0.0098253,CHF
2010-07-15,ALL,0.0098253,CHF
2010-07-16,ALL,0.0098253,CHF
2010-07-19,ALL,0.0098253,CHF
2010-07-20,ALL,0.0101616,CHF
2010-07-21,ALL,0.0101192,CHF
2010-07-22,ALL,0.0100767,CHF
2010-07-23,ALL,0.0100687,CHF
2010-07-26,ALL,0.010033,CHF
2010-07-27,ALL,0.010089,CHF
2010-07-28,ALL,0.0103161,CHF
2010-07-29,ALL,0.0102596,CHF
2010-07-30,ALL,0.0101545,CHF
2010-08-02,ALL,0.0100182,CHF
2010-08-03,ALL,0.0101949,CHF
2010-08-04,ALL,0.0102374,CHF
2010-08-05,ALL,0.010297,CHF
2010-08-06,ALL,0.0102293,CHF
2010-08-09,ALL,0.0102273,CHF
2010-08-10,ALL,0.0103161,CHF
2010-08-11,ALL,0.0102404,CHF
2010-08-12,ALL,0.0101222,CHF
2010-08-13,ALL,0.0100455,CHF
2010-08-16,ALL,0.01000,CHF
2010-08-17,ALL,0.0099434,CHF
2010-08-18,ALL,0.0100152,CHF
2010-08-19,ALL,0.0099828,CHF
2010-08-20,ALL,0.0098253,CHF
2010-08-23,ALL,0.0097465,CHF
2010-08-24,ALL,0.0098091,CHF
2010-08-25,ALL,0.009698,CHF
2010-08-26,ALL,0.0096536,CHF
2010-08-27,ALL,0.0096132,CHF
2010-08-30,ALL,0.0097021,CHF
2010-08-31,ALL,0.0095566,CHF
2010-09-01,ALL,0.0095324,CHF
2010-09-02,ALL,0.0096142,CHF
2010-09-03,ALL,0.0095839,CHF
2010-09-06,ALL,0.0096452,CHF
2010-09-07,ALL,0.0096134,CHF
2010-09-08,ALL,0.0094994,CHF
2010-09-09,ALL,0.0095274,CHF
2010-09-10,ALL,0.0096235,CHF
2010-09-13,ALL,0.00958,CHF
2010-09-14,ALL,0.0095999,CHF
2010-09-15,ALL,0.0096525,CHF
2010-09-16,ALL,0.009676,CHF
2010-09-17,ALL,0.0098699,CHF
2010-09-20,ALL,0.0097749,CHF
2010-09-21,ALL,0.0097167,CHF
2010-09-22,ALL,0.0096834,CHF
2010-09-23,ALL,0.0097562,CHF
2010-09-24,ALL,0.0096967,CHF
2010-09-27,ALL,0.0097942,CHF
2010-09-28,ALL,0.009769,CHF
2010-09-29,ALL,0.00974,CHF
2010-09-30,ALL,0.0097555,CHF
2010-10-01,ALL,0.0097531,CHF
2010-10-04,ALL,0.0098277,CHF
2010-10-05,ALL,0.0097222,CHF
2010-10-06,ALL,0.0097734,CHF
2010-10-07,ALL,0.0098235,CHF
2010-10-08,ALL,0.0098524,CHF
2010-10-11,ALL,0.0098277,CHF
2010-10-12,ALL,0.0098064,CHF
2010-10-13,ALL,0.0097149,CHF
2010-10-14,ALL,0.0097414,CHF
2010-10-15,ALL,0.0097982,CHF
2010-10-18,ALL,0.0098208,CHF
2010-10-19,ALL,0.009816,CHF
2010-10-20,ALL,0.0099018,CHF
2010-10-21,ALL,0.0098528,CHF
2010-10-22,ALL,0.0099061,CHF
2010-10-25,ALL,0.0099088,CHF
2010-10-26,ALL,0.0099194,CHF
2010-10-27,ALL,0.0099825,CHF
2010-10-28,ALL,0.0099561,CHF
2010-10-29,ALL,0.0100125,CHF
2010-11-01,ALL,0.0099894,CHF
2010-11-02,ALL,0.0100665,CHF
2010-11-03,ALL,0.0100682,CHF
2010-11-04,ALL,0.0100136,CHF
2010-11-05,ALL,0.009966,CHF
2010-11-08,ALL,0.0098971,CHF
2010-11-09,ALL,0.0098265,CHF
2010-11-10,ALL,0.0098058,CHF
2010-11-11,ALL,0.0096952,CHF
2010-11-12,ALL,0.0097065,CHF
2010-11-15,ALL,0.0097004,CHF
2010-11-16,ALL,0.0097007,CHF
2010-11-17,ALL,0.0098318,CHF
2010-11-18,ALL,0.0097442,CHF
2010-11-19,ALL,0.0098683,CHF
2010-11-22,ALL,0.0098391,CHF
2010-11-23,ALL,0.0098242,CHF
2010-11-24,ALL,0.0096948,CHF
2010-11-25,ALL,0.0097205,CHF
2010-11-26,ALL,0.0098289,CHF
2010-11-29,ALL,0.0096633,CHF
2010-11-30,ALL,0.0096594,CHF
2010-12-01,ALL,0.009524,CHF
2010-12-02,ALL,0.009622,CHF
2010-12-03,ALL,0.0095772,CHF
2010-12-06,ALL,0.0095056,CHF
2010-12-07,ALL,0.0094724,CHF
2010-12-08,ALL,0.009578,CHF
2010-12-09,ALL,0.0095344,CHF
2010-12-10,ALL,0.009444,CHF
2010-12-13,ALL,0.0094574,CHF
2010-12-14,ALL,0.0094266,CHF
2010-12-15,ALL,0.0093857,CHF
2010-12-16,ALL,0.0093256,CHF
2010-12-17,ALL,0.0092283,CHF
2010-12-20,ALL,0.0092707,CHF
2010-12-21,ALL,0.0091947,CHF
2010-12-22,ALL,0.0091567,CHF
2010-12-23,ALL,0.0090933,CHF
2010-12-24,ALL,0.0091772,CHF
2010-12-27,ALL,0.0092325,CHF
2010-12-28,ALL,0.0092036,CHF
2010-12-29,ALL,0.0091316,CHF
2010-12-30,ALL,0.009053,CHF
2010-12-31,ALL,0.0090887,CHF
2011-01-03,ALL,0.0091611,CHF
2011-01-04,ALL,0.009151,CHF
2011-01-05,ALL,0.009218,CHF
2011-01-06,ALL,0.0093098,CHF
2011-01-07,ALL,0.0091686,CHF
2011-01-10,ALL,0.0090976,CHF
2011-01-11,ALL,0.0091705,CHF
2011-01-12,ALL,0.0092443,CHF
2011-01-13,ALL,0.0092538,CHF
2011-01-14,ALL,0.0094179,CHF
2011-01-17,ALL,0.0093978,CHF
2011-01-18,ALL,0.0093567,CHF
2011-01-19,ALL,0.0093786,CHF
2011-01-21,ALL,0.0094832,CHF
2011-01-24,ALL,0.0095037,CHF
2011-01-25,ALL,0.0094222,CHF
2011-01-26,ALL,0.009361,CHF
2011-01-27,ALL,0.00939,CHF
2011-01-28,ALL,0.0094114,CHF
2011-01-31,ALL,0.00931,CHF
2011-02-01,ALL,0.0093788,CHF
2011-02-02,ALL,0.009389,CHF
2011-02-03,ALL,0.0094321,CHF
2011-02-04,ALL,0.0093584,CHF
2011-02-07,ALL,0.0093692,CHF
2011-02-08,ALL,0.0093065,CHF
2011-02-09,ALL,0.0094562,CHF
2011-02-10,ALL,0.0094467,CHF
2011-02-11,ALL,0.0095238,CHF
2011-02-14,ALL,0.0094826,CHF
2011-02-15,ALL,0.0094625,CHF
2011-02-16,ALL,0.009468,CHF
2011-02-17,ALL,0.0094199,CHF
2011-02-18,ALL,0.0094075,CHF
2011-02-21,ALL,0.0094166,CHF
2011-02-22,ALL,0.0094461,CHF
2011-02-23,ALL,0.0092971,CHF
2011-02-24,ALL,0.0092882,CHF
2011-02-25,ALL,0.0092564,CHF
2011-02-28,ALL,0.0092399,CHF
2011-03-01,ALL,0.0092783,CHF
2011-03-02,ALL,0.0092794,CHF
