date,symbol,price,currency
2007-04-02,ARS,0.40780,CHF
2007-04-03,ARS,0.40840,CHF
2007-04-04,ARS,0.40910,CHF
2007-04-05,ARS,0.40970,CHF
2007-04-10,ARS,0.40980,CHF
2007-04-11,ARS,0.40980,CHF
2007-04-12,ARS,0.41010,CHF
2007-04-13,ARS,0.40800,CHF
2007-04-16,ARS,0.40880,CHF
2007-04-17,ARS,0.40880,CHF
2007-04-18,ARS,0.40690,CHF
2007-04-19,ARS,0.40550,CHF
2007-04-20,ARS,0.40660,CHF
2007-04-23,ARS,0.40750,CHF
2007-04-24,ARS,0.40820,CHF
2007-04-25,ARS,0.40550,CHF
2007-04-26,ARS,0.40650,CHF
2007-04-27,ARS,0.40640,CHF
2007-04-30,ARS,0.40690,CHF
2007-05-01,ARS,0.40710,CHF
2007-05-02,ARS,0.40970,CHF
2007-05-03,ARS,0.40870,CHF
2007-05-04,ARS,0.40980,CHF
2007-05-07,ARS,0.40840,CHF
2007-05-08,ARS,0.41050,CHF
2007-05-09,ARS,0.41120,CHF
2007-05-10,ARS,0.41110,CHF
2007-05-11,ARS,0.41140,CHF
2007-05-14,ARS,0.41230,CHF
2007-05-15,ARS,0.41180,CHF
2007-05-16,ARS,0.41110,CHF
2007-05-18,ARS,0.41520,CHF
2007-05-21,ARS,0.41480,CHF
2007-05-22,ARS,0.41630,CHF
2007-05-23,ARS,0.41570,CHF
2007-05-24,ARS,0.41470,CHF
2007-05-25,ARS,0.41390,CHF
2007-05-29,ARS,0.41370,CHF
2007-05-30,ARS,0.41370,CHF
2007-05-31,ARS,0.41400,CHF
2007-06-01,ARS,0.41560,CHF
2007-06-04,ARS,0.41580,CHF
2007-06-05,ARS,0.41390,CHF
2007-06-06,ARS,0.41170,CHF
2007-06-07,ARS,0.41240,CHF
2007-06-08,ARS,0.41560,CHF
2007-06-11,ARS,0.41850,CHF
2007-06-12,ARS,0.41930,CHF
2007-06-13,ARS,0.42050,CHF
2007-06-14,ARS,0.42140,CHF
2007-06-15,ARS,0.42170,CHF
2007-06-18,ARS,0.41940,CHF
2007-06-19,ARS,0.41970,CHF
2007-06-20,ARS,0.41920,CHF
2007-06-21,ARS,0.41940,CHF
2007-06-22,ARS,0.41690,CHF
2007-06-25,ARS,0.41470,CHF
2007-06-26,ARS,0.41480,CHF
2007-06-27,ARS,0.41420,CHF
2007-06-28,ARS,0.41340,CHF
2007-06-29,ARS,0.41460,CHF
2007-07-02,ARS,0.40960,CHF
2007-07-03,ARS,0.40790,CHF
2007-07-04,ARS,0.40930,CHF
2007-07-05,ARS,0.40800,CHF
2007-07-06,ARS,0.40890,CHF
2007-07-09,ARS,0.40790,CHF
2007-07-10,ARS,0.40750,CHF
2007-07-11,ARS,0.40340,CHF
2007-07-12,ARS,0.40340,CHF
2007-07-13,ARS,0.40420,CHF
2007-07-16,ARS,0.40320,CHF
2007-07-17,ARS,0.40290,CHF
2007-07-18,ARS,0.40150,CHF
2007-07-19,ARS,0.40250,CHF
2007-07-20,ARS,0.40390,CHF
2007-07-23,ARS,0.40060,CHF
2007-07-24,ARS,0.40120,CHF
2007-07-25,ARS,0.39830,CHF
2007-07-26,ARS,0.39730,CHF
2007-07-27,ARS,0.40020,CHF
2007-07-30,ARS,0.40170,CHF
2007-07-31,ARS,0.40120,CHF
2007-08-02,ARS,0.40020,CHF
2007-08-03,ARS,0.40020,CHF
2007-08-06,ARS,0.39260,CHF
2007-08-07,ARS,0.39460,CHF
2007-08-08,ARS,0.39710,CHF
2007-08-09,ARS,0.39680,CHF
2007-08-10,ARS,0.39580,CHF
2007-08-13,ARS,0.39660,CHF
2007-08-14,ARS,0.39980,CHF
2007-08-15,ARS,0.40170,CHF
2007-08-16,ARS,0.40260,CHF
2007-08-17,ARS,0.39820,CHF
2007-08-20,ARS,0.39840,CHF
2007-08-21,ARS,0.39720,CHF
2007-08-22,ARS,0.39690,CHF
2007-08-23,ARS,0.39710,CHF
2007-08-24,ARS,0.39490,CHF
2007-08-27,ARS,0.39450,CHF
2007-08-28,ARS,0.39440,CHF
2007-08-29,ARS,0.39570,CHF
2007-08-30,ARS,0.39520,CHF
2007-08-31,ARS,0.39740,CHF
2007-09-03,ARS,0.39810,CHF
2007-09-04,ARS,0.39870,CHF
2007-09-05,ARS,0.39870,CHF
2007-09-06,ARS,0.39630,CHF
2007-09-07,ARS,0.39510,CHF
2007-09-10,ARS,0.39070,CHF
2007-09-11,ARS,0.39120,CHF
2007-09-12,ARS,0.39220,CHF
2007-09-13,ARS,0.39220,CHF
2007-09-14,ARS,0.39400,CHF
2007-09-17,ARS,0.39400,CHF
2007-09-18,ARS,0.39390,CHF
2007-09-19,ARS,0.39210,CHF
2007-09-20,ARS,0.38990,CHF
2007-09-21,ARS,0.38870,CHF
2007-09-24,ARS,0.38760,CHF
2007-09-25,ARS,0.38770,CHF
2007-09-26,ARS,0.38630,CHF
2007-09-27,ARS,0.38680,CHF
2007-09-28,ARS,0.38590,CHF
2007-10-01,ARS,0.38610,CHF
2007-10-02,ARS,0.38760,CHF
2007-10-03,ARS,0.38790,CHF
2007-10-04,ARS,0.38940,CHF
2007-10-05,ARS,0.38850,CHF
2007-10-08,ARS,0.38990,CHF
2007-10-09,ARS,0.39190,CHF
2007-10-10,ARS,0.38910,CHF
2007-10-11,ARS,0.38880,CHF
2007-10-12,ARS,0.39000,CHF
2007-10-15,ARS,0.38890,CHF
2007-10-16,ARS,0.38970,CHF
2007-10-17,ARS,0.38840,CHF
2007-10-18,ARS,0.38720,CHF
2007-10-19,ARS,0.38520,CHF
2007-10-22,ARS,0.38300,CHF
2007-10-23,ARS,0.38560,CHF
2007-10-24,ARS,0.38530,CHF
2007-10-25,ARS,0.38320,CHF
2007-10-26,ARS,0.38120,CHF
2007-10-29,ARS,0.38120,CHF
2007-10-30,ARS,0.38420,CHF
2007-10-31,ARS,0.38280,CHF
2007-11-01,ARS,0.38520,CHF
2007-11-02,ARS,0.38330,CHF
2007-11-05,ARS,0.38390,CHF
2007-11-06,ARS,0.38260,CHF
2007-11-07,ARS,0.37820,CHF
2007-11-08,ARS,0.37730,CHF
2007-11-09,ARS,0.37290,CHF
2007-11-12,ARS,0.37420,CHF
2007-11-13,ARS,0.37370,CHF
2007-11-14,ARS,0.37330,CHF
2007-11-15,ARS,0.37380,CHF
2007-11-16,ARS,0.37330,CHF
2007-11-19,ARS,0.37150,CHF
2007-11-20,ARS,0.36810,CHF
2007-11-21,ARS,0.36800,CHF
2007-11-22,ARS,0.36510,CHF
2007-11-23,ARS,0.36260,CHF
2007-11-26,ARS,0.36460,CHF
2007-11-27,ARS,0.36440,CHF
2007-11-28,ARS,0.36600,CHF
2007-11-29,ARS,0.36910,CHF
2007-11-30,ARS,0.37010,CHF
2007-12-03,ARS,0.37370,CHF
2007-12-04,ARS,0.37410,CHF
2007-12-05,ARS,0.37180,CHF
2007-12-06,ARS,0.37560,CHF
2007-12-07,ARS,0.37580,CHF
2007-12-10,ARS,0.37480,CHF
2007-12-11,ARS,0.37440,CHF
2007-12-12,ARS,0.37540,CHF
2007-12-13,ARS,0.37590,CHF
2007-12-14,ARS,0.37910,CHF
2007-12-17,ARS,0.38200,CHF
2007-12-18,ARS,0.38120,CHF
2007-12-19,ARS,0.38310,CHF
2007-12-20,ARS,0.38390,CHF
2007-12-21,ARS,0.38370,CHF
2007-12-24,ARS,0.38370,CHF
2007-12-27,ARS,0.38050,CHF
2007-12-28,ARS,0.37550,CHF
2007-12-31,ARS,0.37550,CHF
2008-01-03,ARS,0.36960,CHF
2008-01-04,ARS,0.36850,CHF
2008-01-07,ARS,0.36970,CHF
2008-01-08,ARS,0.37020,CHF
2008-01-09,ARS,0.37000,CHF
2008-01-10,ARS,0.37080,CHF
2008-01-11,ARS,0.36680,CHF
2008-01-14,ARS,0.36290,CHF
2008-01-15,ARS,0.36270,CHF
2008-01-16,ARS,0.36120,CHF
2008-01-17,ARS,0.36630,CHF
2008-01-18,ARS,0.36500,CHF
2008-01-21,ARS,0.36370,CHF
2008-01-22,ARS,0.36370,CHF
2008-01-23,ARS,0.36100,CHF
2008-01-24,ARS,0.35930,CHF
2008-01-25,ARS,0.36170,CHF
2008-01-28,ARS,0.36060,CHF
2008-01-29,ARS,0.36060,CHF
2008-01-30,ARS,0.36030,CHF
2008-01-31,ARS,0.35800,CHF
2008-02-01,ARS,0.35490,CHF
2008-02-04,ARS,0.35950,CHF
2008-02-05,ARS,0.36020,CHF
2008-02-06,ARS,0.36130,CHF
2008-02-07,ARS,0.36800,CHF
2008-02-08,ARS,0.36320,CHF
2008-02-11,ARS,0.36040,CHF
2008-02-12,ARS,0.36200,CHF
2008-02-13,ARS,0.36320,CHF
2008-02-14,ARS,0.36470,CHF
2008-02-15,ARS,0.36170,CHF
2008-02-18,ARS,0.36340,CHF
2008-02-19,ARS,0.36140,CHF
2008-02-20,ARS,0.36180,CHF
2008-02-21,ARS,0.36210,CHF
2008-02-22,ARS,0.36010,CHF
2008-02-25,ARS,0.35880,CHF
2008-02-26,ARS,0.35940,CHF
2008-02-27,ARS,0.35150,CHF
2008-02-28,ARS,0.35040,CHF
2008-02-29,ARS,0.34570,CHF
2008-03-03,ARS,0.34190,CHF
2008-03-04,ARS,0.34250,CHF
2008-03-05,ARS,0.34350,CHF
2008-03-06,ARS,0.34010,CHF
2008-03-07,ARS,0.33780,CHF
2008-03-10,ARS,0.33690,CHF
2008-03-11,ARS,0.33450,CHF
2008-03-12,ARS,0.34030,CHF
2008-03-13,ARS,0.33340,CHF
2008-03-14,ARS,0.33380,CHF
2008-03-17,ARS,0.32480,CHF
2008-03-18,ARS,0.32580,CHF
2008-03-19,ARS,0.32760,CHF
2008-03-20,ARS,0.33200,CHF
2008-03-25,ARS,0.33460,CHF
2008-03-26,ARS,0.33150,CHF
2008-03-27,ARS,0.32600,CHF
2008-03-28,ARS,0.32710,CHF
2008-03-31,ARS,0.32730,CHF
2008-04-01,ARS,0.32870,CHF
2008-04-02,ARS,0.33220,CHF
2008-04-03,ARS,0.33320,CHF
2008-04-04,ARS,0.33180,CHF
2008-04-07,ARS,0.33390,CHF
2008-04-08,ARS,0.33310,CHF
2008-04-09,ARS,0.33350,CHF
2008-04-10,ARS,0.32760,CHF
2008-04-11,ARS,0.33100,CHF
2008-04-14,ARS,0.33040,CHF
2008-04-15,ARS,0.32960,CHF
2008-04-16,ARS,0.33070,CHF
2008-04-17,ARS,0.32760,CHF
2008-04-18,ARS,0.32960,CHF
2008-04-21,ARS,0.33200,CHF
2008-04-22,ARS,0.33110,CHF
2008-04-23,ARS,0.33000,CHF
2008-04-24,ARS,0.33350,CHF
2008-04-25,ARS,0.34060,CHF
2008-04-28,ARS,0.34180,CHF
2008-04-29,ARS,0.34350,CHF
2008-04-30,ARS,0.34160,CHF
2008-05-02,ARS,0.34610,CHF
2008-05-05,ARS,0.34620,CHF
2008-05-06,ARS,0.34530,CHF
2008-05-07,ARS,0.34670,CHF
2008-05-08,ARS,0.34660,CHF
2008-05-09,ARS,0.34490,CHF
2008-05-12,ARS,0.34490,CHF
2008-05-13,ARS,0.34230,CHF
2008-05-14,ARS,0.34980,CHF
2008-05-15,ARS,0.34580,CHF
2008-05-16,ARS,0.34740,CHF
2008-05-19,ARS,0.34560,CHF
2008-05-20,ARS,0.34690,CHF
2008-05-21,ARS,0.34690,CHF
2008-05-22,ARS,0.34120,CHF
2008-05-23,ARS,0.34310,CHF
2008-05-26,ARS,0.34020,CHF
2008-05-27,ARS,0.34010,CHF
2008-05-28,ARS,0.34550,CHF
2008-05-29,ARS,0.34800,CHF
2008-05-30,ARS,0.35760,CHF
2008-06-02,ARS,0.35050,CHF
2008-06-03,ARS,0.34870,CHF
2008-06-04,ARS,0.35530,CHF
2008-06-05,ARS,0.35520,CHF
2008-06-06,ARS,0.35450,CHF
2008-06-09,ARS,0.34510,CHF
2008-06-10,ARS,0.35030,CHF
2008-06-11,ARS,0.35440,CHF
2008-06-12,ARS,0.35470,CHF
2008-06-13,ARS,0.35550,CHF
2008-06-16,ARS,0.35960,CHF
2008-06-17,ARS,0.35680,CHF
2008-06-18,ARS,0.35800,CHF
2008-06-19,ARS,0.35760,CHF
2008-06-20,ARS,0.35860,CHF
2008-06-23,ARS,0.35790,CHF
2008-06-24,ARS,0.35950,CHF
2008-06-25,ARS,0.36090,CHF
2008-06-26,ARS,0.35810,CHF
2008-06-27,ARS,0.35200,CHF
2008-06-30,ARS,0.34960,CHF
2008-07-01,ARS,0.35070,CHF
2008-07-02,ARS,0.35050,CHF
2008-07-03,ARS,0.34930,CHF
2008-07-04,ARS,0.35290,CHF
2008-07-07,ARS,0.35550,CHF
2008-07-08,ARS,0.35580,CHF
2008-07-09,ARS,0.35680,CHF
2008-07-10,ARS,0.35590,CHF
2008-07-11,ARS,0.35560,CHF
2008-07-14,ARS,0.35250,CHF
2008-07-15,ARS,0.34890,CHF
2008-07-16,ARS,0.34670,CHF
2008-07-17,ARS,0.34940,CHF
2008-07-18,ARS,0.35070,CHF
2008-07-21,ARS,0.35100,CHF
2008-07-22,ARS,0.35030,CHF
2008-07-23,ARS,0.35580,CHF
2008-07-24,ARS,0.35780,CHF
2008-07-25,ARS,0.35650,CHF
2008-07-28,ARS,0.35910,CHF
2008-07-29,ARS,0.35610,CHF
2008-07-30,ARS,0.35970,CHF
2008-07-31,ARS,0.36140,CHF
2008-08-04,ARS,0.35830,CHF
2008-08-05,ARS,0.36030,CHF
2008-08-06,ARS,0.36000,CHF
2008-08-07,ARS,0.36080,CHF
2008-08-08,ARS,0.36640,CHF
2008-08-11,ARS,0.36700,CHF
2008-08-12,ARS,0.37300,CHF
2008-08-13,ARS,0.37290,CHF
2008-08-14,ARS,0.37310,CHF
2008-08-15,ARS,0.37750,CHF
2008-08-18,ARS,0.37650,CHF
2008-08-19,ARS,0.37780,CHF
2008-08-20,ARS,0.37680,CHF
2008-08-21,ARS,0.37630,CHF
2008-08-22,ARS,0.37580,CHF
2008-08-25,ARS,0.37850,CHF
2008-08-26,ARS,0.38050,CHF
2008-08-27,ARS,0.37620,CHF
2008-08-28,ARS,0.37530,CHF
2008-08-29,ARS,0.37640,CHF
2008-09-01,ARS,0.37680,CHF
2008-09-02,ARS,0.37900,CHF
2008-09-03,ARS,0.38110,CHF
2008-09-04,ARS,0.37850,CHF
2008-09-05,ARS,0.38120,CHF
2008-09-08,ARS,0.38370,CHF
2008-09-09,ARS,0.38530,CHF
2008-09-10,ARS,0.38330,CHF
2008-09-11,ARS,0.38520,CHF
2008-09-12,ARS,0.38330,CHF
2008-09-15,ARS,0.37600,CHF
