date,symbol,price,currency
2002-01-03,AUD,0.85750,CHF
2002-01-04,AUD,0.86100,CHF
2002-01-07,AUD,0.86350,CHF
2002-01-08,AUD,0.86750,CHF
2002-01-09,AUD,0.87550,CHF
2002-01-10,AUD,0.88050,CHF
2002-01-11,AUD,0.87650,CHF
2002-01-14,AUD,0.86650,CHF
2002-01-15,AUD,0.86950,CHF
2002-01-16,AUD,0.86900,CHF
2002-01-17,AUD,0.86050,CHF
2002-01-18,AUD,0.86700,CHF
2002-01-21,AUD,0.86600,CHF
2002-01-22,AUD,0.87200,CHF
2002-01-23,AUD,0.87450,CHF
2002-01-24,AUD,0.87150,CHF
2002-01-25,AUD,0.87950,CHF
2002-01-28,AUD,0.88850,CHF
2002-01-29,AUD,0.88600,CHF
2002-01-30,AUD,0.87350,CHF
2002-01-31,AUD,0.87750,CHF
2002-02-01,AUD,0.88150,CHF
2002-02-04,AUD,0.88500,CHF
2002-02-05,AUD,0.87500,CHF
2002-02-06,AUD,0.87150,CHF
2002-02-07,AUD,0.86800,CHF
2002-02-08,AUD,0.87100,CHF
2002-02-11,AUD,0.87650,CHF
2002-02-12,AUD,0.87050,CHF
2002-02-13,AUD,0.86750,CHF
2002-02-14,AUD,0.88250,CHF
2002-02-15,AUD,0.88850,CHF
2002-02-18,AUD,0.88800,CHF
2002-02-19,AUD,0.88850,CHF
2002-02-20,AUD,0.88300,CHF
2002-02-21,AUD,0.88650,CHF
2002-02-22,AUD,0.88300,CHF
2002-02-25,AUD,0.87600,CHF
2002-02-26,AUD,0.88150,CHF
2002-02-27,AUD,0.88650,CHF
2002-02-28,AUD,0.89000,CHF
2002-03-01,AUD,0.88800,CHF
2002-03-04,AUD,0.89750,CHF
2002-03-05,AUD,0.89400,CHF
2002-03-06,AUD,0.89000,CHF
2002-03-07,AUD,0.88450,CHF
2002-03-08,AUD,0.88400,CHF
2002-03-11,AUD,0.88550,CHF
2002-03-12,AUD,0.88600,CHF
2002-03-13,AUD,0.88300,CHF
2002-03-14,AUD,0.87450,CHF
2002-03-15,AUD,0.87700,CHF
2002-03-18,AUD,0.87950,CHF
2002-03-19,AUD,0.88000,CHF
2002-03-20,AUD,0.88750,CHF
2002-03-21,AUD,0.88750,CHF
2002-03-22,AUD,0.88950,CHF
2002-03-25,AUD,0.89250,CHF
2002-03-26,AUD,0.88950,CHF
2002-03-27,AUD,0.89250,CHF
2002-03-28,AUD,0.90050,CHF
2002-04-02,AUD,0.89600,CHF
2002-04-03,AUD,0.89000,CHF
2002-04-04,AUD,0.89000,CHF
2002-04-05,AUD,0.89400,CHF
2002-04-08,AUD,0.88950,CHF
2002-04-09,AUD,0.89500,CHF
2002-04-10,AUD,0.89250,CHF
2002-04-11,AUD,0.90000,CHF
2002-04-12,AUD,0.89900,CHF
2002-04-15,AUD,0.89600,CHF
2002-04-16,AUD,0.89550,CHF
2002-04-17,AUD,0.89650,CHF
2002-04-18,AUD,0.89700,CHF
2002-04-19,AUD,0.89900,CHF
2002-04-22,AUD,0.90050,CHF
2002-04-23,AUD,0.90100,CHF
2002-04-24,AUD,0.89950,CHF
2002-04-25,AUD,0.90150,CHF
2002-04-26,AUD,0.89700,CHF
2002-04-29,AUD,0.89150,CHF
2002-04-30,AUD,0.88050,CHF
2002-05-01,AUD,0.87700,CHF
2002-05-02,AUD,0.87000,CHF
2002-05-03,AUD,0.87450,CHF
2002-05-06,AUD,0.86650,CHF
2002-05-07,AUD,0.86900,CHF
2002-05-08,AUD,0.87600,CHF
2002-05-10,AUD,0.87400,CHF
2002-05-13,AUD,0.87850,CHF
2002-05-14,AUD,0.88400,CHF
2002-05-15,AUD,0.88800,CHF
2002-05-16,AUD,0.88600,CHF
2002-05-17,AUD,0.88250,CHF
2002-05-21,AUD,0.88550,CHF
2002-05-22,AUD,0.88700,CHF
2002-05-23,AUD,0.88450,CHF
2002-05-24,AUD,0.88650,CHF
2002-05-27,AUD,0.89050,CHF
2002-05-28,AUD,0.89400,CHF
2002-05-29,AUD,0.89550,CHF
2002-05-30,AUD,0.89150,CHF
2002-05-31,AUD,0.89600,CHF
2002-06-03,AUD,0.90150,CHF
2002-06-04,AUD,0.90650,CHF
2002-06-05,AUD,0.90550,CHF
2002-06-06,AUD,0.90650,CHF
2002-06-07,AUD,0.90150,CHF
2002-06-10,AUD,0.89950,CHF
2002-06-11,AUD,0.89450,CHF
2002-06-12,AUD,0.89500,CHF
2002-06-13,AUD,0.89900,CHF
2002-06-14,AUD,0.89550,CHF
2002-06-17,AUD,0.87800,CHF
2002-06-18,AUD,0.88150,CHF
2002-06-19,AUD,0.88300,CHF
2002-06-20,AUD,0.88050,CHF
2002-06-21,AUD,0.88200,CHF
2002-06-24,AUD,0.87900,CHF
2002-06-25,AUD,0.87150,CHF
2002-06-26,AUD,0.86200,CHF
2002-06-27,AUD,0.84950,CHF
2002-06-28,AUD,0.84900,CHF
2002-07-01,AUD,0.83700,CHF
2002-07-02,AUD,0.84700,CHF
2002-07-03,AUD,0.84500,CHF
2002-07-04,AUD,0.84250,CHF
2002-07-05,AUD,0.84450,CHF
2002-07-08,AUD,0.84750,CHF
2002-07-09,AUD,0.84800,CHF
2002-07-10,AUD,0.85250,CHF
2002-07-11,AUD,0.84500,CHF
2002-07-12,AUD,0.83900,CHF
2002-07-15,AUD,0.83750,CHF
2002-07-16,AUD,0.82750,CHF
2002-07-17,AUD,0.81250,CHF
2002-07-18,AUD,0.81000,CHF
2002-07-19,AUD,0.81000,CHF
2002-07-22,AUD,0.80650,CHF
2002-07-23,AUD,0.80150,CHF
2002-07-24,AUD,0.79950,CHF
2002-07-25,AUD,0.79550,CHF
2002-07-26,AUD,0.78750,CHF
2002-07-29,AUD,0.79850,CHF
2002-07-30,AUD,0.81650,CHF
2002-07-31,AUD,0.81950,CHF
2002-08-02,AUD,0.80250,CHF
2002-08-05,AUD,0.80450,CHF
2002-08-06,AUD,0.79700,CHF
2002-08-07,AUD,0.80600,CHF
2002-08-08,AUD,0.80950,CHF
2002-08-09,AUD,0.81350,CHF
2002-08-12,AUD,0.81500,CHF
2002-08-13,AUD,0.81400,CHF
2002-08-14,AUD,0.80900,CHF
2002-08-15,AUD,0.81950,CHF
2002-08-16,AUD,0.82250,CHF
2002-08-19,AUD,0.81850,CHF
2002-08-20,AUD,0.82450,CHF
2002-08-21,AUD,0.82350,CHF
2002-08-22,AUD,0.82500,CHF
2002-08-23,AUD,0.83250,CHF
2002-08-26,AUD,0.83300,CHF
2002-08-27,AUD,0.84300,CHF
2002-08-28,AUD,0.83550,CHF
2002-08-29,AUD,0.83150,CHF
2002-08-30,AUD,0.83400,CHF
2002-09-02,AUD,0.83400,CHF
2002-09-03,AUD,0.82750,CHF
2002-09-04,AUD,0.80850,CHF
2002-09-05,AUD,0.80700,CHF
2002-09-06,AUD,0.80800,CHF
2002-09-09,AUD,0.82250,CHF
2002-09-10,AUD,0.82500,CHF
2002-09-11,AUD,0.82900,CHF
2002-09-12,AUD,0.83650,CHF
2002-09-13,AUD,0.83150,CHF
2002-09-16,AUD,0.84050,CHF
2002-09-17,AUD,0.84200,CHF
2002-09-18,AUD,0.83100,CHF
2002-09-19,AUD,0.83150,CHF
2002-09-20,AUD,0.82200,CHF
2002-09-23,AUD,0.82300,CHF
2002-09-24,AUD,0.82000,CHF
2002-09-25,AUD,0.82050,CHF
2002-09-26,AUD,0.82100,CHF
2002-09-27,AUD,0.82700,CHF
2002-09-30,AUD,0.81900,CHF
2002-10-01,AUD,0.80550,CHF
2002-10-02,AUD,0.81800,CHF
2002-10-03,AUD,0.81150,CHF
2002-10-04,AUD,0.81800,CHF
2002-10-07,AUD,0.82750,CHF
2002-10-08,AUD,0.82650,CHF
2002-10-09,AUD,0.82850,CHF
2002-10-10,AUD,0.81850,CHF
2002-10-11,AUD,0.82050,CHF
2002-10-14,AUD,0.81700,CHF
2002-10-15,AUD,0.82000,CHF
2002-10-16,AUD,0.82650,CHF
2002-10-17,AUD,0.83200,CHF
2002-10-18,AUD,0.84300,CHF
2002-10-21,AUD,0.84550,CHF
2002-10-22,AUD,0.84400,CHF
2002-10-23,AUD,0.83700,CHF
2002-10-24,AUD,0.84350,CHF
2002-10-25,AUD,0.84150,CHF
2002-10-28,AUD,0.84550,CHF
2002-10-29,AUD,0.84100,CHF
2002-10-30,AUD,0.83500,CHF
2002-10-31,AUD,0.83000,CHF
2002-11-01,AUD,0.83000,CHF
2002-11-04,AUD,0.83010,CHF
2002-11-05,AUD,0.82700,CHF
2002-11-06,AUD,0.83250,CHF
2002-11-07,AUD,0.83250,CHF
2002-11-08,AUD,0.82800,CHF
2002-11-11,AUD,0.82500,CHF
2002-11-12,AUD,0.82050,CHF
2002-11-13,AUD,0.82000,CHF
2002-11-14,AUD,0.82550,CHF
2002-11-15,AUD,0.83100,CHF
2002-11-18,AUD,0.82600,CHF
2002-11-19,AUD,0.82500,CHF
2002-11-20,AUD,0.82650,CHF
2002-11-21,AUD,0.83050,CHF
2002-11-22,AUD,0.83450,CHF
2002-11-25,AUD,0.84200,CHF
2002-11-26,AUD,0.84100,CHF
2002-11-27,AUD,0.84050,CHF
2002-11-28,AUD,0.83650,CHF
2002-11-29,AUD,0.83900,CHF
2002-12-02,AUD,0.84250,CHF
2002-12-03,AUD,0.83550,CHF
2002-12-04,AUD,0.83400,CHF
2002-12-05,AUD,0.83550,CHF
2002-12-06,AUD,0.83350,CHF
2002-12-09,AUD,0.82950,CHF
2002-12-10,AUD,0.82850,CHF
2002-12-11,AUD,0.82750,CHF
2002-12-12,AUD,0.82900,CHF
2002-12-13,AUD,0.82850,CHF
2002-12-16,AUD,0.82750,CHF
2002-12-17,AUD,0.82100,CHF
2002-12-18,AUD,0.81700,CHF
2002-12-19,AUD,0.81450,CHF
2002-12-20,AUD,0.81450,CHF
2002-12-23,AUD,0.80700,CHF
2002-12-24,AUD,0.80450,CHF
2002-12-30,AUD,0.79400,CHF
2002-12-31,AUD,0.79450,CHF
2003-01-06,AUD,0.80250,CHF
2003-01-07,AUD,0.81400,CHF
2003-01-08,AUD,0.81050,CHF
2003-01-09,AUD,0.80900,CHF
2003-01-10,AUD,0.81200,CHF
2003-01-13,AUD,0.81400,CHF
2003-01-14,AUD,0.81800,CHF
2003-01-15,AUD,0.82350,CHF
2003-01-16,AUD,0.81950,CHF
2003-01-17,AUD,0.81800,CHF
2003-01-20,AUD,0.81750,CHF
2003-01-21,AUD,0.81600,CHF
2003-01-22,AUD,0.81150,CHF
2003-01-23,AUD,0.81050,CHF
2003-01-24,AUD,0.81300,CHF
2003-01-27,AUD,0.80800,CHF
2003-01-28,AUD,0.80600,CHF
2003-01-29,AUD,0.80650,CHF
2003-01-30,AUD,0.80950,CHF
2003-01-31,AUD,0.80900,CHF
2003-02-03,AUD,0.81000,CHF
2003-02-04,AUD,0.80500,CHF
2003-02-05,AUD,0.80350,CHF
2003-02-06,AUD,0.81000,CHF
2003-02-07,AUD,0.81250,CHF
2003-02-10,AUD,0.81200,CHF
2003-02-11,AUD,0.81350,CHF
2003-02-12,AUD,0.81700,CHF
2003-02-13,AUD,0.81400,CHF
2003-02-14,AUD,0.81550,CHF
2003-02-17,AUD,0.82000,CHF
2003-02-18,AUD,0.81900,CHF
2003-02-19,AUD,0.82100,CHF
2003-02-20,AUD,0.82250,CHF
2003-02-21,AUD,0.82200,CHF
2003-02-24,AUD,0.83000,CHF
2003-02-25,AUD,0.83200,CHF
2003-02-26,AUD,0.83050,CHF
2003-02-27,AUD,0.83200,CHF
2003-02-28,AUD,0.83000,CHF
2003-03-03,AUD,0.83700,CHF
2003-03-04,AUD,0.83050,CHF
2003-03-05,AUD,0.82850,CHF
2003-03-06,AUD,0.82600,CHF
2003-03-07,AUD,0.82650,CHF
2003-03-10,AUD,0.82700,CHF
2003-03-11,AUD,0.82400,CHF
2003-03-12,AUD,0.81150,CHF
2003-03-13,AUD,0.80450,CHF
2003-03-14,AUD,0.81750,CHF
2003-03-17,AUD,0.82350,CHF
2003-03-18,AUD,0.82700,CHF
2003-03-19,AUD,0.83000,CHF
2003-03-20,AUD,0.82950,CHF
2003-03-21,AUD,0.83050,CHF
2003-03-24,AUD,0.83150,CHF
