date,symbol,price,currency
2010-07-01,AZN,1.35006,CHF
2010-07-02,AZN,1.33472,CHF
2010-07-05,AZN,1.34030,CHF
2010-07-06,AZN,1.33740,CHF
2010-07-07,AZN,1.33527,CHF
2010-07-08,AZN,1.31993,CHF
2010-07-09,AZN,1.32239,CHF
2010-07-12,AZN,1.32239,CHF
2010-07-13,AZN,1.32239,CHF
2010-07-14,AZN,1.32239,CHF
2010-07-15,AZN,1.32239,CHF
2010-07-16,AZN,1.32239,CHF
2010-07-19,AZN,1.32239,CHF
2010-07-20,AZN,1.32713,CHF
2010-07-21,AZN,1.32432,CHF
2010-07-22,AZN,1.32235,CHF
2010-07-23,AZN,1.31163,CHF
2010-07-26,AZN,1.31341,CHF
2010-07-27,AZN,1.31341,CHF
2010-07-28,AZN,1.32655,CHF
2010-07-29,AZN,1.32655,CHF
2010-07-30,AZN,1.32655,CHF
2010-08-02,AZN,1.32655,CHF
2010-08-03,AZN,1.30718,CHF
2010-08-04,AZN,1.30693,CHF
2010-08-05,AZN,1.32503,CHF
2010-08-06,AZN,1.31568,CHF
2010-08-09,AZN,1.30687,CHF
2010-08-10,AZN,1.32172,CHF
2010-08-11,AZN,1.32294,CHF
2010-08-12,AZN,1.33111,CHF
2010-08-13,AZN,1.32060,CHF
2010-08-16,AZN,1.32185,CHF
2010-08-17,AZN,1.30597,CHF
2010-08-18,AZN,1.31251,CHF
2010-08-19,AZN,1.31251,CHF
2010-08-20,AZN,1.29855,CHF
2010-08-23,AZN,1.30006,CHF
2010-08-24,AZN,1.30962,CHF
2010-08-25,AZN,1.29663,CHF
2010-08-26,AZN,1.29554,CHF
2010-08-27,AZN,1.28689,CHF
2010-08-30,AZN,1.29545,CHF
2010-08-31,AZN,1.28706,CHF
2010-09-01,AZN,1.27957,CHF
2010-09-02,AZN,1.28077,CHF
2010-09-03,AZN,1.27401,CHF
2010-09-06,AZN,1.27766,CHF
2010-09-07,AZN,1.27241,CHF
2010-09-08,AZN,1.27310,CHF
2010-09-09,AZN,1.27202,CHF
2010-09-10,AZN,1.28485,CHF
2010-09-13,AZN,1.27856,CHF
2010-09-14,AZN,1.26715,CHF
2010-09-15,AZN,1.25571,CHF
2010-09-16,AZN,1.26017,CHF
2010-09-17,AZN,1.27854,CHF
2010-09-20,AZN,1.27080,CHF
2010-09-21,AZN,1.26288,CHF
2010-09-22,AZN,1.25473,CHF
2010-09-23,AZN,1.24283,CHF
2010-09-24,AZN,1.24057,CHF
2010-09-27,AZN,1.24158,CHF
2010-09-28,AZN,1.24060,CHF
2010-09-29,AZN,1.22952,CHF
2010-09-30,AZN,1.23021,CHF
2010-10-01,AZN,1.23549,CHF
2010-10-04,AZN,1.23162,CHF
2010-10-05,AZN,1.22525,CHF
2010-10-06,AZN,1.21757,CHF
2010-10-07,AZN,1.21296,CHF
2010-10-08,AZN,1.21853,CHF
2010-10-11,AZN,1.23162,CHF
2010-10-12,AZN,1.21616,CHF
2010-10-13,AZN,1.20482,CHF
2010-10-14,AZN,1.20197,CHF
2010-10-15,AZN,1.20355,CHF
2010-10-18,AZN,1.21074,CHF
2010-10-19,AZN,1.21175,CHF
2010-10-20,AZN,1.22264,CHF
2010-10-21,AZN,1.21631,CHF
2010-10-22,AZN,1.22431,CHF
2010-10-25,AZN,1.22910,CHF
2010-10-26,AZN,1.22654,CHF
2010-10-27,AZN,1.24380,CHF
2010-10-28,AZN,1.24793,CHF
2010-10-29,AZN,1.24247,CHF
2010-11-01,AZN,1.24212,CHF
2010-11-02,AZN,1.25215,CHF
2010-11-03,AZN,1.23775,CHF
2010-11-04,AZN,1.22998,CHF
2010-11-05,AZN,1.21187,CHF
2010-11-08,AZN,1.22067,CHF
2010-11-09,AZN,1.22100,CHF
