date,symbol,price,currency
2010-07-01,BDT,0.0156833,CHF
2010-07-02,BDT,0.015552,CHF
2010-07-05,BDT,0.0156146,CHF
2010-07-06,BDT,0.0155368,CHF
2010-07-07,BDT,0.0155338,CHF
2010-07-08,BDT,0.0153601,CHF
2010-07-09,BDT,0.0153712,CHF
2010-07-12,BDT,0.0154793,CHF
2010-07-13,BDT,0.0155086,CHF
2010-07-14,BDT,0.015451,CHF
2010-07-15,BDT,0.0153954,CHF
2010-07-16,BDT,0.0152561,CHF
2010-07-19,BDT,0.0153025,CHF
2010-07-20,BDT,0.0154166,CHF
2010-07-21,BDT,0.0153783,CHF
2010-07-22,BDT,0.0153287,CHF
2010-07-23,BDT,0.015247,CHF
2010-07-26,BDT,0.015236,CHF
2010-07-27,BDT,0.015177,CHF
2010-07-28,BDT,0.0155126,CHF
2010-07-29,BDT,0.01545,CHF
2010-07-30,BDT,0.0151884,CHF
2010-08-02,BDT,0.0152045,CHF
2010-08-03,BDT,0.0152076,CHF
2010-08-04,BDT,0.0151843,CHF
2010-08-05,BDT,0.0153863,CHF
2010-08-06,BDT,0.0152924,CHF
2010-08-09,BDT,0.0151742,CHF
2010-08-10,BDT,0.0153469,CHF
2010-08-11,BDT,0.0153621,CHF
2010-08-12,BDT,0.015457,CHF
2010-08-13,BDT,0.0153389,CHF
2010-08-16,BDT,0.015354,CHF
2010-08-17,BDT,0.0152591,CHF
2010-08-18,BDT,0.015247,CHF
2010-08-19,BDT,0.015247,CHF
2010-08-20,BDT,0.0151732,CHF
2010-08-23,BDT,0.0151904,CHF
2010-08-24,BDT,0.0153136,CHF
2010-08-25,BDT,0.0151631,CHF
2010-08-26,BDT,0.0150278,CHF
2010-08-27,BDT,0.0149258,CHF
2010-08-30,BDT,0.0150258,CHF
2010-08-31,BDT,0.0149258,CHF
2010-09-01,BDT,0.0148642,CHF
2010-09-02,BDT,0.0148743,CHF
2010-09-03,BDT,0.0147622,CHF
2010-09-06,BDT,0.0148367,CHF
2010-09-07,BDT,0.0147739,CHF
2010-09-08,BDT,0.0147856,CHF
2010-09-09,BDT,0.0148412,CHF
2010-09-10,BDT,0.0150126,CHF
2010-09-13,BDT,0.0149392,CHF
2010-09-14,BDT,0.0146865,CHF
2010-09-15,BDT,0.014681,CHF
2010-09-16,BDT,0.014602,CHF
2010-09-17,BDT,0.0148148,CHF
2010-09-20,BDT,0.0147215,CHF
2010-09-21,BDT,0.0146297,CHF
2010-09-22,BDT,0.0145126,CHF
2010-09-23,BDT,0.0144757,CHF
2010-09-24,BDT,0.0143971,CHF
2010-09-27,BDT,0.0144088,CHF
2010-09-28,BDT,0.0144478,CHF
2010-09-29,BDT,0.0142671,CHF
2010-09-30,BDT,0.0142715,CHF
2010-10-01,BDT,0.0143848,CHF
