date,symbol,price,currency
2010-07-01,BGN,0.6804936,CHF
2010-07-02,BGN,0.6759011,CHF
2010-07-05,BGN,0.690742,CHF
2010-07-06,BGN,0.6883241,CHF
2010-07-07,BGN,0.6898765,CHF
2010-07-08,BGN,0.6812945,CHF
2010-07-09,BGN,0.6874333,CHF
2010-07-12,BGN,0.6874333,CHF
2010-07-13,BGN,0.6874333,CHF
2010-07-14,BGN,0.6874333,CHF
2010-07-15,BGN,0.6874333,CHF
2010-07-16,BGN,0.6874333,CHF
2010-07-19,BGN,0.6874333,CHF
2010-07-20,BGN,0.7061637,CHF
2010-07-21,BGN,0.6983382,CHF
2010-07-22,BGN,0.6960132,CHF
2010-07-23,BGN,0.6922227,CHF
2010-07-26,BGN,0.698219,CHF
2010-07-27,BGN,0.69362,CHF
2010-07-28,BGN,0.7141407,CHF
2010-07-29,BGN,0.709227,CHF
2010-07-30,BGN,0.7028489,CHF
2010-08-02,BGN,0.7049487,CHF
2010-08-03,BGN,0.7064092,CHF
2010-08-04,BGN,0.7095189,CHF
2010-08-05,BGN,0.7182524,CHF
2010-08-06,BGN,0.7120722,CHF
2010-08-09,BGN,0.7068778,CHF
2010-08-10,BGN,0.7190725,CHF
2010-08-11,BGN,0.7157032,CHF
2010-08-12,BGN,0.710835,CHF
2010-08-13,BGN,0.6936316,CHF
2010-08-16,BGN,0.7003835,CHF
2010-08-17,BGN,0.6876555,CHF
2010-08-18,BGN,0.6932337,CHF
2010-08-19,BGN,0.6943296,CHF
2010-08-20,BGN,0.6846022,CHF
2010-08-23,BGN,0.6861182,CHF
2010-08-24,BGN,0.6833488,CHF
2010-08-25,BGN,0.6716833,CHF
2010-08-26,BGN,0.6711187,CHF
2010-08-27,BGN,0.6707986,CHF
2010-08-30,BGN,0.6763091,CHF
2010-08-31,BGN,0.6711904,CHF
2010-09-01,BGN,0.6663707,CHF
2010-09-02,BGN,0.6731569,CHF
2010-09-03,BGN,0.670443,CHF
2010-09-06,BGN,0.6750612,CHF
2010-09-07,BGN,0.6722036,CHF
2010-09-08,BGN,0.6662038,CHF
2010-09-09,BGN,0.6656355,CHF
2010-09-10,BGN,0.6709914,CHF
2010-09-13,BGN,0.6684471,CHF
2010-09-14,BGN,0.666128,CHF
2010-09-15,BGN,0.662628,CHF
2010-09-16,BGN,0.6720142,CHF
2010-09-17,BGN,0.6886672,CHF
2010-09-20,BGN,0.6871429,CHF
2010-09-21,BGN,0.6776992,CHF
2010-09-22,BGN,0.6756369,CHF
2010-09-23,BGN,0.6690649,CHF
2010-09-24,BGN,0.6781723,CHF
2010-09-27,BGN,0.6815082,CHF
2010-09-28,BGN,0.6859537,CHF
2010-09-29,BGN,0.6789402,CHF
2010-09-30,BGN,0.6905542,CHF
2010-10-01,BGN,0.6915868,CHF
2010-10-04,BGN,0.6932985,CHF
2010-10-05,BGN,0.6884787,CHF
2010-10-06,BGN,0.6879215,CHF
2010-10-07,BGN,0.6889323,CHF
2010-10-08,BGN,0.701905,CHF
2010-10-11,BGN,0.6932985,CHF
2010-10-12,BGN,0.6945639,CHF
2010-10-13,BGN,0.6829769,CHF
2010-10-14,BGN,0.6873651,CHF
2010-10-15,BGN,0.6950577,CHF
2010-10-18,BGN,0.698604,CHF
2010-10-19,BGN,0.6895986,CHF
2010-10-20,BGN,0.6946885,CHF
2010-10-21,BGN,0.6903933,CHF
2010-10-22,BGN,0.7025269,CHF
2010-10-25,BGN,0.701157,CHF
2010-10-26,BGN,0.7042973,CHF
2010-10-27,BGN,0.7081997,CHF
2010-10-28,BGN,0.7050755,CHF
2010-10-29,BGN,0.7075174,CHF
2010-11-01,BGN,0.7086418,CHF
2010-11-02,BGN,0.7132712,CHF
2010-11-03,BGN,0.7097219,CHF
2010-11-04,BGN,0.7048868,CHF
2010-11-05,BGN,0.7056245,CHF
2010-11-08,BGN,0.702498,CHF
2010-11-09,BGN,0.6945097,CHF
2010-11-10,BGN,0.6983943,CHF
2010-11-11,BGN,0.6897353,CHF
2010-11-12,BGN,0.6943972,CHF
2010-11-15,BGN,0.6894501,CHF
2010-11-16,BGN,0.6923784,CHF
2010-11-17,BGN,0.701053,CHF
2010-11-18,BGN,0.6902502,CHF
2010-11-19,BGN,0.7023911,CHF
2010-11-22,BGN,0.7004258,CHF
2010-11-23,BGN,0.700542,CHF
2010-11-24,BGN,0.6935909,CHF
2010-11-25,BGN,0.68626,CHF
2010-11-26,BGN,0.6883299,CHF
2010-11-29,BGN,0.6830083,CHF
2010-11-30,BGN,0.6791075,CHF
2010-12-01,BGN,0.6725726,CHF
2010-12-02,BGN,0.6802414,CHF
2010-12-03,BGN,0.6757109,CHF
2010-12-06,BGN,0.6754764,CHF
2010-12-07,BGN,0.672739,CHF
2010-12-08,BGN,0.6824884,CHF
2010-12-09,BGN,0.6710839,CHF
2010-12-10,BGN,0.6709222,CHF
2010-12-13,BGN,0.6724214,CHF
2010-12-14,BGN,0.6682515,CHF
2010-12-15,BGN,0.6681763,CHF
2010-12-16,BGN,0.6679978,CHF
2010-12-17,BGN,0.6578604,CHF
2010-12-20,BGN,0.6670019,CHF
2010-12-21,BGN,0.6543241,CHF
2010-12-22,BGN,0.6501688,CHF
2010-12-23,BGN,0.6440815,CHF
2010-12-24,BGN,0.6495716,CHF
2010-12-27,BGN,0.6525559,CHF
2010-12-28,BGN,0.6491161,CHF
2010-12-29,BGN,0.6489402,CHF
2010-12-30,BGN,0.640501,CHF
2010-12-31,BGN,0.6428395,CHF
2011-01-03,BGN,0.6423595,CHF
2011-01-04,BGN,0.6447512,CHF
2011-01-05,BGN,0.6597536,CHF
2011-01-06,BGN,0.6604895,CHF
2011-01-07,BGN,0.6521734,CHF
2011-01-10,BGN,0.6451551,CHF
2011-01-11,BGN,0.6455258,CHF
2011-01-12,BGN,0.6508666,CHF
2011-01-13,BGN,0.6491039,CHF
2011-01-14,BGN,0.6639305,CHF
2011-01-17,BGN,0.6651304,CHF
2011-01-18,BGN,0.6628619,CHF
2011-01-19,BGN,0.6683936,CHF
2011-01-21,BGN,0.6736584,CHF
2011-01-24,BGN,0.6698887,CHF
2011-01-25,BGN,0.6644331,CHF
2011-01-26,BGN,0.6617484,CHF
2011-01-27,BGN,0.6662213,CHF
2011-01-28,BGN,0.6698864,CHF
2011-01-31,BGN,0.6666311,CHF
2011-02-01,BGN,0.6665929,CHF
2011-02-02,BGN,0.6649989,CHF
2011-02-03,BGN,0.6703634,CHF
2011-02-04,BGN,0.6697947,CHF
2011-02-07,BGN,0.6730511,CHF
2011-02-08,BGN,0.6732628,CHF
2011-02-09,BGN,0.6795392,CHF
2011-02-10,BGN,0.6765985,CHF
2011-02-11,BGN,0.6804521,CHF
2011-02-14,BGN,0.6789669,CHF
2011-02-15,BGN,0.672755,CHF
2011-02-16,BGN,0.6740775,CHF
2011-02-17,BGN,0.6687055,CHF
2011-02-18,BGN,0.665841,CHF
2011-02-21,BGN,0.6651237,CHF
2011-02-22,BGN,0.6698749,CHF
2011-02-23,BGN,0.6627683,CHF
2011-02-24,BGN,0.6587265,CHF
2011-02-25,BGN,0.6578762,CHF
2011-02-28,BGN,0.6588594,CHF
2011-03-01,BGN,0.6646654,CHF
2011-03-02,BGN,0.6628147,CHF
2011-03-03,BGN,0.6591421,CHF
2011-03-04,BGN,0.6651324,CHF
2011-03-07,BGN,0.6604258,CHF
2011-03-08,BGN,0.6715464,CHF
2011-03-09,BGN,0.6722568,CHF
2011-03-10,BGN,0.6678429,CHF
2011-03-11,BGN,0.6643667,CHF
2011-03-14,BGN,0.66129,CHF
2011-03-15,BGN,0.665194,CHF
2011-03-16,BGN,0.6581813,CHF
2011-03-17,BGN,0.6492703,CHF
2011-03-18,BGN,0.6554225,CHF
2011-03-21,BGN,0.6599805,CHF
2011-03-22,BGN,0.6629247,CHF
2011-03-23,BGN,0.6633285,CHF
