date,symbol,price,currency
2007-04-02,BHD,3.27100,CHF
2007-04-03,BHD,3.27700,CHF
2007-04-04,BHD,3.28400,CHF
2007-04-05,BHD,3.28600,CHF
2007-04-10,BHD,3.28400,CHF
2007-04-11,BHD,3.28100,CHF
2007-04-12,BHD,3.28300,CHF
2007-04-13,BHD,3.26000,CHF
2007-04-16,BHD,3.26800,CHF
2007-04-17,BHD,3.26600,CHF
2007-04-18,BHD,3.24400,CHF
2007-04-19,BHD,3.23700,CHF
2007-04-20,BHD,3.24800,CHF
2007-04-23,BHD,3.25800,CHF
2007-04-24,BHD,3.25900,CHF
2007-04-25,BHD,3.23600,CHF
2007-04-26,BHD,3.24400,CHF
2007-04-27,BHD,3.25000,CHF
2007-04-30,BHD,3.25500,CHF
2007-05-01,BHD,3.25500,CHF
2007-05-02,BHD,3.27500,CHF
2007-05-03,BHD,3.26200,CHF
2007-05-04,BHD,3.27200,CHF
2007-05-07,BHD,3.25700,CHF
2007-05-08,BHD,3.27200,CHF
2007-05-09,BHD,3.27600,CHF
2007-05-10,BHD,3.27600,CHF
2007-05-11,BHD,3.28200,CHF
2007-05-14,BHD,3.28500,CHF
2007-05-15,BHD,3.27900,CHF
2007-05-16,BHD,3.27200,CHF
2007-05-18,BHD,3.30300,CHF
2007-05-21,BHD,3.30500,CHF
2007-05-22,BHD,3.31200,CHF
2007-05-23,BHD,3.31100,CHF
2007-05-24,BHD,3.30600,CHF
2007-05-25,BHD,3.30400,CHF
2007-05-29,BHD,3.30200,CHF
2007-05-30,BHD,3.29800,CHF
2007-05-31,BHD,3.30100,CHF
2007-06-01,BHD,3.31000,CHF
2007-06-04,BHD,3.30800,CHF
2007-06-05,BHD,3.29000,CHF
2007-06-06,BHD,3.27800,CHF
2007-06-07,BHD,3.28400,CHF
2007-06-08,BHD,3.30900,CHF
2007-06-11,BHD,3.33300,CHF
2007-06-12,BHD,3.33600,CHF
2007-06-13,BHD,3.35000,CHF
2007-06-14,BHD,3.35300,CHF
2007-06-15,BHD,3.35300,CHF
2007-06-18,BHD,3.34000,CHF
2007-06-19,BHD,3.34000,CHF
2007-06-20,BHD,3.33500,CHF
2007-06-21,BHD,3.34200,CHF
2007-06-22,BHD,3.32600,CHF
2007-06-25,BHD,3.30800,CHF
2007-06-26,BHD,3.31100,CHF
2007-06-27,BHD,3.31000,CHF
2007-06-28,BHD,3.30700,CHF
2007-06-29,BHD,3.31400,CHF
