date,symbol,price,currency
2007-04-02,BRL,0.006136,CHF
2007-04-03,BRL,0.006196,CHF
2007-04-04,BRL,0.006242,CHF
2007-04-05,BRL,0.006245,CHF
2007-04-10,BRL,0.006281,CHF
2007-04-11,BRL,0.006268,CHF
2007-04-12,BRL,0.006232,CHF
2007-04-13,BRL,0.006212,CHF
2007-04-16,BRL,0.00624,CHF
2007-04-17,BRL,0.006213,CHF
2007-04-18,BRL,0.006166,CHF
2007-04-19,BRL,0.006158,CHF
2007-04-20,BRL,0.006194,CHF
2007-04-23,BRL,0.006225,CHF
2007-04-24,BRL,0.006198,CHF
2007-04-25,BRL,0.006162,CHF
2007-04-26,BRL,0.006216,CHF
2007-04-27,BRL,0.006183,CHF
2007-04-30,BRL,0.006219,CHF
2007-05-01,BRL,0.006171,CHF
2007-05-02,BRL,0.006206,CHF
2007-05-03,BRL,0.006257,CHF
2007-05-04,BRL,0.006245,CHF
2007-05-07,BRL,0.006198,CHF
2007-05-08,BRL,0.006266,CHF
2007-05-09,BRL,0.00626,CHF
2007-05-10,BRL,0.006289,CHF
2007-05-11,BRL,0.006263,CHF
2007-05-14,BRL,0.00630,CHF
2007-05-15,BRL,0.006323,CHF
2007-05-16,BRL,0.006409,CHF
2007-05-18,BRL,0.006506,CHF
2007-05-21,BRL,0.006521,CHF
2007-05-22,BRL,0.00660,CHF
2007-05-23,BRL,0.006566,CHF
2007-05-24,BRL,0.006542,CHF
2007-05-25,BRL,0.006511,CHF
2007-05-29,BRL,0.006576,CHF
2007-05-30,BRL,0.006543,CHF
2007-05-31,BRL,0.00658,CHF
2007-06-01,BRL,0.006658,CHF
2007-06-04,BRL,0.006718,CHF
2007-06-05,BRL,0.00659,CHF
2007-06-06,BRL,0.006516,CHF
2007-06-07,BRL,0.006517,CHF
2007-06-08,BRL,0.006492,CHF
2007-06-11,BRL,0.658546,CHF
2007-06-12,BRL,0.661984,CHF
2007-06-13,BRL,0.658705,CHF
2007-06-14,BRL,0.667398,CHF
2007-06-15,BRL,0.674175,CHF
2007-06-18,BRL,0.675442,CHF
2007-06-19,BRL,0.676812,CHF
2007-06-20,BRL,0.676352,CHF
2007-06-21,BRL,0.66893,CHF
2007-06-22,BRL,0.669775,CHF
2007-06-25,BRL,0.659513,CHF
2007-06-26,BRL,0.657376,CHF
2007-06-27,BRL,0.653581,CHF
2007-06-28,BRL,0.661924,CHF
2007-06-29,BRL,0.666305,CHF
2007-07-02,BRL,0.65693,CHF
2007-07-03,BRL,0.659839,CHF
2007-07-04,BRL,0.663257,CHF
2007-07-05,BRL,0.66239,CHF
2007-07-06,BRL,0.665536,CHF
2007-07-09,BRL,0.666811,CHF
2007-07-10,BRL,0.668666,CHF
2007-07-11,BRL,0.658858,CHF
2007-07-12,BRL,0.663096,CHF
2007-07-13,BRL,0.671772,CHF
2007-07-16,BRL,0.672352,CHF
2007-07-17,BRL,0.671108,CHF
2007-07-18,BRL,0.670257,CHF
2007-07-19,BRL,0.674364,CHF
2007-07-20,BRL,0.67466,CHF
2007-07-23,BRL,0.673654,CHF
2007-07-24,BRL,0.683144,CHF
2007-07-25,BRL,0.67528,CHF
2007-07-26,BRL,0.680708,CHF
2007-07-27,BRL,0.659346,CHF
2007-07-30,BRL,0.657356,CHF
2007-07-31,BRL,0.670271,CHF
2007-08-02,BRL,0.668634,CHF
2007-08-03,BRL,0.671693,CHF
2007-08-06,BRL,0.650503,CHF
2007-08-07,BRL,0.653067,CHF
2007-08-08,BRL,0.656186,CHF
2007-08-09,BRL,0.660674,CHF
2007-08-10,BRL,0.64576,CHF
2007-08-13,BRL,0.642114,CHF
2007-08-14,BRL,0.645022,CHF
2007-08-15,BRL,0.636025,CHF
2007-08-16,BRL,0.618751,CHF
2007-08-17,BRL,0.615728,CHF
2007-08-20,BRL,0.622141,CHF
2007-08-21,BRL,0.617569,CHF
2007-08-22,BRL,0.615591,CHF
2007-08-23,BRL,0.633693,CHF
2007-08-24,BRL,0.634157,CHF
2007-08-27,BRL,0.646817,CHF
2007-08-28,BRL,0.639174,CHF
2007-08-29,BRL,0.624696,CHF
2007-08-30,BRL,0.640224,CHF
2007-08-31,BRL,0.639786,CHF
2007-09-03,BRL,0.641139,CHF
2007-09-04,BRL,0.64661,CHF
2007-09-05,BRL,0.650212,CHF
2007-09-06,BRL,0.640716,CHF
2007-09-07,BRL,0.643946,CHF
2007-09-10,BRL,0.630866,CHF
2007-09-11,BRL,0.635632,CHF
2007-09-12,BRL,0.641026,CHF
2007-09-13,BRL,0.64426,CHF
2007-09-14,BRL,0.647028,CHF
2007-09-17,BRL,0.65249,CHF
2007-09-18,BRL,0.644088,CHF
2007-09-19,BRL,0.657389,CHF
2007-09-20,BRL,0.652277,CHF
2007-09-21,BRL,0.651603,CHF
2007-09-24,BRL,0.653699,CHF
2007-09-25,BRL,0.653215,CHF
2007-09-26,BRL,0.656629,CHF
2007-09-27,BRL,0.661698,CHF
2007-09-28,BRL,0.661554,CHF
2007-10-01,BRL,0.665807,CHF
2007-10-02,BRL,0.674931,CHF
2007-10-03,BRL,0.667671,CHF
2007-10-04,BRL,0.66872,CHF
2007-10-05,BRL,0.672422,CHF
2007-10-08,BRL,0.682584,CHF
2007-10-09,BRL,0.680327,CHF
2007-10-10,BRL,0.684048,CHF
2007-10-11,BRL,0.68275,CHF
2007-10-12,BRL,0.682433,CHF
2007-10-15,BRL,0.684979,CHF
2007-10-16,BRL,0.680142,CHF
2007-10-17,BRL,0.676979,CHF
2007-10-18,BRL,0.676826,CHF
2007-10-19,BRL,0.684081,CHF
2007-10-22,BRL,0.671798,CHF
2007-10-23,BRL,0.673651,CHF
2007-10-24,BRL,0.683009,CHF
2007-10-25,BRL,0.679936,CHF
2007-10-26,BRL,0.68197,CHF
2007-10-29,BRL,0.684645,CHF
2007-10-30,BRL,0.691079,CHF
2007-10-31,BRL,0.68844,CHF
2007-11-01,BRL,0.700929,CHF
2007-11-02,BRL,0.690475,CHF
2007-11-05,BRL,0.689046,CHF
2007-11-06,BRL,0.684908,CHF
2007-11-07,BRL,0.683863,CHF
2007-11-08,BRL,0.675146,CHF
2007-11-09,BRL,0.670623,CHF
2007-11-12,BRL,0.672077,CHF
2007-11-13,BRL,0.655141,CHF
2007-11-14,BRL,0.670116,CHF
2007-11-15,BRL,0.67474,CHF
2007-11-16,BRL,0.66799,CHF
2007-11-19,BRL,0.669433,CHF
2007-11-20,BRL,0.655789,CHF
2007-11-21,BRL,0.645355,CHF
2007-11-22,BRL,0.647588,CHF
2007-11-23,BRL,0.643282,CHF
2007-11-26,BRL,0.637631,CHF
2007-11-27,BRL,0.616135,CHF
2007-11-28,BRL,0.630906,CHF
2007-11-29,BRL,0.652648,CHF
2007-11-30,BRL,0.653704,CHF
2007-12-03,BRL,0.656113,CHF
2007-12-04,BRL,0.653653,CHF
2007-12-05,BRL,0.646449,CHF
2007-12-06,BRL,0.655564,CHF
2007-12-07,BRL,0.666665,CHF
2007-12-10,BRL,0.66789,CHF
2007-12-11,BRL,0.669694,CHF
2007-12-12,BRL,0.661454,CHF
2007-12-13,BRL,0.668377,CHF
2007-12-14,BRL,0.672227,CHF
2007-12-17,BRL,0.670519,CHF
2007-12-18,BRL,0.660379,CHF
2007-12-19,BRL,0.666083,CHF
2007-12-20,BRL,0.669258,CHF
2007-12-21,BRL,0.667795,CHF
2007-12-24,BRL,0.667795,CHF
2007-12-27,BRL,0.67815,CHF
2007-12-28,BRL,0.673466,CHF
2007-12-31,BRL,0.673466,CHF
2008-01-03,BRL,0.661533,CHF
2008-01-04,BRL,0.664155,CHF
2008-01-07,BRL,0.664865,CHF
2008-01-08,BRL,0.659975,CHF
2008-01-09,BRL,0.66114,CHF
2008-01-10,BRL,0.659245,CHF
2008-01-11,BRL,0.656952,CHF
2008-01-14,BRL,0.651493,CHF
2008-01-15,BRL,0.660822,CHF
2008-01-16,BRL,0.649752,CHF
2008-01-17,BRL,0.653763,CHF
2008-01-18,BRL,0.644814,CHF
2008-01-21,BRL,0.645491,CHF
2008-01-22,BRL,0.630291,CHF
2008-01-23,BRL,0.637697,CHF
2008-01-24,BRL,0.633481,CHF
2008-01-25,BRL,0.641791,CHF
2008-01-28,BRL,0.639256,CHF
2008-01-29,BRL,0.641567,CHF
2008-01-30,BRL,0.641713,CHF
2008-01-31,BRL,0.647347,CHF
2008-02-01,BRL,0.64106,CHF
2008-02-04,BRL,0.650232,CHF
2008-02-05,BRL,0.656974,CHF
2008-02-06,BRL,0.649499,CHF
2008-02-07,BRL,0.653811,CHF
2008-02-08,BRL,0.654153,CHF
2008-02-11,BRL,0.646819,CHF
2008-02-12,BRL,0.654613,CHF
2008-02-13,BRL,0.657197,CHF
2008-02-14,BRL,0.661427,CHF
2008-02-15,BRL,0.65285,CHF
2008-02-18,BRL,0.656791,CHF
2008-02-19,BRL,0.659835,CHF
2008-02-20,BRL,0.659347,CHF
2008-02-21,BRL,0.667956,CHF
2008-02-22,BRL,0.662062,CHF
2008-02-25,BRL,0.665155,CHF
2008-02-26,BRL,0.670586,CHF
2008-02-27,BRL,0.660107,CHF
2008-02-28,BRL,0.665089,CHF
2008-02-29,BRL,0.65309,CHF
2008-03-03,BRL,0.644262,CHF
2008-03-04,BRL,0.651412,CHF
2008-03-05,BRL,0.648529,CHF
2008-03-06,BRL,0.647027,CHF
2008-03-07,BRL,0.630441,CHF
2008-03-10,BRL,0.634887,CHF
2008-03-11,BRL,0.620432,CHF
2008-03-12,BRL,0.634153,CHF
