date,symbol,price,currency
2002-01-03,CAD,1.04150,CHF
2002-01-04,CAD,1.04100,CHF
2002-01-07,CAD,1.03900,CHF
2002-01-08,CAD,1.03950,CHF
2002-01-09,CAD,1.04800,CHF
2002-01-10,CAD,1.04550,CHF
2002-01-11,CAD,1.04750,CHF
2002-01-14,CAD,1.04550,CHF
2002-01-15,CAD,1.05100,CHF
2002-01-16,CAD,1.05700,CHF
2002-01-17,CAD,1.04700,CHF
2002-01-18,CAD,1.04200,CHF
2002-01-21,CAD,1.03700,CHF
2002-01-22,CAD,1.03900,CHF
2002-01-23,CAD,1.03950,CHF
2002-01-24,CAD,1.05200,CHF
2002-01-25,CAD,1.05350,CHF
2002-01-28,CAD,1.06550,CHF
2002-01-29,CAD,1.07950,CHF
2002-01-30,CAD,1.07500,CHF
2002-01-31,CAD,1.08600,CHF
2002-02-01,CAD,1.09100,CHF
2002-02-04,CAD,1.08700,CHF
2002-02-05,CAD,1.06850,CHF
2002-02-06,CAD,1.07250,CHF
2002-02-07,CAD,1.06100,CHF
2002-02-08,CAD,1.06200,CHF
2002-02-11,CAD,1.06850,CHF
2002-02-12,CAD,1.06650,CHF
2002-02-13,CAD,1.06900,CHF
2002-02-14,CAD,1.07850,CHF
2002-02-15,CAD,1.07650,CHF
2002-02-18,CAD,1.07550,CHF
2002-02-19,CAD,1.07950,CHF
2002-02-20,CAD,1.07000,CHF
2002-02-21,CAD,1.07750,CHF
2002-02-22,CAD,1.07650,CHF
2002-02-25,CAD,1.06600,CHF
2002-02-26,CAD,1.06450,CHF
2002-02-27,CAD,1.06950,CHF
2002-02-28,CAD,1.06950,CHF
2002-03-01,CAD,1.06950,CHF
2002-03-04,CAD,1.08300,CHF
2002-03-05,CAD,1.07750,CHF
2002-03-06,CAD,1.07600,CHF
2002-03-07,CAD,1.06700,CHF
2002-03-08,CAD,1.06350,CHF
2002-03-11,CAD,1.06850,CHF
2002-03-12,CAD,1.07000,CHF
2002-03-13,CAD,1.06650,CHF
2002-03-14,CAD,1.04950,CHF
2002-03-15,CAD,1.04900,CHF
2002-03-18,CAD,1.05800,CHF
2002-03-19,CAD,1.05750,CHF
2002-03-20,CAD,1.05900,CHF
2002-03-21,CAD,1.05600,CHF
2002-03-22,CAD,1.06000,CHF
2002-03-25,CAD,1.06250,CHF
2002-03-26,CAD,1.05500,CHF
2002-03-27,CAD,1.06100,CHF
2002-03-28,CAD,1.06150,CHF
2002-04-02,CAD,1.05050,CHF
2002-04-03,CAD,1.05200,CHF
2002-04-04,CAD,1.05050,CHF
2002-04-05,CAD,1.05350,CHF
2002-04-08,CAD,1.05700,CHF
2002-04-09,CAD,1.05900,CHF
2002-04-10,CAD,1.05100,CHF
2002-04-11,CAD,1.05600,CHF
2002-04-12,CAD,1.05550,CHF
2002-04-15,CAD,1.05750,CHF
2002-04-16,CAD,1.05950,CHF
2002-04-17,CAD,1.05700,CHF
2002-04-18,CAD,1.05550,CHF
2002-04-19,CAD,1.05450,CHF
2002-04-22,CAD,1.05600,CHF
