date,symbol,price,currency
2007-04-02,CNY,0.001635,CHF
2007-04-03,CNY,0.001638,CHF
2007-04-04,CNY,0.001641,CHF
2007-04-05,CNY,0.001644,CHF
2007-04-10,CNY,0.001642,CHF
2007-04-11,CNY,0.001642,CHF
2007-04-12,CNY,0.001642,CHF
2007-04-13,CNY,0.001631,CHF
2007-04-16,CNY,0.001634,CHF
2007-04-17,CNY,0.001631,CHF
2007-04-18,CNY,0.001624,CHF
2007-04-19,CNY,0.001621,CHF
2007-04-20,CNY,0.001626,CHF
2007-04-23,CNY,0.00163,CHF
2007-04-24,CNY,0.001629,CHF
2007-04-25,CNY,0.001621,CHF
2007-04-26,CNY,0.001624,CHF
2007-04-27,CNY,0.001626,CHF
2007-04-30,CNY,0.001631,CHF
2007-05-01,CNY,0.001633,CHF
2007-05-02,CNY,0.001642,CHF
2007-05-03,CNY,0.001636,CHF
2007-05-04,CNY,0.001643,CHF
2007-05-07,CNY,0.001635,CHF
2007-05-08,CNY,0.001643,CHF
2007-05-09,CNY,0.001646,CHF
2007-05-10,CNY,0.001646,CHF
2007-05-11,CNY,0.001651,CHF
2007-05-14,CNY,0.001653,CHF
2007-05-15,CNY,0.001649,CHF
2007-05-16,CNY,0.001647,CHF
2007-05-18,CNY,0.001663,CHF
2007-05-21,CNY,0.001667,CHF
2007-05-22,CNY,0.001672,CHF
2007-05-23,CNY,0.001672,CHF
2007-05-24,CNY,0.001671,CHF
2007-05-25,CNY,0.001669,CHF
2007-05-29,CNY,0.001668,CHF
2007-05-30,CNY,0.001668,CHF
2007-05-31,CNY,0.001669,CHF
2007-06-01,CNY,0.001673,CHF
2007-06-04,CNY,0.001671,CHF
2007-06-05,CNY,0.001663,CHF
2007-06-06,CNY,0.001659,CHF
2007-06-07,CNY,0.001658,CHF
2007-06-08,CNY,0.00167,CHF
2007-06-11,CNY,0.167859,CHF
2007-06-12,CNY,0.168548,CHF
2007-06-13,CNY,0.169689,CHF
2007-06-14,CNY,0.169727,CHF
2007-06-15,CNY,0.169738,CHF
2007-06-18,CNY,0.169132,CHF
2007-06-19,CNY,0.169338,CHF
2007-06-20,CNY,0.169093,CHF
2007-06-21,CNY,0.169386,CHF
2007-06-22,CNY,0.168514,CHF
2007-06-25,CNY,0.167676,CHF
2007-06-26,CNY,0.167854,CHF
2007-06-27,CNY,0.167886,CHF
2007-06-28,CNY,0.167752,CHF
2007-06-29,CNY,0.168108,CHF
2007-07-02,CNY,0.166394,CHF
2007-07-03,CNY,0.16595,CHF
2007-07-04,CNY,0.166569,CHF
2007-07-05,CNY,0.166043,CHF
2007-07-06,CNY,0.166742,CHF
2007-07-09,CNY,0.166644,CHF
2007-07-10,CNY,0.166865,CHF
2007-07-11,CNY,0.165336,CHF
2007-07-12,CNY,0.16526,CHF
2007-07-13,CNY,0.165549,CHF
2007-07-16,CNY,0.165255,CHF
2007-07-17,CNY,0.165177,CHF
2007-07-18,CNY,0.164651,CHF
2007-07-19,CNY,0.165196,CHF
2007-07-20,CNY,0.165479,CHF
2007-07-23,CNY,0.165105,CHF
2007-07-24,CNY,0.165828,CHF
2007-07-25,CNY,0.166442,CHF
2007-07-26,CNY,0.16669,CHF
2007-07-27,CNY,0.166009,CHF
2007-07-30,CNY,0.165412,CHF
2007-07-31,CNY,0.16550,CHF
2007-08-02,CNY,0.165246,CHF
2007-08-03,CNY,0.165864,CHF
2007-08-06,CNY,0.163076,CHF
2007-08-07,CNY,0.16361,CHF
2007-08-08,CNY,0.164574,CHF
2007-08-09,CNY,0.164331,CHF
2007-08-10,CNY,0.16406,CHF
2007-08-13,CNY,0.164456,CHF
2007-08-14,CNY,0.165729,CHF
2007-08-15,CNY,0.166454,CHF
2007-08-16,CNY,0.166846,CHF
2007-08-17,CNY,0.165581,CHF
2007-08-20,CNY,0.165384,CHF
2007-08-21,CNY,0.165003,CHF
2007-08-22,CNY,0.16512,CHF
2007-08-23,CNY,0.165781,CHF
2007-08-24,CNY,0.16577,CHF
2007-08-27,CNY,0.165312,CHF
2007-08-28,CNY,0.165421,CHF
2007-08-29,CNY,0.165641,CHF
2007-08-30,CNY,0.165666,CHF
2007-08-31,CNY,0.166174,CHF
2007-09-03,CNY,0.166472,CHF
2007-09-04,CNY,0.166611,CHF
2007-09-05,CNY,0.167021,CHF
2007-09-06,CNY,0.16620,CHF
2007-09-07,CNY,0.16579,CHF
2007-09-10,CNY,0.16413,CHF
2007-09-11,CNY,0.164314,CHF
2007-09-12,CNY,0.164067,CHF
2007-09-13,CNY,0.163764,CHF
2007-09-14,CNY,0.164179,CHF
2007-09-17,CNY,0.164033,CHF
2007-09-18,CNY,0.164138,CHF
2007-09-19,CNY,0.163495,CHF
2007-09-20,CNY,0.16255,CHF
2007-09-21,CNY,0.162502,CHF
2007-09-24,CNY,0.162303,CHF
2007-09-25,CNY,0.162335,CHF
2007-09-26,CNY,0.161938,CHF
2007-09-27,CNY,0.162032,CHF
2007-09-28,CNY,0.162023,CHF
2007-10-01,CNY,0.162484,CHF
2007-10-02,CNY,0.162685,CHF
2007-10-03,CNY,0.162819,CHF
2007-10-04,CNY,0.163324,CHF
2007-10-05,CNY,0.163107,CHF
2007-10-08,CNY,0.163659,CHF
2007-10-09,CNY,0.164212,CHF
2007-10-10,CNY,0.163762,CHF
2007-10-11,CNY,0.16339,CHF
2007-10-12,CNY,0.163846,CHF
2007-10-15,CNY,0.16312,CHF
2007-10-16,CNY,0.163625,CHF
2007-10-17,CNY,0.163357,CHF
2007-10-18,CNY,0.162904,CHF
2007-10-19,CNY,0.162312,CHF
2007-10-22,CNY,0.161127,CHF
2007-10-23,CNY,0.162578,CHF
2007-10-24,CNY,0.163088,CHF
2007-10-25,CNY,0.162744,CHF
2007-10-26,CNY,0.16177,CHF
2007-10-29,CNY,0.161672,CHF
2007-10-30,CNY,0.162229,CHF
2007-10-31,CNY,0.161443,CHF
2007-11-01,CNY,0.162236,CHF
2007-11-02,CNY,0.160994,CHF
2007-11-05,CNY,0.161046,CHF
2007-11-06,CNY,0.160691,CHF
2007-11-07,CNY,0.158891,CHF
2007-11-08,CNY,0.158773,CHF
2007-11-09,CNY,0.157477,CHF
2007-11-12,CNY,0.15784,CHF
2007-11-13,CNY,0.157394,CHF
2007-11-14,CNY,0.157271,CHF
2007-11-15,CNY,0.157441,CHF
2007-11-16,CNY,0.157006,CHF
2007-11-19,CNY,0.156618,CHF
2007-11-20,CNY,0.155373,CHF
2007-11-21,CNY,0.155471,CHF
2007-11-22,CNY,0.154576,CHF
2007-11-23,CNY,0.153697,CHF
2007-11-26,CNY,0.154867,CHF
2007-11-27,CNY,0.154956,CHF
2007-11-28,CNY,0.155835,CHF
2007-11-29,CNY,0.157372,CHF
2007-11-30,CNY,0.157481,CHF
2007-12-03,CNY,0.158659,CHF
2007-12-04,CNY,0.158665,CHF
2007-12-05,CNY,0.157803,CHF
2007-12-06,CNY,0.158691,CHF
2007-12-07,CNY,0.158928,CHF
2007-12-10,CNY,0.15879,CHF
2007-12-11,CNY,0.159167,CHF
2007-12-12,CNY,0.159743,CHF
2007-12-13,CNY,0.160163,CHF
2007-12-14,CNY,0.161562,CHF
2007-12-17,CNY,0.162736,CHF
2007-12-18,CNY,0.162169,CHF
2007-12-19,CNY,0.162767,CHF
2007-12-20,CNY,0.16331,CHF
2007-12-21,CNY,0.16307,CHF
2007-12-24,CNY,0.16307,CHF
2007-12-27,CNY,0.163475,CHF
2007-12-28,CNY,0.16173,CHF
2007-12-31,CNY,0.16173,CHF
2008-01-03,CNY,0.159853,CHF
2008-01-04,CNY,0.159119,CHF
2008-01-07,CNY,0.159656,CHF
2008-01-08,CNY,0.159814,CHF
2008-01-09,CNY,0.159384,CHF
2008-01-10,CNY,0.159552,CHF
2008-01-11,CNY,0.15799,CHF
2008-01-14,CNY,0.156563,CHF
2008-01-15,CNY,0.15711,CHF
2008-01-16,CNY,0.156847,CHF
2008-01-17,CNY,0.158883,CHF
2008-01-18,CNY,0.158533,CHF
2008-01-21,CNY,0.15844,CHF
2008-01-22,CNY,0.159101,CHF
2008-01-23,CNY,0.157407,CHF
2008-01-24,CNY,0.156917,CHF
2008-01-25,CNY,0.158027,CHF
2008-01-28,CNY,0.157731,CHF
2008-01-29,CNY,0.157902,CHF
2008-01-30,CNY,0.157833,CHF
2008-01-31,CNY,0.157227,CHF
2008-02-01,CNY,0.155971,CHF
2008-02-04,CNY,0.157719,CHF
2008-02-05,CNY,0.158326,CHF
2008-02-06,CNY,0.159009,CHF
2008-02-07,CNY,0.158898,CHF
2008-02-08,CNY,0.159912,CHF
2008-02-11,CNY,0.158666,CHF
2008-02-12,CNY,0.159474,CHF
2008-02-13,CNY,0.159395,CHF
2008-02-14,CNY,0.159947,CHF
2008-02-15,CNY,0.158921,CHF
2008-02-18,CNY,0.159873,CHF
2008-02-19,CNY,0.15929,CHF
2008-02-20,CNY,0.159808,CHF
2008-02-21,CNY,0.15964,CHF
2008-02-22,CNY,0.158785,CHF
2008-02-25,CNY,0.158443,CHF
2008-02-26,CNY,0.158509,CHF
2008-02-27,CNY,0.155419,CHF
2008-02-28,CNY,0.155512,CHF
2008-02-29,CNY,0.153547,CHF
2008-03-03,CNY,0.152047,CHF
2008-03-04,CNY,0.152236,CHF
2008-03-05,CNY,0.152382,CHF
2008-03-06,CNY,0.150783,CHF
2008-03-07,CNY,0.149904,CHF
2008-03-10,CNY,0.149617,CHF
2008-03-11,CNY,0.14873,CHF
2008-03-12,CNY,0.150897,CHF
2008-03-13,CNY,0.148122,CHF
2008-03-14,CNY,0.14836,CHF
2008-03-17,CNY,0.144174,CHF
2008-03-18,CNY,0.144834,CHF
