date,symbol,price,currency
2010-07-01,CRC,0.00204525,CHF
2010-07-02,CRC,0.0020099,CHF
2010-07-05,CRC,0.00202707,CHF
2010-07-06,CRC,0.00201495,CHF
2010-07-07,CRC,0.00201899,CHF
2010-07-08,CRC,0.00200182,CHF
2010-07-09,CRC,0.00201495,CHF
2010-07-12,CRC,0.00206242,CHF
2010-07-13,CRC,0.00205434,CHF
2010-07-14,CRC,0.00204929,CHF
2010-07-15,CRC,0.00204626,CHF
2010-07-16,CRC,0.00205333,CHF
2010-07-19,CRC,0.0020705,CHF
2010-07-20,CRC,0.00209676,CHF
2010-07-21,CRC,0.00204929,CHF
2010-07-22,CRC,0.00204222,CHF
2010-07-23,CRC,0.00203717,CHF
2010-07-26,CRC,0.002042,CHF
2010-07-27,CRC,0.002029,CHF
2010-07-28,CRC,0.00207353,CHF
2010-07-29,CRC,0.00206242,CHF
2010-07-30,CRC,0.00202909,CHF
2010-08-02,CRC,0.00205737,CHF
2010-08-03,CRC,0.00204424,CHF
2010-08-04,CRC,0.00204626,CHF
2010-08-05,CRC,0.00207959,CHF
2010-08-06,CRC,0.00205131,CHF
2010-08-09,CRC,0.00204121,CHF
2010-08-10,CRC,0.00206444,CHF
2010-08-11,CRC,0.0020806,CHF
2010-08-12,CRC,0.00210383,CHF
2010-08-13,CRC,0.0020907,CHF
2010-08-16,CRC,0.00210282,CHF
2010-08-17,CRC,0.00207151,CHF
2010-08-18,CRC,0.00207959,CHF
2010-08-19,CRC,0.0020806,CHF
2010-08-20,CRC,0.00204828,CHF
2010-08-23,CRC,0.0020705,CHF
2010-08-24,CRC,0.00207454,CHF
2010-08-25,CRC,0.00205434,CHF
2010-08-26,CRC,0.00205232,CHF
2010-08-27,CRC,0.00203818,CHF
2010-08-30,CRC,0.0020604,CHF
2010-08-31,CRC,0.00203818,CHF
2010-09-01,CRC,0.00203414,CHF
2010-09-02,CRC,0.00203111,CHF
2010-09-03,CRC,0.00202707,CHF
2010-09-06,CRC,0.0020318,CHF
2010-09-07,CRC,0.0020232,CHF
2010-09-08,CRC,0.0020248,CHF
2010-09-09,CRC,0.00198454,CHF
2010-09-10,CRC,0.00202083,CHF
2010-09-13,CRC,0.00202318,CHF
2010-09-14,CRC,0.00201835,CHF
2010-09-15,CRC,0.00200654,CHF
2010-09-16,CRC,0.00202121,CHF
2010-09-17,CRC,0.00204474,CHF
2010-09-20,CRC,0.00203776,CHF
2010-09-21,CRC,0.00202162,CHF
2010-09-22,CRC,0.00199642,CHF
2010-09-23,CRC,0.00199216,CHF
2010-09-24,CRC,0.00196053,CHF
2010-09-27,CRC,0.00197046,CHF
2010-09-28,CRC,0.00196866,CHF
2010-09-29,CRC,0.00194651,CHF
2010-09-30,CRC,0.00195742,CHF
2010-10-01,CRC,0.00196094,CHF
2010-10-04,CRC,0.00192712,CHF
2010-10-05,CRC,0.00192374,CHF
2010-10-06,CRC,0.00192369,CHF
2010-10-07,CRC,0.00191668,CHF
2010-10-08,CRC,0.001917,CHF
2010-10-11,CRC,0.00192712,CHF
2010-10-12,CRC,0.00191334,CHF
2010-10-13,CRC,0.00189475,CHF
2010-10-14,CRC,0.00189017,CHF
2010-10-15,CRC,0.00189158,CHF
2010-10-18,CRC,0.00193322,CHF
2010-10-19,CRC,0.00193522,CHF
2010-10-20,CRC,0.00196349,CHF
2010-10-21,CRC,0.00194382,CHF
2010-10-22,CRC,0.00192727,CHF
2010-10-25,CRC,0.0019352,CHF
2010-10-26,CRC,0.0019415,CHF
2010-10-27,CRC,0.00196946,CHF
2010-10-28,CRC,0.00197605,CHF
2010-10-29,CRC,0.00196181,CHF
2010-11-01,CRC,0.00195216,CHF
2010-11-02,CRC,0.00195591,CHF
2010-11-03,CRC,0.00194979,CHF
2010-11-04,CRC,0.00192118,CHF
2010-11-05,CRC,0.00190746,CHF
2010-11-08,CRC,0.00189558,CHF
2010-11-09,CRC,0.00189656,CHF
2010-11-10,CRC,0.00190083,CHF
2010-11-11,CRC,0.00190399,CHF
2010-11-12,CRC,0.00192239,CHF
2010-11-15,CRC,0.00193969,CHF
2010-11-16,CRC,0.00196547,CHF
2010-11-17,CRC,0.00198458,CHF
2010-11-18,CRC,0.00196896,CHF
2010-11-19,CRC,0.00198339,CHF
2010-11-22,CRC,0.00196956,CHF
2010-11-23,CRC,0.00197982,CHF
2010-11-24,CRC,0.00199971,CHF
2010-11-25,CRC,0.00199004,CHF
2010-11-26,CRC,0.00199665,CHF
2010-11-29,CRC,0.00199448,CHF
2010-11-30,CRC,0.00200775,CHF
2010-12-01,CRC,0.00200817,CHF
2010-12-02,CRC,0.00201538,CHF
2010-12-03,CRC,0.00200669,CHF
2010-12-06,CRC,0.00197177,CHF
2010-12-07,CRC,0.00197609,CHF
2010-12-08,CRC,0.0019912,CHF
2010-12-09,CRC,0.0019861,CHF
2010-12-10,CRC,0.0019823,CHF
2010-12-13,CRC,0.00197953,CHF
2010-12-14,CRC,0.00195579,CHF
2010-12-15,CRC,0.00194643,CHF
2010-12-16,CRC,0.00195714,CHF
2010-12-17,CRC,0.00195322,CHF
2010-12-20,CRC,0.00196782,CHF
2010-12-21,CRC,0.00194435,CHF
2010-12-22,CRC,0.00192124,CHF
2010-12-23,CRC,0.00190466,CHF
2010-12-24,CRC,0.0019173,CHF
2010-12-27,CRC,0.00192611,CHF
2010-12-28,CRC,0.00190757,CHF
2010-12-29,CRC,0.0019084,CHF
2010-12-30,CRC,0.00188859,CHF
2010-12-31,CRC,0.00186446,CHF
2011-01-03,CRC,0.00187693,CHF
2011-01-04,CRC,0.00187433,CHF
2011-01-05,CRC,0.00188847,CHF
2011-01-06,CRC,0.00192954,CHF
2011-01-07,CRC,0.0019168,CHF
2011-01-10,CRC,0.00192077,CHF
2011-01-11,CRC,0.00193301,CHF
2011-01-12,CRC,0.00194334,CHF
2011-01-13,CRC,0.00193416,CHF
2011-01-14,CRC,0.0019321,CHF
2011-01-17,CRC,0.00194268,CHF
2011-01-18,CRC,0.00194167,CHF
2011-01-19,CRC,0.00194236,CHF
2011-01-21,CRC,0.00195666,CHF
2011-01-24,CRC,0.00193547,CHF
2011-01-25,CRC,0.00190978,CHF
2011-01-26,CRC,0.00190538,CHF
2011-01-27,CRC,0.00190505,CHF
2011-01-28,CRC,0.00190397,CHF
2011-01-31,CRC,0.00190375,CHF
2011-02-01,CRC,0.00189763,CHF
2011-02-02,CRC,0.00189132,CHF
2011-02-03,CRC,0.00189307,CHF
2011-02-04,CRC,0.0019125,CHF
2011-02-07,CRC,0.00192803,CHF
2011-02-08,CRC,0.00193275,CHF
2011-02-09,CRC,0.00195527,CHF
2011-02-10,CRC,0.00193341,CHF
2011-02-11,CRC,0.00195912,CHF
2011-02-14,CRC,0.0019664,CHF
2011-02-15,CRC,0.00195481,CHF
2011-02-16,CRC,0.00195898,CHF
2011-02-17,CRC,0.00194028,CHF
2011-02-18,CRC,0.00192652,CHF
2011-02-21,CRC,0.00192296,CHF
2011-02-22,CRC,0.00192322,CHF
2011-02-23,CRC,0.00189776,CHF
2011-02-24,CRC,0.00188924,CHF
2011-02-25,CRC,0.00187363,CHF
2011-02-28,CRC,0.00188538,CHF
2011-03-01,CRC,0.00189247,CHF
2011-03-02,CRC,0.00187582,CHF
2011-03-03,CRC,0.00187797,CHF
2011-03-04,CRC,0.00188447,CHF
2011-03-07,CRC,0.00187654,CHF
2011-03-08,CRC,0.00188518,CHF
2011-03-09,CRC,0.00189639,CHF
2011-03-10,CRC,0.00188016,CHF
2011-03-11,CRC,0.00188917,CHF
2011-03-14,CRC,0.00188518,CHF
2011-03-15,CRC,0.00186947,CHF
2011-03-16,CRC,0.001862,CHF
2011-03-17,CRC,0.00182407,CHF
2011-03-18,CRC,0.0018345,CHF
2011-03-21,CRC,0.00183388,CHF
2011-03-22,CRC,0.00183054,CHF
2011-03-23,CRC,0.00182953,CHF
2011-03-24,CRC,0.00183969,CHF
2011-03-25,CRC,0.00183872,CHF
2011-03-28,CRC,0.00186814,CHF
2011-03-29,CRC,0.00186062,CHF
