date,symbol,price,currency
2010-06-01,CZK,0.056411,CHF
2010-06-02,CZK,0.055688,CHF
2010-06-03,CZK,0.055968,CHF
2010-06-04,CZK,0.055287,CHF
2010-06-07,CZK,0.054533,CHF
2010-06-08,CZK,0.054271,CHF
2010-06-09,CZK,0.053852,CHF
2010-06-10,CZK,0.05391,CHF
2010-06-11,CZK,0.054809,CHF
2010-06-14,CZK,0.054979,CHF
2010-06-15,CZK,0.055635,CHF
2010-06-16,CZK,0.055109,CHF
2010-06-17,CZK,0.054296,CHF
2010-06-18,CZK,0.054407,CHF
2010-06-21,CZK,0.054308,CHF
2010-06-22,CZK,0.054014,CHF
2010-06-23,CZK,0.053733,CHF
2010-06-24,CZK,0.053764,CHF
2010-06-25,CZK,0.0532471,CHF
2010-06-28,CZK,0.0530888,CHF
2010-06-29,CZK,0.052442,CHF
2010-06-30,CZK,0.0517778,CHF
2010-07-01,CZK,0.0515513,CHF
2010-07-02,CZK,0.0522037,CHF
2010-07-05,CZK,0.0526098,CHF
2010-07-06,CZK,0.0526765,CHF
2010-07-07,CZK,0.0530842,CHF
2010-07-08,CZK,0.0527249,CHF
2010-07-09,CZK,0.0530371,CHF
2010-07-12,CZK,0.053191,CHF
2010-07-13,CZK,0.0534339,CHF
2010-07-14,CZK,0.0534593,CHF
2010-07-15,CZK,0.0531287,CHF
2010-07-16,CZK,0.0536161,CHF
2010-07-19,CZK,0.05369,CHF
2010-07-20,CZK,0.0544971,CHF
2010-07-21,CZK,0.0541792,CHF
2010-07-22,CZK,0.053554,CHF
2010-07-23,CZK,0.0540576,CHF
2010-07-26,CZK,0.0542534,CHF
2010-07-27,CZK,0.0543726,CHF
2010-07-28,CZK,0.0556391,CHF
2010-07-29,CZK,0.0563015,CHF
2010-07-30,CZK,0.0554072,CHF
2010-08-02,CZK,0.055498,CHF
2010-08-03,CZK,0.0560787,CHF
2010-08-04,CZK,0.0560865,CHF
2010-08-05,CZK,0.0568857,CHF
2010-08-06,CZK,0.0564436,CHF
2010-08-09,CZK,0.0561838,CHF
2010-08-10,CZK,0.0566098,CHF
2010-08-11,CZK,0.0564672,CHF
2010-08-12,CZK,0.055463,CHF
2010-08-13,CZK,0.0550299,CHF
2010-08-16,CZK,0.0543103,CHF
2010-08-17,CZK,0.0542641,CHF
2010-08-18,CZK,0.0547225,CHF
2010-08-19,CZK,0.0545611,CHF
2010-08-20,CZK,0.0538806,CHF
2010-08-23,CZK,0.0534901,CHF
2010-08-24,CZK,0.0536579,CHF
2010-08-25,CZK,0.0530134,CHF
2010-08-26,CZK,0.0530079,CHF
2010-08-27,CZK,0.0529336,CHF
2010-08-30,CZK,0.0537283,CHF
2010-08-31,CZK,0.0527015,CHF
2010-09-01,CZK,0.0527197,CHF
2010-09-02,CZK,0.0533553,CHF
2010-09-03,CZK,0.0531692,CHF
2010-09-06,CZK,0.0535972,CHF
2010-09-07,CZK,0.0530323,CHF
2010-09-08,CZK,0.0524885,CHF
2010-09-09,CZK,0.0527825,CHF
2010-09-10,CZK,0.0529998,CHF
2010-09-13,CZK,0.0532767,CHF
2010-09-14,CZK,0.0532115,CHF
2010-09-15,CZK,0.0534039,CHF
2010-09-16,CZK,0.0535322,CHF
2010-09-17,CZK,0.0544188,CHF
2010-09-20,CZK,0.0540704,CHF
2010-09-21,CZK,0.0539505,CHF
2010-09-22,CZK,0.0543595,CHF
2010-09-23,CZK,0.0543914,CHF
2010-09-24,CZK,0.05403,CHF
2010-09-27,CZK,0.05447,CHF
2010-09-28,CZK,0.0544709,CHF
2010-09-29,CZK,0.0545517,CHF
2010-09-30,CZK,0.0546531,CHF
2010-10-01,CZK,0.0551139,CHF
2010-10-04,CZK,0.0556459,CHF
2010-10-05,CZK,0.0548286,CHF
2010-10-06,CZK,0.0551932,CHF
2010-10-07,CZK,0.0553365,CHF
2010-10-08,CZK,0.0554228,CHF
2010-10-11,CZK,0.0556459,CHF
2010-10-12,CZK,0.0551798,CHF
2010-10-13,CZK,0.0550799,CHF
2010-10-14,CZK,0.0554834,CHF
2010-10-15,CZK,0.0553508,CHF
2010-10-18,CZK,0.0551055,CHF
2010-10-19,CZK,0.0552582,CHF
2010-10-20,CZK,0.0549651,CHF
2010-10-21,CZK,0.0553554,CHF
2010-10-22,CZK,0.0553939,CHF
2010-10-25,CZK,0.0562883,CHF
2010-10-26,CZK,0.0559704,CHF
2010-10-27,CZK,0.0559516,CHF
2010-10-28,CZK,0.0559496,CHF
2010-10-29,CZK,0.0562571,CHF
2010-11-01,CZK,0.0565028,CHF
2010-11-02,CZK,0.0569287,CHF
2010-11-03,CZK,0.056677,CHF
2010-11-04,CZK,0.0568012,CHF
2010-11-05,CZK,0.056171,CHF
2010-11-08,CZK,0.0554831,CHF
2010-11-09,CZK,0.0552479,CHF
2010-11-10,CZK,0.0549108,CHF
2010-11-11,CZK,0.0549868,CHF
2010-11-12,CZK,0.0546086,CHF
2010-11-15,CZK,0.0551083,CHF
2010-11-16,CZK,0.0550665,CHF
2010-11-17,CZK,0.05529,CHF
2010-11-18,CZK,0.0551744,CHF
2010-11-19,CZK,0.0557958,CHF
2010-11-22,CZK,0.0558614,CHF
2010-11-23,CZK,0.054995,CHF
2010-11-24,CZK,0.0545833,CHF
2010-11-25,CZK,0.0543603,CHF
2010-11-26,CZK,0.0545801,CHF
2010-11-29,CZK,0.0541522,CHF
2010-11-30,CZK,0.0533159,CHF
2010-12-01,CZK,0.0527836,CHF
2010-12-02,CZK,0.0531791,CHF
2010-12-03,CZK,0.0532348,CHF
2010-12-06,CZK,0.0527175,CHF
2010-12-07,CZK,0.0528827,CHF
2010-12-08,CZK,0.0527927,CHF
2010-12-09,CZK,0.052916,CHF
2010-12-10,CZK,0.0524942,CHF
2010-12-13,CZK,0.0520348,CHF
2010-12-14,CZK,0.0521556,CHF
2010-12-15,CZK,0.0516531,CHF
2010-12-16,CZK,0.0514404,CHF
2010-12-17,CZK,0.0513159,CHF
2010-12-20,CZK,0.0511545,CHF
2010-12-21,CZK,0.0508057,CHF
2010-12-22,CZK,0.0502767,CHF
2010-12-23,CZK,0.0498476,CHF
2010-12-24,CZK,0.050303,CHF
2010-12-27,CZK,0.0504005,CHF
2010-12-28,CZK,0.0504684,CHF
2010-12-29,CZK,0.0499001,CHF
2010-12-30,CZK,0.0498819,CHF
2010-12-31,CZK,0.0501283,CHF
2011-01-03,CZK,0.0501706,CHF
2011-01-04,CZK,0.0504218,CHF
2011-01-05,CZK,0.0512014,CHF
2011-01-06,CZK,0.0517969,CHF
2011-01-07,CZK,0.0515282,CHF
2011-01-10,CZK,0.0512902,CHF
2011-01-11,CZK,0.0515808,CHF
2011-01-12,CZK,0.0524031,CHF
2011-01-13,CZK,0.0527314,CHF
2011-01-14,CZK,0.0533062,CHF
2011-01-17,CZK,0.0533912,CHF
2011-01-18,CZK,0.0532035,CHF
2011-01-19,CZK,0.0537001,CHF
2011-01-21,CZK,0.0542956,CHF
2011-01-24,CZK,0.0542854,CHF
2011-01-25,CZK,0.0541281,CHF
2011-01-26,CZK,0.0537204,CHF
2011-01-27,CZK,0.0540202,CHF
2011-01-28,CZK,0.0541929,CHF
2011-01-31,CZK,0.0534129,CHF
2011-02-01,CZK,0.0540701,CHF
2011-02-02,CZK,0.0545024,CHF
2011-02-03,CZK,0.0544296,CHF
2011-02-04,CZK,0.0544218,CHF
2011-02-07,CZK,0.0547413,CHF
2011-02-08,CZK,0.0545852,CHF
2011-02-09,CZK,0.0552912,CHF
2011-02-10,CZK,0.0549967,CHF
2011-02-11,CZK,0.054852,CHF
2011-02-14,CZK,0.0550066,CHF
2011-02-15,CZK,0.0544369,CHF
2011-02-16,CZK,0.0542839,CHF
2011-02-17,CZK,0.0541102,CHF
2011-02-18,CZK,0.0537562,CHF
2011-02-21,CZK,0.0534759,CHF
2011-02-22,CZK,0.053344,CHF
2011-02-23,CZK,0.0529177,CHF
2011-02-24,CZK,0.0527277,CHF
2011-02-25,CZK,0.0527735,CHF
2011-02-28,CZK,0.0526199,CHF
2011-03-01,CZK,0.0533498,CHF
2011-03-02,CZK,0.0530364,CHF
2011-03-03,CZK,0.0533514,CHF
2011-03-04,CZK,0.0541582,CHF
2011-03-07,CZK,0.0539735,CHF
2011-03-08,CZK,0.0541478,CHF
2011-03-09,CZK,0.0541755,CHF
2011-03-10,CZK,0.0537443,CHF
2011-03-11,CZK,0.0534355,CHF
2011-03-14,CZK,0.0539247,CHF
2011-03-15,CZK,0.053547,CHF
2011-03-16,CZK,0.0531701,CHF
2011-03-17,CZK,0.0517607,CHF
2011-03-18,CZK,0.0527161,CHF
2011-03-21,CZK,0.0531842,CHF
2011-03-22,CZK,0.0532869,CHF
2011-03-23,CZK,0.0530285,CHF
2011-03-24,CZK,0.0530415,CHF
2011-03-25,CZK,0.0530614,CHF
2011-03-28,CZK,0.0534743,CHF
2011-03-29,CZK,0.0531765,CHF
2011-03-30,CZK,0.0535779,CHF
2011-03-31,CZK,0.0534839,CHF
2011-04-01,CZK,0.0536851,CHF
2011-04-04,CZK,0.0543521,CHF
2011-04-05,CZK,0.0542825,CHF
2011-04-06,CZK,0.054834,CHF
2011-04-07,CZK,0.0545205,CHF
2011-04-08,CZK,0.0542649,CHF
2011-04-11,CZK,0.054328,CHF
2011-04-12,CZK,0.0541999,CHF
2011-04-13,CZK,0.0538088,CHF
2011-04-14,CZK,0.0536516,CHF
2011-04-15,CZK,0.0540369,CHF
2011-04-18,CZK,0.0535883,CHF
2011-04-19,CZK,0.0533436,CHF
2011-04-20,CZK,0.0540566,CHF
2011-04-21,CZK,0.054049,CHF
2011-04-22,CZK,0.0541542,CHF
2011-04-25,CZK,0.054091,CHF
2011-04-26,CZK,0.0539045,CHF
2011-04-27,CZK,0.0538325,CHF
2011-04-28,CZK,0.0542362,CHF
2011-04-29,CZK,0.054279,CHF
2011-05-02,CZK,0.0536218,CHF
2011-05-03,CZK,0.0536582,CHF
2011-05-04,CZK,0.0533816,CHF
2011-05-05,CZK,0.0534563,CHF
2011-05-06,CZK,0.0529135,CHF
2011-05-09,CZK,0.052776,CHF
2011-05-10,CZK,0.0522631,CHF
2011-05-11,CZK,0.052885,CHF
2011-05-12,CZK,0.0524715,CHF
2011-05-13,CZK,0.0523466,CHF
2011-05-16,CZK,0.0520799,CHF
2011-05-17,CZK,0.051888,CHF
2011-05-18,CZK,0.0519088,CHF
2011-05-19,CZK,0.0518994,CHF
2011-05-20,CZK,0.0522553,CHF
2011-05-23,CZK,0.051067,CHF
2011-05-24,CZK,0.0512225,CHF
2011-05-25,CZK,0.0509282,CHF
2011-05-26,CZK,0.0506395,CHF
2011-05-27,CZK,0.050264,CHF
2011-05-30,CZK,0.0501496,CHF
2011-05-31,CZK,0.0504376,CHF
2011-06-01,CZK,0.0506336,CHF
2011-06-02,CZK,0.0499229,CHF
2011-06-03,CZK,0.0505269,CHF
2011-06-06,CZK,0.0506943,CHF
2011-06-07,CZK,0.0506758,CHF
2011-06-08,CZK,0.0512036,CHF
2011-06-09,CZK,0.0511107,CHF
2011-06-10,CZK,0.0512187,CHF
2011-06-13,CZK,0.0506259,CHF
2011-06-14,CZK,0.0503945,CHF
2011-06-15,CZK,0.0509402,CHF
2011-06-16,CZK,0.0504261,CHF
2011-06-17,CZK,0.0503044,CHF
2011-06-20,CZK,0.0508441,CHF
2011-06-21,CZK,0.0507711,CHF
2011-06-22,CZK,0.0504311,CHF
2011-06-23,CZK,0.0501521,CHF
2011-06-24,CZK,0.0495977,CHF
2011-06-27,CZK,0.0490275,CHF
2011-06-28,CZK,0.0496064,CHF
2011-06-29,CZK,0.0494948,CHF
2011-06-30,CZK,0.0501328,CHF
2011-07-01,CZK,0.0506626,CHF
2011-07-04,CZK,0.0514132,CHF
2011-07-05,CZK,0.0512839,CHF
2011-07-06,CZK,0.0505782,CHF
2011-07-07,CZK,0.0501896,CHF
2011-07-08,CZK,0.0507192,CHF
2011-07-11,CZK,0.0498924,CHF
2011-07-12,CZK,0.0488549,CHF
2011-07-13,CZK,0.0485085,CHF
2011-07-14,CZK,0.0479676,CHF
2011-07-15,CZK,0.0477027,CHF
2011-07-18,CZK,0.0473156,CHF
2011-07-19,CZK,0.0477155,CHF
2011-07-20,CZK,0.0481734,CHF
2011-07-21,CZK,0.0483998,CHF
2011-07-22,CZK,0.0487134,CHF
2011-07-25,CZK,0.0486321,CHF
2011-07-26,CZK,0.0478779,CHF
2011-07-27,CZK,0.048371,CHF
2011-07-28,CZK,0.0480459,CHF
2011-07-29,CZK,0.0480551,CHF
2011-08-01,CZK,0.0477984,CHF
2011-08-02,CZK,0.0468518,CHF
2011-08-03,CZK,0.044939,CHF
2011-08-04,CZK,0.0462444,CHF
2011-08-05,CZK,0.0450653,CHF
2011-08-08,CZK,0.0458418,CHF
