date,symbol,price,currency
2002-01-03,DKK,0.20100,CHF
2002-01-04,DKK,0.20050,CHF
2002-01-07,DKK,0.20000,CHF
2002-01-08,DKK,0.19900,CHF
2002-01-09,DKK,0.20000,CHF
2002-01-10,DKK,0.20050,CHF
2002-01-11,DKK,0.20100,CHF
2002-01-14,DKK,0.20050,CHF
2002-01-15,DKK,0.20050,CHF
2002-01-16,DKK,0.19950,CHF
2002-01-17,DKK,0.19900,CHF
2002-01-18,DKK,0.19900,CHF
2002-01-21,DKK,0.19900,CHF
2002-01-22,DKK,0.19900,CHF
2002-01-23,DKK,0.20000,CHF
2002-01-24,DKK,0.19900,CHF
2002-01-25,DKK,0.19900,CHF
2002-01-28,DKK,0.20000,CHF
2002-01-29,DKK,0.19950,CHF
2002-01-30,DKK,0.19950,CHF
2002-01-31,DKK,0.20000,CHF
2002-02-01,DKK,0.20000,CHF
2002-02-04,DKK,0.20050,CHF
2002-02-05,DKK,0.20000,CHF
2002-02-06,DKK,0.19950,CHF
2002-02-07,DKK,0.19950,CHF
2002-02-08,DKK,0.19950,CHF
2002-02-11,DKK,0.20000,CHF
2002-02-12,DKK,0.20000,CHF
2002-02-13,DKK,0.20050,CHF
2002-02-14,DKK,0.20100,CHF
2002-02-15,DKK,0.20100,CHF
2002-02-18,DKK,0.20100,CHF
2002-02-19,DKK,0.20050,CHF
2002-02-20,DKK,0.20050,CHF
2002-02-21,DKK,0.20050,CHF
2002-02-22,DKK,0.20050,CHF
2002-02-25,DKK,0.20050,CHF
2002-02-26,DKK,0.20000,CHF
2002-02-27,DKK,0.20000,CHF
2002-02-28,DKK,0.20000,CHF
2002-03-01,DKK,0.20000,CHF
2002-03-04,DKK,0.20050,CHF
2002-03-05,DKK,0.20050,CHF
2002-03-06,DKK,0.20050,CHF
2002-03-07,DKK,0.20000,CHF
2002-03-08,DKK,0.19950,CHF
2002-03-11,DKK,0.19950,CHF
2002-03-12,DKK,0.19900,CHF
2002-03-13,DKK,0.19900,CHF
2002-03-14,DKK,0.19900,CHF
2002-03-15,DKK,0.19850,CHF
2002-03-18,DKK,0.19850,CHF
2002-03-19,DKK,0.19850,CHF
2002-03-20,DKK,0.19850,CHF
2002-03-21,DKK,0.19850,CHF
2002-03-22,DKK,0.19800,CHF
2002-03-25,DKK,0.19800,CHF
2002-03-26,DKK,0.19800,CHF
2002-03-27,DKK,0.19850,CHF
2002-03-28,DKK,0.19850,CHF
2002-04-02,DKK,0.19850,CHF
2002-04-03,DKK,0.19800,CHF
2002-04-04,DKK,0.19800,CHF
2002-04-05,DKK,0.19850,CHF
2002-04-08,DKK,0.19850,CHF
2002-04-09,DKK,0.19850,CHF
2002-04-10,DKK,0.19850,CHF
2002-04-11,DKK,0.19900,CHF
2002-04-12,DKK,0.19850,CHF
2002-04-15,DKK,0.19850,CHF
2002-04-16,DKK,0.19900,CHF
2002-04-17,DKK,0.19900,CHF
2002-04-18,DKK,0.19900,CHF
2002-04-19,DKK,0.19900,CHF
2002-04-22,DKK,0.19900,CHF
2002-04-23,DKK,0.19900,CHF
2002-04-24,DKK,0.19900,CHF
2002-04-25,DKK,0.19850,CHF
2002-04-26,DKK,0.19850,CHF
2002-04-29,DKK,0.19850,CHF
2002-04-30,DKK,0.19850,CHF
2002-05-01,DKK,0.19700,CHF
2002-05-02,DKK,0.19700,CHF
2002-05-03,DKK,0.19750,CHF
2002-05-06,DKK,0.19750,CHF
2002-05-07,DKK,0.19750,CHF
2002-05-08,DKK,0.19750,CHF
2002-05-10,DKK,0.19700,CHF
2002-05-13,DKK,0.19700,CHF
2002-05-14,DKK,0.19700,CHF
2002-05-15,DKK,0.19700,CHF
2002-05-16,DKK,0.19700,CHF
2002-05-17,DKK,0.19750,CHF
2002-05-21,DKK,0.19700,CHF
2002-05-22,DKK,0.19650,CHF
2002-05-23,DKK,0.19700,CHF
2002-05-24,DKK,0.19700,CHF
2002-05-27,DKK,0.19750,CHF
2002-05-28,DKK,0.19800,CHF
2002-05-29,DKK,0.19800,CHF
2002-05-30,DKK,0.19900,CHF
2002-05-31,DKK,0.19850,CHF
2002-06-03,DKK,0.19850,CHF
2002-06-04,DKK,0.19900,CHF
2002-06-05,DKK,0.19900,CHF
2002-06-06,DKK,0.19950,CHF
2002-06-07,DKK,0.19950,CHF
2002-06-10,DKK,0.19950,CHF
2002-06-11,DKK,0.19950,CHF
2002-06-12,DKK,0.20000,CHF
2002-06-13,DKK,0.20000,CHF
2002-06-14,DKK,0.20000,CHF
2002-06-17,DKK,0.20000,CHF
2002-06-18,DKK,0.20000,CHF
2002-06-19,DKK,0.20000,CHF
2002-06-20,DKK,0.19900,CHF
2002-06-21,DKK,0.19900,CHF
2002-06-24,DKK,0.19900,CHF
2002-06-25,DKK,0.19900,CHF
2002-06-26,DKK,0.19900,CHF
2002-06-27,DKK,0.19900,CHF
2002-06-28,DKK,0.20000,CHF
2002-07-01,DKK,0.19950,CHF
2002-07-02,DKK,0.19900,CHF
2002-07-03,DKK,0.19850,CHF
2002-07-04,DKK,0.19850,CHF
2002-07-05,DKK,0.19850,CHF
2002-07-08,DKK,0.19900,CHF
2002-07-09,DKK,0.19950,CHF
2002-07-10,DKK,0.20000,CHF
2002-07-11,DKK,0.19900,CHF
2002-07-12,DKK,0.19900,CHF
2002-07-15,DKK,0.19950,CHF
2002-07-16,DKK,0.19900,CHF
2002-07-17,DKK,0.19900,CHF
2002-07-18,DKK,0.19850,CHF
2002-07-19,DKK,0.19850,CHF
2002-07-22,DKK,0.19750,CHF
2002-07-23,DKK,0.19750,CHF
2002-07-24,DKK,0.19700,CHF
2002-07-25,DKK,0.19650,CHF
2002-07-26,DKK,0.19600,CHF
2002-07-29,DKK,0.19650,CHF
2002-07-30,DKK,0.19750,CHF
2002-07-31,DKK,0.19750,CHF
2002-08-02,DKK,0.19650,CHF
2002-08-05,DKK,0.19700,CHF
2002-08-06,DKK,0.19700,CHF
2002-08-07,DKK,0.19750,CHF
2002-08-08,DKK,0.19850,CHF
2002-08-09,DKK,0.19850,CHF
2002-08-12,DKK,0.19800,CHF
2002-08-13,DKK,0.19850,CHF
2002-08-14,DKK,0.19850,CHF
2002-08-15,DKK,0.19850,CHF
2002-08-16,DKK,0.19850,CHF
2002-08-19,DKK,0.19900,CHF
2002-08-20,DKK,0.19900,CHF
2002-08-21,DKK,0.19950,CHF
2002-08-22,DKK,0.19900,CHF
2002-08-23,DKK,0.20000,CHF
2002-08-26,DKK,0.19950,CHF
2002-08-27,DKK,0.19950,CHF
2002-08-28,DKK,0.19900,CHF
2002-08-29,DKK,0.19950,CHF
2002-08-30,DKK,0.19950,CHF
2002-09-02,DKK,0.19950,CHF
2002-09-03,DKK,0.19950,CHF
2002-09-04,DKK,0.19850,CHF
2002-09-05,DKK,0.19850,CHF
2002-09-06,DKK,0.19800,CHF
2002-09-09,DKK,0.19800,CHF
2002-09-10,DKK,0.19800,CHF
2002-09-11,DKK,0.19800,CHF
2002-09-12,DKK,0.19900,CHF
2002-09-13,DKK,0.19900,CHF
2002-09-16,DKK,0.19950,CHF
2002-09-17,DKK,0.19950,CHF
2002-09-18,DKK,0.19900,CHF
2002-09-19,DKK,0.19900,CHF
2002-09-20,DKK,0.19850,CHF
2002-09-23,DKK,0.19850,CHF
2002-09-24,DKK,0.19850,CHF
2002-09-25,DKK,0.19850,CHF
2002-09-26,DKK,0.19850,CHF
2002-09-27,DKK,0.19900,CHF
2002-09-30,DKK,0.19850,CHF
2002-10-01,DKK,0.19750,CHF
2002-10-02,DKK,0.19800,CHF
2002-10-03,DKK,0.19800,CHF
2002-10-04,DKK,0.19800,CHF
2002-10-07,DKK,0.19800,CHF
2002-10-08,DKK,0.19850,CHF
2002-10-09,DKK,0.19900,CHF
2002-10-10,DKK,0.19850,CHF
2002-10-11,DKK,0.19850,CHF
2002-10-14,DKK,0.19800,CHF
2002-10-15,DKK,0.19850,CHF
2002-10-16,DKK,0.19900,CHF
2002-10-17,DKK,0.19900,CHF
2002-10-18,DKK,0.19900,CHF
2002-10-21,DKK,0.19950,CHF
2002-10-22,DKK,0.19950,CHF
2002-10-23,DKK,0.19900,CHF
2002-10-24,DKK,0.19900,CHF
2002-10-25,DKK,0.19900,CHF
2002-10-28,DKK,0.19900,CHF
2002-10-29,DKK,0.19850,CHF
2002-10-30,DKK,0.19850,CHF
2002-10-31,DKK,0.19850,CHF
2002-11-01,DKK,0.19850,CHF
2002-11-04,DKK,0.19820,CHF
2002-11-05,DKK,0.19800,CHF
2002-11-06,DKK,0.19850,CHF
2002-11-07,DKK,0.19850,CHF
2002-11-08,DKK,0.19850,CHF
2002-11-11,DKK,0.19850,CHF
2002-11-12,DKK,0.19850,CHF
2002-11-13,DKK,0.19850,CHF
2002-11-14,DKK,0.19900,CHF
2002-11-15,DKK,0.19900,CHF
2002-11-18,DKK,0.19900,CHF
2002-11-19,DKK,0.19900,CHF
2002-11-20,DKK,0.19900,CHF
2002-11-21,DKK,0.19900,CHF
2002-11-22,DKK,0.19950,CHF
2002-11-25,DKK,0.20000,CHF
2002-11-26,DKK,0.20000,CHF
2002-11-27,DKK,0.20000,CHF
2002-11-28,DKK,0.20000,CHF
2002-11-29,DKK,0.20050,CHF
2002-12-02,DKK,0.20050,CHF
2002-12-03,DKK,0.20000,CHF
2002-12-04,DKK,0.19950,CHF
2002-12-05,DKK,0.20000,CHF
2002-12-06,DKK,0.19950,CHF
2002-12-09,DKK,0.19950,CHF
2002-12-10,DKK,0.20000,CHF
2002-12-11,DKK,0.20000,CHF
2002-12-12,DKK,0.20000,CHF
2002-12-13,DKK,0.20050,CHF
2002-12-16,DKK,0.20050,CHF
2002-12-17,DKK,0.20000,CHF
2002-12-18,DKK,0.19900,CHF
2002-12-19,DKK,0.19850,CHF
2002-12-20,DKK,0.19850,CHF
2002-12-23,DKK,0.19850,CHF
2002-12-24,DKK,0.19750,CHF
2002-12-30,DKK,0.19700,CHF
2002-12-31,DKK,0.19750,CHF
2003-01-06,DKK,0.19750,CHF
2003-01-07,DKK,0.19800,CHF
2003-01-08,DKK,0.19800,CHF
2003-01-09,DKK,0.19800,CHF
2003-01-10,DKK,0.19800,CHF
2003-01-13,DKK,0.19800,CHF
2003-01-14,DKK,0.19850,CHF
2003-01-15,DKK,0.19850,CHF
2003-01-16,DKK,0.19850,CHF
2003-01-17,DKK,0.19800,CHF
2003-01-20,DKK,0.19800,CHF
2003-01-21,DKK,0.19800,CHF
2003-01-22,DKK,0.19800,CHF
2003-01-23,DKK,0.19850,CHF
2003-01-24,DKK,0.19850,CHF
2003-01-27,DKK,0.19850,CHF
2003-01-28,DKK,0.19900,CHF
2003-01-29,DKK,0.19900,CHF
2003-01-30,DKK,0.19900,CHF
2003-01-31,DKK,0.19900,CHF
2003-02-03,DKK,0.19900,CHF
2003-02-04,DKK,0.19850,CHF
2003-02-05,DKK,0.19850,CHF
2003-02-06,DKK,0.19900,CHF
2003-02-07,DKK,0.19900,CHF
2003-02-10,DKK,0.19900,CHF
2003-02-11,DKK,0.19900,CHF
2003-02-12,DKK,0.19900,CHF
2003-02-13,DKK,0.19900,CHF
2003-02-14,DKK,0.19900,CHF
2003-02-17,DKK,0.19950,CHF
2003-02-18,DKK,0.19950,CHF
2003-02-19,DKK,0.19950,CHF
2003-02-20,DKK,0.19950,CHF
2003-02-21,DKK,0.19900,CHF
2003-02-24,DKK,0.19900,CHF
2003-02-25,DKK,0.19850,CHF
2003-02-26,DKK,0.19800,CHF
2003-02-27,DKK,0.19850,CHF
2003-02-28,DKK,0.19850,CHF
2003-03-03,DKK,0.19850,CHF
2003-03-04,DKK,0.19800,CHF
2003-03-05,DKK,0.19800,CHF
2003-03-06,DKK,0.19800,CHF
2003-03-07,DKK,0.19900,CHF
2003-03-10,DKK,0.19950,CHF
2003-03-11,DKK,0.19900,CHF
2003-03-12,DKK,0.19900,CHF
2003-03-13,DKK,0.19950,CHF
2003-03-14,DKK,0.19900,CHF
2003-03-17,DKK,0.19900,CHF
2003-03-18,DKK,0.19950,CHF
2003-03-19,DKK,0.19950,CHF
2003-03-20,DKK,0.19950,CHF
2003-03-21,DKK,0.20000,CHF
2003-03-24,DKK,0.20000,CHF
2003-03-25,DKK,0.20000,CHF
2003-03-26,DKK,0.20000,CHF
2003-03-27,DKK,0.20050,CHF
2003-03-28,DKK,0.20050,CHF
2003-03-31,DKK,0.20050,CHF
2003-04-01,DKK,0.20050,CHF
2003-04-02,DKK,0.20100,CHF
2003-04-03,DKK,0.20150,CHF
2003-04-04,DKK,0.20150,CHF
2003-04-07,DKK,0.20200,CHF
2003-04-08,DKK,0.20150,CHF
2003-04-09,DKK,0.20150,CHF
2003-04-10,DKK,0.20200,CHF
2003-04-11,DKK,0.20300,CHF
2003-04-14,DKK,0.20300,CHF
2003-04-15,DKK,0.20350,CHF
2003-04-16,DKK,0.20400,CHF
2003-04-17,DKK,0.20300,CHF
2003-04-22,DKK,0.20400,CHF
2003-04-23,DKK,0.20400,CHF
2003-04-24,DKK,0.20450,CHF
2003-04-25,DKK,0.20350,CHF
2003-04-28,DKK,0.20400,CHF
2003-04-29,DKK,0.20450,CHF
2003-04-30,DKK,0.20500,CHF
2003-05-01,DKK,0.20600,CHF
2003-05-02,DKK,0.20500,CHF
2003-05-05,DKK,0.20500,CHF
2003-05-06,DKK,0.20600,CHF
2003-05-07,DKK,0.20550,CHF
2003-05-08,DKK,0.20400,CHF
2003-05-09,DKK,0.20500,CHF
2003-05-12,DKK,0.20500,CHF
2003-05-13,DKK,0.20550,CHF
2003-05-14,DKK,0.20550,CHF
2003-05-15,DKK,0.20550,CHF
2003-05-16,DKK,0.20450,CHF
