date,symbol,price,currency
2010-07-01,DOP,0.0295546,CHF
2010-07-02,DOP,0.0291789,CHF
2010-07-05,DOP,0.0298243,CHF
2010-07-06,DOP,0.0297596,CHF
2010-07-07,DOP,0.0292264,CHF
2010-07-08,DOP,0.0288517,CHF
2010-07-09,DOP,0.0288981,CHF
2010-07-12,DOP,0.0290638,CHF
2010-07-13,DOP,0.0292213,CHF
2010-07-14,DOP,0.029084,CHF
2010-07-15,DOP,0.0289789,CHF
2010-07-16,DOP,0.0286951,CHF
2010-07-19,DOP,0.0288335,CHF
2010-07-20,DOP,0.028984,CHF
2010-07-21,DOP,0.0289759,CHF
2010-07-22,DOP,0.0288829,CHF
2010-07-23,DOP,0.0286891,CHF
2010-07-26,DOP,0.029025,CHF
2010-07-27,DOP,0.028597,CHF
2010-07-28,DOP,0.0295516,CHF
2010-07-29,DOP,0.0290718,CHF
2010-07-30,DOP,0.02858,CHF
2010-08-02,DOP,0.0286103,CHF
2010-08-03,DOP,0.0286052,CHF
2010-08-04,DOP,0.0288456,CHF
2010-08-05,DOP,0.0288325,CHF
2010-08-06,DOP,0.0286961,CHF
2010-08-09,DOP,0.0288264,CHF
2010-08-10,DOP,0.0288759,CHF
2010-08-11,DOP,0.0289062,CHF
2010-08-12,DOP,0.0291254,CHF
2010-08-13,DOP,0.0289022,CHF
2010-08-16,DOP,0.0289688,CHF
2010-08-17,DOP,0.0288214,CHF
2010-08-18,DOP,0.0287284,CHF
2010-08-19,DOP,0.0289658,CHF
2010-08-20,DOP,0.0284234,CHF
2010-08-23,DOP,0.028379,CHF
2010-08-24,DOP,0.028587,CHF
2010-08-25,DOP,0.0282457,CHF
2010-08-26,DOP,0.0286699,CHF
2010-08-27,DOP,0.0280881,CHF
2010-08-30,DOP,0.0282749,CHF
2010-08-31,DOP,0.0279507,CHF
2010-09-01,DOP,0.0277952,CHF
2010-09-02,DOP,0.0277992,CHF
2010-09-03,DOP,0.0276871,CHF
2010-09-06,DOP,0.0278793,CHF
2010-09-07,DOP,0.0277613,CHF
2010-09-08,DOP,0.0277832,CHF
2010-09-09,DOP,0.0277668,CHF
2010-09-10,DOP,0.02820,CHF
2010-09-13,DOP,0.028062,CHF
2010-09-14,DOP,0.0275075,CHF
2010-09-15,DOP,0.0274445,CHF
2010-09-16,DOP,0.0274978,CHF
2010-09-17,DOP,0.0278606,CHF
2010-09-20,DOP,0.027573,CHF
2010-09-21,DOP,0.027401,CHF
2010-09-22,DOP,0.0272209,CHF
2010-09-23,DOP,0.0269561,CHF
2010-09-24,DOP,0.0269069,CHF
2010-09-27,DOP,0.0269288,CHF
2010-09-28,DOP,0.0269042,CHF
2010-09-29,DOP,0.026664,CHF
2010-09-30,DOP,0.0266722,CHF
2010-10-01,DOP,0.0271538,CHF
2010-10-04,DOP,0.0266995,CHF
2010-10-05,DOP,0.026412,CHF
2010-10-06,DOP,0.0263172,CHF
2010-10-07,DOP,0.026211,CHF
2010-10-08,DOP,0.0264708,CHF
2010-10-11,DOP,0.0266995,CHF
2010-10-12,DOP,0.0263091,CHF
2010-10-13,DOP,0.0260286,CHF
2010-10-14,DOP,0.0259256,CHF
2010-10-15,DOP,0.0259501,CHF
2010-10-18,DOP,0.0260699,CHF
2010-10-19,DOP,0.0261268,CHF
2010-10-20,DOP,0.0263552,CHF
2010-10-21,DOP,0.0262219,CHF
2010-10-22,DOP,0.026459,CHF
2010-10-25,DOP,0.0265268,CHF
2010-10-26,DOP,0.0264615,CHF
2010-10-27,DOP,0.0268371,CHF
2010-10-28,DOP,0.0269297,CHF
2010-10-29,DOP,0.0268379,CHF
2010-11-01,DOP,0.0269361,CHF
2010-11-02,DOP,0.0271468,CHF
2010-11-03,DOP,0.0269077,CHF
2010-11-04,DOP,0.0266235,CHF
2010-11-05,DOP,0.0261016,CHF
2010-11-08,DOP,0.0262954,CHF
2010-11-09,DOP,0.026309,CHF
2010-11-10,DOP,0.0264016,CHF
2010-11-11,DOP,0.0265501,CHF
2010-11-12,DOP,0.0265949,CHF
2010-11-15,DOP,0.0265944,CHF
2010-11-16,DOP,0.0269333,CHF
2010-11-17,DOP,0.0272974,CHF
2010-11-18,DOP,0.0271386,CHF
2010-11-19,DOP,0.0271339,CHF
2010-11-22,DOP,0.0271496,CHF
2010-11-23,DOP,0.0271822,CHF
2010-11-24,DOP,0.0269839,CHF
2010-11-25,DOP,0.0270138,CHF
2010-11-26,DOP,0.0276122,CHF
2010-11-29,DOP,0.0271533,CHF
2010-11-30,DOP,0.0274747,CHF
2010-12-01,DOP,0.0272782,CHF
2010-12-02,DOP,0.0273067,CHF
2010-12-03,DOP,0.0272262,CHF
2010-12-06,DOP,0.0266003,CHF
2010-12-07,DOP,0.0267065,CHF
2010-12-08,DOP,0.026888,CHF
2010-12-09,DOP,0.026947,CHF
2010-12-10,DOP,0.0267664,CHF
2010-12-13,DOP,0.0269114,CHF
2010-12-14,DOP,0.0265146,CHF
2010-12-15,DOP,0.0261839,CHF
2010-12-16,DOP,0.0262519,CHF
2010-12-17,DOP,0.0260919,CHF
2010-12-20,DOP,0.0264565,CHF
2010-12-21,DOP,0.0260626,CHF
2010-12-22,DOP,0.026197,CHF
2010-12-23,DOP,0.0257909,CHF
2010-12-24,DOP,0.0259324,CHF
2010-12-27,DOP,0.0260515,CHF
2010-12-28,DOP,0.025876,CHF
2010-12-29,DOP,0.0258582,CHF
2010-12-30,DOP,0.0256011,CHF
2010-12-31,DOP,0.0254168,CHF
2011-01-03,DOP,0.0255005,CHF
2011-01-04,DOP,0.0253285,CHF
2011-01-05,DOP,0.0258353,CHF
2011-01-06,DOP,0.02626,CHF
2011-01-07,DOP,0.0261921,CHF
2011-01-10,DOP,0.0263119,CHF
2011-01-11,DOP,0.0263388,CHF
2011-01-12,DOP,0.0264283,CHF
2011-01-13,DOP,0.0261655,CHF
2011-01-14,DOP,0.0261678,CHF
2011-01-17,DOP,0.0261624,CHF
2011-01-18,DOP,0.0261111,CHF
2011-01-19,DOP,0.0259094,CHF
2011-01-21,DOP,0.0262193,CHF
2011-01-24,DOP,0.0258743,CHF
2011-01-25,DOP,0.025638,CHF
2011-01-26,DOP,0.0254525,CHF
2011-01-27,DOP,0.025432,CHF
2011-01-28,DOP,0.0255417,CHF
2011-01-31,DOP,0.0254964,CHF
2011-02-01,DOP,0.0255632,CHF
2011-02-02,DOP,0.0253163,CHF
2011-02-03,DOP,0.0253646,CHF
2011-02-04,DOP,0.0256608,CHF
2011-02-07,DOP,0.0258614,CHF
2011-02-08,DOP,0.0257133,CHF
2011-02-09,DOP,0.0261271,CHF
2011-02-10,DOP,0.0258243,CHF
2011-02-11,DOP,0.0260876,CHF
2011-02-14,DOP,0.0261846,CHF
2011-02-15,DOP,0.0261065,CHF
2011-02-16,DOP,0.0259883,CHF
2011-02-17,DOP,0.0257812,CHF
2011-02-18,DOP,0.0254413,CHF
2011-02-21,DOP,0.0252888,CHF
2011-02-22,DOP,0.025734,CHF
2011-02-23,DOP,0.0250973,CHF
2011-02-24,DOP,0.0248883,CHF
2011-02-25,DOP,0.0248141,CHF
2011-02-28,DOP,0.0248704,CHF
2011-03-01,DOP,0.0251258,CHF
2011-03-02,DOP,0.0248722,CHF
2011-03-03,DOP,0.024961,CHF
2011-03-04,DOP,0.0249875,CHF
2011-03-07,DOP,0.0250097,CHF
2011-03-08,DOP,0.0248347,CHF
2011-03-09,DOP,0.0250614,CHF
2011-03-10,DOP,0.0248749,CHF
2011-03-11,DOP,0.0249115,CHF
2011-03-14,DOP,0.024976,CHF
2011-03-15,DOP,0.0249061,CHF
2011-03-16,DOP,0.0245611,CHF
2011-03-17,DOP,0.0241436,CHF
2011-03-18,DOP,0.024248,CHF
2011-03-21,DOP,0.0242964,CHF
2011-03-22,DOP,0.0242293,CHF
2011-03-23,DOP,0.0241838,CHF
2011-03-24,DOP,0.0243176,CHF
2011-03-25,DOP,0.0243042,CHF
2011-03-28,DOP,0.0248164,CHF
2011-03-29,DOP,0.0245316,CHF
2011-03-30,DOP,0.0246841,CHF
2011-03-31,DOP,0.0245771,CHF
2011-04-01,DOP,0.0246226,CHF
2011-04-04,DOP,0.0250442,CHF
2011-04-05,DOP,0.0246942,CHF
2011-04-06,DOP,0.0248126,CHF
2011-04-07,DOP,0.0246311,CHF
2011-04-08,DOP,0.0245789,CHF
2011-04-11,DOP,0.0242828,CHF
2011-04-12,DOP,0.024442,CHF
2011-04-13,DOP,0.0241996,CHF
2011-04-14,DOP,0.0239488,CHF
2011-04-15,DOP,0.0238922,CHF
2011-04-18,DOP,0.0239323,CHF
2011-04-19,DOP,0.0239594,CHF
2011-04-20,DOP,0.0240126,CHF
2011-04-21,DOP,0.0237263,CHF
2011-04-22,DOP,0.0237819,CHF
2011-04-25,DOP,0.0238953,CHF
2011-04-26,DOP,0.0235756,CHF
2011-04-27,DOP,0.0232767,CHF
2011-04-28,DOP,0.0232915,CHF
2011-04-29,DOP,0.0233961,CHF
2011-05-02,DOP,0.0233162,CHF
2011-05-03,DOP,0.0231219,CHF
2011-05-04,DOP,0.0230911,CHF
2011-05-05,DOP,0.0229975,CHF
2011-05-06,DOP,0.0231966,CHF
2011-05-09,DOP,0.0234507,CHF
2011-05-10,DOP,0.0233881,CHF
2011-05-11,DOP,0.0235711,CHF
2011-05-12,DOP,0.0236503,CHF
2011-05-13,DOP,0.023677,CHF
2011-05-16,DOP,0.0238686,CHF
2011-05-17,DOP,0.0236735,CHF
2011-05-18,DOP,0.0234982,CHF
2011-05-19,DOP,0.0235346,CHF
2011-05-20,DOP,0.0235854,CHF
2011-05-23,DOP,0.0234341,CHF
2011-05-24,DOP,0.0236789,CHF
2011-05-25,DOP,0.0234875,CHF
2011-05-26,DOP,0.0232473,CHF
2011-05-27,DOP,0.0229902,CHF
2011-05-30,DOP,0.0226944,CHF
2011-05-31,DOP,0.0226091,CHF
2011-06-01,DOP,0.0228193,CHF
2011-06-02,DOP,0.0225353,CHF
2011-06-03,DOP,0.0225513,CHF
2011-06-06,DOP,0.0223055,CHF
2011-06-07,DOP,0.0222147,CHF
2011-06-08,DOP,0.0223616,CHF
2011-06-09,DOP,0.0223321,CHF
2011-06-10,DOP,0.0224388,CHF
2011-06-13,DOP,0.0225919,CHF
2011-06-14,DOP,0.0223161,CHF
2011-06-15,DOP,0.0225999,CHF
2011-06-16,DOP,0.0227644,CHF
2011-06-17,DOP,0.0226822,CHF
2011-06-20,DOP,0.0226983,CHF
2011-06-21,DOP,0.0224868,CHF
2011-06-22,DOP,0.0224143,CHF
2011-06-23,DOP,0.022414,CHF
2011-06-24,DOP,0.0222811,CHF
2011-06-27,DOP,0.0222572,CHF
2011-06-28,DOP,0.0222653,CHF
2011-06-29,DOP,0.0221163,CHF
2011-06-30,DOP,0.0221668,CHF
2011-07-01,DOP,0.0223956,CHF
2011-07-04,DOP,0.0225203,CHF
2011-07-05,DOP,0.0226352,CHF
2011-07-06,DOP,0.0223343,CHF
2011-07-07,DOP,0.0223476,CHF
2011-07-08,DOP,0.0224728,CHF
2011-07-11,DOP,0.0222892,CHF
2011-07-12,DOP,0.0222493,CHF
2011-07-13,DOP,0.0221375,CHF
2011-07-14,DOP,0.021655,CHF
2011-07-15,DOP,0.0217866,CHF
2011-07-18,DOP,0.021852,CHF
2011-07-19,DOP,0.0218117,CHF
2011-07-20,DOP,0.0219882,CHF
2011-07-21,DOP,0.0219242,CHF
