date,symbol,price,currency
2010-07-01,EGP,0.1904547,CHF
2010-07-02,EGP,0.1883468,CHF
2010-07-05,EGP,0.1890599,CHF
2010-07-06,EGP,0.1887023,CHF
2010-07-07,EGP,0.1884438,CHF
2010-07-08,EGP,0.1861612,CHF
2010-07-09,EGP,0.186449,CHF
2010-07-12,EGP,0.1875136,CHF
2010-07-13,EGP,0.1882923,CHF
2010-07-14,EGP,0.1873722,CHF
2010-07-15,EGP,0.1866167,CHF
2010-07-16,EGP,0.1849047,CHF
2010-07-19,EGP,0.1858016,CHF
2010-07-20,EGP,0.1869985,CHF
2010-07-21,EGP,0.1866551,CHF
2010-07-22,EGP,0.1860288,CHF
2010-07-23,EGP,0.1849552,CHF
2010-07-26,EGP,0.184816,CHF
2010-07-27,EGP,0.184071,CHF
2010-07-28,EGP,0.1881569,CHF
2010-07-29,EGP,0.1873924,CHF
2010-07-30,EGP,0.1842694,CHF
2010-08-02,EGP,0.1845613,CHF
2010-08-03,EGP,0.1844331,CHF
2010-08-04,EGP,0.1845401,CHF
2010-08-05,EGP,0.187151,CHF
2010-08-06,EGP,0.1863945,CHF
2010-08-09,EGP,0.1849522,CHF
2010-08-10,EGP,0.1869965,CHF
2010-08-11,EGP,0.1871661,CHF
2010-08-12,EGP,0.1879256,CHF
2010-08-13,EGP,0.1861925,CHF
2010-08-16,EGP,0.1863399,CHF
2010-08-17,EGP,0.1840664,CHF
2010-08-18,EGP,0.1851572,CHF
2010-08-19,EGP,0.1850825,CHF
2010-08-20,EGP,0.1832302,CHF
2010-08-23,EGP,0.1834433,CHF
2010-08-24,EGP,0.1847007,CHF
2010-08-25,EGP,0.1826737,CHF
2010-08-26,EGP,0.1825161,CHF
2010-08-27,EGP,0.1812405,CHF
2010-08-30,EGP,0.1824454,CHF
2010-08-31,EGP,0.1812758,CHF
2010-09-01,EGP,0.1801931,CHF
2010-09-02,EGP,0.1803113,CHF
2010-09-03,EGP,0.1793528,CHF
2010-09-06,EGP,0.1799137,CHF
2010-09-07,EGP,0.1792056,CHF
2010-09-08,EGP,0.179253,CHF
2010-09-09,EGP,0.1791247,CHF
2010-09-10,EGP,0.1809307,CHF
2010-09-13,EGP,0.1800454,CHF
2010-09-14,EGP,0.178379,CHF
2010-09-15,EGP,0.1767898,CHF
2010-09-16,EGP,0.1773803,CHF
2010-09-17,EGP,0.1799841,CHF
2010-09-20,EGP,0.1788728,CHF
2010-09-21,EGP,0.1777416,CHF
2010-09-22,EGP,0.1766318,CHF
2010-09-23,EGP,0.1749474,CHF
2010-09-24,EGP,0.1746591,CHF
2010-09-27,EGP,0.1747856,CHF
2010-09-28,EGP,0.1747334,CHF
2010-09-29,EGP,0.1731429,CHF
2010-09-30,EGP,0.1732052,CHF
2010-10-01,EGP,0.1741391,CHF
2010-10-04,EGP,0.1735713,CHF
2010-10-05,EGP,0.1725247,CHF
2010-10-06,EGP,0.1715031,CHF
2010-10-07,EGP,0.1707662,CHF
2010-10-08,EGP,0.1715439,CHF
2010-10-11,EGP,0.1735713,CHF
2010-10-12,EGP,0.1712343,CHF
2010-10-13,EGP,0.1694053,CHF
2010-10-14,EGP,0.1689594,CHF
2010-10-15,EGP,0.1691663,CHF
2010-10-18,EGP,0.1701855,CHF
2010-10-19,EGP,0.1699098,CHF
2010-10-20,EGP,0.1710835,CHF
2010-10-21,EGP,0.1692105,CHF
2010-10-22,EGP,0.1702452,CHF
2010-10-25,EGP,0.1709325,CHF
2010-10-26,EGP,0.1703045,CHF
2010-10-27,EGP,0.1725966,CHF
2010-10-28,EGP,0.1732039,CHF
2010-10-29,EGP,0.1723361,CHF
2010-11-01,EGP,0.1721587,CHF
2010-11-02,EGP,0.1734727,CHF
2010-11-03,EGP,0.1716125,CHF
2010-11-04,EGP,0.1702679,CHF
2010-11-05,EGP,0.1686204,CHF
2010-11-08,EGP,0.1707314,CHF
2010-11-09,EGP,0.1704022,CHF
2010-11-10,EGP,0.1707394,CHF
2010-11-11,EGP,0.1703678,CHF
2010-11-12,EGP,0.1715349,CHF
2010-11-15,EGP,0.171823,CHF
2010-11-16,EGP,0.1728718,CHF
2010-11-17,EGP,0.1751627,CHF
2010-11-18,EGP,0.1742197,CHF
2010-11-19,EGP,0.1749569,CHF
2010-11-22,EGP,0.1742294,CHF
2010-11-23,EGP,0.173981,CHF
2010-11-24,EGP,0.1746572,CHF
2010-11-25,EGP,0.1743957,CHF
2010-11-26,EGP,0.1749967,CHF
2010-11-29,EGP,0.1749093,CHF
2010-11-30,EGP,0.174522,CHF
2010-12-01,EGP,0.1748178,CHF
2010-12-02,EGP,0.1753425,CHF
2010-12-03,EGP,0.1736341,CHF
2010-12-06,EGP,0.1705619,CHF
2010-12-07,EGP,0.1714204,CHF
2010-12-08,EGP,0.1727944,CHF
2010-12-09,EGP,0.1718982,CHF
2010-12-10,EGP,0.1715111,CHF
2010-12-13,EGP,0.1714607,CHF
2010-12-14,EGP,0.1688038,CHF
2010-12-15,EGP,0.1679294,CHF
2010-12-16,EGP,0.1687545,CHF
2010-12-17,EGP,0.1677059,CHF
2010-12-20,EGP,0.1689084,CHF
2010-12-21,EGP,0.1677936,CHF
2010-12-22,EGP,0.16661,CHF
2010-12-23,EGP,0.1654603,CHF
2010-12-24,EGP,0.1666369,CHF
2010-12-27,EGP,0.1673707,CHF
2010-12-28,EGP,0.1664604,CHF
2010-12-29,EGP,0.1656776,CHF
2010-12-30,EGP,0.1642794,CHF
2010-12-31,EGP,0.16313,CHF
2011-01-03,EGP,0.1630026,CHF
2011-01-04,EGP,0.1628662,CHF
2011-01-05,EGP,0.165408,CHF
2011-01-06,EGP,0.1687923,CHF
2011-01-07,EGP,0.168043,CHF
2011-01-10,EGP,0.167895,CHF
2011-01-11,EGP,0.1686903,CHF
2011-01-12,EGP,0.1694416,CHF
2011-01-13,EGP,0.168795,CHF
2011-01-14,EGP,0.1681156,CHF
2011-01-17,EGP,0.1680981,CHF
2011-01-18,EGP,0.1674852,CHF
2011-01-19,EGP,0.1666679,CHF
2011-01-21,EGP,0.1681016,CHF
2011-01-24,EGP,0.1668522,CHF
2011-01-25,EGP,0.1646375,CHF
2011-01-26,EGP,0.1636735,CHF
2011-01-27,EGP,0.1633671,CHF
2011-01-28,EGP,0.1631525,CHF
2011-01-31,EGP,0.1624141,CHF
2011-02-01,EGP,0.1626211,CHF
2011-02-02,EGP,0.1614965,CHF
2011-02-03,EGP,0.1622743,CHF
2011-02-04,EGP,0.16327,CHF
2011-02-07,EGP,0.1645185,CHF
2011-02-08,EGP,0.1620937,CHF
2011-02-09,EGP,0.165629,CHF
2011-02-10,EGP,0.1649544,CHF
2011-02-11,EGP,0.1663101,CHF
2011-02-14,EGP,0.1670219,CHF
2011-02-15,EGP,0.1665294,CHF
2011-02-16,EGP,0.1660476,CHF
2011-02-17,EGP,0.1647244,CHF
2011-02-18,EGP,0.1633682,CHF
2011-02-21,EGP,0.1624387,CHF
2011-02-22,EGP,0.1627544,CHF
2011-02-23,EGP,0.1606534,CHF
2011-02-24,EGP,0.1594646,CHF
2011-02-25,EGP,0.158689,CHF
2011-02-28,EGP,0.1591385,CHF
2011-03-01,EGP,0.1595829,CHF
2011-03-02,EGP,0.1591993,CHF
2011-03-03,EGP,0.1584963,CHF
2011-03-04,EGP,0.1596331,CHF
2011-03-07,EGP,0.1585895,CHF
2011-03-08,EGP,0.1586764,CHF
2011-03-09,EGP,0.1601197,CHF
2011-03-10,EGP,0.1586347,CHF
2011-03-11,EGP,0.1590009,CHF
2011-03-14,EGP,0.1588192,CHF
2011-03-15,EGP,0.1573891,CHF
2011-03-16,EGP,0.1564676,CHF
2011-03-17,EGP,0.1535368,CHF
2011-03-18,EGP,0.1543484,CHF
2011-03-21,EGP,0.1540808,CHF
2011-03-22,EGP,0.1539262,CHF
2011-03-23,EGP,0.1535823,CHF
2011-03-24,EGP,0.1542113,CHF
2011-03-25,EGP,0.1541161,CHF
2011-03-28,EGP,0.1564057,CHF
2011-03-29,EGP,0.1555896,CHF
2011-03-30,EGP,0.1566094,CHF
2011-03-31,EGP,0.1555644,CHF
2011-04-01,EGP,0.1560616,CHF
2011-04-04,EGP,0.1568153,CHF
2011-04-05,EGP,0.1567835,CHF
2011-04-06,EGP,0.1573713,CHF
2011-04-07,EGP,0.1558044,CHF
2011-04-08,EGP,0.1547801,CHF
2011-04-11,EGP,0.1537015,CHF
2011-04-12,EGP,0.1536717,CHF
2011-04-13,EGP,0.1521095,CHF
2011-04-14,EGP,0.1517624,CHF
2011-04-15,EGP,0.151262,CHF
2011-04-18,EGP,0.1516483,CHF
2011-04-19,EGP,0.1520851,CHF
2011-04-20,EGP,0.1522975,CHF
2011-04-21,EGP,0.1505176,CHF
2011-04-22,EGP,0.150632,CHF
2011-04-25,EGP,0.1505497,CHF
2011-04-26,EGP,0.1498237,CHF
2011-04-27,EGP,0.1481209,CHF
2011-04-28,EGP,0.1480563,CHF
2011-04-29,EGP,0.1483655,CHF
2011-05-02,EGP,0.1470669,CHF
2011-05-03,EGP,0.147235,CHF
2011-05-04,EGP,0.1468319,CHF
2011-05-05,EGP,0.1461266,CHF
2011-05-06,EGP,0.1477729,CHF
2011-05-09,EGP,0.1489844,CHF
2011-05-10,EGP,0.1484269,CHF
2011-05-11,EGP,0.1497311,CHF
2011-05-12,EGP,0.1507516,CHF
2011-05-13,EGP,0.1510158,CHF
2011-05-16,EGP,0.1520447,CHF
2011-05-17,EGP,0.1507006,CHF
2011-05-18,EGP,0.1495504,CHF
2011-05-19,EGP,0.1495516,CHF
