date,symbol,price,currency
2010-07-01,ETB,0.0801526,CHF
2010-07-02,ETB,0.0792305,CHF
2010-07-05,ETB,0.0795506,CHF
2010-07-06,ETB,0.0793537,CHF
2010-07-07,ETB,0.0792264,CHF
2010-07-08,ETB,0.0782912,CHF
2010-07-09,ETB,0.0784184,CHF
2010-07-12,ETB,0.0788406,CHF
2010-07-13,ETB,0.0791486,CHF
2010-07-14,ETB,0.0787628,CHF
2010-07-15,ETB,0.0784669,CHF
2010-07-16,ETB,0.0776862,CHF
2010-07-19,ETB,0.0780467,CHF
2010-07-20,ETB,0.0785487,CHF
2010-07-21,ETB,0.0784093,CHF
2010-07-22,ETB,0.0781437,CHF
2010-07-23,ETB,0.0777266,CHF
2010-07-26,ETB,0.077672,CHF
2010-07-27,ETB,0.077345,CHF
2010-07-28,ETB,0.0790557,CHF
2010-07-29,ETB,0.0787113,CHF
2010-07-30,ETB,0.0773791,CHF
2010-08-02,ETB,0.0774357,CHF
2010-08-03,ETB,0.0773054,CHF
2010-08-04,ETB,0.0772943,CHF
2010-08-05,ETB,0.0783204,CHF
2010-08-06,ETB,0.0778195,CHF
2010-08-09,ETB,0.0772175,CHF
2010-08-10,ETB,0.078069,CHF
2010-08-11,ETB,0.0781376,CHF
2010-08-12,ETB,0.0786214,CHF
2010-08-13,ETB,0.0780063,CHF
2010-08-16,ETB,0.0780558,CHF
2010-08-17,ETB,0.0771276,CHF
2010-08-18,ETB,0.0774882,CHF
2010-08-19,ETB,0.0774761,CHF
2010-08-20,ETB,0.0766519,CHF
2010-08-23,ETB,0.0767166,CHF
2010-08-24,ETB,0.077268,CHF
2010-08-25,ETB,0.0765115,CHF
2010-08-26,ETB,0.0764368,CHF
2010-08-27,ETB,0.0758813,CHF
2010-08-30,ETB,0.0763853,CHF
2010-08-31,ETB,0.0758692,CHF
2010-09-01,ETB,0.0754218,CHF
2010-09-02,ETB,0.0629048,CHF
2010-09-03,ETB,0.0625655,CHF
2010-09-06,ETB,0.0627367,CHF
2010-09-07,ETB,0.0624562,CHF
2010-09-08,ETB,0.0625056,CHF
2010-09-09,ETB,0.0624609,CHF
2010-09-10,ETB,0.0630756,CHF
2010-09-13,ETB,0.062767,CHF
2010-09-14,ETB,0.0621915,CHF
2010-09-15,ETB,0.0616228,CHF
2010-09-16,ETB,0.0618189,CHF
2010-09-17,ETB,0.062712,CHF
2010-09-20,ETB,0.06231,CHF
2010-09-21,ETB,0.0619138,CHF
2010-09-22,ETB,0.0615067,CHF
2010-09-23,ETB,0.0608939,CHF
2010-09-24,ETB,0.0607755,CHF
2010-09-27,ETB,0.0608174,CHF
2010-09-28,ETB,0.0607619,CHF
2010-09-29,ETB,0.0602194,CHF
2010-09-30,ETB,0.0602235,CHF
