date,symbol,price,currency
2002-01-03,EUR,1.49600,CHF
2002-01-04,EUR,1.49100,CHF
2002-01-07,EUR,1.48900,CHF
2002-01-08,EUR,1.48000,CHF
2002-01-09,EUR,1.48900,CHF
2002-01-10,EUR,1.48950,CHF
2002-01-11,EUR,1.49350,CHF
2002-01-14,EUR,1.49100,CHF
2002-01-15,EUR,1.49050,CHF
2002-01-16,EUR,1.48350,CHF
2002-01-17,EUR,1.47850,CHF
2002-01-18,EUR,1.48000,CHF
2002-01-21,EUR,1.48050,CHF
2002-01-22,EUR,1.48050,CHF
2002-01-23,EUR,1.48450,CHF
2002-01-24,EUR,1.47800,CHF
2002-01-25,EUR,1.47900,CHF
2002-01-28,EUR,1.48450,CHF
2002-01-29,EUR,1.48250,CHF
2002-01-30,EUR,1.48100,CHF
2002-01-31,EUR,1.48550,CHF
2002-02-01,EUR,1.48700,CHF
2002-02-04,EUR,1.49100,CHF
2002-02-05,EUR,1.48700,CHF
2002-02-06,EUR,1.48300,CHF
2002-02-07,EUR,1.48200,CHF
2002-02-08,EUR,1.48250,CHF
2002-02-11,EUR,1.48650,CHF
2002-02-12,EUR,1.48700,CHF
2002-02-13,EUR,1.48850,CHF
2002-02-14,EUR,1.49400,CHF
2002-02-15,EUR,1.49400,CHF
2002-02-18,EUR,1.49450,CHF
2002-02-19,EUR,1.49050,CHF
2002-02-20,EUR,1.48900,CHF
2002-02-21,EUR,1.49100,CHF
2002-02-22,EUR,1.48950,CHF
2002-02-25,EUR,1.48900,CHF
2002-02-26,EUR,1.48750,CHF
2002-02-27,EUR,1.48700,CHF
2002-02-28,EUR,1.48800,CHF
2002-03-01,EUR,1.48550,CHF
2002-03-04,EUR,1.49050,CHF
2002-03-05,EUR,1.48800,CHF
2002-03-06,EUR,1.48800,CHF
2002-03-07,EUR,1.48600,CHF
2002-03-08,EUR,1.48150,CHF
2002-03-11,EUR,1.48200,CHF
2002-03-12,EUR,1.48050,CHF
2002-03-13,EUR,1.48050,CHF
2002-03-14,EUR,1.47700,CHF
2002-03-15,EUR,1.47450,CHF
2002-03-18,EUR,1.47400,CHF
2002-03-19,EUR,1.47700,CHF
2002-03-20,EUR,1.47550,CHF
2002-03-21,EUR,1.47600,CHF
2002-03-22,EUR,1.47300,CHF
2002-03-25,EUR,1.47200,CHF
2002-03-26,EUR,1.47050,CHF
2002-03-27,EUR,1.47600,CHF
2002-03-28,EUR,1.47650,CHF
2002-04-02,EUR,1.47450,CHF
2002-04-03,EUR,1.47250,CHF
2002-04-04,EUR,1.47200,CHF
2002-04-05,EUR,1.47550,CHF
2002-04-08,EUR,1.47450,CHF
2002-04-09,EUR,1.47700,CHF
2002-04-10,EUR,1.47750,CHF
2002-04-11,EUR,1.47950,CHF
2002-04-12,EUR,1.47600,CHF
2002-04-15,EUR,1.47750,CHF
2002-04-16,EUR,1.48000,CHF
2002-04-17,EUR,1.48150,CHF
2002-04-18,EUR,1.48050,CHF
2002-04-19,EUR,1.47950,CHF
2002-04-22,EUR,1.47800,CHF
2002-04-23,EUR,1.48000,CHF
2002-04-24,EUR,1.47750,CHF
2002-04-25,EUR,1.47700,CHF
2002-04-26,EUR,1.47450,CHF
2002-04-29,EUR,1.47500,CHF
