date,symbol,price,currency
2002-01-03,GBP,2.39800,CHF
2002-01-04,GBP,2.39100,CHF
2002-01-07,GBP,2.39850,CHF
2002-01-08,GBP,2.39700,CHF
2002-01-09,GBP,2.40450,CHF
2002-01-10,GBP,2.40600,CHF
2002-01-11,GBP,2.41600,CHF
2002-01-14,GBP,2.41650,CHF
2002-01-15,GBP,2.42000,CHF
2002-01-16,GBP,2.41850,CHF
2002-01-17,GBP,2.40150,CHF
2002-01-18,GBP,2.41450,CHF
2002-01-21,GBP,2.40850,CHF
2002-01-22,GBP,2.39800,CHF
2002-01-23,GBP,2.39550,CHF
2002-01-24,GBP,2.39700,CHF
2002-01-25,GBP,2.40350,CHF
2002-01-28,GBP,2.41700,CHF
2002-01-29,GBP,2.42050,CHF
2002-01-30,GBP,2.42050,CHF
2002-01-31,GBP,2.42950,CHF
2002-02-01,GBP,2.43900,CHF
2002-02-04,GBP,2.44900,CHF
2002-02-05,GBP,2.43100,CHF
2002-02-06,GBP,2.42250,CHF
2002-02-07,GBP,2.41000,CHF
2002-02-08,GBP,2.39900,CHF
2002-02-11,GBP,2.41200,CHF
2002-02-12,GBP,2.41450,CHF
2002-02-13,GBP,2.43600,CHF
2002-02-14,GBP,2.45000,CHF
2002-02-15,GBP,2.44800,CHF
2002-02-18,GBP,2.45100,CHF
2002-02-19,GBP,2.44600,CHF
2002-02-20,GBP,2.43150,CHF
2002-02-21,GBP,2.44500,CHF
2002-02-22,GBP,2.44400,CHF
2002-02-25,GBP,2.43600,CHF
2002-02-26,GBP,2.43900,CHF
2002-02-27,GBP,2.43950,CHF
2002-02-28,GBP,2.44000,CHF
2002-03-01,GBP,2.42900,CHF
2002-03-04,GBP,2.44450,CHF
2002-03-05,GBP,2.43450,CHF
2002-03-06,GBP,2.42750,CHF
2002-03-07,GBP,2.41150,CHF
2002-03-08,GBP,2.40200,CHF
2002-03-11,GBP,2.40600,CHF
2002-03-12,GBP,2.39500,CHF
2002-03-13,GBP,2.38900,CHF
2002-03-14,GBP,2.37550,CHF
2002-03-15,GBP,2.37000,CHF
2002-03-18,GBP,2.38450,CHF
2002-03-19,GBP,2.38950,CHF
2002-03-20,GBP,2.38600,CHF
2002-03-21,GBP,2.38150,CHF
2002-03-22,GBP,2.38600,CHF
2002-03-25,GBP,2.39200,CHF
2002-03-26,GBP,2.39100,CHF
2002-03-27,GBP,2.40500,CHF
2002-03-28,GBP,2.41050,CHF
2002-04-02,GBP,2.41450,CHF
2002-04-03,GBP,2.40750,CHF
2002-04-04,GBP,2.39600,CHF
2002-04-05,GBP,2.40750,CHF
2002-04-08,GBP,2.40650,CHF
2002-04-09,GBP,2.41650,CHF
2002-04-10,GBP,2.40900,CHF
2002-04-11,GBP,2.41200,CHF
2002-04-12,GBP,2.40650,CHF
2002-04-15,GBP,2.40850,CHF
2002-04-16,GBP,2.41750,CHF
2002-04-17,GBP,2.41100,CHF
2002-04-18,GBP,2.40450,CHF
2002-04-19,GBP,2.40350,CHF
2002-04-22,GBP,2.40550,CHF
2002-04-23,GBP,2.41700,CHF
2002-04-24,GBP,2.40750,CHF
2002-04-25,GBP,2.39900,CHF
2002-04-26,GBP,2.38850,CHF
2002-04-29,GBP,2.38650,CHF
2002-04-30,GBP,2.37800,CHF
2002-05-01,GBP,2.36900,CHF
2002-05-02,GBP,2.36900,CHF
2002-05-03,GBP,2.37400,CHF
2002-05-06,GBP,2.35450,CHF
2002-05-07,GBP,2.34850,CHF
2002-05-08,GBP,2.35750,CHF
2002-05-10,GBP,2.34900,CHF
2002-05-13,GBP,2.34300,CHF
2002-05-14,GBP,2.34550,CHF
2002-05-15,GBP,2.35050,CHF
2002-05-16,GBP,2.34750,CHF
2002-05-17,GBP,2.33850,CHF
2002-05-21,GBP,2.32300,CHF
2002-05-22,GBP,2.31400,CHF
2002-05-23,GBP,2.30800,CHF
2002-05-24,GBP,2.31800,CHF
2002-05-27,GBP,2.32150,CHF
2002-05-28,GBP,2.32500,CHF
2002-05-29,GBP,2.31650,CHF
2002-05-30,GBP,2.31200,CHF
2002-05-31,GBP,2.30800,CHF
2002-06-03,GBP,2.30650,CHF
2002-06-04,GBP,2.30100,CHF
2002-06-05,GBP,2.30150,CHF
2002-06-06,GBP,2.30650,CHF
2002-06-07,GBP,2.29250,CHF
2002-06-10,GBP,2.29400,CHF
2002-06-11,GBP,2.30000,CHF
2002-06-12,GBP,2.31150,CHF
2002-06-13,GBP,2.31850,CHF
2002-06-14,GBP,2.32150,CHF
2002-06-17,GBP,2.32800,CHF
2002-06-18,GBP,2.32550,CHF
2002-06-19,GBP,2.32950,CHF
2002-06-20,GBP,2.30400,CHF
2002-06-21,GBP,2.29850,CHF
2002-06-24,GBP,2.27950,CHF
2002-06-25,GBP,2.28400,CHF
2002-06-26,GBP,2.27800,CHF
2002-06-27,GBP,2.28650,CHF
2002-06-28,GBP,2.28950,CHF
2002-07-01,GBP,2.28000,CHF
2002-07-02,GBP,2.29900,CHF
2002-07-03,GBP,2.29850,CHF
2002-07-04,GBP,2.30400,CHF
2002-07-05,GBP,2.30200,CHF
2002-07-08,GBP,2.29700,CHF
2002-07-09,GBP,2.31200,CHF
2002-07-10,GBP,2.31500,CHF
2002-07-11,GBP,2.31850,CHF
2002-07-12,GBP,2.32050,CHF
2002-07-15,GBP,2.31500,CHF
2002-07-16,GBP,2.30900,CHF
2002-07-17,GBP,2.29750,CHF
2002-07-18,GBP,2.29550,CHF
2002-07-19,GBP,2.29750,CHF
2002-07-22,GBP,2.28900,CHF
2002-07-23,GBP,2.31250,CHF
2002-07-24,GBP,2.30750,CHF
2002-07-25,GBP,2.30750,CHF
2002-07-26,GBP,2.29900,CHF
2002-07-29,GBP,2.32200,CHF
2002-07-30,GBP,2.33700,CHF
2002-07-31,GBP,2.34550,CHF
2002-08-02,GBP,2.31100,CHF
2002-08-05,GBP,2.33450,CHF
2002-08-06,GBP,2.33400,CHF
2002-08-07,GBP,2.33350,CHF
2002-08-08,GBP,2.32650,CHF
2002-08-09,GBP,2.32350,CHF
2002-08-12,GBP,2.30050,CHF
2002-08-13,GBP,2.30600,CHF
2002-08-14,GBP,2.29650,CHF
2002-08-15,GBP,2.31300,CHF
2002-08-16,GBP,2.30650,CHF
2002-08-19,GBP,2.31200,CHF
2002-08-20,GBP,2.30650,CHF
2002-08-21,GBP,2.30800,CHF
2002-08-22,GBP,2.31250,CHF
2002-08-23,GBP,2.33000,CHF
2002-08-26,GBP,2.32400,CHF
2002-08-27,GBP,2.31850,CHF
2002-08-28,GBP,2.30700,CHF
2002-08-29,GBP,2.31500,CHF
2002-08-30,GBP,2.33450,CHF
2002-09-02,GBP,2.33800,CHF
2002-09-03,GBP,2.33150,CHF
2002-09-04,GBP,2.32000,CHF
2002-09-05,GBP,2.32150,CHF
2002-09-06,GBP,2.32450,CHF
2002-09-09,GBP,2.34200,CHF
2002-09-10,GBP,2.33450,CHF
2002-09-11,GBP,2.34550,CHF
2002-09-12,GBP,2.35050,CHF
2002-09-13,GBP,2.34950,CHF
2002-09-16,GBP,2.36250,CHF
2002-09-17,GBP,2.35200,CHF
2002-09-18,GBP,2.33950,CHF
2002-09-19,GBP,2.34100,CHF
2002-09-20,GBP,2.32600,CHF
2002-09-23,GBP,2.33200,CHF
2002-09-24,GBP,2.34250,CHF
2002-09-25,GBP,2.34450,CHF
2002-09-26,GBP,2.34900,CHF
2002-09-27,GBP,2.35000,CHF
2002-09-30,GBP,2.34800,CHF
2002-10-01,GBP,2.34000,CHF
2002-10-02,GBP,2.34350,CHF
2002-10-03,GBP,2.33350,CHF
2002-10-04,GBP,2.34050,CHF
2002-10-07,GBP,2.35200,CHF
2002-10-08,GBP,2.35350,CHF
2002-10-09,GBP,2.34550,CHF
2002-10-10,GBP,2.33300,CHF
2002-10-11,GBP,2.33900,CHF
2002-10-14,GBP,2.32900,CHF
2002-10-15,GBP,2.32100,CHF
2002-10-16,GBP,2.33850,CHF
2002-10-17,GBP,2.34600,CHF
2002-10-18,GBP,2.35550,CHF
2002-10-21,GBP,2.35700,CHF
2002-10-22,GBP,2.35350,CHF
2002-10-23,GBP,2.33850,CHF
2002-10-24,GBP,2.34700,CHF
2002-10-25,GBP,2.34900,CHF
2002-10-28,GBP,2.34700,CHF
2002-10-29,GBP,2.33900,CHF
2002-10-30,GBP,2.33650,CHF
2002-10-31,GBP,2.33050,CHF
2002-11-01,GBP,2.33050,CHF
2002-11-04,GBP,2.31110,CHF
2002-11-05,GBP,2.29750,CHF
2002-11-06,GBP,2.30600,CHF
2002-11-07,GBP,2.30200,CHF
2002-11-08,GBP,2.31250,CHF
2002-11-11,GBP,2.31500,CHF
2002-11-12,GBP,2.31700,CHF
2002-11-13,GBP,2.31800,CHF
2002-11-14,GBP,2.32650,CHF
2002-11-15,GBP,2.32350,CHF
2002-11-18,GBP,2.31200,CHF
2002-11-19,GBP,2.31650,CHF
2002-11-20,GBP,2.33050,CHF
2002-11-21,GBP,2.32300,CHF
2002-11-22,GBP,2.33850,CHF
2002-11-25,GBP,2.34700,CHF
2002-11-26,GBP,2.34100,CHF
2002-11-27,GBP,2.32300,CHF
2002-11-28,GBP,2.32050,CHF
2002-11-29,GBP,2.32100,CHF
2002-12-02,GBP,2.33300,CHF
2002-12-03,GBP,2.32500,CHF
2002-12-04,GBP,2.33300,CHF
2002-12-05,GBP,2.33100,CHF
2002-12-06,GBP,2.32850,CHF
2002-12-09,GBP,2.31650,CHF
2002-12-10,GBP,2.32300,CHF
2002-12-11,GBP,2.31650,CHF
2002-12-12,GBP,2.31450,CHF
2002-12-13,GBP,2.30750,CHF
2002-12-16,GBP,2.31450,CHF
2002-12-17,GBP,2.30150,CHF
2002-12-18,GBP,2.30350,CHF
2002-12-19,GBP,2.30500,CHF
2002-12-20,GBP,2.30150,CHF
2002-12-23,GBP,2.29300,CHF
2002-12-24,GBP,2.27000,CHF
2002-12-30,GBP,2.25200,CHF
2002-12-31,GBP,2.24550,CHF
2003-01-06,GBP,2.26450,CHF
2003-01-07,GBP,2.26300,CHF
2003-01-08,GBP,2.26050,CHF
2003-01-09,GBP,2.24900,CHF
2003-01-10,GBP,2.25200,CHF
2003-01-13,GBP,2.24100,CHF
2003-01-14,GBP,2.23400,CHF
2003-01-15,GBP,2.24250,CHF
2003-01-16,GBP,2.23700,CHF
2003-01-17,GBP,2.23000,CHF
2003-01-20,GBP,2.22550,CHF
2003-01-21,GBP,2.22150,CHF
2003-01-22,GBP,2.21750,CHF
2003-01-23,GBP,2.22750,CHF
2003-01-24,GBP,2.23300,CHF
2003-01-27,GBP,2.22300,CHF
2003-01-28,GBP,2.23500,CHF
2003-01-29,GBP,2.24100,CHF
2003-01-30,GBP,2.25450,CHF
2003-01-31,GBP,2.26200,CHF
2003-02-03,GBP,2.27000,CHF
2003-02-04,GBP,2.25250,CHF
2003-02-05,GBP,2.23500,CHF
2003-02-06,GBP,2.25100,CHF
2003-02-07,GBP,2.23350,CHF
2003-02-10,GBP,2.23100,CHF
2003-02-11,GBP,2.23700,CHF
2003-02-12,GBP,2.22600,CHF
2003-02-13,GBP,2.22300,CHF
2003-02-14,GBP,2.21350,CHF
2003-02-17,GBP,2.22000,CHF
2003-02-18,GBP,2.20900,CHF
2003-02-19,GBP,2.20600,CHF
2003-02-20,GBP,2.20250,CHF
2003-02-21,GBP,2.17800,CHF
2003-02-24,GBP,2.17600,CHF
2003-02-25,GBP,2.16500,CHF
2003-02-26,GBP,2.15650,CHF
2003-02-27,GBP,2.16050,CHF
2003-02-28,GBP,2.16400,CHF
2003-03-03,GBP,2.14900,CHF
2003-03-04,GBP,2.13050,CHF
2003-03-05,GBP,2.13150,CHF
2003-03-06,GBP,2.15550,CHF
2003-03-07,GBP,2.14850,CHF
2003-03-10,GBP,2.13750,CHF
2003-03-11,GBP,2.14400,CHF
2003-03-12,GBP,2.15300,CHF
2003-03-13,GBP,2.17550,CHF
2003-03-14,GBP,2.18800,CHF
2003-03-17,GBP,2.16300,CHF
2003-03-18,GBP,2.18600,CHF
2003-03-19,GBP,2.18450,CHF
2003-03-20,GBP,2.18700,CHF
2003-03-21,GBP,2.18750,CHF
2003-03-24,GBP,2.19450,CHF
2003-03-25,GBP,2.19050,CHF
2003-03-26,GBP,2.19500,CHF
2003-03-27,GBP,2.18600,CHF
2003-03-28,GBP,2.18800,CHF
2003-03-31,GBP,2.15700,CHF
2003-04-01,GBP,2.15500,CHF
2003-04-02,GBP,2.16200,CHF
2003-04-03,GBP,2.17250,CHF
2003-04-04,GBP,2.18850,CHF
2003-04-07,GBP,2.19300,CHF
2003-04-08,GBP,2.17500,CHF
