date,symbol,price,currency
2010-07-01,GTQ,0.1350562,CHF
2010-07-02,GTQ,0.133522,CHF
2010-07-05,GTQ,0.1340129,CHF
2010-07-06,GTQ,0.1338401,CHF
2010-07-07,GTQ,0.1337432,CHF
2010-07-08,GTQ,0.1321898,CHF
2010-07-09,GTQ,0.1324373,CHF
2010-07-12,GTQ,0.1334594,CHF
2010-07-13,GTQ,0.1341866,CHF
2010-07-14,GTQ,0.1340916,CHF
2010-07-15,GTQ,0.1332574,CHF
2010-07-16,GTQ,0.1321363,CHF
2010-07-19,GTQ,0.1329534,CHF
2010-07-20,GTQ,0.1336109,CHF
2010-07-21,GTQ,0.1330786,CHF
2010-07-22,GTQ,0.1324998,CHF
2010-07-23,GTQ,0.1317929,CHF
2010-07-26,GTQ,0.131486,CHF
2010-07-27,GTQ,0.130795,CHF
2010-07-28,GTQ,0.1336058,CHF
2010-07-29,GTQ,0.1329816,CHF
2010-07-30,GTQ,0.1307809,CHF
2010-08-02,GTQ,0.1311313,CHF
2010-08-03,GTQ,0.1309788,CHF
2010-08-04,GTQ,0.1311677,CHF
2010-08-05,GTQ,0.1329423,CHF
2010-08-06,GTQ,0.1320686,CHF
2010-08-09,GTQ,0.1311121,CHF
2010-08-10,GTQ,0.1327837,CHF
2010-08-11,GTQ,0.1328897,CHF
2010-08-12,GTQ,0.1337109,CHF
2010-08-13,GTQ,0.1326877,CHF
2010-08-16,GTQ,0.1327968,CHF
2010-08-17,GTQ,0.1312182,CHF
2010-08-18,GTQ,0.1318909,CHF
2010-08-19,GTQ,0.1318585,CHF
2010-08-20,GTQ,0.1301304,CHF
2010-08-23,GTQ,0.1300708,CHF
2010-08-24,GTQ,0.1310435,CHF
2010-08-25,GTQ,0.1297274,CHF
2010-08-26,GTQ,0.1295214,CHF
2010-08-27,GTQ,0.1285619,CHF
2010-08-30,GTQ,0.1293194,CHF
2010-08-31,GTQ,0.1283225,CHF
2010-09-01,GTQ,0.1274337,CHF
2010-09-02,GTQ,0.1277105,CHF
2010-09-03,GTQ,0.1275438,CHF
2010-09-06,GTQ,0.1278134,CHF
2010-09-07,GTQ,0.1272723,CHF
2010-09-08,GTQ,0.1270249,CHF
2010-09-09,GTQ,0.1269811,CHF
2010-09-10,GTQ,0.1280227,CHF
2010-09-13,GTQ,0.1272858,CHF
2010-09-14,GTQ,0.1266207,CHF
2010-09-15,GTQ,0.1251503,CHF
2010-09-16,GTQ,0.1255638,CHF
2010-09-17,GTQ,0.1274252,CHF
2010-09-20,GTQ,0.126513,CHF
2010-09-21,GTQ,0.1255061,CHF
2010-09-22,GTQ,0.1246809,CHF
2010-09-23,GTQ,0.1233459,CHF
2010-09-24,GTQ,0.1229842,CHF
2010-09-27,GTQ,0.1230232,CHF
2010-09-28,GTQ,0.1227594,CHF
2010-09-29,GTQ,0.1213789,CHF
2010-09-30,GTQ,0.1213267,CHF
2010-10-01,GTQ,0.1218332,CHF
2010-10-04,GTQ,0.1213613,CHF
2010-10-05,GTQ,0.1208522,CHF
2010-10-06,GTQ,0.120183,CHF
2010-10-07,GTQ,0.1198309,CHF
2010-10-08,GTQ,0.1205146,CHF
2010-10-11,GTQ,0.1213613,CHF
2010-10-12,GTQ,0.1205182,CHF
2010-10-13,GTQ,0.1193943,CHF
2010-10-14,GTQ,0.119259,CHF
2010-10-15,GTQ,0.1195344,CHF
2010-10-18,GTQ,0.120293,CHF
