date,symbol,price,currency
2002-01-03,HKD,0.21350,CHF
2002-01-04,HKD,0.21350,CHF
2002-01-07,HKD,0.21300,CHF
2002-01-08,HKD,0.21400,CHF
2002-01-09,HKD,0.21500,CHF
2002-01-10,HKD,0.21450,CHF
2002-01-11,HKD,0.21550,CHF
2002-01-14,HKD,0.21450,CHF
2002-01-15,HKD,0.21500,CHF
2002-01-16,HKD,0.21600,CHF
2002-01-17,HKD,0.21500,CHF
2002-01-18,HKD,0.21600,CHF
2002-01-21,HKD,0.21550,CHF
2002-01-22,HKD,0.21500,CHF
2002-01-23,HKD,0.21500,CHF
2002-01-24,HKD,0.21650,CHF
2002-01-25,HKD,0.21700,CHF
2002-01-28,HKD,0.22050,CHF
2002-01-29,HKD,0.22100,CHF
2002-01-30,HKD,0.22000,CHF
2002-01-31,HKD,0.22150,CHF
2002-02-01,HKD,0.22300,CHF
2002-02-04,HKD,0.22250,CHF
2002-02-05,HKD,0.21950,CHF
2002-02-06,HKD,0.22000,CHF
2002-02-07,HKD,0.21950,CHF
2002-02-08,HKD,0.21850,CHF
2002-02-11,HKD,0.21900,CHF
2002-02-12,HKD,0.21800,CHF
2002-02-13,HKD,0.21900,CHF
2002-02-14,HKD,0.22050,CHF
2002-02-15,HKD,0.22050,CHF
2002-02-18,HKD,0.22000,CHF
2002-02-19,HKD,0.22100,CHF
2002-02-20,HKD,0.21850,CHF
2002-02-21,HKD,0.22050,CHF
2002-02-22,HKD,0.22050,CHF
2002-02-25,HKD,0.21900,CHF
2002-02-26,HKD,0.21950,CHF
2002-02-27,HKD,0.22100,CHF
2002-02-28,HKD,0.22100,CHF
2002-03-01,HKD,0.22000,CHF
2002-03-04,HKD,0.22150,CHF
2002-03-05,HKD,0.22000,CHF
2002-03-06,HKD,0.21950,CHF
2002-03-07,HKD,0.21700,CHF
2002-03-08,HKD,0.21700,CHF
2002-03-11,HKD,0.21800,CHF
2002-03-12,HKD,0.21800,CHF
