date,symbol,price,currency
2010-07-01,HNL,0.0574034,CHF
2010-07-02,HNL,0.0567509,CHF
2010-07-05,HNL,0.0569812,CHF
2010-07-06,HNL,0.0568579,CHF
2010-07-07,HNL,0.0567671,CHF
2010-07-08,HNL,0.0561156,CHF
2010-07-09,HNL,0.0562065,CHF
2010-07-12,HNL,0.0565267,CHF
2010-07-13,HNL,0.056757,CHF
2010-07-14,HNL,0.0564893,CHF
2010-07-15,HNL,0.0562863,CHF
2010-07-16,HNL,0.0557358,CHF
2010-07-19,HNL,0.0560035,CHF
2010-07-20,HNL,0.0563721,CHF
2010-07-21,HNL,0.0562812,CHF
2010-07-22,HNL,0.0560994,CHF
2010-07-23,HNL,0.0557995,CHF
2010-07-26,HNL,0.055761,CHF
2010-07-27,HNL,0.055544,CHF
2010-07-28,HNL,0.0567731,CHF
2010-07-29,HNL,0.0565428,CHF
2010-07-30,HNL,0.0555864,CHF
2010-08-02,HNL,0.0556449,CHF
2010-08-03,HNL,0.0555591,CHF
2010-08-04,HNL,0.0555702,CHF
2010-08-05,HNL,0.0563075,CHF
2010-08-06,HNL,0.0559651,CHF
2010-08-09,HNL,0.0555328,CHF
2010-08-10,HNL,0.0561631,CHF
2010-08-11,HNL,0.0562227,CHF
2010-08-12,HNL,0.0565701,CHF
2010-08-13,HNL,0.0561368,CHF
2010-08-16,HNL,0.0561903,CHF
2010-08-17,HNL,0.0555217,CHF
2010-08-18,HNL,0.0557995,CHF
2010-08-19,HNL,0.0557995,CHF
2010-08-20,HNL,0.0552066,CHF
2010-08-23,HNL,0.0552702,CHF
2010-08-24,HNL,0.0556773,CHF
2010-08-25,HNL,0.0551319,CHF
2010-08-26,HNL,0.0550783,CHF
2010-08-27,HNL,0.0547036,CHF
2010-08-30,HNL,0.0550672,CHF
2010-08-31,HNL,0.0547036,CHF
2010-09-01,HNL,0.0543996,CHF
2010-09-02,HNL,0.054437,CHF
2010-09-03,HNL,0.0541431,CHF
2010-09-06,HNL,0.0542979,CHF
2010-09-07,HNL,0.054068,CHF
2010-09-08,HNL,0.0541108,CHF
2010-09-09,HNL,0.0540787,CHF
2010-09-10,HNL,0.0546239,CHF
2010-09-13,HNL,0.0543567,CHF
2010-09-14,HNL,0.0538649,CHF
2010-09-15,HNL,0.0533785,CHF
2010-09-16,HNL,0.0535549,CHF
2010-09-17,HNL,0.0543353,CHF
2010-09-20,HNL,0.0539932,CHF
2010-09-21,HNL,0.0536564,CHF
2010-09-22,HNL,0.0533036,CHF
2010-09-23,HNL,0.0527851,CHF
2010-09-24,HNL,0.0526889,CHF
