date,symbol,price,currency
2002-01-03,HRK,0.20700,CHF
2002-01-04,HRK,0.20600,CHF
2002-01-07,HRK,0.20450,CHF
2002-01-08,HRK,0.20300,CHF
2002-01-09,HRK,0.20350,CHF
2002-01-10,HRK,0.20300,CHF
2002-01-11,HRK,0.20350,CHF
2002-01-14,HRK,0.20300,CHF
2002-01-15,HRK,0.20200,CHF
2002-01-16,HRK,0.20050,CHF
2002-01-17,HRK,0.20050,CHF
2002-01-18,HRK,0.20050,CHF
2002-01-21,HRK,0.20000,CHF
2002-01-22,HRK,0.20000,CHF
2002-01-23,HRK,0.20100,CHF
2002-01-24,HRK,0.19950,CHF
2002-01-25,HRK,0.19950,CHF
2002-01-28,HRK,0.20000,CHF
2002-01-29,HRK,0.19950,CHF
2002-01-30,HRK,0.19950,CHF
2002-01-31,HRK,0.20050,CHF
2002-02-01,HRK,0.20050,CHF
2002-02-04,HRK,0.20100,CHF
2002-02-05,HRK,0.20100,CHF
2002-02-06,HRK,0.20200,CHF
2002-02-07,HRK,0.20200,CHF
2002-02-08,HRK,0.20200,CHF
2002-02-11,HRK,0.20300,CHF
2002-02-12,HRK,0.20350,CHF
2002-02-13,HRK,0.20400,CHF
2002-02-14,HRK,0.20500,CHF
2002-02-15,HRK,0.20500,CHF
2002-02-18,HRK,0.20600,CHF
2002-02-19,HRK,0.20550,CHF
2002-02-20,HRK,0.20550,CHF
2002-02-21,HRK,0.20500,CHF
2002-02-22,HRK,0.20450,CHF
2002-02-25,HRK,0.20350,CHF
2002-02-26,HRK,0.20300,CHF
2002-02-27,HRK,0.20500,CHF
2002-02-28,HRK,0.20400,CHF
2002-03-01,HRK,0.20450,CHF
2002-03-04,HRK,0.20550,CHF
2002-03-05,HRK,0.20500,CHF
2002-03-06,HRK,0.20550,CHF
2002-03-07,HRK,0.20550,CHF
2002-03-08,HRK,0.20450,CHF
2002-03-11,HRK,0.20450,CHF
2002-03-12,HRK,0.20500,CHF
2002-03-13,HRK,0.20550,CHF
2002-03-14,HRK,0.20450,CHF
2002-03-15,HRK,0.20550,CHF
2002-03-18,HRK,0.20450,CHF
2002-03-19,HRK,0.20450,CHF
2002-03-20,HRK,0.20350,CHF
2002-03-21,HRK,0.20350,CHF
2002-03-22,HRK,0.20300,CHF
2002-03-25,HRK,0.20250,CHF
2002-03-26,HRK,0.20250,CHF
2002-03-27,HRK,0.20350,CHF
2002-03-28,HRK,0.20400,CHF
2002-04-02,HRK,0.20350,CHF
2002-04-03,HRK,0.20300,CHF
2002-04-04,HRK,0.20300,CHF
2002-04-05,HRK,0.20350,CHF
2002-04-08,HRK,0.20350,CHF
2002-04-09,HRK,0.20400,CHF
2002-04-10,HRK,0.20450,CHF
2002-04-11,HRK,0.20450,CHF
2002-04-12,HRK,0.20400,CHF
2002-04-15,HRK,0.20400,CHF
2002-04-16,HRK,0.20500,CHF
2002-04-17,HRK,0.20500,CHF
2002-04-18,HRK,0.20600,CHF
2002-04-19,HRK,0.20550,CHF
2002-04-22,HRK,0.20500,CHF
2002-04-23,HRK,0.20500,CHF
2002-04-24,HRK,0.20450,CHF
2002-04-25,HRK,0.20450,CHF
2002-04-26,HRK,0.20300,CHF
2002-04-29,HRK,0.20350,CHF
2002-04-30,HRK,0.20400,CHF
2002-05-01,HRK,0.20250,CHF
2002-05-02,HRK,0.20200,CHF
2002-05-03,HRK,0.20250,CHF
2002-05-06,HRK,0.20250,CHF
2002-05-07,HRK,0.20300,CHF
2002-05-08,HRK,0.20250,CHF
2002-05-10,HRK,0.20300,CHF
2002-05-13,HRK,0.20300,CHF
2002-05-14,HRK,0.20350,CHF
2002-05-15,HRK,0.20300,CHF
2002-05-16,HRK,0.20350,CHF
2002-05-17,HRK,0.20400,CHF
2002-05-21,HRK,0.20300,CHF
2002-05-22,HRK,0.20300,CHF
2002-05-23,HRK,0.20300,CHF
2002-05-24,HRK,0.20350,CHF
2002-05-27,HRK,0.20350,CHF
2002-05-28,HRK,0.20400,CHF
2002-05-29,HRK,0.20400,CHF
2002-05-30,HRK,0.20500,CHF
2002-05-31,HRK,0.20400,CHF
2002-06-03,HRK,0.20500,CHF
2002-06-04,HRK,0.20500,CHF
2002-06-05,HRK,0.20600,CHF
2002-06-06,HRK,0.20650,CHF
2002-06-07,HRK,0.20600,CHF
2002-06-10,HRK,0.20600,CHF
2002-06-11,HRK,0.20650,CHF
2002-06-12,HRK,0.20750,CHF
2002-06-13,HRK,0.20750,CHF
2002-06-14,HRK,0.20700,CHF
2002-06-17,HRK,0.20750,CHF
2002-06-18,HRK,0.20750,CHF
2002-06-19,HRK,0.20750,CHF
2002-06-20,HRK,0.20650,CHF
2002-06-21,HRK,0.20700,CHF
2002-06-24,HRK,0.20650,CHF
2002-06-25,HRK,0.20700,CHF
2002-06-26,HRK,0.20700,CHF
2002-06-27,HRK,0.20650,CHF
2002-06-28,HRK,0.20700,CHF
2002-07-01,HRK,0.20700,CHF
2002-07-02,HRK,0.20650,CHF
2002-07-03,HRK,0.20550,CHF
2002-07-04,HRK,0.20600,CHF
2002-07-05,HRK,0.20600,CHF
2002-07-08,HRK,0.20600,CHF
2002-07-09,HRK,0.20700,CHF
2002-07-10,HRK,0.20600,CHF
2002-07-11,HRK,0.20500,CHF
2002-07-12,HRK,0.20500,CHF
2002-07-15,HRK,0.20600,CHF
2002-07-16,HRK,0.20600,CHF
2002-07-17,HRK,0.20550,CHF
2002-07-18,HRK,0.20450,CHF
2002-07-19,HRK,0.20400,CHF
2002-07-22,HRK,0.20350,CHF
2002-07-23,HRK,0.20300,CHF
2002-07-24,HRK,0.20250,CHF
2002-07-25,HRK,0.20150,CHF
2002-07-26,HRK,0.20100,CHF
2002-07-29,HRK,0.20200,CHF
2002-07-30,HRK,0.20200,CHF
2002-07-31,HRK,0.20200,CHF
2002-08-02,HRK,0.20100,CHF
2002-08-05,HRK,0.20200,CHF
2002-08-06,HRK,0.20200,CHF
2002-08-07,HRK,0.20250,CHF
2002-08-08,HRK,0.20400,CHF
2002-08-09,HRK,0.20500,CHF
2002-08-12,HRK,0.20400,CHF
2002-08-13,HRK,0.20500,CHF
2002-08-14,HRK,0.20450,CHF
2002-08-15,HRK,0.20450,CHF
2002-08-16,HRK,0.20450,CHF
2002-08-19,HRK,0.20500,CHF
2002-08-20,HRK,0.20550,CHF
2002-08-21,HRK,0.20600,CHF
2002-08-22,HRK,0.20500,CHF
2002-08-23,HRK,0.20600,CHF
2002-08-26,HRK,0.20600,CHF
2002-08-27,HRK,0.20600,CHF
2002-08-28,HRK,0.20500,CHF
2002-08-29,HRK,0.20500,CHF
2002-08-30,HRK,0.20550,CHF
2002-09-02,HRK,0.20550,CHF
2002-09-03,HRK,0.20550,CHF
2002-09-04,HRK,0.20450,CHF
2002-09-05,HRK,0.20450,CHF
2002-09-06,HRK,0.20400,CHF
2002-09-09,HRK,0.20450,CHF
2002-09-10,HRK,0.20500,CHF
2002-09-11,HRK,0.20500,CHF
2002-09-12,HRK,0.20550,CHF
2002-09-13,HRK,0.20600,CHF
2002-09-16,HRK,0.20650,CHF
2002-09-17,HRK,0.20650,CHF
2002-09-18,HRK,0.20650,CHF
2002-09-19,HRK,0.20600,CHF
2002-09-20,HRK,0.20600,CHF
2002-09-23,HRK,0.20600,CHF
2002-09-24,HRK,0.20600,CHF
2002-09-25,HRK,0.20550,CHF
2002-09-26,HRK,0.20550,CHF
2002-09-27,HRK,0.20550,CHF
2002-09-30,HRK,0.20500,CHF
2002-10-01,HRK,0.20400,CHF
2002-10-02,HRK,0.20400,CHF
2002-10-03,HRK,0.20400,CHF
2002-10-04,HRK,0.20300,CHF
2002-10-07,HRK,0.20300,CHF
2002-10-08,HRK,0.20350,CHF
2002-10-09,HRK,0.20400,CHF
2002-10-10,HRK,0.20300,CHF
2002-10-11,HRK,0.20300,CHF
2002-10-14,HRK,0.20250,CHF
2002-10-15,HRK,0.20300,CHF
2002-10-16,HRK,0.20300,CHF
2002-10-17,HRK,0.20250,CHF
2002-10-18,HRK,0.20250,CHF
2002-10-21,HRK,0.20250,CHF
2002-10-22,HRK,0.20200,CHF
2002-10-23,HRK,0.20150,CHF
2002-10-24,HRK,0.20150,CHF
2002-10-25,HRK,0.20150,CHF
2002-10-28,HRK,0.20200,CHF
2002-10-29,HRK,0.20150,CHF
2002-10-30,HRK,0.20150,CHF
2002-10-31,HRK,0.20150,CHF
2002-11-01,HRK,0.20150,CHF
2002-11-04,HRK,0.20110,CHF
2002-11-05,HRK,0.20100,CHF
2002-11-06,HRK,0.20100,CHF
2002-11-07,HRK,0.20150,CHF
2002-11-08,HRK,0.20150,CHF
2002-11-11,HRK,0.20150,CHF
2002-11-12,HRK,0.20150,CHF
2002-11-13,HRK,0.20150,CHF
2002-11-14,HRK,0.20200,CHF
2002-11-15,HRK,0.20200,CHF
2002-11-18,HRK,0.20200,CHF
2002-11-19,HRK,0.20250,CHF
2002-11-20,HRK,0.20300,CHF
2002-11-21,HRK,0.20300,CHF
2002-11-22,HRK,0.20400,CHF
2002-11-25,HRK,0.20400,CHF
2002-11-26,HRK,0.20400,CHF
2002-11-27,HRK,0.20400,CHF
2002-11-28,HRK,0.20450,CHF
2002-11-29,HRK,0.20450,CHF
2002-12-02,HRK,0.20450,CHF
2002-12-03,HRK,0.20400,CHF
2002-12-04,HRK,0.20400,CHF
2002-12-05,HRK,0.20450,CHF
2002-12-06,HRK,0.20450,CHF
2002-12-09,HRK,0.20500,CHF
2002-12-10,HRK,0.20500,CHF
2002-12-11,HRK,0.20500,CHF
2002-12-12,HRK,0.20500,CHF
2002-12-13,HRK,0.20600,CHF
2002-12-16,HRK,0.20550,CHF
2002-12-17,HRK,0.20500,CHF
2002-12-18,HRK,0.20400,CHF
2002-12-19,HRK,0.20250,CHF
2002-12-20,HRK,0.20350,CHF
2002-12-23,HRK,0.20250,CHF
2002-12-24,HRK,0.20200,CHF
2002-12-30,HRK,0.20100,CHF
2002-12-31,HRK,0.20050,CHF
2003-01-06,HRK,0.19900,CHF
2003-01-07,HRK,0.19950,CHF
2003-01-08,HRK,0.20000,CHF
2003-01-09,HRK,0.20050,CHF
2003-01-10,HRK,0.20050,CHF
2003-01-13,HRK,0.20000,CHF
2003-01-14,HRK,0.20000,CHF
2003-01-15,HRK,0.20150,CHF
2003-01-16,HRK,0.20150,CHF
2003-01-17,HRK,0.20050,CHF
2003-01-20,HRK,0.20100,CHF
2003-01-21,HRK,0.20050,CHF
2003-01-22,HRK,0.20050,CHF
2003-01-23,HRK,0.20050,CHF
2003-01-24,HRK,0.20050,CHF
2003-01-27,HRK,0.20050,CHF
2003-01-28,HRK,0.20050,CHF
2003-01-29,HRK,0.20000,CHF
2003-01-30,HRK,0.20050,CHF
2003-01-31,HRK,0.19950,CHF
2003-02-03,HRK,0.20000,CHF
2003-02-04,HRK,0.19950,CHF
2003-02-05,HRK,0.19950,CHF
2003-02-06,HRK,0.19900,CHF
2003-02-07,HRK,0.19950,CHF
2003-02-10,HRK,0.19900,CHF
2003-02-11,HRK,0.19900,CHF
2003-02-12,HRK,0.19900,CHF
2003-02-13,HRK,0.19950,CHF
2003-02-14,HRK,0.19900,CHF
2003-02-17,HRK,0.19950,CHF
2003-02-18,HRK,0.19950,CHF
2003-02-19,HRK,0.19950,CHF
2003-02-20,HRK,0.19900,CHF
2003-02-21,HRK,0.19850,CHF
2003-02-24,HRK,0.19850,CHF
2003-02-25,HRK,0.19800,CHF
2003-02-26,HRK,0.19700,CHF
2003-02-27,HRK,0.19700,CHF
2003-02-28,HRK,0.19700,CHF
2003-03-03,HRK,0.19700,CHF
2003-03-04,HRK,0.19600,CHF
2003-03-05,HRK,0.19550,CHF
2003-03-06,HRK,0.19600,CHF
2003-03-07,HRK,0.19650,CHF
2003-03-10,HRK,0.19750,CHF
2003-03-11,HRK,0.19750,CHF
2003-03-12,HRK,0.19750,CHF
2003-03-13,HRK,0.19750,CHF
2003-03-14,HRK,0.19750,CHF
2003-03-17,HRK,0.19750,CHF
2003-03-18,HRK,0.19800,CHF
2003-03-19,HRK,0.19800,CHF
2003-03-20,HRK,0.19700,CHF
2003-03-21,HRK,0.19700,CHF
2003-03-24,HRK,0.19750,CHF
2003-03-25,HRK,0.19700,CHF
2003-03-26,HRK,0.19700,CHF
2003-03-27,HRK,0.19800,CHF
2003-03-28,HRK,0.19800,CHF
2003-03-31,HRK,0.19800,CHF
2003-04-01,HRK,0.20000,CHF
2003-04-02,HRK,0.20000,CHF
2003-04-03,HRK,0.20200,CHF
2003-04-04,HRK,0.20350,CHF
2003-04-07,HRK,0.20400,CHF
2003-04-08,HRK,0.20400,CHF
2003-04-09,HRK,0.20400,CHF
2003-04-10,HRK,0.20350,CHF
2003-04-11,HRK,0.20400,CHF
2003-04-14,HRK,0.20450,CHF
2003-04-15,HRK,0.20550,CHF
2003-04-16,HRK,0.20650,CHF
2003-04-17,HRK,0.20450,CHF
2003-04-22,HRK,0.20650,CHF
2003-04-23,HRK,0.20600,CHF
2003-04-24,HRK,0.20600,CHF
2003-04-25,HRK,0.20450,CHF
2003-04-28,HRK,0.20400,CHF
2003-04-29,HRK,0.20550,CHF
2003-04-30,HRK,0.20600,CHF
2003-05-01,HRK,0.20550,CHF
2003-05-02,HRK,0.20550,CHF
2003-05-05,HRK,0.20600,CHF
2003-05-06,HRK,0.20600,CHF
2003-05-07,HRK,0.20600,CHF
2003-05-08,HRK,0.20500,CHF
2003-05-09,HRK,0.20650,CHF
2003-05-12,HRK,0.20700,CHF
2003-05-13,HRK,0.20850,CHF
2003-05-14,HRK,0.20800,CHF
2003-05-15,HRK,0.20800,CHF
2003-05-16,HRK,0.20700,CHF
2003-05-19,HRK,0.20750,CHF
2003-05-20,HRK,0.20750,CHF
2003-05-21,HRK,0.20700,CHF
2003-05-22,HRK,0.20750,CHF
2003-05-23,HRK,0.20850,CHF
2003-05-26,HRK,0.20850,CHF
2003-05-27,HRK,0.20900,CHF
2003-05-28,HRK,0.20750,CHF
2003-05-30,HRK,0.20800,CHF
2003-06-02,HRK,0.20850,CHF
2003-06-03,HRK,0.20850,CHF
2003-06-04,HRK,0.20950,CHF
2003-06-05,HRK,0.21000,CHF
2003-06-06,HRK,0.21000,CHF
2003-06-10,HRK,0.21050,CHF
2003-06-11,HRK,0.21000,CHF
2003-06-12,HRK,0.21000,CHF
2003-06-13,HRK,0.21100,CHF
2003-06-16,HRK,0.21100,CHF
2003-06-17,HRK,0.21050,CHF
2003-06-18,HRK,0.21050,CHF
2003-06-19,HRK,0.21150,CHF
2003-06-20,HRK,0.21100,CHF
2003-06-23,HRK,0.21050,CHF
2003-06-24,HRK,0.21050,CHF
2003-06-25,HRK,0.21000,CHF
2003-06-26,HRK,0.21100,CHF
2003-06-27,HRK,0.21200,CHF
2003-06-30,HRK,0.21250,CHF
2003-07-01,HRK,0.21350,CHF
2003-07-02,HRK,0.21300,CHF
2003-07-03,HRK,0.21300,CHF
2003-07-04,HRK,0.21250,CHF
2003-07-07,HRK,0.21250,CHF
2003-07-08,HRK,0.21300,CHF
2003-07-09,HRK,0.21200,CHF
2003-07-10,HRK,0.21150,CHF
2003-07-11,HRK,0.21300,CHF
2003-07-14,HRK,0.21350,CHF
2003-07-15,HRK,0.21300,CHF
2003-07-16,HRK,0.21300,CHF
2003-07-17,HRK,0.21200,CHF
2003-07-18,HRK,0.21150,CHF
2003-07-21,HRK,0.21200,CHF
2003-07-22,HRK,0.21250,CHF
2003-07-23,HRK,0.21250,CHF
2003-07-24,HRK,0.21300,CHF
2003-07-25,HRK,0.21250,CHF
2003-07-28,HRK,0.21250,CHF
2003-07-29,HRK,0.21250,CHF
2003-07-30,HRK,0.21250,CHF
2003-07-31,HRK,0.21250,CHF
2003-08-04,HRK,0.21250,CHF
2003-08-05,HRK,0.20900,CHF
2003-08-06,HRK,0.20900,CHF
2003-08-07,HRK,0.20900,CHF
2003-08-08,HRK,0.20850,CHF
2003-08-11,HRK,0.20900,CHF
2003-08-12,HRK,0.21000,CHF
2003-08-13,HRK,0.21050,CHF
2003-08-14,HRK,0.21150,CHF
2003-08-15,HRK,0.21250,CHF
2003-08-18,HRK,0.21300,CHF
2003-08-19,HRK,0.21300,CHF
2003-08-20,HRK,0.21350,CHF
2003-08-21,HRK,0.21200,CHF
2003-08-22,HRK,0.21300,CHF
2003-08-25,HRK,0.21250,CHF
2003-08-26,HRK,0.21300,CHF
2003-08-27,HRK,0.21200,CHF
2003-08-28,HRK,0.21250,CHF
2003-08-29,HRK,0.21200,CHF
2003-09-01,HRK,0.21250,CHF
2003-09-02,HRK,0.21150,CHF
2003-09-03,HRK,0.21050,CHF
2003-09-04,HRK,0.21150,CHF
2003-09-05,HRK,0.21200,CHF
2003-09-08,HRK,0.21150,CHF
2003-09-09,HRK,0.21300,CHF
2003-09-10,HRK,0.21350,CHF
2003-09-11,HRK,0.21400,CHF
2003-09-12,HRK,0.21400,CHF
2003-09-15,HRK,0.21450,CHF
2003-09-16,HRK,0.21500,CHF
2003-09-17,HRK,0.21400,CHF
2003-09-18,HRK,0.21350,CHF
2003-09-19,HRK,0.21400,CHF
2003-09-22,HRK,0.21250,CHF
2003-09-23,HRK,0.21200,CHF
2003-09-24,HRK,0.21150,CHF
2003-09-25,HRK,0.21100,CHF
2003-09-26,HRK,0.20950,CHF
2003-09-29,HRK,0.20950,CHF
2003-09-30,HRK,0.21000,CHF
2003-10-01,HRK,0.21050,CHF
2003-10-02,HRK,0.20950,CHF
2003-10-03,HRK,0.20950,CHF
2003-10-06,HRK,0.20950,CHF
2003-10-07,HRK,0.20950,CHF
2003-10-08,HRK,0.20950,CHF
2003-10-09,HRK,0.21000,CHF
2003-10-10,HRK,0.21000,CHF
2003-10-13,HRK,0.21000,CHF
2003-10-14,HRK,0.20950,CHF
2003-10-15,HRK,0.20900,CHF
2003-10-16,HRK,0.20950,CHF
2003-10-17,HRK,0.20950,CHF
2003-10-20,HRK,0.21050,CHF
2003-10-21,HRK,0.21050,CHF
2003-10-22,HRK,0.21050,CHF
2003-10-23,HRK,0.21000,CHF
2003-10-24,HRK,0.20950,CHF
2003-10-27,HRK,0.20950,CHF
2003-10-28,HRK,0.21000,CHF
2003-10-29,HRK,0.21050,CHF
2003-10-30,HRK,0.21050,CHF
2003-10-31,HRK,0.21050,CHF
2003-11-03,HRK,0.21050,CHF
2003-11-04,HRK,0.21200,CHF
2003-11-05,HRK,0.21250,CHF
2003-11-06,HRK,0.21300,CHF
2003-11-07,HRK,0.21300,CHF
2003-11-10,HRK,0.21350,CHF
2003-11-11,HRK,0.21350,CHF
2003-11-12,HRK,0.21250,CHF
2003-11-13,HRK,0.21350,CHF
2003-11-14,HRK,0.21250,CHF
2003-11-17,HRK,0.21150,CHF
2003-11-18,HRK,0.20900,CHF
2003-11-19,HRK,0.20800,CHF
2003-11-20,HRK,0.20950,CHF
2003-11-21,HRK,0.20800,CHF
2003-11-24,HRK,0.20800,CHF
2003-11-25,HRK,0.20900,CHF
2003-11-26,HRK,0.20850,CHF
2003-11-27,HRK,0.20800,CHF
2003-11-28,HRK,0.20850,CHF
2003-12-01,HRK,0.20850,CHF
2003-12-02,HRK,0.20800,CHF
2003-12-03,HRK,0.20800,CHF
2003-12-04,HRK,0.20800,CHF
