date,symbol,price,currency
2010-07-01,HUF,0.00463363,CHF
2010-07-02,HUF,0.00469532,CHF
2010-07-05,HUF,0.00471578,CHF
2010-07-06,HUF,0.004712,CHF
2010-07-07,HUF,0.00475452,CHF
2010-07-08,HUF,0.00474725,CHF
2010-07-09,HUF,0.00481159,CHF
2010-07-12,HUF,0.00482222,CHF
2010-07-13,HUF,0.00486732,CHF
2010-07-14,HUF,0.004887,CHF
2010-07-15,HUF,0.00487076,CHF
2010-07-16,HUF,0.00486703,CHF
2010-07-19,HUF,0.00471853,CHF
2010-07-20,HUF,0.00475745,CHF
2010-07-21,HUF,0.00478118,CHF
2010-07-22,HUF,0.00475057,CHF
2010-07-23,HUF,0.00479703,CHF
2010-07-26,HUF,0.00474018,CHF
2010-07-27,HUF,0.00477697,CHF
2010-07-28,HUF,0.00492277,CHF
2010-07-29,HUF,0.00490779,CHF
2010-07-30,HUF,0.00483252,CHF
2010-08-02,HUF,0.0048508,CHF
2010-08-03,HUF,0.00493139,CHF
2010-08-04,HUF,0.00493953,CHF
2010-08-05,HUF,0.0049854,CHF
2010-08-06,HUF,0.00498877,CHF
2010-08-09,HUF,0.00498238,CHF
2010-08-10,HUF,0.00502966,CHF
2010-08-11,HUF,0.00499491,CHF
2010-08-12,HUF,0.00488521,CHF
2010-08-13,HUF,0.00485892,CHF
2010-08-16,HUF,0.00482728,CHF
2010-08-17,HUF,0.00480946,CHF
2010-08-18,HUF,0.00487443,CHF
2010-08-19,HUF,0.00487623,CHF
2010-08-20,HUF,0.00480527,CHF
2010-08-23,HUF,0.00476411,CHF
2010-08-24,HUF,0.00470911,CHF
2010-08-25,HUF,0.00466676,CHF
2010-08-26,HUF,0.00464352,CHF
2010-08-27,HUF,0.00463513,CHF
2010-08-30,HUF,0.00469223,CHF
2010-08-31,HUF,0.00457907,CHF
2010-09-01,HUF,0.00455075,CHF
2010-09-02,HUF,0.00463577,CHF
2010-09-03,HUF,0.00462031,CHF
2010-09-06,HUF,0.00465984,CHF
2010-09-07,HUF,0.00457487,CHF
2010-09-08,HUF,0.00450724,CHF
2010-09-09,HUF,0.00453637,CHF
2010-09-10,HUF,0.00459373,CHF
2010-09-13,HUF,0.00462581,CHF
2010-09-14,HUF,0.00463173,CHF
2010-09-15,HUF,0.00466053,CHF
2010-09-16,HUF,0.0046727,CHF
2010-09-17,HUF,0.00474912,CHF
2010-09-20,HUF,0.00473082,CHF
2010-09-21,HUF,0.00473468,CHF
2010-09-22,HUF,0.00478489,CHF
2010-09-23,HUF,0.00478725,CHF
2010-09-24,HUF,0.00474346,CHF
2010-09-27,HUF,0.00484142,CHF
2010-09-28,HUF,0.00482552,CHF
2010-09-29,HUF,0.00484562,CHF
2010-09-30,HUF,0.00484639,CHF
2010-10-01,HUF,0.00490601,CHF
2010-10-04,HUF,0.00496972,CHF
2010-10-05,HUF,0.00490749,CHF
2010-10-06,HUF,0.00501086,CHF
2010-10-07,HUF,0.00499629,CHF
2010-10-08,HUF,0.0049615,CHF
2010-10-11,HUF,0.00496972,CHF
2010-10-12,HUF,0.00494446,CHF
2010-10-13,HUF,0.00492961,CHF
2010-10-14,HUF,0.00499422,CHF
2010-10-15,HUF,0.00493446,CHF
2010-10-18,HUF,0.0049221,CHF
2010-10-19,HUF,0.0049115,CHF
2010-10-20,HUF,0.00485806,CHF
2010-10-21,HUF,0.004911,CHF
2010-10-22,HUF,0.00495981,CHF
2010-10-25,HUF,0.0050291,CHF
2010-10-26,HUF,0.00502544,CHF
2010-10-27,HUF,0.00502097,CHF
2010-10-28,HUF,0.00501577,CHF
2010-10-29,HUF,0.0050626,CHF
2010-11-01,HUF,0.00512869,CHF
2010-11-02,HUF,0.00515049,CHF
2010-11-03,HUF,0.00513006,CHF
2010-11-04,HUF,0.00511698,CHF
2010-11-05,HUF,0.00504868,CHF
2010-11-08,HUF,0.00496948,CHF
2010-11-09,HUF,0.0049351,CHF
2010-11-10,HUF,0.00492507,CHF
2010-11-11,HUF,0.00493353,CHF
2010-11-12,HUF,0.00485327,CHF
2010-11-15,HUF,0.00491387,CHF
2010-11-16,HUF,0.00489287,CHF
2010-11-17,HUF,0.00490181,CHF
2010-11-18,HUF,0.00491613,CHF
2010-11-19,HUF,0.00500356,CHF
2010-11-22,HUF,0.00503401,CHF
2010-11-23,HUF,0.00494466,CHF
2010-11-24,HUF,0.00488935,CHF
2010-11-25,HUF,0.00486258,CHF
2010-11-26,HUF,0.00486102,CHF
2010-11-29,HUF,0.00479175,CHF
2010-11-30,HUF,0.00468102,CHF
2010-12-01,HUF,0.00468984,CHF
2010-12-02,HUF,0.00476108,CHF
2010-12-03,HUF,0.00478791,CHF
2010-12-06,HUF,0.00475853,CHF
2010-12-07,HUF,0.00474026,CHF
2010-12-08,HUF,0.00474442,CHF
2010-12-09,HUF,0.00477637,CHF
2010-12-10,HUF,0.00474363,CHF
2010-12-13,HUF,0.00470497,CHF
2010-12-14,HUF,0.00473726,CHF
2010-12-15,HUF,0.00471993,CHF
2010-12-16,HUF,0.00469752,CHF
2010-12-17,HUF,0.00471968,CHF
2010-12-20,HUF,0.00472963,CHF
2010-12-21,HUF,0.00463917,CHF
2010-12-22,HUF,0.0045866,CHF
2010-12-23,HUF,0.00456894,CHF
2010-12-24,HUF,0.00458317,CHF
2010-12-27,HUF,0.00458532,CHF
2010-12-28,HUF,0.00459217,CHF
2010-12-29,HUF,0.00452798,CHF
2010-12-30,HUF,0.00452285,CHF
2010-12-31,HUF,0.00451081,CHF
2011-01-03,HUF,0.00452772,CHF
2011-01-04,HUF,0.00454318,CHF
