date,symbol,price,currency
2007-11-01,IDR,0.000134,CHF
2007-11-02,IDR,0.000133,CHF
2007-11-05,IDR,0.000133,CHF
2007-11-06,IDR,0.000132,CHF
2007-11-07,IDR,0.00013,CHF
2007-11-08,IDR,0.000129,CHF
2007-11-09,IDR,0.000128,CHF
2007-11-12,IDR,0.000128,CHF
2007-11-13,IDR,0.000128,CHF
2007-11-14,IDR,0.000128,CHF
2007-11-15,IDR,0.000126,CHF
2007-11-16,IDR,0.000126,CHF
2007-11-19,IDR,0.000125,CHF
2007-11-20,IDR,0.000124,CHF
2007-11-21,IDR,0.000123,CHF
2007-11-22,IDR,0.000123,CHF
2007-11-23,IDR,0.000122,CHF
2007-11-26,IDR,0.000123,CHF
2007-11-27,IDR,0.000122,CHF
2007-11-28,IDR,0.000123,CHF
2007-11-29,IDR,0.000125,CHF
2007-11-30,IDR,0.000125,CHF
2007-12-03,IDR,0.000127,CHF
2007-12-04,IDR,0.000127,CHF
2007-12-05,IDR,0.000126,CHF
2007-12-06,IDR,0.000127,CHF
2007-12-07,IDR,0.000127,CHF
2007-12-10,IDR,0.000127,CHF
2007-12-11,IDR,0.000127,CHF
2007-12-12,IDR,0.000127,CHF
2007-12-13,IDR,0.000127,CHF
2007-12-14,IDR,0.000128,CHF
2007-12-17,IDR,0.000128,CHF
2007-12-18,IDR,0.000128,CHF
2007-12-19,IDR,0.000128,CHF
2007-12-20,IDR,0.000128,CHF
2007-12-21,IDR,0.000128,CHF
2007-12-24,IDR,0.000128,CHF
2007-12-27,IDR,0.000128,CHF
2007-12-28,IDR,0.000126,CHF
2007-12-31,IDR,0.000126,CHF
2008-01-03,IDR,0.000124,CHF
2008-01-04,IDR,0.000124,CHF
2008-01-07,IDR,0.000124,CHF
2008-01-08,IDR,0.000123,CHF
2008-01-09,IDR,0.000123,CHF
2008-01-10,IDR,0.000124,CHF
2008-01-11,IDR,0.000122,CHF
2008-01-14,IDR,0.000121,CHF
2008-01-15,IDR,0.000121,CHF
2008-01-16,IDR,0.000121,CHF
2008-01-17,IDR,0.000123,CHF
2008-01-18,IDR,0.000122,CHF
2008-01-21,IDR,0.000122,CHF
2008-01-22,IDR,0.000122,CHF
