date,symbol,price,currency
2002-01-03,ILS,0.37406,CHF
2002-01-04,ILS,0.373185,CHF
2002-01-07,ILS,0.368255,CHF
2002-01-08,ILS,0.371605,CHF
2002-01-09,ILS,0.376725,CHF
2002-01-10,ILS,0.376705,CHF
2002-01-11,ILS,0.37504,CHF
2002-01-14,ILS,0.37398,CHF
2002-01-15,ILS,0.37521,CHF
2002-01-16,ILS,0.373775,CHF
2002-01-17,ILS,0.37147,CHF
2002-01-18,ILS,0.373115,CHF
2002-01-21,ILS,0.37208,CHF
2002-01-22,ILS,0.369405,CHF
2002-01-23,ILS,0.36698,CHF
2002-01-24,ILS,0.370755,CHF
2002-01-25,ILS,0.37106,CHF
2002-01-28,ILS,0.37563,CHF
2002-01-29,ILS,0.37517,CHF
2002-01-30,ILS,0.372655,CHF
2002-01-31,ILS,0.377815,CHF
2002-02-01,ILS,0.38047,CHF
2002-02-04,ILS,0.38010,CHF
2002-02-05,ILS,0.372495,CHF
2002-02-06,ILS,0.37399,CHF
2002-02-07,ILS,0.36977,CHF
2002-02-08,ILS,0.366615,CHF
2002-02-11,ILS,0.363265,CHF
2002-02-12,ILS,0.35877,CHF
2002-02-13,ILS,0.366355,CHF
2002-02-14,ILS,0.370595,CHF
2002-02-15,ILS,0.372875,CHF
2002-02-18,ILS,0.36906,CHF
2002-02-19,ILS,0.36722,CHF
2002-02-20,ILS,0.361365,CHF
2002-02-21,ILS,0.368665,CHF
2002-02-22,ILS,0.368365,CHF
2002-02-25,ILS,0.36850,CHF
2002-02-26,ILS,0.371775,CHF
2002-02-27,ILS,0.37774,CHF
2002-02-28,ILS,0.37488,CHF
2002-03-01,ILS,0.36944,CHF
2002-03-04,ILS,0.36994,CHF
2002-03-05,ILS,0.367145,CHF
2002-03-06,ILS,0.36637,CHF
2002-03-07,ILS,0.36098,CHF
2002-03-08,ILS,0.363305,CHF
2002-03-11,ILS,0.366115,CHF
2002-03-12,ILS,0.36694,CHF
2002-03-13,ILS,0.36447,CHF
2002-03-14,ILS,0.36166,CHF
2002-03-15,ILS,0.36098,CHF
2002-03-18,ILS,0.362635,CHF
2002-03-19,ILS,0.36495,CHF
2002-03-20,ILS,0.365315,CHF
2002-03-21,ILS,0.36230,CHF
2002-03-22,ILS,0.36297,CHF
2002-03-25,ILS,0.361825,CHF
2002-03-26,ILS,0.36111,CHF
2002-03-27,ILS,0.361645,CHF
2002-03-28,ILS,0.362445,CHF
2002-04-02,ILS,0.35438,CHF
2002-04-03,ILS,0.352555,CHF
2002-04-04,ILS,0.351465,CHF
2002-04-05,ILS,0.356785,CHF
2002-04-08,ILS,0.35762,CHF
2002-04-09,ILS,0.357945,CHF
2002-04-10,ILS,0.353495,CHF
2002-04-11,ILS,0.356235,CHF
2002-04-12,ILS,0.35254,CHF
2002-04-15,ILS,0.353355,CHF
2002-04-16,ILS,0.35341,CHF
2002-04-17,ILS,0.35003,CHF
2002-04-18,ILS,0.349715,CHF
2002-04-19,ILS,0.349565,CHF
2002-04-22,ILS,0.350305,CHF
2002-04-23,ILS,0.35172,CHF
2002-04-24,ILS,0.345865,CHF
2002-04-25,ILS,0.343915,CHF
2002-04-26,ILS,0.33941,CHF
2002-04-29,ILS,0.33603,CHF
2002-04-30,ILS,0.336485,CHF
2002-05-01,ILS,0.335415,CHF
2002-05-02,ILS,0.335245,CHF
2002-05-03,ILS,0.33846,CHF
2002-05-06,ILS,0.33466,CHF
2002-05-07,ILS,0.33090,CHF
2002-05-08,ILS,0.33093,CHF
2002-05-10,ILS,0.327645,CHF
2002-05-13,ILS,0.329175,CHF
2002-05-14,ILS,0.33261,CHF
2002-05-15,ILS,0.334545,CHF
2002-05-16,ILS,0.33327,CHF
2002-05-17,ILS,0.331555,CHF
2002-05-21,ILS,0.32954,CHF
2002-05-22,ILS,0.32925,CHF
2002-05-23,ILS,0.326395,CHF
2002-05-24,ILS,0.326735,CHF
2002-05-27,ILS,0.32908,CHF
2002-05-28,ILS,0.32795,CHF
2002-05-29,ILS,0.321045,CHF
2002-05-30,ILS,0.323185,CHF
2002-05-31,ILS,0.32257,CHF
2002-06-03,ILS,0.32408,CHF
2002-06-04,ILS,0.32151,CHF
2002-06-05,ILS,0.32028,CHF
2002-06-06,ILS,0.32162,CHF
2002-06-07,ILS,0.32712,CHF
2002-06-10,ILS,0.320845,CHF
2002-06-11,ILS,0.31699,CHF
2002-06-12,ILS,0.317735,CHF
2002-06-13,ILS,0.318485,CHF
2002-06-14,ILS,0.32098,CHF
2002-06-17,ILS,0.321035,CHF
2002-06-18,ILS,0.320425,CHF
2002-06-19,ILS,0.31728,CHF
2002-06-20,ILS,0.31223,CHF
2002-06-21,ILS,0.310255,CHF
2002-06-24,ILS,0.308025,CHF
2002-06-25,ILS,0.311795,CHF
2002-06-26,ILS,0.30676,CHF
2002-06-27,ILS,0.312285,CHF
2002-06-28,ILS,0.316385,CHF
2002-07-01,ILS,0.313225,CHF
2002-07-02,ILS,0.318085,CHF
2002-07-03,ILS,0.317845,CHF
