date,symbol,price,currency
2006-04-03,INR,0.030563,CHF
2006-04-04,INR,0.03034,CHF
2006-04-05,INR,0.029938,CHF
2006-04-06,INR,0.029924,CHF
2006-04-07,INR,0.030101,CHF
2006-04-10,INR,0.030151,CHF
2006-04-11,INR,0.030132,CHF
2006-04-12,INR,0.030013,CHF
2006-04-13,INR,0.029825,CHF
2006-04-18,INR,0.02992,CHF
2006-04-19,INR,0.02992,CHF
2006-04-20,INR,0.02992,CHF
2006-04-21,INR,0.02992,CHF
2006-04-24,INR,0.029364,CHF
2006-04-25,INR,0.02944,CHF
2006-04-26,INR,0.029318,CHF
2006-04-27,INR,0.029374,CHF
2006-04-28,INR,0.029091,CHF
2006-05-01,INR,0.028794,CHF
2006-05-02,INR,0.028748,CHF
2006-05-03,INR,0.028628,CHF
2006-05-04,INR,0.028656,CHF
2006-05-05,INR,0.028493,CHF
2006-05-08,INR,0.028391,CHF
2006-05-09,INR,0.02848,CHF
2006-05-10,INR,0.02818,CHF
2006-05-11,INR,0.02827,CHF
2006-05-12,INR,0.027764,CHF
2006-05-15,INR,0.027608,CHF
2006-05-16,INR,0.027629,CHF
2006-05-17,INR,0.02770,CHF
2006-05-18,INR,0.027813,CHF
2006-05-19,INR,0.027809,CHF
2006-05-22,INR,0.027677,CHF
2006-05-23,INR,0.027589,CHF
2006-05-24,INR,0.027442,CHF
2006-05-26,INR,0.02766,CHF
2006-05-29,INR,0.02766,CHF
2006-05-30,INR,0.027332,CHF
2006-05-31,INR,0.027131,CHF
2006-06-01,INR,0.027435,CHF
2006-06-02,INR,0.027548,CHF
2006-06-06,INR,0.027357,CHF
2006-06-07,INR,0.02757,CHF
2006-06-08,INR,0.027618,CHF
2006-06-09,INR,0.027885,CHF
2006-06-12,INR,0.027944,CHF
2006-06-13,INR,0.027911,CHF
2006-06-14,INR,0.027872,CHF
2006-06-15,INR,0.027923,CHF
2006-06-16,INR,0.027826,CHF
2006-06-19,INR,0.02805,CHF
2006-06-20,INR,0.028097,CHF
2006-06-21,INR,0.02801,CHF
2006-06-22,INR,0.027905,CHF
2006-06-23,INR,0.028073,CHF
2006-06-26,INR,0.027947,CHF
2006-06-27,INR,0.027909,CHF
2006-06-28,INR,0.02790,CHF
2006-06-29,INR,0.02799,CHF
2006-06-30,INR,0.02785,CHF
