date,symbol,price,currency
2010-07-01,ISK,0.0085023,CHF
2010-07-02,ISK,0.0084355,CHF
2010-07-05,ISK,0.0085933,CHF
2010-07-06,ISK,0.0085899,CHF
2010-07-07,ISK,0.0085789,CHF
2010-07-08,ISK,0.0084682,CHF
2010-07-09,ISK,0.0085275,CHF
2010-07-12,ISK,0.0085275,CHF
2010-07-13,ISK,0.0085275,CHF
2010-07-14,ISK,0.0085275,CHF
2010-07-15,ISK,0.0085275,CHF
2010-07-16,ISK,0.0085275,CHF
2010-07-19,ISK,0.0085275,CHF
2010-07-20,ISK,0.0087031,CHF
2010-07-21,ISK,0.0086479,CHF
2010-07-22,ISK,0.0086161,CHF
2010-07-23,ISK,0.0085801,CHF
2010-07-26,ISK,0.008636,CHF
2010-07-27,ISK,0.0085774,CHF
2010-07-28,ISK,0.0088593,CHF
2010-07-29,ISK,0.0088296,CHF
2010-07-30,ISK,0.0087447,CHF
2010-08-02,ISK,0.0087315,CHF
2010-08-03,ISK,0.0087315,CHF
2010-08-04,ISK,0.0088581,CHF
2010-08-05,ISK,0.008967,CHF
2010-08-06,ISK,0.0089099,CHF
2010-08-09,ISK,0.0088938,CHF
2010-08-10,ISK,0.0090547,CHF
2010-08-11,ISK,0.0090395,CHF
2010-08-12,ISK,0.0090262,CHF
2010-08-13,ISK,0.0088687,CHF
2010-08-16,ISK,0.0088705,CHF
2010-08-17,ISK,0.0087746,CHF
2010-08-18,ISK,0.0088481,CHF
2010-08-19,ISK,0.0088525,CHF
2010-08-20,ISK,0.0087284,CHF
2010-08-23,ISK,0.008671,CHF
2010-08-24,ISK,0.0087435,CHF
2010-08-25,ISK,0.0086014,CHF
2010-08-26,ISK,0.0086151,CHF
2010-08-27,ISK,0.0086064,CHF
2010-08-30,ISK,0.0086392,CHF
2010-08-31,ISK,0.0085743,CHF
2010-09-01,ISK,0.008511,CHF
2010-09-02,ISK,0.0085794,CHF
2010-09-03,ISK,0.0085488,CHF
2010-09-06,ISK,0.0086725,CHF
2010-09-07,ISK,0.0087116,CHF
2010-09-08,ISK,0.0086507,CHF
2010-09-09,ISK,0.0086455,CHF
2010-09-10,ISK,0.0087194,CHF
2010-09-13,ISK,0.0086804,CHF
2010-09-14,ISK,0.0086384,CHF
2010-09-15,ISK,0.0085728,CHF
2010-09-16,ISK,0.0086533,CHF
2010-09-17,ISK,0.0088368,CHF
2010-09-20,ISK,0.0087338,CHF
2010-09-21,ISK,0.0086779,CHF
2010-09-22,ISK,0.008626,CHF
2010-09-23,ISK,0.0086736,CHF
2010-09-24,ISK,0.0086255,CHF
2010-09-27,ISK,0.0086693,CHF
2010-09-28,ISK,0.0087061,CHF
2010-09-29,ISK,0.0086231,CHF
2010-09-30,ISK,0.0086949,CHF
