date,symbol,price,currency
2002-01-03,JPY,0.01259,CHF
2002-01-04,JPY,0.01266,CHF
2002-01-07,JPY,0.012695,CHF
2002-01-08,JPY,0.01255,CHF
2002-01-09,JPY,0.012625,CHF
2002-01-10,JPY,0.01261,CHF
2002-01-11,JPY,0.01265,CHF
2002-01-14,JPY,0.012655,CHF
2002-01-15,JPY,0.01273,CHF
2002-01-16,JPY,0.01278,CHF
2002-01-17,JPY,0.012685,CHF
2002-01-18,JPY,0.012635,CHF
2002-01-21,JPY,0.012655,CHF
2002-01-22,JPY,0.012525,CHF
2002-01-23,JPY,0.012505,CHF
2002-01-24,JPY,0.01253,CHF
2002-01-25,JPY,0.01254,CHF
2002-01-28,JPY,0.01285,CHF
2002-01-29,JPY,0.01291,CHF
2002-01-30,JPY,0.012915,CHF
2002-01-31,JPY,0.01296,CHF
2002-02-01,JPY,0.012945,CHF
2002-02-04,JPY,0.01299,CHF
2002-02-05,JPY,0.01286,CHF
2002-02-06,JPY,0.012795,CHF
2002-02-07,JPY,0.012755,CHF
2002-02-08,JPY,0.012695,CHF
2002-02-11,JPY,0.01267,CHF
2002-02-12,JPY,0.012715,CHF
2002-02-13,JPY,0.012775,CHF
2002-02-14,JPY,0.01295,CHF
2002-02-15,JPY,0.012905,CHF
2002-02-18,JPY,0.01290,CHF
2002-02-19,JPY,0.01286,CHF
2002-02-20,JPY,0.012755,CHF
2002-02-21,JPY,0.01282,CHF
2002-02-22,JPY,0.012765,CHF
2002-02-25,JPY,0.01273,CHF
2002-02-26,JPY,0.012735,CHF
2002-02-27,JPY,0.01279,CHF
2002-02-28,JPY,0.01286,CHF
2002-03-01,JPY,0.01282,CHF
2002-03-04,JPY,0.01299,CHF
2002-03-05,JPY,0.01295,CHF
2002-03-06,JPY,0.01295,CHF
2002-03-07,JPY,0.013045,CHF
2002-03-08,JPY,0.013215,CHF
2002-03-11,JPY,0.013145,CHF
2002-03-12,JPY,0.013165,CHF
2002-03-13,JPY,0.013095,CHF
2002-03-14,JPY,0.012995,CHF
2002-03-15,JPY,0.012915,CHF
2002-03-18,JPY,0.012855,CHF
2002-03-19,JPY,0.012725,CHF
2002-03-20,JPY,0.01269,CHF
2002-03-21,JPY,0.012685,CHF
2002-03-22,JPY,0.01264,CHF
2002-03-25,JPY,0.012615,CHF
2002-03-26,JPY,0.012645,CHF
2002-03-27,JPY,0.01270,CHF
2002-03-28,JPY,0.012755,CHF
2002-04-02,JPY,0.01259,CHF
2002-04-03,JPY,0.012615,CHF
2002-04-04,JPY,0.012615,CHF
2002-04-05,JPY,0.01271,CHF
2002-04-08,JPY,0.01280,CHF
2002-04-09,JPY,0.01282,CHF
2002-04-10,JPY,0.012845,CHF
2002-04-11,JPY,0.012785,CHF
2002-04-12,JPY,0.012685,CHF
2002-04-15,JPY,0.012735,CHF
2002-04-16,JPY,0.01279,CHF
2002-04-17,JPY,0.01276,CHF
2002-04-18,JPY,0.012745,CHF
2002-04-19,JPY,0.012765,CHF
2002-04-22,JPY,0.01277,CHF
2002-04-23,JPY,0.01284,CHF
2002-04-24,JPY,0.012775,CHF
2002-04-25,JPY,0.01282,CHF
2002-04-26,JPY,0.012795,CHF
2002-04-29,JPY,0.01281,CHF
2002-04-30,JPY,0.01275,CHF
2002-05-01,JPY,0.01266,CHF
2002-05-02,JPY,0.012715,CHF
2002-05-03,JPY,0.012705,CHF
2002-05-06,JPY,0.012605,CHF
2002-05-07,JPY,0.012575,CHF
2002-05-08,JPY,0.012555,CHF
2002-05-10,JPY,0.01253,CHF
2002-05-13,JPY,0.01256,CHF
2002-05-14,JPY,0.01260,CHF
2002-05-15,JPY,0.012675,CHF
2002-05-16,JPY,0.012615,CHF
2002-05-17,JPY,0.01259,CHF
2002-05-21,JPY,0.01268,CHF
2002-05-22,JPY,0.012705,CHF
2002-05-23,JPY,0.012765,CHF
2002-05-24,JPY,0.01275,CHF
2002-05-27,JPY,0.01278,CHF
2002-05-28,JPY,0.01278,CHF
2002-05-29,JPY,0.012745,CHF
2002-05-30,JPY,0.01271,CHF
2002-05-31,JPY,0.012695,CHF
2002-06-03,JPY,0.012745,CHF
2002-06-04,JPY,0.012715,CHF
2002-06-05,JPY,0.01270,CHF
2002-06-06,JPY,0.01268,CHF
2002-06-07,JPY,0.012605,CHF
2002-06-10,JPY,0.012615,CHF
2002-06-11,JPY,0.01259,CHF
2002-06-12,JPY,0.012485,CHF
2002-06-13,JPY,0.012545,CHF
2002-06-14,JPY,0.012625,CHF
2002-06-17,JPY,0.01267,CHF
2002-06-18,JPY,0.01262,CHF
2002-06-19,JPY,0.012555,CHF
2002-06-20,JPY,0.012485,CHF
2002-06-21,JPY,0.01243,CHF
2002-06-24,JPY,0.01249,CHF
2002-06-25,JPY,0.012505,CHF
2002-06-26,JPY,0.01242,CHF
2002-06-27,JPY,0.01255,CHF
2002-06-28,JPY,0.012555,CHF
2002-07-01,JPY,0.01246,CHF
2002-07-02,JPY,0.01253,CHF
2002-07-03,JPY,0.01252,CHF
2002-07-04,JPY,0.012565,CHF
2002-07-05,JPY,0.01258,CHF
2002-07-08,JPY,0.012625,CHF
2002-07-09,JPY,0.01264,CHF
2002-07-10,JPY,0.01266,CHF
2002-07-11,JPY,0.01277,CHF
2002-07-12,JPY,0.01282,CHF
2002-07-15,JPY,0.012805,CHF
2002-07-16,JPY,0.01263,CHF
2002-07-17,JPY,0.012585,CHF
2002-07-18,JPY,0.01256,CHF
2002-07-19,JPY,0.01253,CHF
2002-07-22,JPY,0.01250,CHF
2002-07-23,JPY,0.012575,CHF
2002-07-24,JPY,0.01259,CHF
2002-07-25,JPY,0.012555,CHF
2002-07-26,JPY,0.01240,CHF
2002-07-29,JPY,0.01243,CHF
2002-07-30,JPY,0.01247,CHF
2002-07-31,JPY,0.01248,CHF
2002-08-02,JPY,0.012435,CHF
2002-08-05,JPY,0.01252,CHF
2002-08-06,JPY,0.01252,CHF
2002-08-07,JPY,0.012545,CHF
2002-08-08,JPY,0.012565,CHF
2002-08-09,JPY,0.012585,CHF
2002-08-12,JPY,0.01261,CHF
2002-08-13,JPY,0.01269,CHF
2002-08-14,JPY,0.012735,CHF
2002-08-15,JPY,0.01288,CHF
2002-08-16,JPY,0.01280,CHF
2002-08-19,JPY,0.012705,CHF
2002-08-20,JPY,0.01269,CHF
2002-08-21,JPY,0.01278,CHF
2002-08-22,JPY,0.01273,CHF
2002-08-23,JPY,0.012765,CHF
2002-08-26,JPY,0.01277,CHF
2002-08-27,JPY,0.01278,CHF
2002-08-28,JPY,0.012705,CHF
2002-08-29,JPY,0.01278,CHF
2002-08-30,JPY,0.01274,CHF
2002-09-02,JPY,0.012765,CHF
2002-09-03,JPY,0.012745,CHF
2002-09-04,JPY,0.012625,CHF
2002-09-05,JPY,0.012585,CHF
2002-09-06,JPY,0.012515,CHF
2002-09-09,JPY,0.012655,CHF
2002-09-10,JPY,0.01262,CHF
2002-09-11,JPY,0.01258,CHF
2002-09-12,JPY,0.012595,CHF
2002-09-13,JPY,0.01258,CHF
2002-09-16,JPY,0.01250,CHF
2002-09-17,JPY,0.012495,CHF
2002-09-18,JPY,0.01249,CHF
2002-09-19,JPY,0.012405,CHF
2002-09-20,JPY,0.01219,CHF
2002-09-23,JPY,0.01218,CHF
2002-09-24,JPY,0.012215,CHF
2002-09-25,JPY,0.01226,CHF
2002-09-26,JPY,0.012255,CHF
2002-09-27,JPY,0.01234,CHF
2002-09-30,JPY,0.01231,CHF
2002-10-01,JPY,0.01218,CHF
2002-10-02,JPY,0.012195,CHF
2002-10-03,JPY,0.01209,CHF
2002-10-04,JPY,0.012155,CHF
2002-10-07,JPY,0.01213,CHF
2002-10-08,JPY,0.01209,CHF
2002-10-09,JPY,0.012175,CHF
2002-10-10,JPY,0.01209,CHF
2002-10-11,JPY,0.012055,CHF
2002-10-14,JPY,0.012025,CHF
2002-10-15,JPY,0.01201,CHF
2002-10-16,JPY,0.012115,CHF
2002-10-17,JPY,0.012175,CHF
2002-10-18,JPY,0.01217,CHF
2002-10-21,JPY,0.012185,CHF
2002-10-22,JPY,0.012165,CHF
2002-10-23,JPY,0.01216,CHF
2002-10-24,JPY,0.012195,CHF
2002-10-25,JPY,0.01221,CHF
2002-10-28,JPY,0.012165,CHF
2002-10-29,JPY,0.012135,CHF
2002-10-30,JPY,0.012235,CHF
2002-10-31,JPY,0.01220,CHF
2002-11-01,JPY,0.01220,CHF
2002-11-04,JPY,0.012089,CHF
2002-11-05,JPY,0.01207,CHF
2002-11-06,JPY,0.01209,CHF
2002-11-07,JPY,0.01207,CHF
2002-11-08,JPY,0.01206,CHF
2002-11-11,JPY,0.01216,CHF
2002-11-12,JPY,0.01220,CHF
2002-11-13,JPY,0.01218,CHF
2002-11-14,JPY,0.01219,CHF
2002-11-15,JPY,0.012205,CHF
2002-11-18,JPY,0.012105,CHF
2002-11-19,JPY,0.01209,CHF
2002-11-20,JPY,0.01205,CHF
2002-11-21,JPY,0.01210,CHF
2002-11-22,JPY,0.01206,CHF
2002-11-25,JPY,0.01217,CHF
2002-11-26,JPY,0.012295,CHF
2002-11-27,JPY,0.012275,CHF
2002-11-28,JPY,0.012245,CHF
2002-11-29,JPY,0.01223,CHF
2002-12-02,JPY,0.012115,CHF
2002-12-03,JPY,0.011965,CHF
2002-12-04,JPY,0.011885,CHF
2002-12-05,JPY,0.011845,CHF
2002-12-06,JPY,0.011835,CHF
2002-12-09,JPY,0.011985,CHF
2002-12-10,JPY,0.01190,CHF
2002-12-11,JPY,0.01194,CHF
2002-12-12,JPY,0.01191,CHF
2002-12-13,JPY,0.011905,CHF
2002-12-16,JPY,0.01205,CHF
2002-12-17,JPY,0.011925,CHF
2002-12-18,JPY,0.011905,CHF
2002-12-19,JPY,0.01186,CHF
2002-12-20,JPY,0.01189,CHF
2002-12-23,JPY,0.011905,CHF
2002-12-24,JPY,0.01185,CHF
2002-12-30,JPY,0.01177,CHF
2002-12-31,JPY,0.011795,CHF
2003-01-06,JPY,0.011775,CHF
2003-01-07,JPY,0.01178,CHF
2003-01-08,JPY,0.011745,CHF
2003-01-09,JPY,0.01174,CHF
2003-01-10,JPY,0.011705,CHF
2003-01-13,JPY,0.011695,CHF
2003-01-14,JPY,0.011735,CHF
2003-01-15,JPY,0.01185,CHF
2003-01-16,JPY,0.011825,CHF
2003-01-17,JPY,0.01173,CHF
2003-01-20,JPY,0.01169,CHF
2003-01-21,JPY,0.011625,CHF
2003-01-22,JPY,0.01161,CHF
2003-01-23,JPY,0.01163,CHF
2003-01-24,JPY,0.011605,CHF
2003-01-27,JPY,0.011545,CHF
2003-01-28,JPY,0.011535,CHF
2003-01-29,JPY,0.011525,CHF
2003-01-30,JPY,0.01155,CHF
2003-01-31,JPY,0.011485,CHF
2003-02-03,JPY,0.01146,CHF
2003-02-04,JPY,0.011385,CHF
2003-02-05,JPY,0.01134,CHF
2003-02-06,JPY,0.011425,CHF
2003-02-07,JPY,0.01141,CHF
2003-02-10,JPY,0.01135,CHF
2003-02-11,JPY,0.011365,CHF
2003-02-12,JPY,0.011405,CHF
2003-02-13,JPY,0.011345,CHF
2003-02-14,JPY,0.01136,CHF
2003-02-17,JPY,0.011535,CHF
2003-02-18,JPY,0.011585,CHF
2003-02-19,JPY,0.011625,CHF
2003-02-20,JPY,0.011575,CHF
