date,symbol,price,currency
2010-07-01,KES,0.0132759,CHF
2010-07-02,KES,0.0131411,CHF
2010-07-05,KES,0.0132463,CHF
2010-07-06,KES,0.013182,CHF
2010-07-07,KES,0.0131691,CHF
2010-07-08,KES,0.0130018,CHF
2010-07-09,KES,0.0130421,CHF
2010-07-12,KES,0.0131245,CHF
2010-07-13,KES,0.0131215,CHF
2010-07-14,KES,0.0130725,CHF
2010-07-15,KES,0.0130207,CHF
2010-07-16,KES,0.0129536,CHF
2010-07-19,KES,0.0129838,CHF
2010-07-20,KES,0.0130565,CHF
2010-07-21,KES,0.0130083,CHF
2010-07-22,KES,0.0129901,CHF
2010-07-23,KES,0.0129367,CHF
2010-07-26,KES,0.0129674,CHF
2010-07-27,KES,0.0129568,CHF
2010-07-28,KES,0.0133257,CHF
2010-07-29,KES,0.0132635,CHF
2010-07-30,KES,0.0131123,CHF
2010-08-02,KES,0.013118,CHF
2010-08-03,KES,0.0131224,CHF
2010-08-04,KES,0.0131414,CHF
2010-08-05,KES,0.0133158,CHF
2010-08-06,KES,0.0133099,CHF
2010-08-09,KES,0.0132402,CHF
2010-08-10,KES,0.0133738,CHF
2010-08-11,KES,0.0133457,CHF
2010-08-12,KES,0.0133861,CHF
2010-08-13,KES,0.0132043,CHF
2010-08-16,KES,0.0132218,CHF
2010-08-17,KES,0.0130565,CHF
2010-08-18,KES,0.0131251,CHF
2010-08-19,KES,0.0130892,CHF
2010-08-20,KES,0.0128861,CHF
2010-08-23,KES,0.0128772,CHF
2010-08-24,KES,0.0129718,CHF
2010-08-25,KES,0.0128448,CHF
2010-08-26,KES,0.0128641,CHF
2010-08-27,KES,0.0127973,CHF
2010-08-30,KES,0.0128823,CHF
2010-08-31,KES,0.0127814,CHF
2010-09-01,KES,0.012693,CHF
2010-09-02,KES,0.0127774,CHF
2010-09-03,KES,0.0126958,CHF
2010-09-06,KES,0.0127132,CHF
2010-09-07,KES,0.0126203,CHF
2010-09-08,KES,0.0126303,CHF
2010-09-09,KES,0.0125917,CHF
2010-09-10,KES,0.0127265,CHF
2010-09-13,KES,0.0126877,CHF
2010-09-14,KES,0.0125885,CHF
2010-09-15,KES,0.0124748,CHF
2010-09-16,KES,0.012547,CHF
2010-09-17,KES,0.0127695,CHF
2010-09-20,KES,0.0126654,CHF
2010-09-21,KES,0.0125475,CHF
2010-09-22,KES,0.0124266,CHF
2010-09-23,KES,0.0123438,CHF
2010-09-24,KES,0.0122908,CHF
2010-09-27,KES,0.0123312,CHF
2010-09-28,KES,0.0123276,CHF
2010-09-29,KES,0.01221,CHF
2010-09-30,KES,0.0122365,CHF
2010-10-01,KES,0.0122814,CHF
2010-10-04,KES,0.0122338,CHF
2010-10-05,KES,0.0121675,CHF
2010-10-06,KES,0.0120912,CHF
2010-10-07,KES,0.0120649,CHF
2010-10-08,KES,0.0121489,CHF
2010-10-11,KES,0.0122338,CHF
2010-10-12,KES,0.0121162,CHF
2010-10-13,KES,0.0119661,CHF
2010-10-14,KES,0.0119719,CHF
2010-10-15,KES,0.0119832,CHF
2010-10-18,KES,0.0120547,CHF
2010-10-19,KES,0.0120274,CHF
2010-10-20,KES,0.0121325,CHF
2010-10-21,KES,0.0120787,CHF
2010-10-22,KES,0.01214,CHF
2010-10-25,KES,0.0121875,CHF
2010-10-26,KES,0.0121877,CHF
2010-10-27,KES,0.0123454,CHF
2010-10-28,KES,0.012365,CHF
2010-10-29,KES,0.0123521,CHF
2010-11-01,KES,0.0123089,CHF
2010-11-02,KES,0.012436,CHF
2010-11-03,KES,0.0123007,CHF
2010-11-04,KES,0.0122204,CHF
2010-11-05,KES,0.0120554,CHF
2010-11-08,KES,0.0121869,CHF
2010-11-09,KES,0.0121175,CHF
2010-11-10,KES,0.0121904,CHF
2010-11-11,KES,0.0121702,CHF
2010-11-12,KES,0.0122873,CHF
2010-11-15,KES,0.012296,CHF
2010-11-16,KES,0.0123412,CHF
2010-11-17,KES,0.0125314,CHF
2010-11-18,KES,0.0125099,CHF
2010-11-19,KES,0.0125598,CHF
2010-11-22,KES,0.0125149,CHF
2010-11-23,KES,0.0124913,CHF
2010-11-24,KES,0.0125566,CHF
2010-11-25,KES,0.0125313,CHF
2010-11-26,KES,0.0125697,CHF
2010-11-29,KES,0.012509,CHF
2010-11-30,KES,0.0125117,CHF
2010-12-01,KES,0.0124941,CHF
2010-12-02,KES,0.0125472,CHF
2010-12-03,KES,0.0125268,CHF
2010-12-06,KES,0.0122898,CHF
2010-12-07,KES,0.0123389,CHF
2010-12-08,KES,0.0124317,CHF
2010-12-09,KES,0.0123675,CHF
2010-12-10,KES,0.0123435,CHF
2010-12-13,KES,0.0123435,CHF
2010-12-14,KES,0.0121614,CHF
2010-12-15,KES,0.0120986,CHF
2010-12-16,KES,0.0121627,CHF
2010-12-17,KES,0.0120631,CHF
2010-12-20,KES,0.0121783,CHF
2010-12-21,KES,0.0120999,CHF
2010-12-22,KES,0.0120203,CHF
2010-12-23,KES,0.0119269,CHF
