date,symbol,price,currency
2010-07-01,KHR,0.00025856,CHF
2010-07-02,KHR,0.00025452,CHF
2010-07-05,KHR,0.0002525,CHF
2010-07-06,KHR,0.0002525,CHF
2010-07-07,KHR,0.0002525,CHF
2010-07-08,KHR,0.00024947,CHF
2010-07-09,KHR,0.00025149,CHF
2010-07-12,KHR,0.00025048,CHF
2010-07-13,KHR,0.00025452,CHF
2010-07-14,KHR,0.00025149,CHF
2010-07-15,KHR,0.00025149,CHF
2010-07-16,KHR,0.00025149,CHF
2010-07-19,KHR,0.00024947,CHF
2010-07-20,KHR,0.0002525,CHF
2010-07-21,KHR,0.00025048,CHF
2010-07-22,KHR,0.00025149,CHF
2010-07-23,KHR,0.00024947,CHF
2010-07-26,KHR,0.00025,CHF
2010-07-27,KHR,0.00025,CHF
2010-07-28,KHR,0.00025553,CHF
2010-07-29,KHR,0.00025048,CHF
2010-07-30,KHR,0.00024846,CHF
2010-08-02,KHR,0.00024947,CHF
2010-08-03,KHR,0.00025048,CHF
2010-08-04,KHR,0.00024644,CHF
2010-08-05,KHR,0.00025149,CHF
2010-08-06,KHR,0.00024947,CHF
2010-08-09,KHR,0.00024846,CHF
2010-08-10,KHR,0.00024947,CHF
2010-08-11,KHR,0.00025048,CHF
2010-08-12,KHR,0.00025351,CHF
2010-08-13,KHR,0.00025149,CHF
2010-08-16,KHR,0.00025149,CHF
2010-08-17,KHR,0.00024644,CHF
2010-08-18,KHR,0.00024846,CHF
2010-08-19,KHR,0.00024745,CHF
2010-08-20,KHR,0.00024846,CHF
2010-08-23,KHR,0.00024543,CHF
2010-08-24,KHR,0.00025149,CHF
2010-08-25,KHR,0.00024846,CHF
2010-08-26,KHR,0.00024846,CHF
2010-08-27,KHR,0.00024644,CHF
2010-08-30,KHR,0.00024846,CHF
2010-08-31,KHR,0.00024644,CHF
2010-09-01,KHR,0.00024543,CHF
2010-09-02,KHR,0.00024442,CHF
2010-09-03,KHR,0.00024038,CHF
2010-09-06,KHR,0.000242834,CHF
2010-09-07,KHR,0.000242663,CHF
2010-09-08,KHR,0.000242067,CHF
2010-09-09,KHR,0.00024136,CHF
2010-09-10,KHR,0.000244289,CHF
2010-09-13,KHR,0.000242228,CHF
2010-09-14,KHR,0.000240835,CHF
2010-09-15,KHR,0.000239006,CHF
2010-09-16,KHR,0.000240077,CHF
2010-09-17,KHR,0.000243865,CHF
2010-09-20,KHR,0.000242036,CHF
2010-09-21,KHR,0.00023937,CHF
2010-09-22,KHR,0.000238804,CHF
2010-09-23,KHR,0.000236906,CHF
2010-09-24,KHR,0.000235582,CHF
2010-09-27,KHR,0.000236663,CHF
2010-09-28,KHR,0.000234775,CHF
2010-09-29,KHR,0.000232684,CHF
2010-09-30,KHR,0.000232977,CHF
2010-10-01,KHR,0.000235138,CHF
2010-10-04,KHR,0.000234098,CHF
2010-10-05,KHR,0.000232936,CHF
2010-10-06,KHR,0.000231916,CHF
2010-10-07,KHR,0.000230704,CHF
2010-10-08,KHR,0.000231542,CHF
2010-10-11,KHR,0.000234098,CHF
2010-10-12,KHR,0.000231532,CHF
2010-10-13,KHR,0.000228371,CHF
2010-10-14,KHR,0.000228199,CHF
2010-10-15,KHR,0.000229805,CHF
2010-10-18,KHR,0.000230361,CHF
2010-10-19,KHR,0.000230139,CHF
2010-10-20,KHR,0.000231159,CHF
2010-10-21,KHR,0.000230159,CHF
2010-10-22,KHR,0.000231452,CHF
2010-10-25,KHR,0.000233765,CHF
2010-10-26,KHR,0.000232775,CHF
2010-10-27,KHR,0.000236047,CHF
2010-10-28,KHR,0.00023731,CHF
2010-10-29,KHR,0.000236188,CHF
2010-11-01,KHR,0.000236088,CHF
2010-11-02,KHR,0.000237936,CHF
2010-11-03,KHR,0.000235199,CHF
2010-11-04,KHR,0.000233391,CHF
2010-11-05,KHR,0.000231098,CHF
2010-11-08,KHR,0.000235078,CHF
2010-11-09,KHR,0.000237512,CHF
2010-11-10,KHR,0.000241259,CHF
2010-11-11,KHR,0.000241067,CHF
2010-11-12,KHR,0.000243319,CHF
2010-11-15,KHR,0.000243349,CHF
2010-11-16,KHR,0.000244723,CHF
2010-11-17,KHR,0.000248248,CHF
2010-11-18,KHR,0.000246652,CHF
2010-11-19,KHR,0.000248561,CHF
2010-11-22,KHR,0.000247359,CHF
2010-11-23,KHR,0.000245996,CHF
2010-11-24,KHR,0.000247571,CHF
2010-11-25,KHR,0.000247844,CHF
2010-11-26,KHR,0.000248308,CHF
2010-11-29,KHR,0.000245763,CHF
2010-11-30,KHR,0.000249005,CHF
2010-12-01,KHR,0.000250187,CHF
2010-12-02,KHR,0.00025048,CHF
2010-12-03,KHR,0.000247521,CHF
2010-12-06,KHR,0.000243673,CHF
2010-12-07,KHR,0.000244046,CHF
2010-12-08,KHR,0.000246036,CHF
2010-12-09,KHR,0.000244915,CHF
2010-12-10,KHR,0.000244592,CHF
2010-12-13,KHR,0.000245198,CHF
2010-12-14,KHR,0.000240925,CHF
2010-12-15,KHR,0.000240178,CHF
2010-12-16,KHR,0.000241754,CHF
2010-12-17,KHR,0.000239976,CHF
2010-12-20,KHR,0.000241703,CHF
2010-12-21,KHR,0.00024036,CHF
2010-12-22,KHR,0.000238097,CHF
2010-12-23,KHR,0.000236481,CHF
2010-12-24,KHR,0.000238542,CHF
2010-12-27,KHR,0.000239936,CHF
2010-12-28,KHR,0.00023834,CHF
2010-12-29,KHR,0.000238693,CHF
2010-12-30,KHR,0.000235673,CHF
2010-12-31,KHR,0.000233916,CHF
2011-01-03,KHR,0.000234754,CHF
2011-01-04,KHR,0.000234057,CHF
2011-01-05,KHR,0.000236885,CHF
2011-01-06,KHR,0.000241673,CHF
2011-01-07,KHR,0.000240804,CHF
2011-01-10,KHR,0.000241572,CHF
2011-01-11,KHR,0.000241956,CHF
2011-01-12,KHR,0.000243349,CHF
2011-01-13,KHR,0.000242521,CHF
2011-01-14,KHR,0.000241279,CHF
2011-01-17,KHR,0.000241228,CHF
2011-01-18,KHR,0.000240774,CHF
2011-01-19,KHR,0.000240178,CHF
2011-01-21,KHR,0.000241754,CHF
2011-01-24,KHR,0.000239855,CHF
2011-01-25,KHR,0.000237027,CHF
2011-01-26,KHR,0.000235623,CHF
2011-01-27,KHR,0.000235754,CHF
2011-01-28,KHR,0.000236744,CHF
2011-01-31,KHR,0.000235694,CHF
2011-02-01,KHR,0.000235411,CHF
2011-02-02,KHR,0.000234047,CHF
2011-02-03,KHR,0.000235421,CHF
2011-02-04,KHR,0.00023637,CHF
2011-02-07,KHR,0.000238744,CHF
2011-02-08,KHR,0.000238673,CHF
2011-02-09,KHR,0.000240895,CHF
2011-02-10,KHR,0.000239966,CHF
2011-02-11,KHR,0.000242148,CHF
2011-02-14,KHR,0.000243349,CHF
2011-02-15,KHR,0.000242622,CHF
2011-02-16,KHR,0.000242148,CHF
2011-02-17,KHR,0.000235542,CHF
2011-02-18,KHR,0.000235825,CHF
2011-02-21,KHR,0.000237471,CHF
2011-02-22,KHR,0.000238451,CHF
2011-02-23,KHR,0.000234785,CHF
2011-02-24,KHR,0.000233401,CHF
2011-02-25,KHR,0.000231896,CHF
2011-02-28,KHR,0.000233219,CHF
2011-03-01,KHR,0.000233754,CHF
2011-03-02,KHR,0.000232967,CHF
2011-03-03,KHR,0.000231936,CHF
2011-03-04,KHR,0.000233967,CHF
2011-03-07,KHR,0.000232674,CHF
2011-03-08,KHR,0.000233189,CHF
2011-03-09,KHR,0.000235926,CHF
2011-03-10,KHR,0.000233451,CHF
2011-03-11,KHR,0.000233936,CHF
2011-03-14,KHR,0.00023332,CHF
2011-03-15,KHR,0.000232229,CHF
2011-03-16,KHR,0.000230068,CHF
2011-03-17,KHR,0.000225856,CHF
2011-03-18,KHR,0.000227846,CHF
2011-03-21,KHR,0.000226967,CHF
2011-03-22,KHR,0.000227513,CHF
2011-03-23,KHR,0.000227018,CHF
2011-03-24,KHR,0.000228068,CHF
2011-03-25,KHR,0.000227947,CHF
2011-03-28,KHR,0.000232361,CHF
2011-03-29,KHR,0.000230219,CHF
2011-03-30,KHR,0.000231866,CHF
2011-03-31,KHR,0.000231947,CHF
2011-04-01,KHR,0.000232381,CHF
2011-04-04,KHR,0.000233825,CHF
2011-04-05,KHR,0.00023226,CHF
2011-04-06,KHR,0.000235461,CHF
2011-04-07,KHR,0.000233239,CHF
2011-04-08,KHR,0.000232037,CHF
2011-04-11,KHR,0.000231189,CHF
2011-04-12,KHR,0.000230007,CHF
2011-04-13,KHR,0.000228583,CHF
2011-04-14,KHR,0.000227593,CHF
2011-04-15,KHR,0.000227472,CHF
2011-04-18,KHR,0.000227856,CHF
2011-04-19,KHR,0.000228997,CHF
2011-04-20,KHR,0.000227472,CHF
2011-04-21,KHR,0.000224281,CHF
2011-04-22,KHR,0.000224341,CHF
2011-04-25,KHR,0.000220705,CHF
2011-04-26,KHR,0.000221695,CHF
2011-04-27,KHR,0.000221089,CHF
2011-04-28,KHR,0.000219422,CHF
2011-04-29,KHR,0.000220513,CHF
2011-05-02,KHR,0.000215625,CHF
2011-05-03,KHR,0.000218241,CHF
2011-05-04,KHR,0.000214878,CHF
2011-05-05,KHR,0.000214009,CHF
2011-05-06,KHR,0.000215726,CHF
2011-05-09,KHR,0.000220766,CHF
2011-05-10,KHR,0.000219554,CHF
2011-05-11,KHR,0.000221725,CHF
2011-05-12,KHR,0.000223796,CHF
2011-05-13,KHR,0.000224048,CHF
2011-05-16,KHR,0.000225563,CHF
2011-05-17,KHR,0.000223432,CHF
2011-05-18,KHR,0.000221796,CHF
2011-05-19,KHR,0.000222129,CHF
2011-05-20,KHR,0.000218776,CHF
2011-05-23,KHR,0.000217665,CHF
2011-05-24,KHR,0.000222655,CHF
2011-05-25,KHR,0.0002171,CHF
2011-05-26,KHR,0.000214878,CHF
2011-05-27,KHR,0.000212777,CHF
2011-05-30,KHR,0.00021107,CHF
2011-05-31,KHR,0.000209252,CHF
2011-06-01,KHR,0.000211393,CHF
2011-06-02,KHR,0.000209292,CHF
2011-06-03,KHR,0.000209191,CHF
2011-06-06,KHR,0.000207161,CHF
2011-06-07,KHR,0.000206141,CHF
