date,symbol,price,currency
2007-04-02,KRW,0.001348,CHF
2007-04-03,KRW,0.001352,CHF
2007-04-04,KRW,0.001356,CHF
2007-04-05,KRW,0.001361,CHF
2007-04-10,KRW,0.001359,CHF
2007-04-11,KRW,0.00136,CHF
2007-04-12,KRW,0.001362,CHF
2007-04-13,KRW,0.001357,CHF
2007-04-16,KRW,0.001357,CHF
2007-04-17,KRW,0.001359,CHF
2007-04-18,KRW,0.001354,CHF
2007-04-19,KRW,0.001346,CHF
2007-04-20,KRW,0.001354,CHF
2007-04-23,KRW,0.00136,CHF
2007-04-24,KRW,0.001358,CHF
2007-04-25,KRW,0.00135,CHF
2007-04-26,KRW,0.001349,CHF
2007-04-27,KRW,0.00135,CHF
2007-04-30,KRW,0.001351,CHF
2007-05-01,KRW,0.001351,CHF
2007-05-02,KRW,0.001361,CHF
2007-05-03,KRW,0.00136,CHF
2007-05-04,KRW,0.001364,CHF
2007-05-07,KRW,0.001364,CHF
2007-05-08,KRW,0.001368,CHF
2007-05-09,KRW,0.00137,CHF
2007-05-10,KRW,0.001369,CHF
2007-05-11,KRW,0.001368,CHF
2007-05-14,KRW,0.001374,CHF
2007-05-15,KRW,0.001369,CHF
2007-05-16,KRW,0.001368,CHF
2007-05-18,KRW,0.001367,CHF
2007-05-21,KRW,0.001373,CHF
2007-05-22,KRW,0.001374,CHF
2007-05-23,KRW,0.001373,CHF
2007-05-24,KRW,0.001371,CHF
2007-05-25,KRW,0.001373,CHF
2007-05-29,KRW,0.001374,CHF
2007-05-30,KRW,0.001369,CHF
2007-05-31,KRW,0.001374,CHF
2007-06-01,KRW,0.001377,CHF
2007-06-04,KRW,0.001377,CHF
2007-06-05,KRW,0.001371,CHF
2007-06-06,KRW,0.001366,CHF
2007-06-07,KRW,0.001369,CHF
2007-06-08,KRW,0.001371,CHF
2007-06-11,KRW,0.001381,CHF
2007-06-12,KRW,0.001387,CHF
2007-06-13,KRW,0.00139,CHF
2007-06-14,KRW,0.001394,CHF
2007-06-15,KRW,0.001394,CHF
2007-06-18,KRW,0.001391,CHF
2007-06-19,KRW,0.001392,CHF
2007-06-20,KRW,0.001389,CHF
2007-06-21,KRW,0.001393,CHF
2007-06-22,KRW,0.001386,CHF
2007-06-25,KRW,0.00138,CHF
2007-06-26,KRW,0.001381,CHF
2007-06-27,KRW,0.001377,CHF
2007-06-28,KRW,0.00138,CHF
2007-06-29,KRW,0.001387,CHF
2007-07-02,KRW,0.001375,CHF
2007-07-03,KRW,0.001374,CHF
2007-07-04,KRW,0.001376,CHF
2007-07-05,KRW,0.00137,CHF
2007-07-06,KRW,0.00138,CHF
2007-07-09,KRW,0.001376,CHF
2007-07-10,KRW,0.001376,CHF
2007-07-11,KRW,0.001361,CHF
2007-07-12,KRW,0.001362,CHF
2007-07-13,KRW,0.001368,CHF
2007-07-16,KRW,0.001362,CHF
2007-07-17,KRW,0.001362,CHF
2007-07-18,KRW,0.00136,CHF
2007-07-19,KRW,0.001365,CHF
2007-07-20,KRW,0.001369,CHF
2007-07-23,KRW,0.001365,CHF
2007-07-24,KRW,0.001372,CHF
2007-07-25,KRW,0.001375,CHF
2007-07-26,KRW,0.001373,CHF
2007-07-27,KRW,0.00136,CHF
2007-07-30,KRW,0.001357,CHF
2007-07-31,KRW,0.001364,CHF
2007-08-02,KRW,0.001357,CHF
2007-08-03,KRW,0.001361,CHF
2007-08-06,KRW,0.001336,CHF
2007-08-07,KRW,0.001342,CHF
2007-08-08,KRW,0.00135,CHF
2007-08-09,KRW,0.001346,CHF
2007-08-10,KRW,0.001337,CHF
2007-08-13,KRW,0.001342,CHF
2007-08-14,KRW,0.001347,CHF
2007-08-15,KRW,0.001348,CHF
2007-08-16,KRW,0.001343,CHF
2007-08-17,KRW,0.001326,CHF
2007-08-20,KRW,0.001332,CHF
2007-08-21,KRW,0.001325,CHF
2007-08-22,KRW,0.001331,CHF
2007-08-23,KRW,0.001338,CHF
2007-08-24,KRW,0.001332,CHF
2007-08-27,KRW,0.001333,CHF
2007-08-28,KRW,0.001331,CHF
2007-08-29,KRW,0.001328,CHF
2007-08-30,KRW,0.001331,CHF
2007-08-31,KRW,0.001337,CHF
2007-09-03,KRW,0.00134,CHF
2007-09-04,KRW,0.00134,CHF
2007-09-05,KRW,0.001345,CHF
2007-09-06,KRW,0.001336,CHF
2007-09-07,KRW,0.001333,CHF
2007-09-10,KRW,0.001315,CHF
2007-09-11,KRW,0.00132,CHF
2007-09-12,KRW,0.001324,CHF
2007-09-13,KRW,0.001323,CHF
2007-09-14,KRW,0.00133,CHF
2007-09-17,KRW,0.001329,CHF
2007-09-18,KRW,0.001329,CHF
2007-09-19,KRW,0.001326,CHF
2007-09-20,KRW,0.001325,CHF
2007-09-21,KRW,0.001321,CHF
2007-09-24,KRW,0.001325,CHF
2007-09-25,KRW,0.001326,CHF
2007-09-26,KRW,0.001324,CHF
2007-09-27,KRW,0.001325,CHF
2007-09-28,KRW,0.001331,CHF
2007-10-01,KRW,0.001334,CHF
2007-10-02,KRW,0.001333,CHF
2007-10-03,KRW,0.001335,CHF
2007-10-04,KRW,0.001338,CHF
2007-10-05,KRW,0.001335,CHF
2007-10-08,KRW,0.001343,CHF
2007-10-09,KRW,0.001345,CHF
2007-10-10,KRW,0.00134,CHF
2007-10-11,KRW,0.001338,CHF
2007-10-12,KRW,0.00134,CHF
2007-10-15,KRW,0.001339,CHF
2007-10-16,KRW,0.00134,CHF
2007-10-17,KRW,0.00134,CHF
2007-10-18,KRW,0.001335,CHF
2007-10-19,KRW,0.001331,CHF
2007-10-22,KRW,0.00132,CHF
2007-10-23,KRW,0.00133,CHF
2007-10-24,KRW,0.001333,CHF
2007-10-25,KRW,0.001331,CHF
2007-10-26,KRW,0.001332,CHF
2007-10-29,KRW,0.001333,CHF
2007-10-30,KRW,0.001338,CHF
2007-10-31,KRW,0.001337,CHF
2007-11-01,KRW,0.001337,CHF
2007-11-02,KRW,0.001323,CHF
2007-11-05,KRW,0.001323,CHF
2007-11-06,KRW,0.00132,CHF
2007-11-07,KRW,0.001307,CHF
2007-11-08,KRW,0.001296,CHF
2007-11-09,KRW,0.001289,CHF
2007-11-12,KRW,0.001284,CHF
2007-11-13,KRW,0.001274,CHF
2007-11-14,KRW,0.001281,CHF
2007-11-15,KRW,0.001277,CHF
2007-11-16,KRW,0.00127,CHF
2007-11-19,KRW,0.001265,CHF
2007-11-20,KRW,0.00125,CHF
2007-11-21,KRW,0.001239,CHF
2007-11-22,KRW,0.001228,CHF
2007-11-23,KRW,0.001224,CHF
2007-11-26,KRW,0.001233,CHF
2007-11-27,KRW,0.001231,CHF
2007-11-28,KRW,0.001239,CHF
2007-11-29,KRW,0.001252,CHF
2007-11-30,KRW,0.00126,CHF
2007-12-03,KRW,0.001271,CHF
2007-12-04,KRW,0.001273,CHF
2007-12-05,KRW,0.001262,CHF
2007-12-06,KRW,0.001276,CHF
2007-12-07,KRW,0.001278,CHF
2007-12-10,KRW,0.001272,CHF
2007-12-11,KRW,0.001272,CHF
2007-12-12,KRW,0.001273,CHF
2007-12-13,KRW,0.001276,CHF
2007-12-14,KRW,0.001282,CHF
2007-12-17,KRW,0.001285,CHF
2007-12-18,KRW,0.001276,CHF
2007-12-19,KRW,0.001283,CHF
2007-12-20,KRW,0.001278,CHF
2007-12-21,KRW,0.001279,CHF
2007-12-24,KRW,0.001279,CHF
2007-12-27,KRW,0.001274,CHF
2007-12-28,KRW,0.001262,CHF
2007-12-31,KRW,0.001262,CHF
2008-01-03,KRW,0.001241,CHF
2008-01-04,KRW,0.001234,CHF
2008-01-07,KRW,0.001235,CHF
2008-01-08,KRW,0.001234,CHF
2008-01-09,KRW,0.001236,CHF
2008-01-10,KRW,0.001238,CHF
2008-01-11,KRW,0.001224,CHF
2008-01-14,KRW,0.001214,CHF
2008-01-15,KRW,0.001216,CHF
2008-01-16,KRW,0.001205,CHF
2008-01-17,KRW,0.001221,CHF
2008-01-18,KRW,0.001219,CHF
2008-01-21,KRW,0.001208,CHF
2008-01-22,KRW,0.001209,CHF
2008-01-23,KRW,0.001195,CHF
2008-01-24,KRW,0.001194,CHF
2008-01-25,KRW,0.001204,CHF
2008-01-28,KRW,0.001196,CHF
2008-01-29,KRW,0.001205,CHF
2008-01-30,KRW,0.001202,CHF
2008-01-31,KRW,0.001196,CHF
2008-02-01,KRW,0.001187,CHF
2008-02-04,KRW,0.001203,CHF
2008-02-05,KRW,0.00121,CHF
2008-02-06,KRW,0.001211,CHF
2008-02-07,KRW,0.001211,CHF
2008-02-08,KRW,0.001218,CHF
2008-02-11,KRW,0.001207,CHF
2008-02-12,KRW,0.001214,CHF
2008-02-13,KRW,0.001214,CHF
2008-02-14,KRW,0.001217,CHF
2008-02-15,KRW,0.001209,CHF
2008-02-18,KRW,0.001213,CHF
2008-02-19,KRW,0.001209,CHF
2008-02-20,KRW,0.001205,CHF
2008-02-21,KRW,0.001203,CHF
2008-02-22,KRW,0.001196,CHF
2008-02-25,KRW,0.001195,CHF
2008-02-26,KRW,0.001199,CHF
2008-02-27,KRW,0.001183,CHF
2008-02-28,KRW,0.001181,CHF
2008-02-29,KRW,0.001162,CHF
2008-03-03,KRW,0.00114,CHF
2008-03-04,KRW,0.001143,CHF
2008-03-05,KRW,0.001141,CHF
2008-03-06,KRW,0.001127,CHF
2008-03-07,KRW,0.001114,CHF
2008-03-10,KRW,0.00110,CHF
2008-03-11,KRW,0.001089,CHF
2008-03-12,KRW,0.001107,CHF
2008-03-13,KRW,0.001072,CHF
