date,symbol,price,currency
2007-04-02,KWD,4.26200,CHF
2007-04-03,KWD,4.27000,CHF
2007-04-04,KWD,4.28000,CHF
2007-04-05,KWD,4.28300,CHF
2007-04-10,KWD,4.28400,CHF
2007-04-11,KWD,4.28000,CHF
2007-04-12,KWD,4.28000,CHF
2007-04-13,KWD,4.25100,CHF
2007-04-16,KWD,4.26100,CHF
2007-04-17,KWD,4.25800,CHF
2007-04-18,KWD,4.23200,CHF
2007-04-19,KWD,4.22200,CHF
2007-04-20,KWD,4.23700,CHF
2007-04-23,KWD,4.24900,CHF
2007-04-24,KWD,4.24900,CHF
2007-04-25,KWD,4.22100,CHF
2007-04-26,KWD,4.23100,CHF
2007-04-27,KWD,4.23800,CHF
2007-04-30,KWD,4.24500,CHF
2007-05-01,KWD,4.24400,CHF
2007-05-02,KWD,4.27100,CHF
2007-05-03,KWD,4.25300,CHF
2007-05-04,KWD,4.26700,CHF
2007-05-07,KWD,4.24700,CHF
2007-05-08,KWD,4.26700,CHF
2007-05-09,KWD,4.27200,CHF
2007-05-10,KWD,4.27300,CHF
2007-05-11,KWD,4.27900,CHF
2007-05-14,KWD,4.28400,CHF
2007-05-15,KWD,4.27600,CHF
2007-05-16,KWD,4.26800,CHF
2007-05-18,KWD,4.30800,CHF
2007-05-21,KWD,4.32600,CHF
2007-05-22,KWD,4.33600,CHF
2007-05-23,KWD,4.33600,CHF
2007-05-24,KWD,4.33000,CHF
2007-05-25,KWD,4.33000,CHF
2007-05-29,KWD,4.31900,CHF
2007-05-30,KWD,4.31000,CHF
2007-05-31,KWD,4.31500,CHF
2007-06-01,KWD,4.32900,CHF
2007-06-04,KWD,4.32600,CHF
2007-06-05,KWD,4.30600,CHF
2007-06-06,KWD,4.29000,CHF
2007-06-07,KWD,4.29800,CHF
2007-06-08,KWD,4.33200,CHF
2007-06-11,KWD,4.36200,CHF
2007-06-12,KWD,4.36600,CHF
2007-06-13,KWD,4.38500,CHF
2007-06-14,KWD,4.38900,CHF
2007-06-15,KWD,4.39000,CHF
2007-06-18,KWD,4.37100,CHF
2007-06-19,KWD,4.37300,CHF
2007-06-20,KWD,4.36500,CHF
2007-06-21,KWD,4.37400,CHF
2007-06-22,KWD,4.35200,CHF
2007-06-25,KWD,4.33000,CHF
2007-06-26,KWD,4.33400,CHF
2007-06-27,KWD,4.33300,CHF
2007-06-28,KWD,4.32900,CHF
2007-06-29,KWD,4.33900,CHF
2007-07-02,KWD,4.29000,CHF
2007-07-03,KWD,4.27200,CHF
2007-07-04,KWD,4.28600,CHF
2007-07-05,KWD,4.27500,CHF
2007-07-06,KWD,4.29700,CHF
2007-07-09,KWD,4.29300,CHF
2007-07-10,KWD,4.28800,CHF
2007-07-11,KWD,4.23700,CHF
2007-07-12,KWD,4.25400,CHF
2007-07-13,KWD,4.26500,CHF
2007-07-16,KWD,4.25300,CHF
2007-07-17,KWD,4.25200,CHF
2007-07-18,KWD,4.23500,CHF
2007-07-19,KWD,4.25200,CHF
2007-07-20,KWD,4.26300,CHF
2007-07-23,KWD,4.24900,CHF
2007-07-24,KWD,4.26800,CHF
2007-07-25,KWD,4.35600,CHF
2007-07-26,KWD,4.36200,CHF
2007-07-27,KWD,4.34000,CHF
2007-07-30,KWD,4.32700,CHF
2007-07-31,KWD,4.33700,CHF
2007-08-02,KWD,4.33500,CHF
2007-08-03,KWD,4.34400,CHF
2007-08-06,KWD,4.27600,CHF
2007-08-07,KWD,4.29300,CHF
2007-08-08,KWD,4.31800,CHF
2007-08-09,KWD,4.30900,CHF
2007-08-10,KWD,4.30700,CHF
2007-08-13,KWD,4.31700,CHF
2007-08-14,KWD,4.34300,CHF
2007-08-15,KWD,4.36800,CHF
2007-08-16,KWD,4.38500,CHF
2007-08-17,KWD,4.35600,CHF
2007-08-20,KWD,4.35000,CHF
2007-08-21,KWD,4.33800,CHF
2007-08-22,KWD,4.34800,CHF
2007-08-23,KWD,4.35500,CHF
2007-08-24,KWD,4.34700,CHF
2007-08-27,KWD,4.33300,CHF
2007-08-28,KWD,4.33400,CHF
2007-08-29,KWD,4.33500,CHF
2007-08-30,KWD,4.33500,CHF
2007-08-31,KWD,4.34700,CHF
2007-09-03,KWD,4.35500,CHF
2007-09-04,KWD,4.36300,CHF
2007-09-05,KWD,4.37100,CHF
2007-09-06,KWD,4.35300,CHF
2007-09-07,KWD,4.34200,CHF
2007-09-10,KWD,4.29000,CHF
2007-09-11,KWD,4.29400,CHF
2007-09-12,KWD,4.29000,CHF
2007-09-13,KWD,4.27900,CHF
2007-09-14,KWD,4.28300,CHF
2007-09-17,KWD,4.28800,CHF
2007-09-18,KWD,4.28800,CHF
2007-09-19,KWD,4.26200,CHF
2007-09-20,KWD,4.23900,CHF
2007-09-21,KWD,4.23700,CHF
2007-09-24,KWD,4.24800,CHF
2007-09-25,KWD,4.25400,CHF
2007-09-26,KWD,4.24500,CHF
2007-09-27,KWD,4.25000,CHF
2007-09-28,KWD,4.24800,CHF
2007-10-01,KWD,4.25300,CHF
2007-10-02,KWD,4.25900,CHF
2007-10-03,KWD,4.25700,CHF
2007-10-04,KWD,4.27500,CHF
2007-10-05,KWD,4.27000,CHF
2007-10-08,KWD,4.28100,CHF
2007-10-09,KWD,4.30000,CHF
2007-10-10,KWD,4.28500,CHF
2007-10-11,KWD,4.27200,CHF
2007-10-12,KWD,4.28400,CHF
2007-10-15,KWD,4.27500,CHF
2007-10-16,KWD,4.30800,CHF
2007-10-17,KWD,4.30000,CHF
2007-10-18,KWD,4.28800,CHF
2007-10-19,KWD,4.27100,CHF
2007-10-22,KWD,4.25200,CHF
2007-10-23,KWD,4.28500,CHF
2007-10-24,KWD,4.29700,CHF
2007-10-25,KWD,4.28500,CHF
2007-10-26,KWD,4.26500,CHF
2007-10-29,KWD,4.25800,CHF
2007-10-30,KWD,4.27100,CHF
2007-10-31,KWD,4.24400,CHF
2007-11-01,KWD,4.26100,CHF
2007-11-02,KWD,4.23600,CHF
2007-11-05,KWD,4.23700,CHF
2007-11-06,KWD,4.22900,CHF
2007-11-07,KWD,4.17500,CHF
2007-11-08,KWD,4.16300,CHF
2007-11-09,KWD,4.12600,CHF
2007-11-12,KWD,4.13700,CHF
2007-11-13,KWD,4.13400,CHF
2007-11-14,KWD,4.13400,CHF
2007-11-15,KWD,4.13200,CHF
2007-11-16,KWD,4.12000,CHF
2007-11-19,KWD,4.11500,CHF
2007-11-20,KWD,4.08100,CHF
2007-11-21,KWD,4.10100,CHF
2007-11-22,KWD,4.07900,CHF
2007-11-23,KWD,4.05000,CHF
2007-11-26,KWD,4.07900,CHF
2007-11-27,KWD,4.09100,CHF
2007-11-28,KWD,4.10800,CHF
2007-11-29,KWD,4.14200,CHF
2007-11-30,KWD,4.15200,CHF
2007-12-03,KWD,4.18700,CHF
2007-12-04,KWD,4.18400,CHF
2007-12-05,KWD,4.15500,CHF
2007-12-06,KWD,4.18800,CHF
2007-12-07,KWD,4.19100,CHF
2007-12-10,KWD,4.18500,CHF
2007-12-11,KWD,4.19400,CHF
2007-12-12,KWD,4.20000,CHF
2007-12-13,KWD,4.20700,CHF
2007-12-14,KWD,4.24700,CHF
2007-12-17,KWD,4.28300,CHF
2007-12-18,KWD,4.26900,CHF
2007-12-19,KWD,4.28200,CHF
2007-12-20,KWD,4.29000,CHF
2007-12-21,KWD,4.28500,CHF
2007-12-24,KWD,4.28500,CHF
2007-12-27,KWD,4.26600,CHF
2007-12-28,KWD,4.21200,CHF
2007-12-31,KWD,4.21200,CHF
2008-01-03,KWD,4.15900,CHF
2008-01-04,KWD,4.14200,CHF
2008-01-07,KWD,4.14900,CHF
2008-01-08,KWD,4.15100,CHF
2008-01-09,KWD,4.13800,CHF
2008-01-10,KWD,4.14800,CHF
2008-01-11,KWD,4.10200,CHF
2008-01-14,KWD,4.05900,CHF
2008-01-15,KWD,4.07500,CHF
2008-01-16,KWD,4.06200,CHF
2008-01-17,KWD,4.11800,CHF
2008-01-18,KWD,4.10800,CHF
2008-01-21,KWD,4.09800,CHF
2008-01-22,KWD,4.11400,CHF
2008-01-23,KWD,4.07200,CHF
2008-01-24,KWD,4.05400,CHF
2008-01-25,KWD,4.08100,CHF
2008-01-28,KWD,4.05700,CHF
2008-01-29,KWD,4.06000,CHF
2008-01-30,KWD,4.05800,CHF
2008-01-31,KWD,4.03800,CHF
2008-02-01,KWD,4.01100,CHF
2008-02-04,KWD,4.05200,CHF
2008-02-05,KWD,4.06800,CHF
2008-02-06,KWD,4.08400,CHF
2008-02-07,KWD,4.08200,CHF
2008-02-08,KWD,4.11000,CHF
2008-02-11,KWD,4.07700,CHF
2008-02-12,KWD,4.09400,CHF
