date,symbol,price,currency
2010-07-01,KYD,1.33857,CHF
2010-07-02,KYD,1.32336,CHF
2010-07-05,KYD,1.32872,CHF
2010-07-06,KYD,1.30969,CHF
2010-07-07,KYD,1.32373,CHF
2010-07-08,KYD,1.30853,CHF
2010-07-09,KYD,1.31064,CHF
2010-07-12,KYD,1.31812,CHF
2010-07-13,KYD,1.32348,CHF
2010-07-14,KYD,1.31725,CHF
2010-07-15,KYD,1.31251,CHF
2010-07-16,KYD,1.29968,CHF
2010-07-19,KYD,1.30591,CHF
2010-07-20,KYD,1.31451,CHF
2010-07-21,KYD,1.31239,CHF
2010-07-22,KYD,1.30815,CHF
2010-07-23,KYD,1.30117,CHF
2010-07-26,KYD,1.30026,CHF
2010-07-27,KYD,1.29520,CHF
2010-07-28,KYD,1.32386,CHF
2010-07-29,KYD,1.31850,CHF
2010-07-30,KYD,1.29619,CHF
2010-08-02,KYD,1.29756,CHF
2010-08-03,KYD,1.29556,CHF
2010-08-04,KYD,1.29581,CHF
2010-08-05,KYD,1.31301,CHF
2010-08-06,KYD,1.30504,CHF
2010-08-09,KYD,1.29494,CHF
2010-08-10,KYD,1.30965,CHF
2010-08-11,KYD,1.31102,CHF
2010-08-12,KYD,1.31912,CHF
2010-08-13,KYD,1.30902,CHF
2010-08-16,KYD,1.31027,CHF
2010-08-17,KYD,1.29469,CHF
2010-08-18,KYD,1.30117,CHF
2010-08-19,KYD,1.30117,CHF
2010-08-20,KYD,1.28734,CHF
2010-08-23,KYD,1.28883,CHF
2010-08-24,KYD,1.29830,CHF
2010-08-25,KYD,1.28559,CHF
2010-08-26,KYD,1.28434,CHF
2010-08-27,KYD,1.27562,CHF
2010-08-30,KYD,1.28409,CHF
2010-08-31,KYD,1.27562,CHF
2010-09-01,KYD,1.26851,CHF
2010-09-02,KYD,1.26939,CHF
2010-09-03,KYD,1.26253,CHF
2010-09-06,KYD,1.25071,CHF
2010-09-07,KYD,1.24542,CHF
2010-09-08,KYD,1.24640,CHF
2010-09-09,KYD,1.26104,CHF
2010-09-10,KYD,1.27375,CHF
2010-09-13,KYD,1.26752,CHF
2010-09-14,KYD,1.25605,CHF
2010-09-15,KYD,1.24471,CHF
2010-09-16,KYD,1.24882,CHF
2010-09-17,KYD,1.26702,CHF
2010-09-20,KYD,1.25904,CHF
2010-09-21,KYD,1.25119,CHF
2010-09-22,KYD,1.24296,CHF
2010-09-23,KYD,1.23087,CHF
2010-09-24,KYD,1.22863,CHF
2010-09-27,KYD,1.22962,CHF
2010-09-28,KYD,1.22850,CHF
2010-09-29,KYD,1.21753,CHF
2010-09-30,KYD,1.21791,CHF
2010-10-01,KYD,1.20823,CHF
2010-10-04,KYD,1.21915,CHF
2010-10-05,KYD,1.19777,CHF
2010-10-06,KYD,1.20495,CHF
2010-10-07,KYD,1.20008,CHF
2010-10-08,KYD,1.20544,CHF
2010-10-11,KYD,1.21915,CHF
2010-10-12,KYD,1.20295,CHF
2010-10-13,KYD,1.19173,CHF
2010-10-14,KYD,1.18862,CHF
2010-10-15,KYD,1.18974,CHF
