date,symbol,price,currency
2010-07-01,LKR,0.00955209,CHF
2010-07-02,LKR,0.00945189,CHF
2010-07-05,LKR,0.00949854,CHF
2010-07-06,LKR,0.00947805,CHF
2010-07-07,LKR,0.00945873,CHF
2010-07-08,LKR,0.0093542,CHF
2010-07-09,LKR,0.00936935,CHF
2010-07-12,LKR,0.00941865,CHF
2010-07-13,LKR,0.00947784,CHF
2010-07-14,LKR,0.00944156,CHF
2010-07-15,LKR,0.00941594,CHF
2010-07-16,LKR,0.0093321,CHF
2010-07-19,LKR,0.00938932,CHF
2010-07-20,LKR,0.00945117,CHF
2010-07-21,LKR,0.00942756,CHF
2010-07-22,LKR,0.00940128,CHF
2010-07-23,LKR,0.00935361,CHF
2010-07-26,LKR,0.00934705,CHF
2010-07-27,LKR,0.00930408,CHF
2010-07-28,LKR,0.00951331,CHF
2010-07-29,LKR,0.0094967,CHF
2010-07-30,LKR,0.00933433,CHF
2010-08-02,LKR,0.00932515,CHF
2010-08-03,LKR,0.00933565,CHF
2010-08-04,LKR,0.00934992,CHF
2010-08-05,LKR,0.00947403,CHF
2010-08-06,LKR,0.00941647,CHF
2010-08-09,LKR,0.00934362,CHF
2010-08-10,LKR,0.00945396,CHF
2010-08-11,LKR,0.00945544,CHF
2010-08-12,LKR,0.0095181,CHF
2010-08-13,LKR,0.00944526,CHF
2010-08-16,LKR,0.00945425,CHF
2010-08-17,LKR,0.00933351,CHF
2010-08-18,LKR,0.00938442,CHF
2010-08-19,LKR,0.00938024,CHF
2010-08-20,LKR,0.00928463,CHF
2010-08-23,LKR,0.0093037,CHF
2010-08-24,LKR,0.00935957,CHF
2010-08-25,LKR,0.00926792,CHF
2010-08-26,LKR,0.00924824,CHF
2010-08-27,LKR,0.00918378,CHF
2010-08-30,LKR,0.00924069,CHF
2010-08-31,LKR,0.00917563,CHF
2010-09-01,LKR,0.00912047,CHF
2010-09-02,LKR,0.00912674,CHF
2010-09-03,LKR,0.00908956,CHF
2010-09-06,LKR,0.00910748,CHF
2010-09-07,LKR,0.0090891,CHF
2010-09-08,LKR,0.00908255,CHF
2010-09-09,LKR,0.00907072,CHF
2010-09-10,LKR,0.00916462,CHF
2010-09-13,LKR,0.00911977,CHF
2010-09-14,LKR,0.00903727,CHF
2010-09-15,LKR,0.00896521,CHF
2010-09-16,LKR,0.00899884,CHF
2010-09-17,LKR,0.00914379,CHF
2010-09-20,LKR,0.00907652,CHF
2010-09-21,LKR,0.0090159,CHF
2010-09-22,LKR,0.00895264,CHF
2010-09-23,LKR,0.00886556,CHF
2010-09-24,LKR,0.00886121,CHF
2010-09-27,LKR,0.00888422,CHF
2010-09-28,LKR,0.00889992,CHF
2010-09-29,LKR,0.00881888,CHF
2010-09-30,LKR,0.00881922,CHF
2010-10-01,LKR,0.00885713,CHF
2010-10-04,LKR,0.0088401,CHF
2010-10-05,LKR,0.0087922,CHF
2010-10-06,LKR,0.00873941,CHF
2010-10-07,LKR,0.00870571,CHF
2010-10-08,LKR,0.00874616,CHF
2010-10-11,LKR,0.0088401,CHF
2010-10-12,LKR,0.00872651,CHF
2010-10-13,LKR,0.00862582,CHF
2010-10-14,LKR,0.00861867,CHF
2010-10-15,LKR,0.0086268,CHF
2010-10-18,LKR,0.00867832,CHF
2010-10-19,LKR,0.00868166,CHF
2010-10-20,LKR,0.00875755,CHF
2010-10-21,LKR,0.00871328,CHF
2010-10-22,LKR,0.00877624,CHF
2010-10-25,LKR,0.0088106,CHF
2010-10-26,LKR,0.00879283,CHF
2010-10-27,LKR,0.00891607,CHF
2010-10-28,LKR,0.00895244,CHF
2010-10-29,LKR,0.0089099,CHF
2010-11-01,LKR,0.00890628,CHF
2010-11-02,LKR,0.00897195,CHF
2010-11-03,LKR,0.00886882,CHF
2010-11-04,LKR,0.00881093,CHF
2010-11-05,LKR,0.00868573,CHF
2010-11-08,LKR,0.00874549,CHF
2010-11-09,LKR,0.00875551,CHF
2010-11-10,LKR,0.00877844,CHF
2010-11-11,LKR,0.0087771,CHF
2010-11-12,LKR,0.00884508,CHF
2010-11-15,LKR,0.00885289,CHF
2010-11-16,LKR,0.008899,CHF
2010-11-17,LKR,0.00901928,CHF
2010-11-18,LKR,0.00896682,CHF
2010-11-19,LKR,0.00901627,CHF
2010-11-22,LKR,0.00897285,CHF
2010-11-23,LKR,0.00898342,CHF
2010-11-24,LKR,0.00903102,CHF
2010-11-25,LKR,0.00904913,CHF
2010-11-26,LKR,0.0090841,CHF
2010-11-29,LKR,0.00906571,CHF
2010-11-30,LKR,0.00906371,CHF
2010-12-01,LKR,0.00908864,CHF
2010-12-02,LKR,0.00912762,CHF
2010-12-03,LKR,0.00903297,CHF
2010-12-06,LKR,0.00887873,CHF
2010-12-07,LKR,0.00891417,CHF
2010-12-08,LKR,0.00899091,CHF
2010-12-09,LKR,0.00895806,CHF
2010-12-10,LKR,0.00895027,CHF
2010-12-13,LKR,0.0089543,CHF
2010-12-14,LKR,0.00882702,CHF
2010-12-15,LKR,0.0087752,CHF
2010-12-16,LKR,0.00881531,CHF
2010-12-17,LKR,0.00875606,CHF
2010-12-20,LKR,0.00880695,CHF
2010-12-21,LKR,0.00875788,CHF
2010-12-22,LKR,0.00869308,CHF
2010-12-23,LKR,0.0086395,CHF
2010-12-24,LKR,0.00871421,CHF
2010-12-27,LKR,0.00874636,CHF
2010-12-28,LKR,0.00869518,CHF
2010-12-29,LKR,0.0086738,CHF
2010-12-30,LKR,0.00859679,CHF
2010-12-31,LKR,0.00853719,CHF
2011-01-03,LKR,0.00852927,CHF
2011-01-04,LKR,0.00851897,CHF
2011-01-05,LKR,0.00865063,CHF
2011-01-06,LKR,0.00882838,CHF
2011-01-07,LKR,0.00879533,CHF
2011-01-10,LKR,0.00878645,CHF
2011-01-11,LKR,0.00883511,CHF
2011-01-12,LKR,0.00887706,CHF
2011-01-13,LKR,0.00884001,CHF
2011-01-14,LKR,0.00880284,CHF
2011-01-17,LKR,0.00880192,CHF
2011-01-18,LKR,0.00879169,CHF
2011-01-19,LKR,0.00875886,CHF
2011-01-21,LKR,0.00880676,CHF
2011-01-24,LKR,0.00872968,CHF
2011-01-25,LKR,0.00864087,CHF
2011-01-26,LKR,0.00858751,CHF
2011-01-27,LKR,0.00857659,CHF
2011-01-28,LKR,0.00860205,CHF
2011-01-31,LKR,0.00856385,CHF
2011-02-01,LKR,0.00857477,CHF
2011-02-02,LKR,0.00851858,CHF
2011-02-03,LKR,0.00856542,CHF
2011-02-04,LKR,0.00862693,CHF
2011-02-07,LKR,0.00870224,CHF
2011-02-08,LKR,0.00869474,CHF
2011-02-09,LKR,0.00877422,CHF
2011-02-10,LKR,0.00874392,CHF
2011-02-11,LKR,0.00881498,CHF
2011-02-14,LKR,0.00884614,CHF
2011-02-15,LKR,0.00881579,CHF
2011-02-16,LKR,0.00879313,CHF
2011-02-17,LKR,0.00872306,CHF
2011-02-18,LKR,0.00865389,CHF
2011-02-21,LKR,0.00861211,CHF
2011-02-22,LKR,0.00864764,CHF
2011-02-23,LKR,0.00853557,CHF
2011-02-24,LKR,0.00846221,CHF
2011-02-25,LKR,0.00843643,CHF
2011-02-28,LKR,0.00845482,CHF
2011-03-01,LKR,0.00848491,CHF
2011-03-02,LKR,0.0084705,CHF
2011-03-03,LKR,0.00843309,CHF
2011-03-04,LKR,0.00851357,CHF
2011-03-07,LKR,0.00847631,CHF
2011-03-08,LKR,0.00849224,CHF
2011-03-09,LKR,0.00860061,CHF
2011-03-10,LKR,0.0085292,CHF
2011-03-11,LKR,0.00855075,CHF
2011-03-14,LKR,0.00853725,CHF
2011-03-15,LKR,0.00846786,CHF
2011-03-16,LKR,0.00839837,CHF
2011-03-17,LKR,0.00826339,CHF
2011-03-18,LKR,0.00829885,CHF
2011-03-21,LKR,0.00827486,CHF
2011-03-22,LKR,0.0082777,CHF
2011-03-23,LKR,0.00827687,CHF
2011-03-24,LKR,0.00831889,CHF
2011-03-25,LKR,0.00831808,CHF
2011-03-28,LKR,0.00843712,CHF
2011-03-29,LKR,0.00839211,CHF
2011-03-30,LKR,0.00844428,CHF
2011-03-31,LKR,0.00841148,CHF
2011-04-01,LKR,0.0084217,CHF
2011-04-04,LKR,0.00846917,CHF
2011-04-05,LKR,0.00845892,CHF
2011-04-06,LKR,0.00849206,CHF
2011-04-07,LKR,0.00841499,CHF
2011-04-08,LKR,0.00836525,CHF
2011-04-11,LKR,0.00830699,CHF
2011-04-12,LKR,0.00831361,CHF
2011-04-13,LKR,0.0082237,CHF
2011-04-14,LKR,0.00820356,CHF
2011-04-15,LKR,0.00817336,CHF
2011-04-18,LKR,0.00818709,CHF
2011-04-19,LKR,0.00820722,CHF
2011-04-20,LKR,0.00821454,CHF
2011-04-21,LKR,0.00812672,CHF
2011-04-22,LKR,0.0081396,CHF
2011-04-25,LKR,0.00813502,CHF
2011-04-26,LKR,0.00810109,CHF
2011-04-27,LKR,0.00799839,CHF
2011-04-28,LKR,0.00800015,CHF
2011-04-29,LKR,0.00804408,CHF
2011-05-02,LKR,0.00795955,CHF
2011-05-03,LKR,0.00796691,CHF
2011-05-04,LKR,0.007953,CHF
2011-05-05,LKR,0.00792224,CHF
2011-05-06,LKR,0.00800723,CHF
2011-05-09,LKR,0.0080662,CHF
2011-05-10,LKR,0.00803399,CHF
2011-05-11,LKR,0.00810486,CHF
2011-05-12,LKR,0.00816382,CHF
2011-05-13,LKR,0.00816931,CHF
2011-05-16,LKR,0.00822305,CHF
2011-05-17,LKR,0.00815362,CHF
2011-05-18,LKR,0.00810393,CHF
2011-05-19,LKR,0.00810577,CHF
2011-05-20,LKR,0.00812696,CHF
2011-05-23,LKR,0.00808037,CHF
2011-05-24,LKR,0.00814581,CHF
2011-05-25,LKR,0.00808551,CHF
2011-05-26,LKR,0.00800648,CHF
2011-05-27,LKR,0.00793197,CHF
2011-05-30,LKR,0.00783205,CHF
2011-05-31,LKR,0.00780973,CHF
2011-06-01,LKR,0.00785617,CHF
2011-06-02,LKR,0.00776866,CHF
2011-06-03,LKR,0.00777065,CHF
2011-06-06,LKR,0.00768594,CHF
2011-06-07,LKR,0.00770569,CHF
2011-06-08,LKR,0.00771935,CHF
2011-06-09,LKR,0.007725,CHF
2011-06-10,LKR,0.00776334,CHF
2011-06-13,LKR,0.00779066,CHF
2011-06-14,LKR,0.00771382,CHF
2011-06-15,LKR,0.0077913,CHF
2011-06-16,LKR,0.00786878,CHF
2011-06-17,LKR,0.00782646,CHF
2011-06-20,LKR,0.00783414,CHF
2011-06-21,LKR,0.0077693,CHF
2011-06-22,LKR,0.00776469,CHF
2011-06-23,LKR,0.00777483,CHF
2011-06-24,LKR,0.00772874,CHF
2011-06-27,LKR,0.00772044,CHF
2011-06-28,LKR,0.00769941,CHF
2011-06-29,LKR,0.00766458,CHF
2011-06-30,LKR,0.00767895,CHF
2011-07-01,LKR,0.00776533,CHF
2011-07-04,LKR,0.00781885,CHF
2011-07-05,LKR,0.00784838,CHF
2011-07-06,LKR,0.00775213,CHF
2011-07-07,LKR,0.00775674,CHF
2011-07-08,LKR,0.00779209,CHF
2011-07-11,LKR,0.007727,CHF
2011-07-12,LKR,0.00771457,CHF
2011-07-13,LKR,0.00766811,CHF
2011-07-14,LKR,0.00749179,CHF
2011-07-15,LKR,0.00750747,CHF
2011-07-18,LKR,0.00750489,CHF
2011-07-19,LKR,0.00754293,CHF
2011-07-20,LKR,0.00761399,CHF
2011-07-21,LKR,0.00759184,CHF
2011-07-22,LKR,0.00754847,CHF
2011-07-25,LKR,0.0075113,CHF
2011-07-26,LKR,0.00739713,CHF
2011-07-27,LKR,0.0074042,CHF
2011-07-28,LKR,0.00739805,CHF
2011-07-29,LKR,0.00741116,CHF
2011-08-01,LKR,0.00732573,CHF
2011-08-02,LKR,0.00722786,CHF
2011-08-03,LKR,0.00707286,CHF
