date,symbol,price,currency
2010-07-01,LYD,0.82401,CHF
2010-07-02,LYD,0.82347,CHF
2010-07-05,LYD,0.83384,CHF
2010-07-06,LYD,0.82438,CHF
2010-07-07,LYD,0.82700,CHF
2010-07-08,LYD,0.81750,CHF
2010-07-09,LYD,0.82136,CHF
2010-07-12,LYD,0.82938,CHF
2010-07-13,LYD,0.82544,CHF
2010-07-14,LYD,0.82467,CHF
2010-07-15,LYD,0.82380,CHF
2010-07-16,LYD,0.82083,CHF
2010-07-19,LYD,0.83099,CHF
2010-07-20,LYD,0.83078,CHF
2010-07-21,LYD,0.82776,CHF
2010-07-22,LYD,0.82138,CHF
2010-07-23,LYD,0.82094,CHF
2010-07-26,LYD,0.82746,CHF
2010-07-27,LYD,0.82185,CHF
2010-07-28,LYD,0.84003,CHF
2010-07-29,LYD,0.83722,CHF
2010-07-30,LYD,0.82486,CHF
2010-08-02,LYD,0.82873,CHF
2010-08-03,LYD,0.82857,CHF
2010-08-04,LYD,0.83161,CHF
2010-08-05,LYD,0.84039,CHF
2010-08-06,LYD,0.83919,CHF
2010-08-09,LYD,0.83283,CHF
2010-08-10,LYD,0.83916,CHF
2010-08-11,LYD,0.83766,CHF
2010-08-12,LYD,0.83533,CHF
2010-08-13,LYD,0.82822,CHF
2010-08-16,LYD,0.83187,CHF
2010-08-17,LYD,0.81947,CHF
2010-08-18,LYD,0.83051,CHF
2010-08-19,LYD,0.82261,CHF
2010-08-20,LYD,0.81994,CHF
2010-08-23,LYD,0.81774,CHF
2010-08-24,LYD,0.81634,CHF
2010-08-25,LYD,0.80791,CHF
2010-08-26,LYD,0.80806,CHF
2010-08-27,LYD,0.80388,CHF
2010-08-30,LYD,0.81653,CHF
2010-08-31,LYD,0.80214,CHF
2010-09-01,LYD,0.79767,CHF
2010-09-02,LYD,0.80189,CHF
2010-09-03,LYD,0.80131,CHF
2010-09-06,LYD,0.80867,CHF
2010-09-07,LYD,0.79964,CHF
2010-09-08,LYD,0.79721,CHF
2010-09-09,LYD,0.79898,CHF
2010-09-10,LYD,0.80502,CHF
2010-09-13,LYD,0.80453,CHF
2010-09-14,LYD,0.79819,CHF
2010-09-15,LYD,0.79491,CHF
2010-09-16,LYD,0.79943,CHF
2010-09-17,LYD,0.81243,CHF
2010-09-20,LYD,0.80623,CHF
2010-09-21,LYD,0.80202,CHF
2010-09-22,LYD,0.80157,CHF
2010-09-23,LYD,0.79637,CHF
2010-09-24,LYD,0.79391,CHF
2010-09-27,LYD,0.79991,CHF
2010-09-28,LYD,0.79764,CHF
2010-09-29,LYD,0.79204,CHF
2010-09-30,LYD,0.79509,CHF
2010-10-01,LYD,0.79780,CHF
2010-10-04,LYD,0.80075,CHF
2010-10-05,LYD,0.79223,CHF
2010-10-06,LYD,0.79180,CHF
2010-10-07,LYD,0.78982,CHF
2010-10-08,LYD,0.79932,CHF
2010-10-11,LYD,0.80075,CHF
2010-10-12,LYD,0.77837,CHF
2010-10-13,LYD,0.77043,CHF
2010-10-14,LYD,0.77348,CHF
2010-10-15,LYD,0.79182,CHF
2010-10-18,LYD,0.79336,CHF
2010-10-19,LYD,0.77848,CHF
2010-10-20,LYD,0.77997,CHF
2010-10-21,LYD,0.77950,CHF
2010-10-22,LYD,0.78174,CHF
2010-10-25,LYD,0.80325,CHF
2010-10-26,LYD,0.78450,CHF
2010-10-27,LYD,0.79979,CHF
2010-10-28,LYD,0.80030,CHF
2010-10-29,LYD,0.80234,CHF
2010-11-01,LYD,0.81404,CHF
2010-11-02,LYD,0.81341,CHF
2010-11-03,LYD,0.84165,CHF
2010-11-04,LYD,0.84080,CHF
2010-11-05,LYD,0.81317,CHF
2010-11-08,LYD,0.82465,CHF
2010-11-09,LYD,0.82057,CHF
2010-11-10,LYD,0.80930,CHF
2010-11-11,LYD,0.82536,CHF
2010-11-12,LYD,0.80217,CHF
2010-11-15,LYD,0.83515,CHF
2010-11-16,LYD,0.82014,CHF
2010-11-17,LYD,0.82543,CHF
2010-11-18,LYD,0.81795,CHF
2010-11-19,LYD,0.82527,CHF
2010-11-22,LYD,0.83624,CHF
2010-11-23,LYD,0.81992,CHF
2010-11-24,LYD,0.83139,CHF
2010-11-25,LYD,0.80889,CHF
2010-11-26,LYD,0.80913,CHF
2010-11-29,LYD,0.81035,CHF
2010-11-30,LYD,0.80390,CHF
2010-12-01,LYD,0.80607,CHF
2010-12-02,LYD,0.80968,CHF
2010-12-03,LYD,0.80922,CHF
2010-12-06,LYD,0.79941,CHF
2010-12-07,LYD,0.80325,CHF
