date,symbol,price,currency
2010-07-01,MAD,0.12105,CHF
2010-07-02,MAD,0.12185,CHF
2010-07-05,MAD,0.12230,CHF
2010-07-06,MAD,0.12178,CHF
2010-07-07,MAD,0.12249,CHF
2010-07-08,MAD,0.12064,CHF
2010-07-09,MAD,0.12172,CHF
2010-07-12,MAD,0.12220,CHF
2010-07-13,MAD,0.12284,CHF
2010-07-14,MAD,0.12297,CHF
2010-07-15,MAD,0.12267,CHF
2010-07-16,MAD,0.12274,CHF
2010-07-19,MAD,0.12347,CHF
2010-07-20,MAD,0.12458,CHF
2010-07-21,MAD,0.12380,CHF
2010-07-22,MAD,0.12254,CHF
2010-07-23,MAD,0.12274,CHF
2010-07-26,MAD,0.12244,CHF
2010-07-27,MAD,0.12304,CHF
2010-07-28,MAD,0.12576,CHF
2010-07-29,MAD,0.12484,CHF
2010-07-30,MAD,0.12371,CHF
2010-08-02,MAD,0.12369,CHF
2010-08-03,MAD,0.12453,CHF
2010-08-04,MAD,0.12515,CHF
2010-08-05,MAD,0.12621,CHF
2010-08-06,MAD,0.12559,CHF
2010-08-09,MAD,0.12521,CHF
2010-08-10,MAD,0.12618,CHF
2010-08-11,MAD,0.12572,CHF
2010-08-12,MAD,0.12414,CHF
2010-08-13,MAD,0.12290,CHF
2010-08-16,MAD,0.12210,CHF
2010-08-17,MAD,0.12170,CHF
2010-08-18,MAD,0.12274,CHF
2010-08-19,MAD,0.12231,CHF
2010-08-20,MAD,0.12087,CHF
2010-08-23,MAD,0.12045,CHF
2010-08-24,MAD,0.12078,CHF
2010-08-25,MAD,0.11946,CHF
2010-08-26,MAD,0.11948,CHF
2010-08-27,MAD,0.11876,CHF
2010-08-30,MAD,0.12029,CHF
2010-08-31,MAD,0.11867,CHF
2010-09-01,MAD,0.11815,CHF
2010-09-02,MAD,0.11905,CHF
2010-09-03,MAD,0.11868,CHF
2010-09-06,MAD,0.11891,CHF
2010-09-07,MAD,0.11838,CHF
2010-09-08,MAD,0.11752,CHF
2010-09-09,MAD,0.11799,CHF
