date,symbol,price,currency
2010-07-01,MUR,0.0343784,CHF
2010-07-02,MUR,0.0337209,CHF
2010-07-05,MUR,0.0341259,CHF
2010-07-06,MUR,0.0340522,CHF
2010-07-07,MUR,0.0347693,CHF
2010-07-08,MUR,0.0339299,CHF
2010-07-09,MUR,0.0344248,CHF
2010-07-12,MUR,0.0347339,CHF
2010-07-13,MUR,0.0344279,CHF
2010-07-14,MUR,0.034442,CHF
2010-07-15,MUR,0.0338916,CHF
2010-07-16,MUR,0.0338087,CHF
2010-07-19,MUR,0.0344127,CHF
2010-07-20,MUR,0.0348652,CHF
2010-07-21,MUR,0.0343259,CHF
2010-07-22,MUR,0.0348106,CHF
2010-07-23,MUR,0.0346248,CHF
2010-07-26,MUR,0.034715,CHF
2010-07-27,MUR,0.034809,CHF
2010-07-28,MUR,0.0355793,CHF
2010-07-29,MUR,0.035553,CHF
2010-07-30,MUR,0.0350682,CHF
2010-08-02,MUR,0.0348723,CHF
2010-08-03,MUR,0.0350521,CHF
2010-08-04,MUR,0.0351753,CHF
2010-08-05,MUR,0.0357025,CHF
2010-08-06,MUR,0.0357853,CHF
2010-08-09,MUR,0.0355086,CHF
2010-08-10,MUR,0.0360338,CHF
2010-08-11,MUR,0.0358287,CHF
2010-08-12,MUR,0.0360499,CHF
2010-08-13,MUR,0.0352975,CHF
2010-08-16,MUR,0.0358085,CHF
2010-08-17,MUR,0.0346804,CHF
2010-08-18,MUR,0.0348541,CHF
2010-08-19,MUR,0.0348541,CHF
2010-08-20,MUR,0.0345975,CHF
2010-08-23,MUR,0.0341845,CHF
2010-08-24,MUR,0.0345491,CHF
2010-08-25,MUR,0.0337673,CHF
2010-08-26,MUR,0.033734,CHF
2010-08-27,MUR,0.0335047,CHF
2010-08-30,MUR,0.033837,CHF
2010-08-31,MUR,0.0334512,CHF
2010-09-01,MUR,0.0332108,CHF
2010-09-02,MUR,0.0333956,CHF
2010-09-03,MUR,0.0332694,CHF
2010-09-06,MUR,0.0334188,CHF
2010-09-07,MUR,0.0331156,CHF
2010-09-08,MUR,0.0333254,CHF
2010-09-09,MUR,0.0333382,CHF
2010-09-10,MUR,0.0332405,CHF
2010-09-13,MUR,0.0334006,CHF
2010-09-14,MUR,0.03312,CHF
2010-09-15,MUR,0.0323784,CHF
2010-09-16,MUR,0.0326953,CHF
2010-09-17,MUR,0.0334419,CHF
2010-09-20,MUR,0.0333945,CHF
2010-09-21,MUR,0.0329382,CHF
2010-09-22,MUR,0.0327536,CHF
2010-09-23,MUR,0.0326473,CHF
2010-09-24,MUR,0.0323969,CHF
2010-09-27,MUR,0.0328292,CHF
2010-09-28,MUR,0.0326915,CHF
2010-09-29,MUR,0.0321882,CHF
2010-09-30,MUR,0.0325163,CHF
2010-10-01,MUR,0.0329821,CHF
