date,symbol,price,currency
2010-07-01,MXN,0.08388,CHF
2010-07-02,MXN,0.08254,CHF
2010-07-05,MXN,0.08253,CHF
2010-07-06,MXN,0.08211,CHF
2010-07-07,MXN,0.08281,CHF
2010-07-08,MXN,0.08263,CHF
2010-07-09,MXN,0.08325,CHF
2010-07-12,MXN,0.08369,CHF
2010-07-13,MXN,0.08376,CHF
2010-07-14,MXN,0.08425,CHF
2010-07-15,MXN,0.08371,CHF
2010-07-16,MXN,0.08251,CHF
2010-07-19,MXN,0.08199,CHF
2010-07-20,MXN,0.08264,CHF
2010-07-21,MXN,0.08338,CHF
2010-07-22,MXN,0.08245,CHF
2010-07-23,MXN,0.08276,CHF
2010-07-26,MXN,0.08288,CHF
2010-07-27,MXN,0.08288,CHF
2010-07-28,MXN,0.08467,CHF
2010-07-29,MXN,0.08405,CHF
2010-07-30,MXN,0.08259,CHF
2010-08-02,MXN,0.08351,CHF
2010-08-03,MXN,0.08358,CHF
2010-08-04,MXN,0.08346,CHF
2010-08-05,MXN,0.08511,CHF
2010-08-06,MXN,0.08420,CHF
2010-08-09,MXN,0.08272,CHF
2010-08-10,MXN,0.08417,CHF
2010-08-11,MXN,0.08411,CHF
2010-08-12,MXN,0.08377,CHF
2010-08-13,MXN,0.08339,CHF
2010-08-16,MXN,0.08340,CHF
2010-08-17,MXN,0.08297,CHF
2010-08-18,MXN,0.08374,CHF
2010-08-19,MXN,0.08349,CHF
2010-08-20,MXN,0.08213,CHF
2010-08-23,MXN,0.08203,CHF
2010-08-24,MXN,0.08140,CHF
2010-08-25,MXN,0.08061,CHF
2010-08-26,MXN,0.08018,CHF
2010-08-27,MXN,0.07910,CHF
2010-08-30,MXN,0.08010,CHF
2010-08-31,MXN,0.07866,CHF
2010-09-01,MXN,0.07800,CHF
2010-09-02,MXN,0.07885,CHF
2010-09-03,MXN,0.07851,CHF
2010-09-06,MXN,0.07922,CHF
2010-09-07,MXN,0.07887,CHF
2010-09-08,MXN,0.07839,CHF
2010-09-09,MXN,0.07840,CHF
2010-09-10,MXN,0.07936,CHF
2010-09-13,MXN,0.07991,CHF
2010-09-14,MXN,0.07908,CHF
2010-09-15,MXN,0.07861,CHF
2010-09-16,MXN,0.07918,CHF
2010-09-17,MXN,0.08036,CHF
2010-09-20,MXN,0.07989,CHF
2010-09-21,MXN,0.07942,CHF
2010-09-22,MXN,0.07935,CHF
2010-09-23,MXN,0.07904,CHF
2010-09-24,MXN,0.07879,CHF
2010-09-27,MXN,0.07957,CHF
2010-09-28,MXN,0.07923,CHF
2010-09-29,MXN,0.07908,CHF
2010-09-30,MXN,0.07880,CHF
2010-10-01,MXN,0.07901,CHF
2010-10-04,MXN,0.07892,CHF
2010-10-05,MXN,0.07795,CHF
2010-10-06,MXN,0.07834,CHF
2010-10-07,MXN,0.07800,CHF
2010-10-08,MXN,0.07780,CHF
2010-10-11,MXN,0.07892,CHF
2010-10-12,MXN,0.07831,CHF
2010-10-13,MXN,0.07782,CHF
2010-10-14,MXN,0.07799,CHF
2010-10-15,MXN,0.07766,CHF
2010-10-18,MXN,0.07791,CHF
2010-10-19,MXN,0.07831,CHF
2010-10-20,MXN,0.07825,CHF
2010-10-21,MXN,0.07844,CHF
2010-10-22,MXN,0.07913,CHF
2010-10-25,MXN,0.07991,CHF
2010-10-26,MXN,0.07960,CHF
2010-10-27,MXN,0.08028,CHF
2010-10-28,MXN,0.08042,CHF
2010-10-29,MXN,0.08040,CHF
2010-11-01,MXN,0.08052,CHF
2010-11-02,MXN,0.08126,CHF
2010-11-03,MXN,0.08066,CHF
2010-11-04,MXN,0.08034,CHF
2010-11-05,MXN,0.07926,CHF
2010-11-08,MXN,0.07991,CHF
2010-11-09,MXN,0.07975,CHF
2010-11-10,MXN,0.07969,CHF
2010-11-11,MXN,0.08025,CHF
2010-11-12,MXN,0.08047,CHF
2010-11-15,MXN,0.08019,CHF
2010-11-16,MXN,0.08105,CHF
2010-11-17,MXN,0.08119,CHF
2010-11-18,MXN,0.08102,CHF
2010-11-19,MXN,0.08201,CHF
2010-11-22,MXN,0.08203,CHF
2010-11-23,MXN,0.08138,CHF
2010-11-24,MXN,0.08070,CHF
2010-11-25,MXN,0.08137,CHF
2010-11-26,MXN,0.08165,CHF
2010-11-29,MXN,0.08094,CHF
2010-11-30,MXN,0.08089,CHF
2010-12-01,MXN,0.08115,CHF
2010-12-02,MXN,0.08178,CHF
2010-12-03,MXN,0.08148,CHF
2010-12-06,MXN,0.07995,CHF
2010-12-07,MXN,0.08008,CHF
2010-12-08,MXN,0.07989,CHF
2010-12-09,MXN,0.08024,CHF
2010-12-10,MXN,0.07960,CHF
2010-12-13,MXN,0.07973,CHF
2010-12-14,MXN,0.07884,CHF
2010-12-15,MXN,0.07845,CHF
2010-12-16,MXN,0.07845,CHF
2010-12-17,MXN,0.07845,CHF
2010-12-20,MXN,0.07884,CHF
2010-12-21,MXN,0.07851,CHF
2010-12-22,MXN,0.07824,CHF
2010-12-23,MXN,0.07808,CHF
2010-12-24,MXN,0.07825,CHF
2010-12-27,MXN,0.07877,CHF
2010-12-28,MXN,0.07833,CHF
2010-12-29,MXN,0.07768,CHF
2010-12-30,MXN,0.07713,CHF
2010-12-31,MXN,0.07642,CHF
2011-01-03,MXN,0.07660,CHF
2011-01-04,MXN,0.07710,CHF
2011-01-05,MXN,0.07825,CHF
2011-01-06,MXN,0.08020,CHF
2011-01-07,MXN,0.07972,CHF
2011-01-10,MXN,0.07971,CHF
2011-01-11,MXN,0.08005,CHF
2011-01-12,MXN,0.08108,CHF
2011-01-13,MXN,0.08106,CHF
2011-01-14,MXN,0.08036,CHF
2011-01-17,MXN,0.08103,CHF
2011-01-18,MXN,0.08118,CHF
2011-01-19,MXN,0.08069,CHF
2011-01-21,MXN,0.08095,CHF
2011-01-24,MXN,0.08030,CHF
2011-01-25,MXN,0.07947,CHF
2011-01-26,MXN,0.07880,CHF
2011-01-27,MXN,0.07934,CHF
2011-01-28,MXN,0.07926,CHF
2011-01-31,MXN,0.07779,CHF
