date,symbol,price,currency
2007-04-02,MYR,0.365124,CHF
2007-04-03,MYR,0.365744,CHF
2007-04-04,MYR,0.366966,CHF
2007-04-05,MYR,0.367786,CHF
2007-04-10,MYR,0.368054,CHF
2007-04-11,MYR,0.367372,CHF
2007-04-12,MYR,0.367671,CHF
2007-04-13,MYR,0.366191,CHF
2007-04-16,MYR,0.367149,CHF
2007-04-17,MYR,0.367016,CHF
2007-04-18,MYR,0.365663,CHF
2007-04-19,MYR,0.365034,CHF
2007-04-20,MYR,0.366729,CHF
2007-04-23,MYR,0.367869,CHF
2007-04-24,MYR,0.367647,CHF
2007-04-25,MYR,0.365553,CHF
2007-04-26,MYR,0.366664,CHF
2007-04-27,MYR,0.366971,CHF
2007-04-30,MYR,0.367136,CHF
2007-05-01,MYR,0.367502,CHF
2007-05-02,MYR,0.369193,CHF
2007-05-03,MYR,0.368315,CHF
2007-05-04,MYR,0.369606,CHF
2007-05-07,MYR,0.368526,CHF
2007-05-08,MYR,0.371041,CHF
2007-05-09,MYR,0.372077,CHF
2007-05-10,MYR,0.37221,CHF
2007-05-11,MYR,0.371795,CHF
2007-05-14,MYR,0.373321,CHF
2007-05-15,MYR,0.37238,CHF
2007-05-16,MYR,0.372063,CHF
2007-05-18,MYR,0.375229,CHF
2007-05-21,MYR,0.376382,CHF
2007-05-22,MYR,0.378014,CHF
2007-05-23,MYR,0.378163,CHF
2007-05-24,MYR,0.377236,CHF
2007-05-25,MYR,0.37620,CHF
2007-05-29,MYR,0.375998,CHF
2007-05-30,MYR,0.374389,CHF
2007-05-31,MYR,0.375049,CHF
2007-06-01,MYR,0.376053,CHF
2007-06-04,MYR,0.376284,CHF
2007-06-05,MYR,0.372969,CHF
2007-06-06,MYR,0.370624,CHF
2007-06-07,MYR,0.369866,CHF
2007-06-08,MYR,0.368022,CHF
2007-06-11,MYR,0.370374,CHF
2007-06-12,MYR,0.374524,CHF
2007-06-13,MYR,0.372318,CHF
2007-06-14,MYR,0.373557,CHF
2007-06-15,MYR,0.37437,CHF
2007-06-18,MYR,0.376798,CHF
2007-06-19,MYR,0.375387,CHF
2007-06-20,MYR,0.37463,CHF
2007-06-21,MYR,0.373964,CHF
2007-06-22,MYR,0.371661,CHF
2007-06-25,MYR,0.368705,CHF
2007-06-26,MYR,0.367845,CHF
2007-06-27,MYR,0.367408,CHF
2007-06-28,MYR,0.368607,CHF
2007-06-29,MYR,0.370845,CHF
2007-07-02,MYR,0.36820,CHF
2007-07-03,MYR,0.366252,CHF
2007-07-04,MYR,0.367345,CHF
2007-07-05,MYR,0.36578,CHF
2007-07-06,MYR,0.367535,CHF
2007-07-09,MYR,0.368248,CHF
2007-07-10,MYR,0.368146,CHF
2007-07-11,MYR,0.362239,CHF
2007-07-12,MYR,0.361886,CHF
2007-07-13,MYR,0.363722,CHF
2007-07-16,MYR,0.362914,CHF
2007-07-17,MYR,0.36280,CHF
2007-07-18,MYR,0.360483,CHF
2007-07-19,MYR,0.362889,CHF
2007-07-20,MYR,0.367285,CHF
2007-07-23,MYR,0.366207,CHF
2007-07-24,MYR,0.368755,CHF
2007-07-25,MYR,0.368308,CHF
2007-07-26,MYR,0.367096,CHF
2007-07-27,MYR,0.362574,CHF
2007-07-30,MYR,0.360606,CHF
2007-07-31,MYR,0.362908,CHF
2007-08-02,MYR,0.36076,CHF
2007-08-03,MYR,0.36254,CHF
2007-08-06,MYR,0.355298,CHF
2007-08-07,MYR,0.357084,CHF
2007-08-08,MYR,0.360591,CHF
2007-08-09,MYR,0.358216,CHF
2007-08-10,MYR,0.357398,CHF
2007-08-13,MYR,0.358951,CHF
2007-08-14,MYR,0.361137,CHF
2007-08-15,MYR,0.362206,CHF
2007-08-16,MYR,0.361992,CHF
2007-08-17,MYR,0.357061,CHF
2007-08-20,MYR,0.359054,CHF
2007-08-21,MYR,0.357954,CHF
2007-08-22,MYR,0.360109,CHF
2007-08-23,MYR,0.362175,CHF
2007-08-24,MYR,0.359679,CHF
2007-08-27,MYR,0.358916,CHF
2007-08-28,MYR,0.357495,CHF
2007-08-29,MYR,0.356913,CHF
2007-08-30,MYR,0.356597,CHF
2007-08-31,MYR,0.358251,CHF
2007-09-03,MYR,0.358865,CHF
2007-09-04,MYR,0.358668,CHF
2007-09-05,MYR,0.359296,CHF
2007-09-06,MYR,0.357279,CHF
2007-09-07,MYR,0.356979,CHF
2007-09-10,MYR,0.351543,CHF
2007-09-11,MYR,0.351413,CHF
2007-09-12,MYR,0.352539,CHF
2007-09-13,MYR,0.353093,CHF
2007-09-14,MYR,0.35433,CHF
2007-09-17,MYR,0.353798,CHF
2007-09-18,MYR,0.354081,CHF
2007-09-19,MYR,0.355548,CHF
2007-09-20,MYR,0.353801,CHF
2007-09-21,MYR,0.353857,CHF
2007-09-24,MYR,0.35540,CHF
2007-09-25,MYR,0.354574,CHF
2007-09-26,MYR,0.354997,CHF
2007-09-27,MYR,0.356452,CHF
2007-09-28,MYR,0.357282,CHF
2007-10-01,MYR,0.358568,CHF
2007-10-02,MYR,0.35774,CHF
2007-10-03,MYR,0.358092,CHF
2007-10-04,MYR,0.358732,CHF
2007-10-05,MYR,0.359252,CHF
2007-10-08,MYR,0.362327,CHF
2007-10-09,MYR,0.362453,CHF
2007-10-10,MYR,0.36441,CHF
2007-10-11,MYR,0.364057,CHF
2007-10-12,MYR,0.364687,CHF
2007-10-15,MYR,0.364786,CHF
2007-10-16,MYR,0.363305,CHF
2007-10-17,MYR,0.363258,CHF
2007-10-18,MYR,0.363189,CHF
2007-10-19,MYR,0.362317,CHF
2007-10-22,MYR,0.358796,CHF
2007-10-23,MYR,0.361536,CHF
2007-10-24,MYR,0.362245,CHF
2007-10-25,MYR,0.363015,CHF
2007-10-26,MYR,0.361711,CHF
2007-10-29,MYR,0.361742,CHF
2007-10-30,MYR,0.362552,CHF
2007-10-31,MYR,0.361117,CHF
2007-11-01,MYR,0.363028,CHF
2007-11-02,MYR,0.358901,CHF
2007-11-05,MYR,0.35884,CHF
2007-11-06,MYR,0.357531,CHF
2007-11-07,MYR,0.354888,CHF
2007-11-08,MYR,0.35290,CHF
2007-11-09,MYR,0.351353,CHF
2007-11-12,MYR,0.350025,CHF
2007-11-13,MYR,0.348863,CHF
2007-11-14,MYR,0.349664,CHF
2007-11-15,MYR,0.347088,CHF
2007-11-16,MYR,0.344776,CHF
2007-11-19,MYR,0.34537,CHF
2007-11-20,MYR,0.342689,CHF
2007-11-21,MYR,0.339502,CHF
2007-11-22,MYR,0.338477,CHF
2007-11-23,MYR,0.337216,CHF
2007-11-26,MYR,0.341621,CHF
2007-11-27,MYR,0.339514,CHF
2007-11-28,MYR,0.341034,CHF
2007-11-29,MYR,0.345129,CHF
2007-11-30,MYR,0.346806,CHF
2007-12-03,MYR,0.350411,CHF
2007-12-04,MYR,0.351461,CHF
2007-12-05,MYR,0.348728,CHF
2007-12-06,MYR,0.351442,CHF
2007-12-07,MYR,0.35413,CHF
2007-12-10,MYR,0.354187,CHF
2007-12-11,MYR,0.355078,CHF
