date,symbol,price,currency
2002-01-03,NOK,0.18650,CHF
2002-01-04,NOK,0.18600,CHF
2002-01-07,NOK,0.18600,CHF
2002-01-08,NOK,0.18600,CHF
2002-01-09,NOK,0.18700,CHF
2002-01-10,NOK,0.18700,CHF
2002-01-11,NOK,0.18750,CHF
2002-01-14,NOK,0.18750,CHF
2002-01-15,NOK,0.18750,CHF
2002-01-16,NOK,0.18750,CHF
2002-01-17,NOK,0.18700,CHF
2002-01-18,NOK,0.18750,CHF
2002-01-21,NOK,0.18700,CHF
2002-01-22,NOK,0.18700,CHF
2002-01-23,NOK,0.18750,CHF
2002-01-24,NOK,0.18750,CHF
2002-01-25,NOK,0.18800,CHF
2002-01-28,NOK,0.18900,CHF
2002-01-29,NOK,0.18900,CHF
2002-01-30,NOK,0.18850,CHF
2002-01-31,NOK,0.18950,CHF
2002-02-01,NOK,0.19000,CHF
2002-02-04,NOK,0.19000,CHF
2002-02-05,NOK,0.18900,CHF
2002-02-06,NOK,0.18900,CHF
2002-02-07,NOK,0.18950,CHF
2002-02-08,NOK,0.18950,CHF
2002-02-11,NOK,0.19000,CHF
2002-02-12,NOK,0.18950,CHF
2002-02-13,NOK,0.19000,CHF
2002-02-14,NOK,0.19100,CHF
2002-02-15,NOK,0.19200,CHF
2002-02-18,NOK,0.19250,CHF
2002-02-19,NOK,0.19250,CHF
2002-02-20,NOK,0.19150,CHF
2002-02-21,NOK,0.19250,CHF
2002-02-22,NOK,0.19250,CHF
2002-02-25,NOK,0.19150,CHF
2002-02-26,NOK,0.19250,CHF
2002-02-27,NOK,0.19250,CHF
2002-02-28,NOK,0.19300,CHF
2002-03-01,NOK,0.19250,CHF
2002-03-04,NOK,0.19350,CHF
2002-03-05,NOK,0.19350,CHF
2002-03-06,NOK,0.19350,CHF
2002-03-07,NOK,0.19200,CHF
2002-03-08,NOK,0.19150,CHF
2002-03-11,NOK,0.19200,CHF
2002-03-12,NOK,0.19200,CHF
2002-03-13,NOK,0.19100,CHF
2002-03-14,NOK,0.19000,CHF
2002-03-15,NOK,0.19000,CHF
2002-03-18,NOK,0.19000,CHF
2002-03-19,NOK,0.19100,CHF
2002-03-20,NOK,0.19100,CHF
2002-03-21,NOK,0.19100,CHF
2002-03-22,NOK,0.19150,CHF
2002-03-25,NOK,0.19150,CHF
2002-03-26,NOK,0.19000,CHF
2002-03-27,NOK,0.19150,CHF
2002-03-28,NOK,0.19150,CHF
2002-04-02,NOK,0.19150,CHF
2002-04-03,NOK,0.19200,CHF
2002-04-04,NOK,0.19250,CHF
2002-04-05,NOK,0.19300,CHF
2002-04-08,NOK,0.19300,CHF
2002-04-09,NOK,0.19300,CHF
2002-04-10,NOK,0.19250,CHF
2002-04-11,NOK,0.19400,CHF
2002-04-12,NOK,0.19350,CHF
2002-04-15,NOK,0.19400,CHF
2002-04-16,NOK,0.19400,CHF
2002-04-17,NOK,0.19400,CHF
2002-04-18,NOK,0.19400,CHF
2002-04-19,NOK,0.19350,CHF
2002-04-22,NOK,0.19450,CHF
2002-04-23,NOK,0.19450,CHF
2002-04-24,NOK,0.19400,CHF
2002-04-25,NOK,0.19350,CHF
2002-04-26,NOK,0.19400,CHF
2002-04-29,NOK,0.19450,CHF
2002-04-30,NOK,0.19450,CHF
2002-05-01,NOK,0.19350,CHF
2002-05-02,NOK,0.19350,CHF
2002-05-03,NOK,0.19400,CHF
2002-05-06,NOK,0.19350,CHF
2002-05-07,NOK,0.19350,CHF
2002-05-08,NOK,0.19300,CHF
2002-05-10,NOK,0.19350,CHF
2002-05-13,NOK,0.19400,CHF
2002-05-14,NOK,0.19400,CHF
2002-05-15,NOK,0.19450,CHF
2002-05-16,NOK,0.19450,CHF
2002-05-17,NOK,0.19450,CHF
2002-05-21,NOK,0.19400,CHF
2002-05-22,NOK,0.19400,CHF
2002-05-23,NOK,0.19600,CHF
2002-05-24,NOK,0.19700,CHF
2002-05-27,NOK,0.19750,CHF
2002-05-28,NOK,0.19850,CHF
2002-05-29,NOK,0.19900,CHF
2002-05-30,NOK,0.19900,CHF
2002-05-31,NOK,0.19750,CHF
2002-06-03,NOK,0.19800,CHF
2002-06-04,NOK,0.19900,CHF
2002-06-05,NOK,0.19950,CHF
2002-06-06,NOK,0.20050,CHF
2002-06-07,NOK,0.19900,CHF
2002-06-10,NOK,0.20000,CHF
2002-06-11,NOK,0.19950,CHF
2002-06-12,NOK,0.20050,CHF
2002-06-13,NOK,0.20050,CHF
2002-06-14,NOK,0.20050,CHF
2002-06-17,NOK,0.20050,CHF
2002-06-18,NOK,0.20050,CHF
2002-06-19,NOK,0.20050,CHF
2002-06-20,NOK,0.20100,CHF
2002-06-21,NOK,0.20050,CHF
2002-06-24,NOK,0.19950,CHF
2002-06-25,NOK,0.20050,CHF
2002-06-26,NOK,0.20050,CHF
2002-06-27,NOK,0.20000,CHF
2002-06-28,NOK,0.20050,CHF
2002-07-01,NOK,0.19850,CHF
2002-07-02,NOK,0.20050,CHF
2002-07-03,NOK,0.20050,CHF
2002-07-04,NOK,0.20150,CHF
2002-07-05,NOK,0.20200,CHF
2002-07-08,NOK,0.20200,CHF
2002-07-09,NOK,0.20300,CHF
2002-07-10,NOK,0.20350,CHF
2002-07-11,NOK,0.20300,CHF
2002-07-12,NOK,0.20250,CHF
2002-07-15,NOK,0.20200,CHF
2002-07-16,NOK,0.20100,CHF
2002-07-17,NOK,0.20000,CHF
2002-07-18,NOK,0.20000,CHF
2002-07-19,NOK,0.19850,CHF
2002-07-22,NOK,0.19700,CHF
2002-07-23,NOK,0.19250,CHF
2002-07-24,NOK,0.19400,CHF
2002-07-25,NOK,0.19350,CHF
2002-07-26,NOK,0.19250,CHF
2002-07-29,NOK,0.19450,CHF
2002-07-30,NOK,0.19550,CHF
2002-07-31,NOK,0.19750,CHF
2002-08-02,NOK,0.19400,CHF
2002-08-05,NOK,0.19500,CHF
2002-08-06,NOK,0.19400,CHF
2002-08-07,NOK,0.19450,CHF
2002-08-08,NOK,0.19750,CHF
2002-08-09,NOK,0.19750,CHF
2002-08-12,NOK,0.19700,CHF
2002-08-13,NOK,0.19850,CHF
2002-08-14,NOK,0.19750,CHF
2002-08-15,NOK,0.19850,CHF
2002-08-16,NOK,0.19850,CHF
2002-08-19,NOK,0.20000,CHF
2002-08-20,NOK,0.20100,CHF
2002-08-21,NOK,0.20100,CHF
2002-08-22,NOK,0.20000,CHF
2002-08-23,NOK,0.20100,CHF
2002-08-26,NOK,0.20050,CHF
2002-08-27,NOK,0.20100,CHF
2002-08-28,NOK,0.20000,CHF
2002-08-29,NOK,0.20050,CHF
2002-08-30,NOK,0.20050,CHF
2002-09-02,NOK,0.20050,CHF
2002-09-03,NOK,0.19900,CHF
2002-09-04,NOK,0.19750,CHF
2002-09-05,NOK,0.19950,CHF
2002-09-06,NOK,0.19950,CHF
2002-09-09,NOK,0.20000,CHF
2002-09-10,NOK,0.20000,CHF
2002-09-11,NOK,0.19900,CHF
2002-09-12,NOK,0.20000,CHF
2002-09-13,NOK,0.20100,CHF
2002-09-16,NOK,0.20150,CHF
2002-09-17,NOK,0.20150,CHF
2002-09-18,NOK,0.20100,CHF
2002-09-19,NOK,0.20200,CHF
2002-09-20,NOK,0.20050,CHF
2002-09-23,NOK,0.20000,CHF
2002-09-24,NOK,0.20150,CHF
2002-09-25,NOK,0.20100,CHF
2002-09-26,NOK,0.20150,CHF
2002-09-27,NOK,0.20150,CHF
2002-09-30,NOK,0.20050,CHF
2002-10-01,NOK,0.20100,CHF
2002-10-02,NOK,0.20150,CHF
2002-10-03,NOK,0.20050,CHF
2002-10-04,NOK,0.20150,CHF
2002-10-07,NOK,0.20200,CHF
2002-10-08,NOK,0.20250,CHF
2002-10-09,NOK,0.20400,CHF
2002-10-10,NOK,0.20100,CHF
2002-10-11,NOK,0.20300,CHF
2002-10-14,NOK,0.20250,CHF
2002-10-15,NOK,0.20250,CHF
2002-10-16,NOK,0.20250,CHF
2002-10-17,NOK,0.20050,CHF
2002-10-18,NOK,0.19950,CHF
2002-10-21,NOK,0.20000,CHF
2002-10-22,NOK,0.19950,CHF
2002-10-23,NOK,0.19950,CHF
2002-10-24,NOK,0.20050,CHF
2002-10-25,NOK,0.20050,CHF
2002-10-28,NOK,0.20050,CHF
2002-10-29,NOK,0.19950,CHF
2002-10-30,NOK,0.19950,CHF
2002-10-31,NOK,0.20000,CHF
2002-11-01,NOK,0.20000,CHF
2002-11-04,NOK,0.19980,CHF
2002-11-05,NOK,0.19950,CHF
2002-11-06,NOK,0.20050,CHF
2002-11-07,NOK,0.20050,CHF
2002-11-08,NOK,0.20100,CHF
2002-11-11,NOK,0.20100,CHF
2002-11-12,NOK,0.20200,CHF
2002-11-13,NOK,0.20150,CHF
2002-11-14,NOK,0.20150,CHF
2002-11-15,NOK,0.20200,CHF
2002-11-18,NOK,0.20200,CHF
2002-11-19,NOK,0.20200,CHF
2002-11-20,NOK,0.20150,CHF
2002-11-21,NOK,0.20250,CHF
2002-11-22,NOK,0.20250,CHF
