date,symbol,price,currency
2002-01-03,NZD,0.70550,CHF
2002-01-04,NZD,0.71100,CHF
2002-01-07,NZD,0.71250,CHF
2002-01-08,NZD,0.71500,CHF
2002-01-09,NZD,0.71900,CHF
2002-01-10,NZD,0.71700,CHF
2002-01-11,NZD,0.71600,CHF
2002-01-14,NZD,0.70700,CHF
2002-01-15,NZD,0.70950,CHF
2002-01-16,NZD,0.71000,CHF
2002-01-17,NZD,0.70350,CHF
2002-01-18,NZD,0.71100,CHF
2002-01-21,NZD,0.71400,CHF
2002-01-22,NZD,0.72150,CHF
2002-01-23,NZD,0.72200,CHF
2002-01-24,NZD,0.71850,CHF
2002-01-25,NZD,0.72550,CHF
2002-01-28,NZD,0.72750,CHF
2002-01-29,NZD,0.72750,CHF
2002-01-30,NZD,0.71600,CHF
2002-01-31,NZD,0.71750,CHF
2002-02-01,NZD,0.72400,CHF
2002-02-04,NZD,0.72600,CHF
2002-02-05,NZD,0.71600,CHF
2002-02-06,NZD,0.71550,CHF
2002-02-07,NZD,0.71050,CHF
2002-02-08,NZD,0.71250,CHF
2002-02-11,NZD,0.71800,CHF
2002-02-12,NZD,0.71400,CHF
2002-02-13,NZD,0.71300,CHF
2002-02-14,NZD,0.72300,CHF
2002-02-15,NZD,0.72350,CHF
2002-02-18,NZD,0.72500,CHF
2002-02-19,NZD,0.72350,CHF
2002-02-20,NZD,0.71800,CHF
2002-02-21,NZD,0.71900,CHF
2002-02-22,NZD,0.71850,CHF
2002-02-25,NZD,0.71400,CHF
2002-02-26,NZD,0.71700,CHF
2002-02-27,NZD,0.72200,CHF
2002-02-28,NZD,0.72450,CHF
2002-03-01,NZD,0.72450,CHF
2002-03-04,NZD,0.73650,CHF
2002-03-05,NZD,0.73150,CHF
2002-03-06,NZD,0.72850,CHF
2002-03-07,NZD,0.72750,CHF
2002-03-08,NZD,0.72500,CHF
2002-03-11,NZD,0.72750,CHF
2002-03-12,NZD,0.72700,CHF
2002-03-13,NZD,0.72800,CHF
2002-03-14,NZD,0.72000,CHF
2002-03-15,NZD,0.72650,CHF
2002-03-18,NZD,0.73050,CHF
2002-03-19,NZD,0.73200,CHF
2002-03-20,NZD,0.73300,CHF
2002-03-21,NZD,0.73700,CHF
2002-03-22,NZD,0.73650,CHF
2002-03-25,NZD,0.73750,CHF
2002-03-26,NZD,0.73600,CHF
2002-03-27,NZD,0.73750,CHF
2002-03-28,NZD,0.74500,CHF
2002-04-02,NZD,0.74350,CHF
2002-04-03,NZD,0.73500,CHF
2002-04-04,NZD,0.73800,CHF
2002-04-05,NZD,0.73850,CHF
2002-04-08,NZD,0.73100,CHF
2002-04-09,NZD,0.73750,CHF
2002-04-10,NZD,0.73600,CHF
2002-04-11,NZD,0.74350,CHF
2002-04-12,NZD,0.74450,CHF
2002-04-15,NZD,0.74050,CHF
2002-04-16,NZD,0.74050,CHF
2002-04-17,NZD,0.74100,CHF
2002-04-18,NZD,0.74200,CHF
2002-04-19,NZD,0.74500,CHF
2002-04-22,NZD,0.74450,CHF
2002-04-23,NZD,0.74600,CHF
2002-04-24,NZD,0.74450,CHF
2002-04-25,NZD,0.74450,CHF
2002-04-26,NZD,0.74200,CHF
2002-04-29,NZD,0.73900,CHF
2002-04-30,NZD,0.73100,CHF
2002-05-01,NZD,0.73000,CHF
2002-05-02,NZD,0.72550,CHF
2002-05-03,NZD,0.72700,CHF
2002-05-06,NZD,0.72000,CHF
2002-05-07,NZD,0.72300,CHF
2002-05-08,NZD,0.72850,CHF
2002-05-10,NZD,0.72750,CHF
2002-05-13,NZD,0.73100,CHF
2002-05-14,NZD,0.73800,CHF
2002-05-15,NZD,0.74250,CHF
2002-05-16,NZD,0.74100,CHF
2002-05-17,NZD,0.74200,CHF
2002-05-21,NZD,0.74650,CHF
2002-05-22,NZD,0.75050,CHF
2002-05-23,NZD,0.75000,CHF
2002-05-24,NZD,0.74800,CHF
2002-05-27,NZD,0.75400,CHF
2002-05-28,NZD,0.75950,CHF
2002-05-29,NZD,0.76000,CHF
2002-05-30,NZD,0.75300,CHF
2002-05-31,NZD,0.76150,CHF
2002-06-03,NZD,0.76500,CHF
2002-06-04,NZD,0.77300,CHF
2002-06-05,NZD,0.77450,CHF
2002-06-06,NZD,0.77550,CHF
2002-06-07,NZD,0.77000,CHF
2002-06-10,NZD,0.77000,CHF
2002-06-11,NZD,0.76650,CHF
2002-06-12,NZD,0.77100,CHF
2002-06-13,NZD,0.77600,CHF
2002-06-14,NZD,0.77050,CHF
2002-06-17,NZD,0.76150,CHF
2002-06-18,NZD,0.76350,CHF
2002-06-19,NZD,0.76100,CHF
2002-06-20,NZD,0.75700,CHF
2002-06-21,NZD,0.76250,CHF
2002-06-24,NZD,0.76100,CHF
2002-06-25,NZD,0.75000,CHF
2002-06-26,NZD,0.74600,CHF
2002-06-27,NZD,0.73500,CHF
2002-06-28,NZD,0.73500,CHF
