date,symbol,price,currency
2007-04-02,OMR,3.20400,CHF
2007-04-03,OMR,3.20900,CHF
2007-04-04,OMR,3.21500,CHF
2007-04-05,OMR,3.21800,CHF
2007-04-10,OMR,3.21700,CHF
2007-04-11,OMR,3.21400,CHF
2007-04-12,OMR,3.21400,CHF
2007-04-13,OMR,3.19300,CHF
2007-04-16,OMR,3.20100,CHF
2007-04-17,OMR,3.19800,CHF
2007-04-18,OMR,3.17800,CHF
2007-04-19,OMR,3.17000,CHF
2007-04-20,OMR,3.18200,CHF
2007-04-23,OMR,3.19100,CHF
2007-04-24,OMR,3.19200,CHF
2007-04-25,OMR,3.17000,CHF
2007-04-26,OMR,3.17700,CHF
2007-04-27,OMR,3.18300,CHF
2007-04-30,OMR,3.18800,CHF
2007-05-01,OMR,3.18800,CHF
2007-05-02,OMR,3.20800,CHF
2007-05-03,OMR,3.19400,CHF
2007-05-04,OMR,3.20400,CHF
2007-05-07,OMR,3.19000,CHF
2007-05-08,OMR,3.20400,CHF
2007-05-09,OMR,3.20800,CHF
2007-05-10,OMR,3.20800,CHF
2007-05-11,OMR,3.21300,CHF
2007-05-14,OMR,3.21700,CHF
2007-05-15,OMR,3.21100,CHF
2007-05-16,OMR,3.20500,CHF
2007-05-18,OMR,3.23500,CHF
2007-05-21,OMR,3.23600,CHF
2007-05-22,OMR,3.24300,CHF
2007-05-23,OMR,3.24300,CHF
2007-05-24,OMR,3.23900,CHF
2007-05-25,OMR,3.23600,CHF
2007-05-29,OMR,3.23300,CHF
2007-05-30,OMR,3.22900,CHF
2007-05-31,OMR,3.23200,CHF
2007-06-01,OMR,3.24000,CHF
2007-06-04,OMR,3.23900,CHF
2007-06-05,OMR,3.22200,CHF
2007-06-06,OMR,3.21000,CHF
2007-06-07,OMR,3.21600,CHF
2007-06-08,OMR,3.24000,CHF
2007-06-11,OMR,3.26400,CHF
2007-06-12,OMR,3.26700,CHF
2007-06-13,OMR,3.28100,CHF
2007-06-14,OMR,3.28300,CHF
2007-06-15,OMR,3.28300,CHF
2007-06-18,OMR,3.27100,CHF
2007-06-19,OMR,3.27200,CHF
2007-06-20,OMR,3.26500,CHF
2007-06-21,OMR,3.27200,CHF
2007-06-22,OMR,3.25600,CHF
2007-06-25,OMR,3.23900,CHF
2007-06-26,OMR,3.24200,CHF
2007-06-27,OMR,3.24100,CHF
2007-06-28,OMR,3.23900,CHF
2007-06-29,OMR,3.24500,CHF
2007-07-02,OMR,3.20900,CHF
2007-07-03,OMR,3.19500,CHF
2007-07-04,OMR,3.20600,CHF
2007-07-05,OMR,3.19800,CHF
2007-07-06,OMR,3.21500,CHF
2007-07-09,OMR,3.21200,CHF
2007-07-10,OMR,3.20800,CHF
2007-07-11,OMR,3.16900,CHF
2007-07-12,OMR,3.17000,CHF
2007-07-13,OMR,3.17700,CHF
2007-07-16,OMR,3.17000,CHF
2007-07-17,OMR,3.16700,CHF
2007-07-18,OMR,3.15600,CHF
2007-07-19,OMR,3.16800,CHF
2007-07-20,OMR,3.17700,CHF
2007-07-23,OMR,3.16600,CHF
2007-07-24,OMR,3.17900,CHF
2007-07-25,OMR,3.18800,CHF
2007-07-26,OMR,3.19900,CHF
2007-07-27,OMR,3.18400,CHF
2007-07-30,OMR,3.17300,CHF
2007-07-31,OMR,3.17700,CHF
2007-08-02,OMR,3.17500,CHF
2007-08-03,OMR,3.18400,CHF
2007-08-06,OMR,3.12600,CHF
2007-08-07,OMR,3.13900,CHF
2007-08-08,OMR,3.16100,CHF
2007-08-09,OMR,3.15200,CHF
2007-08-10,OMR,3.15100,CHF
2007-08-13,OMR,3.16200,CHF
2007-08-14,OMR,3.18500,CHF
2007-08-15,OMR,3.20100,CHF
2007-08-16,OMR,3.21300,CHF
2007-08-17,OMR,3.19100,CHF
2007-08-20,OMR,3.18500,CHF
2007-08-21,OMR,3.17400,CHF
2007-08-22,OMR,3.18200,CHF
2007-08-23,OMR,3.18700,CHF
2007-08-24,OMR,3.17800,CHF
2007-08-27,OMR,3.16900,CHF
2007-08-28,OMR,3.16800,CHF
2007-08-29,OMR,3.17000,CHF
2007-08-30,OMR,3.17100,CHF
2007-08-31,OMR,3.17800,CHF
2007-09-03,OMR,3.18400,CHF
2007-09-04,OMR,3.19200,CHF
2007-09-05,OMR,3.19900,CHF
2007-09-06,OMR,3.18000,CHF
2007-09-07,OMR,3.17300,CHF
2007-09-10,OMR,3.13800,CHF
2007-09-11,OMR,3.13900,CHF
2007-09-12,OMR,3.13400,CHF
2007-09-13,OMR,3.12100,CHF
2007-09-14,OMR,3.12900,CHF
2007-09-17,OMR,3.13000,CHF
2007-09-18,OMR,3.13300,CHF
2007-09-19,OMR,3.11700,CHF
2007-09-20,OMR,3.09700,CHF
2007-09-21,OMR,3.09300,CHF
2007-09-24,OMR,3.09000,CHF
2007-09-25,OMR,3.09400,CHF
2007-09-26,OMR,3.08700,CHF
2007-09-27,OMR,3.09000,CHF
2007-09-28,OMR,3.08800,CHF
2007-10-01,OMR,3.09000,CHF
2007-10-02,OMR,3.09200,CHF
2007-10-03,OMR,3.09500,CHF
2007-10-04,OMR,3.10900,CHF
2007-10-05,OMR,3.10300,CHF
2007-10-08,OMR,3.11500,CHF
2007-10-09,OMR,3.13000,CHF
2007-10-10,OMR,3.11900,CHF
2007-10-11,OMR,3.10900,CHF
2007-10-12,OMR,3.11900,CHF
2007-10-15,OMR,3.11200,CHF
2007-10-16,OMR,3.11900,CHF
2007-10-17,OMR,3.11200,CHF
2007-10-18,OMR,3.10300,CHF
2007-10-19,OMR,3.09100,CHF
2007-10-22,OMR,3.06900,CHF
2007-10-23,OMR,3.09400,CHF
2007-10-24,OMR,3.09800,CHF
2007-10-25,OMR,3.08700,CHF
2007-10-26,OMR,3.07100,CHF
2007-10-29,OMR,3.06500,CHF
2007-10-30,OMR,3.07500,CHF
2007-10-31,OMR,3.05400,CHF
2007-11-01,OMR,3.06600,CHF
2007-11-02,OMR,3.04400,CHF
2007-11-05,OMR,3.04300,CHF
2007-11-06,OMR,3.03700,CHF
2007-11-07,OMR,2.99800,CHF
2007-11-08,OMR,2.98800,CHF
2007-11-09,OMR,2.95900,CHF
2007-11-12,OMR,2.96600,CHF
2007-11-13,OMR,2.96500,CHF
2007-11-14,OMR,2.96500,CHF
2007-11-15,OMR,2.96400,CHF
2007-11-16,OMR,2.95500,CHF
2007-11-19,OMR,2.96100,CHF
2007-11-20,OMR,2.93400,CHF
2007-11-21,OMR,2.93100,CHF
2007-11-22,OMR,2.91600,CHF
2007-11-23,OMR,2.89500,CHF
2007-11-26,OMR,2.91600,CHF
2007-11-27,OMR,2.91400,CHF
2007-11-28,OMR,2.93300,CHF
2007-11-29,OMR,2.95700,CHF
2007-11-30,OMR,2.96400,CHF
2007-12-03,OMR,2.99000,CHF
2007-12-04,OMR,2.98800,CHF
2007-12-05,OMR,2.96600,CHF
2007-12-06,OMR,2.99200,CHF
2007-12-07,OMR,2.99400,CHF
2007-12-10,OMR,2.99000,CHF
2007-12-11,OMR,2.99700,CHF
2007-12-12,OMR,2.99700,CHF
2007-12-13,OMR,3.00200,CHF
2007-12-14,OMR,3.03100,CHF
2007-12-17,OMR,3.05800,CHF
2007-12-18,OMR,3.04900,CHF
2007-12-19,OMR,3.05600,CHF
2007-12-20,OMR,3.06300,CHF
2007-12-21,OMR,3.05800,CHF
2007-12-24,OMR,3.05800,CHF
2007-12-27,OMR,3.04400,CHF
2007-12-28,OMR,3.00500,CHF
2007-12-31,OMR,3.00500,CHF
2008-01-03,OMR,2.95800,CHF
2008-01-04,OMR,2.94600,CHF
2008-01-07,OMR,2.95300,CHF
2008-01-08,OMR,2.95400,CHF
2008-01-09,OMR,2.94500,CHF
2008-01-10,OMR,2.95200,CHF
2008-01-11,OMR,2.92000,CHF
2008-01-14,OMR,2.88900,CHF
2008-01-15,OMR,2.89500,CHF
2008-01-16,OMR,2.88600,CHF
2008-01-17,OMR,2.93100,CHF
2008-01-18,OMR,2.92400,CHF
2008-01-21,OMR,2.91800,CHF
2008-01-22,OMR,2.93000,CHF
2008-01-23,OMR,2.89700,CHF
2008-01-24,OMR,2.88500,CHF
2008-01-25,OMR,2.90000,CHF
2008-01-28,OMR,2.88900,CHF
2008-01-29,OMR,2.89100,CHF
2008-01-30,OMR,2.88900,CHF
2008-01-31,OMR,2.87400,CHF
2008-02-01,OMR,2.85200,CHF
2008-02-04,OMR,2.88400,CHF
2008-02-05,OMR,2.89500,CHF
2008-02-06,OMR,2.90900,CHF
2008-02-07,OMR,2.90500,CHF
2008-02-08,OMR,2.92500,CHF
2008-02-11,OMR,2.90100,CHF
2008-02-12,OMR,2.91600,CHF
2008-02-13,OMR,2.91900,CHF
2008-02-14,OMR,2.92400,CHF
2008-02-15,OMR,2.90000,CHF
2008-02-18,OMR,2.91200,CHF
2008-02-19,OMR,2.89700,CHF
2008-02-20,OMR,2.90100,CHF
2008-02-21,OMR,2.89900,CHF
2008-02-22,OMR,2.88300,CHF
2008-02-25,OMR,2.88000,CHF
2008-02-26,OMR,2.88400,CHF
2008-02-27,OMR,2.82100,CHF
2008-02-28,OMR,2.81200,CHF
2008-02-29,OMR,2.77300,CHF
2008-03-03,OMR,2.74600,CHF
2008-03-04,OMR,2.75000,CHF
2008-03-05,OMR,2.75300,CHF
2008-03-06,OMR,2.72400,CHF
2008-03-07,OMR,2.70800,CHF
2008-03-10,OMR,2.70200,CHF
2008-03-11,OMR,2.68500,CHF
2008-03-12,OMR,2.72600,CHF
2008-03-13,OMR,2.67300,CHF
2008-03-14,OMR,2.67100,CHF
2008-03-17,OMR,2.59900,CHF
2008-03-18,OMR,2.61200,CHF
2008-03-19,OMR,2.62500,CHF
2008-03-20,OMR,2.66800,CHF
2008-03-25,OMR,2.68700,CHF
2008-03-26,OMR,2.66500,CHF
2008-03-27,OMR,2.62800,CHF
