date,symbol,price,currency
2010-07-01,PAB,1.08464,CHF
2010-07-02,PAB,1.07232,CHF
2010-07-05,PAB,1.07666,CHF
2010-07-06,PAB,1.07434,CHF
2010-07-07,PAB,1.07262,CHF
2010-07-08,PAB,1.06030,CHF
2010-07-09,PAB,1.06201,CHF
2010-07-12,PAB,1.06808,CHF
2010-07-13,PAB,1.07242,CHF
2010-07-14,PAB,1.06737,CHF
2010-07-15,PAB,1.06353,CHF
2010-07-16,PAB,1.05313,CHF
2010-07-19,PAB,1.05818,CHF
2010-07-20,PAB,1.06515,CHF
2010-07-21,PAB,1.06343,CHF
2010-07-22,PAB,1.05999,CHF
2010-07-23,PAB,1.05434,CHF
2010-07-26,PAB,1.05360,CHF
2010-07-27,PAB,1.04950,CHF
2010-07-28,PAB,1.07272,CHF
2010-07-29,PAB,1.06838,CHF
2010-07-30,PAB,1.05030,CHF
2010-08-02,PAB,1.05141,CHF
2010-08-03,PAB,1.04979,CHF
2010-08-04,PAB,1.05000,CHF
2010-08-05,PAB,1.06393,CHF
2010-08-06,PAB,1.05747,CHF
2010-08-09,PAB,1.04929,CHF
2010-08-10,PAB,1.06121,CHF
2010-08-11,PAB,1.06232,CHF
2010-08-12,PAB,1.06888,CHF
2010-08-13,PAB,1.06070,CHF
2010-08-16,PAB,1.06171,CHF
2010-08-17,PAB,1.04909,CHF
2010-08-18,PAB,1.05434,CHF
2010-08-19,PAB,1.05434,CHF
2010-08-20,PAB,1.04313,CHF
2010-08-23,PAB,1.04434,CHF
2010-08-24,PAB,1.05202,CHF
2010-08-25,PAB,1.04171,CHF
2010-08-26,PAB,1.04070,CHF
2010-08-27,PAB,1.03363,CHF
2010-08-30,PAB,1.04050,CHF
2010-08-31,PAB,1.03363,CHF
2010-09-01,PAB,1.02788,CHF
2010-09-02,PAB,1.02858,CHF
2010-09-03,PAB,1.02303,CHF
2010-09-06,PAB,1.02596,CHF
2010-09-07,PAB,1.02161,CHF
2010-09-08,PAB,1.02242,CHF
2010-09-09,PAB,1.02182,CHF
2010-09-10,PAB,1.03212,CHF
2010-09-13,PAB,1.02707,CHF
2010-09-14,PAB,1.01778,CHF
2010-09-15,PAB,1.00859,CHF
2010-09-16,PAB,1.01192,CHF
2010-09-17,PAB,1.02666,CHF
2010-09-20,PAB,1.02020,CHF
2010-09-21,PAB,1.01384,CHF
2010-09-22,PAB,1.00717,CHF
2010-09-23,PAB,0.99738,CHF
2010-09-24,PAB,0.99556,CHF
2010-09-27,PAB,0.99636,CHF
2010-09-28,PAB,0.99546,CHF
2010-09-29,PAB,0.98657,CHF
2010-09-30,PAB,0.98687,CHF
2010-10-01,PAB,0.99111,CHF
2010-10-04,PAB,0.98788,CHF
2010-10-05,PAB,0.98253,CHF
2010-10-06,PAB,0.97637,CHF
2010-10-07,PAB,0.97243,CHF
2010-10-08,PAB,0.97677,CHF
2010-10-11,PAB,0.98788,CHF
2010-10-12,PAB,0.97475,CHF
2010-10-13,PAB,0.96566,CHF
2010-10-14,PAB,0.96314,CHF
2010-10-15,PAB,0.96404,CHF
2010-10-18,PAB,0.96980,CHF
2010-10-19,PAB,0.97061,CHF
2010-10-20,PAB,0.97909,CHF
2010-10-21,PAB,0.97414,CHF
2010-10-22,PAB,0.98031,CHF
2010-10-25,PAB,0.98414,CHF
2010-10-26,PAB,0.98172,CHF
2010-10-27,PAB,0.99566,CHF
2010-10-28,PAB,0.99909,CHF
2010-10-29,PAB,0.99434,CHF
2010-11-01,PAB,0.99394,CHF
2010-11-02,PAB,1.00172,CHF
2010-11-03,PAB,0.99020,CHF
2010-11-04,PAB,0.98374,CHF
2010-11-05,PAB,0.96889,CHF
2010-11-08,PAB,0.97556,CHF
2010-11-09,PAB,0.97606,CHF
2010-11-10,PAB,0.97950,CHF
2010-11-11,PAB,0.97970,CHF
2010-11-12,PAB,0.98667,CHF
2010-11-15,PAB,0.98798,CHF
2010-11-16,PAB,0.99384,CHF
2010-11-17,PAB,1.00727,CHF
2010-11-18,PAB,1.00141,CHF
2010-11-19,PAB,1.00667,CHF
2010-11-22,PAB,1.00182,CHF
2010-11-23,PAB,1.00030,CHF
2010-11-24,PAB,1.00515,CHF
2010-11-25,PAB,1.00626,CHF
2010-11-26,PAB,1.01061,CHF
2010-11-29,PAB,1.01010,CHF
2010-11-30,PAB,1.00970,CHF
2010-12-01,PAB,1.01202,CHF
2010-12-02,PAB,1.01444,CHF
2010-12-03,PAB,1.00465,CHF
2010-12-06,PAB,0.98687,CHF
2010-12-07,PAB,0.99081,CHF
2010-12-08,PAB,0.99889,CHF
2010-12-09,PAB,0.99434,CHF
2010-12-10,PAB,0.99303,CHF
2010-12-13,PAB,0.99303,CHF
2010-12-14,PAB,0.97839,CHF
2010-12-15,PAB,0.97273,CHF
2010-12-16,PAB,0.97788,CHF
2010-12-17,PAB,0.97192,CHF
2010-12-20,PAB,0.97889,CHF
2010-12-21,PAB,0.97344,CHF
2010-12-22,PAB,0.96667,CHF
2010-12-23,PAB,0.96071,CHF
2010-12-24,PAB,0.96728,CHF
2010-12-27,PAB,0.97172,CHF
2010-12-28,PAB,0.96647,CHF
2010-12-29,PAB,0.96192,CHF
2010-12-30,PAB,0.95364,CHF
2010-12-31,PAB,0.94677,CHF
2011-01-03,PAB,0.94607,CHF
2011-01-04,PAB,0.94475,CHF
2011-01-05,PAB,0.95849,CHF
2011-01-06,PAB,0.97818,CHF
2011-01-07,PAB,0.97435,CHF
2011-01-10,PAB,0.97354,CHF
2011-01-11,PAB,0.97849,CHF
2011-01-12,PAB,0.98313,CHF
2011-01-13,PAB,0.97859,CHF
2011-01-14,PAB,0.97465,CHF
2011-01-17,PAB,0.97455,CHF
2011-01-18,PAB,0.97394,CHF
2011-01-19,PAB,0.97031,CHF
2011-01-21,PAB,0.97667,CHF
2011-01-24,PAB,0.96899,CHF
2011-01-25,PAB,0.95758,CHF
2011-01-26,PAB,0.95192,CHF
2011-01-27,PAB,0.95243,CHF
2011-01-28,PAB,0.95526,CHF
2011-01-31,PAB,0.95102,CHF
2011-02-01,PAB,0.95223,CHF
2011-02-02,PAB,0.94556,CHF
2011-02-03,PAB,0.94990,CHF
2011-02-04,PAB,0.95586,CHF
2011-02-07,PAB,0.96334,CHF
2011-02-08,PAB,0.96425,CHF
2011-02-09,PAB,0.97324,CHF
2011-02-10,PAB,0.96970,CHF
2011-02-11,PAB,0.97829,CHF
2011-02-14,PAB,0.98192,CHF
2011-02-15,PAB,0.97899,CHF
2011-02-16,PAB,0.97586,CHF
2011-02-17,PAB,0.96808,CHF
2011-02-18,PAB,0.96041,CHF
2011-02-21,PAB,0.95465,CHF
2011-02-22,PAB,0.95859,CHF
2011-02-23,PAB,0.94617,CHF
2011-02-24,PAB,0.93829,CHF
2011-02-25,PAB,0.93425,CHF
2011-02-28,PAB,0.93637,CHF
2011-03-01,PAB,0.93970,CHF
2011-03-02,PAB,0.93768,CHF
2011-03-03,PAB,0.93354,CHF
2011-03-04,PAB,0.94203,CHF
2011-03-07,PAB,0.93536,CHF
2011-03-08,PAB,0.93627,CHF
2011-03-09,PAB,0.94607,CHF
2011-03-10,PAB,0.93778,CHF
2011-03-11,PAB,0.94041,CHF
2011-03-14,PAB,0.93910,CHF
2011-03-15,PAB,0.93274,CHF
2011-03-16,PAB,0.92718,CHF
2011-03-17,PAB,0.91021,CHF
2011-03-18,PAB,0.91536,CHF
2011-03-21,PAB,0.91354,CHF
2011-03-22,PAB,0.91344,CHF
2011-03-23,PAB,0.91294,CHF
2011-03-24,PAB,0.91799,CHF
2011-03-25,PAB,0.91748,CHF
2011-03-28,PAB,0.93061,CHF
2011-03-29,PAB,0.92607,CHF
2011-03-30,PAB,0.93183,CHF
2011-03-31,PAB,0.92779,CHF
2011-04-01,PAB,0.92950,CHF
2011-04-04,PAB,0.93415,CHF
2011-04-05,PAB,0.93344,CHF
2011-04-06,PAB,0.93667,CHF
2011-04-07,PAB,0.92859,CHF
2011-04-08,PAB,0.92294,CHF
2011-04-11,PAB,0.91668,CHF
2011-04-12,PAB,0.91658,CHF
2011-04-13,PAB,0.90748,CHF
2011-04-14,PAB,0.90526,CHF
2011-04-15,PAB,0.90193,CHF
2011-04-18,PAB,0.90344,CHF
2011-04-19,PAB,0.90567,CHF
