date,symbol,price,currency
2010-07-01,PEN,0.3840788,CHF
2010-07-02,PEN,0.3794469,CHF
2010-07-05,PEN,0.3813881,CHF
2010-07-06,PEN,0.3807003,CHF
2010-07-07,PEN,0.3802266,CHF
2010-07-08,PEN,0.3759927,CHF
2010-07-09,PEN,0.3763341,CHF
2010-07-12,PEN,0.37875,CHF
2010-07-13,PEN,0.3800206,CHF
2010-07-14,PEN,0.3791712,CHF
2010-07-15,PEN,0.3784803,CHF
2010-07-16,PEN,0.3735818,CHF
2010-07-19,PEN,0.3752403,CHF
2010-07-20,PEN,0.3781137,CHF
2010-07-21,PEN,0.3764351,CHF
2010-07-22,PEN,0.3753523,CHF
2010-07-23,PEN,0.3736142,CHF
2010-07-26,PEN,0.37375,CHF
2010-07-27,PEN,0.372427,CHF
2010-07-28,PEN,0.3803973,CHF
2010-07-29,PEN,0.3788571,CHF
2010-07-30,PEN,0.3725789,CHF
2010-08-02,PEN,0.3732374,CHF
2010-08-03,PEN,0.3729284,CHF
2010-08-04,PEN,0.373797,CHF
2010-08-05,PEN,0.3799761,CHF
2010-08-06,PEN,0.3780733,CHF
2010-08-09,PEN,0.3751483,CHF
2010-08-10,PEN,0.3791378,CHF
2010-08-11,PEN,0.3793994,CHF
2010-08-12,PEN,0.3810639,CHF
2010-08-13,PEN,0.378552,CHF
2010-08-16,PEN,0.379048,CHF
2010-08-17,PEN,0.3746736,CHF
2010-08-18,PEN,0.3769532,CHF
2010-08-19,PEN,0.3769532,CHF
2010-08-20,PEN,0.3728122,CHF
2010-08-23,PEN,0.3733788,CHF
2010-08-24,PEN,0.376123,CHF
2010-08-25,PEN,0.3725728,CHF
2010-08-26,PEN,0.3722113,CHF
2010-08-27,PEN,0.3702125,CHF
2010-08-30,PEN,0.3725395,CHF
2010-08-31,PEN,0.3700802,CHF
2010-09-01,PEN,0.3680188,CHF
2010-09-02,PEN,0.3681399,CHF
2010-09-03,PEN,0.366021,CHF
2010-09-06,PEN,0.367069,CHF
2010-09-07,PEN,0.3655152,CHF
2010-09-08,PEN,0.3658043,CHF
2010-09-09,PEN,0.3658493,CHF
2010-09-10,PEN,0.3696701,CHF
2010-09-13,PEN,0.3685213,CHF
2010-09-14,PEN,0.3650563,CHF
2010-09-15,PEN,0.3608537,CHF
2010-09-16,PEN,0.3632157,CHF
2010-09-17,PEN,0.3689059,CHF
2010-09-20,PEN,0.3650093,CHF
2010-09-21,PEN,0.3631225,CHF
2010-09-22,PEN,0.3603478,CHF
2010-09-23,PEN,0.3568426,CHF
2010-09-24,PEN,0.3569584,CHF
2010-09-27,PEN,0.3564812,CHF
2010-09-28,PEN,0.356156,CHF
2010-09-29,PEN,0.3537354,CHF
2010-09-30,PEN,0.353844,CHF
2010-10-01,PEN,0.3558754,CHF
2010-10-04,PEN,0.3540792,CHF
2010-10-05,PEN,0.3521606,CHF
2010-10-06,PEN,0.3493263,CHF
2010-10-07,PEN,0.3486655,CHF
2010-10-08,PEN,0.3494708,CHF
2010-10-11,PEN,0.3540792,CHF
2010-10-12,PEN,0.3487481,CHF
2010-10-13,PEN,0.3462392,CHF
2010-10-14,PEN,0.3462027,CHF
2010-10-15,PEN,0.3461562,CHF
2010-10-18,PEN,0.3482233,CHF
2010-10-19,PEN,0.3483884,CHF
2010-10-20,PEN,0.3511815,CHF
2010-10-21,PEN,0.3497828,CHF
2010-10-22,PEN,0.351995,CHF
2010-10-25,PEN,0.3533731,CHF
2010-10-26,PEN,0.3523762,CHF
2010-10-27,PEN,0.3572508,CHF
2010-10-28,PEN,0.3575848,CHF
2010-10-29,PEN,0.3557585,CHF
2010-11-01,PEN,0.3568908,CHF
2010-11-02,PEN,0.3582682,CHF
2010-11-03,PEN,0.3549118,CHF
2010-11-04,PEN,0.3524686,CHF
2010-11-05,PEN,0.3478969,CHF
2010-11-08,PEN,0.3502905,CHF
2010-11-09,PEN,0.3498437,CHF
2010-11-10,PEN,0.3510746,CHF
2010-11-11,PEN,0.351147,CHF
2010-11-12,PEN,0.3528859,CHF
2010-11-15,PEN,0.3541154,CHF
2010-11-16,PEN,0.3562151,CHF
2010-11-17,PEN,0.3588433,CHF
2010-11-18,PEN,0.3570107,CHF
2010-11-19,PEN,0.3593956,CHF
2010-11-22,PEN,0.3574096,CHF
2010-11-23,PEN,0.3567418,CHF
2010-11-24,PEN,0.3580876,CHF
2010-11-25,PEN,0.3586112,CHF
2010-11-26,PEN,0.3600306,CHF
2010-11-29,PEN,0.3598507,CHF
2010-11-30,PEN,0.358812,CHF
2010-12-01,PEN,0.3578571,CHF
2010-12-02,PEN,0.3592224,CHF
2010-12-03,PEN,0.3556273,CHF
2010-12-06,PEN,0.3503269,CHF
2010-12-07,PEN,0.3516004,CHF
2010-12-08,PEN,0.3544677,CHF
2010-12-09,PEN,0.3533564,CHF
2010-12-10,PEN,0.352139,CHF
2010-12-13,PEN,0.3516402,CHF
2010-12-14,PEN,0.3469457,CHF
2010-12-15,PEN,0.34543,CHF
2010-12-16,PEN,0.3472592,CHF
2010-12-17,PEN,0.3452657,CHF
2010-12-20,PEN,0.3483601,CHF
2010-12-21,PEN,0.346913,CHF
2010-12-22,PEN,0.3449932,CHF
2010-12-23,PEN,0.3433567,CHF
2010-12-24,PEN,0.3455795,CHF
2010-12-27,PEN,0.3471672,CHF
2010-12-28,PEN,0.3456613,CHF
2010-12-29,PEN,0.3432991,CHF
2010-12-30,PEN,0.3403433,CHF
2010-12-31,PEN,0.3377717,CHF
2011-01-03,PEN,0.3375194,CHF
2011-01-04,PEN,0.3375327,CHF
2011-01-05,PEN,0.3428076,CHF
2011-01-06,PEN,0.3492271,CHF
2011-01-07,PEN,0.3479811,CHF
2011-01-10,PEN,0.3476925,CHF
2011-01-11,PEN,0.3492106,CHF
2011-01-12,PEN,0.3512447,CHF
2011-01-13,PEN,0.3508745,CHF
2011-01-14,PEN,0.3499641,CHF
2011-01-17,PEN,0.3500535,CHF
2011-01-18,PEN,0.3498359,CHF
2011-01-19,PEN,0.3485298,CHF
2011-01-21,PEN,0.3524612,CHF
2011-01-24,PEN,0.3495649,CHF
2011-01-25,PEN,0.345822,CHF
2011-01-26,PEN,0.3435312,CHF
2011-01-27,PEN,0.3439617,CHF
2011-01-28,PEN,0.3448585,CHF
2011-01-31,PEN,0.3429556,CHF
2011-02-01,PEN,0.344013,CHF
2011-02-02,PEN,0.3422229,CHF
2011-02-03,PEN,0.3437948,CHF
2011-02-04,PEN,0.3457013,CHF
2011-02-07,PEN,0.3484043,CHF
2011-02-08,PEN,0.3488593,CHF
2011-02-09,PEN,0.3521114,CHF
2011-02-10,PEN,0.3505788,CHF
2011-02-11,PEN,0.3536826,CHF
2011-02-14,PEN,0.3553826,CHF
2011-02-15,PEN,0.3543225,CHF
2011-02-16,PEN,0.3529338,CHF
2011-02-17,PEN,0.3503746,CHF
2011-02-18,PEN,0.3477223,CHF
2011-02-21,PEN,0.3456379,CHF
2011-02-22,PEN,0.3465622,CHF
2011-02-23,PEN,0.3408386,CHF
2011-02-24,PEN,0.3380007,CHF
2011-02-25,PEN,0.3356989,CHF
2011-02-28,PEN,0.337188,CHF
2011-03-01,PEN,0.3387541,CHF
