date,symbol,price,currency
2006-04-03,PHP,0.026695,CHF
2006-04-04,PHP,0.026517,CHF
2006-04-05,PHP,0.026215,CHF
2006-04-06,PHP,0.026148,CHF
2006-04-07,PHP,0.026331,CHF
2006-04-10,PHP,0.026382,CHF
2006-04-11,PHP,0.02642,CHF
2006-04-12,PHP,0.026293,CHF
2006-04-13,PHP,0.02624,CHF
2006-04-18,PHP,0.026312,CHF
2006-04-19,PHP,0.026312,CHF
2006-04-20,PHP,0.026312,CHF
2006-04-21,PHP,0.026312,CHF
2006-04-24,PHP,0.025587,CHF
2006-04-25,PHP,0.025495,CHF
2006-04-26,PHP,0.025472,CHF
2006-04-27,PHP,0.02556,CHF
2006-04-28,PHP,0.025275,CHF
2006-05-01,PHP,0.024941,CHF
2006-05-02,PHP,0.025057,CHF
2006-05-03,PHP,0.025027,CHF
2006-05-04,PHP,0.025006,CHF
2006-05-05,PHP,0.024807,CHF
2006-05-08,PHP,0.024819,CHF
2006-05-09,PHP,0.024901,CHF
2006-05-10,PHP,0.024576,CHF
2006-05-11,PHP,0.024704,CHF
2006-05-12,PHP,0.024169,CHF
2006-05-15,PHP,0.024018,CHF
2006-05-16,PHP,0.024085,CHF
2006-05-17,PHP,0.024083,CHF
2006-05-18,PHP,0.023972,CHF
2006-05-19,PHP,0.024073,CHF
2006-05-22,PHP,0.024023,CHF
2006-05-23,PHP,0.023804,CHF
2006-05-24,PHP,0.023717,CHF
2006-05-26,PHP,0.02403,CHF
2006-05-29,PHP,0.024125,CHF
2006-05-30,PHP,0.023981,CHF
2006-05-31,PHP,0.02380,CHF
2006-06-01,PHP,0.023995,CHF
2006-06-02,PHP,0.02406,CHF
2006-06-06,PHP,0.023742,CHF
2006-06-07,PHP,0.023938,CHF
2006-06-08,PHP,0.02393,CHF
2006-06-09,PHP,0.024108,CHF
2006-06-12,PHP,0.024151,CHF
2006-06-13,PHP,0.024098,CHF
2006-06-14,PHP,0.024093,CHF
2006-06-15,PHP,0.024111,CHF
2006-06-16,PHP,0.02405,CHF
2006-06-19,PHP,0.024156,CHF
2006-06-20,PHP,0.024224,CHF
2006-06-21,PHP,0.024157,CHF
2006-06-22,PHP,0.024111,CHF
2006-06-23,PHP,0.024354,CHF
2006-06-26,PHP,0.02424,CHF
2006-06-27,PHP,0.024159,CHF
2006-06-28,PHP,0.024167,CHF
2006-06-29,PHP,0.024195,CHF
2006-06-30,PHP,0.024145,CHF
2006-07-03,PHP,0.024013,CHF
2006-07-04,PHP,0.024169,CHF
2006-07-05,PHP,0.024183,CHF
2006-07-06,PHP,0.024273,CHF
2006-07-07,PHP,0.024423,CHF
2006-07-10,PHP,0.024448,CHF
2006-07-11,PHP,0.024477,CHF
2006-07-12,PHP,0.02449,CHF
2006-07-13,PHP,0.024483,CHF
2006-07-14,PHP,0.024491,CHF
2006-07-17,PHP,0.024401,CHF
2006-07-18,PHP,0.024643,CHF
2006-07-19,PHP,0.024785,CHF
2006-07-20,PHP,0.024789,CHF
2006-07-21,PHP,0.024699,CHF
2006-07-24,PHP,0.024663,CHF
2006-07-25,PHP,0.024962,CHF
2006-07-26,PHP,0.025166,CHF
2006-07-27,PHP,0.024984,CHF
2006-07-28,PHP,0.024974,CHF
