date,symbol,price,currency
2010-07-01,PKR,0.0127442,CHF
2010-07-02,PKR,0.0125987,CHF
2010-07-05,PKR,0.0126654,CHF
2010-07-06,PKR,0.01263,CHF
2010-07-07,PKR,0.0125967,CHF
2010-07-08,PKR,0.0124472,CHF
2010-07-09,PKR,0.0124634,CHF
2010-07-12,PKR,0.0125129,CHF
2010-07-13,PKR,0.0125634,CHF
2010-07-14,PKR,0.0125159,CHF
2010-07-15,PKR,0.0124977,CHF
2010-07-16,PKR,0.0123755,CHF
2010-07-19,PKR,0.0124331,CHF
2010-07-20,PKR,0.0125432,CHF
2010-07-21,PKR,0.0124967,CHF
2010-07-22,PKR,0.0124543,CHF
2010-07-23,PKR,0.0123957,CHF
2010-07-26,PKR,0.012408,CHF
2010-07-27,PKR,0.012324,CHF
2010-07-28,PKR,0.0126038,CHF
2010-07-29,PKR,0.0125452,CHF
2010-07-30,PKR,0.012326,CHF
2010-08-02,PKR,0.0123967,CHF
2010-08-03,PKR,0.0123069,CHF
2010-08-04,PKR,0.0123149,CHF
2010-08-05,PKR,0.0124785,CHF
2010-08-06,PKR,0.0124028,CHF
2010-08-09,PKR,0.0123069,CHF
2010-08-10,PKR,0.0124462,CHF
2010-08-11,PKR,0.0124523,CHF
2010-08-12,PKR,0.012529,CHF
2010-08-13,PKR,0.0124331,CHF
2010-08-16,PKR,0.0124674,CHF
2010-08-17,PKR,0.0123119,CHF
2010-08-18,PKR,0.0123735,CHF
2010-08-19,PKR,0.0123735,CHF
2010-08-20,PKR,0.0122422,CHF
2010-08-23,PKR,0.0122564,CHF
2010-08-24,PKR,0.0123533,CHF
2010-08-25,PKR,0.0122321,CHF
2010-08-26,PKR,0.012221,CHF
2010-08-27,PKR,0.0121735,CHF
2010-08-30,PKR,0.012218,CHF
2010-08-31,PKR,0.0121594,CHF
2010-09-01,PKR,0.0120917,CHF
2010-09-02,PKR,0.0121028,CHF
2010-09-03,PKR,0.0120271,CHF
2010-09-06,PKR,0.0120333,CHF
2010-09-07,PKR,0.0119613,CHF
2010-09-08,PKR,0.0119498,CHF
2010-09-09,PKR,0.0119932,CHF
2010-09-10,PKR,0.0121055,CHF
2010-09-13,PKR,0.0120605,CHF
2010-09-14,PKR,0.0119514,CHF
2010-09-15,PKR,0.0118198,CHF
2010-09-16,PKR,0.0118686,CHF
2010-09-17,PKR,0.0120317,CHF
2010-09-20,PKR,0.0119869,CHF
2010-09-21,PKR,0.01188,CHF
2010-09-22,PKR,0.0117784,CHF
2010-09-23,PKR,0.0116775,CHF
2010-09-24,PKR,0.0116426,CHF
2010-09-27,PKR,0.0116357,CHF
2010-09-28,PKR,0.011621,CHF
2010-09-29,PKR,0.0115038,CHF
2010-09-30,PKR,0.0115033,CHF
2010-10-01,PKR,0.0115434,CHF
2010-10-04,PKR,0.0115124,CHF
2010-10-05,PKR,0.0114527,CHF
2010-10-06,PKR,0.0113915,CHF
2010-10-07,PKR,0.0113654,CHF
2010-10-08,PKR,0.0114443,CHF
2010-10-11,PKR,0.0115124,CHF
2010-10-12,PKR,0.011366,CHF
2010-10-13,PKR,0.0112798,CHF
2010-10-14,PKR,0.0112569,CHF
2010-10-15,PKR,0.0112807,CHF
2010-10-18,PKR,0.011352,CHF
2010-10-19,PKR,0.0113376,CHF
2010-10-20,PKR,0.0114501,CHF
2010-10-21,PKR,0.0113882,CHF
2010-10-22,PKR,0.0114575,CHF
2010-10-25,PKR,0.0115158,CHF
2010-10-26,PKR,0.0114942,CHF
2010-10-27,PKR,0.011693,CHF
2010-10-28,PKR,0.0116908,CHF
2010-10-29,PKR,0.011642,CHF
2010-11-01,PKR,0.0116359,CHF
2010-11-02,PKR,0.0117229,CHF
2010-11-03,PKR,0.0116221,CHF
2010-11-04,PKR,0.0115395,CHF
2010-11-05,PKR,0.0113787,CHF
2010-11-08,PKR,0.0114975,CHF
2010-11-09,PKR,0.0114966,CHF
2010-11-10,PKR,0.0115371,CHF
2010-11-11,PKR,0.0115259,CHF
2010-11-12,PKR,0.0116147,CHF
2010-11-15,PKR,0.011596,CHF
2010-11-16,PKR,0.0116936,CHF
2010-11-17,PKR,0.0118294,CHF
2010-11-18,PKR,0.0117938,CHF
2010-11-19,PKR,0.0118641,CHF
2010-11-22,PKR,0.01180,CHF
2010-11-23,PKR,0.0117545,CHF
2010-11-24,PKR,0.0118225,CHF
2010-11-25,PKR,0.0118245,CHF
2010-11-26,PKR,0.0118685,CHF
2010-11-29,PKR,0.0118348,CHF
2010-11-30,PKR,0.0118232,CHF
2010-12-01,PKR,0.0118642,CHF
2010-12-02,PKR,0.0119052,CHF
2010-12-03,PKR,0.011764,CHF
2010-12-06,PKR,0.0115626,CHF
2010-12-07,PKR,0.011602,CHF
2010-12-08,PKR,0.0117213,CHF
2010-12-09,PKR,0.0116666,CHF
2010-12-10,PKR,0.0116594,CHF
2010-12-13,PKR,0.0116335,CHF
2010-12-14,PKR,0.0114619,CHF
2010-12-15,PKR,0.0114023,CHF
2010-12-16,PKR,0.0114627,CHF
2010-12-17,PKR,0.0113928,CHF
2010-12-20,PKR,0.0114759,CHF
2010-12-21,PKR,0.0114119,CHF
2010-12-22,PKR,0.0113326,CHF
2010-12-23,PKR,0.0112588,CHF
2010-12-24,PKR,0.0113437,CHF
2010-12-27,PKR,0.0113972,CHF
2010-12-28,PKR,0.0113223,CHF
2010-12-29,PKR,0.0112889,CHF
2010-12-30,PKR,0.0111668,CHF
2010-12-31,PKR,0.0111058,CHF
2011-01-03,PKR,0.0111028,CHF
2011-01-04,PKR,0.0110809,CHF
2011-01-05,PKR,0.0112459,CHF
2011-01-06,PKR,0.0114662,CHF
2011-01-07,PKR,0.0114172,CHF
2011-01-10,PKR,0.0114118,CHF
2011-01-11,PKR,0.0114698,CHF
2011-01-12,PKR,0.0115351,CHF
2011-01-13,PKR,0.0114844,CHF
2011-01-14,PKR,0.0114382,CHF
2011-01-17,PKR,0.0114505,CHF
2011-01-18,PKR,0.011438,CHF
2011-01-19,PKR,0.0113672,CHF
2011-01-21,PKR,0.0114565,CHF
2011-01-24,PKR,0.0113452,CHF
2011-01-25,PKR,0.0112129,CHF
2011-01-26,PKR,0.0110947,CHF
2011-01-27,PKR,0.0111526,CHF
2011-01-28,PKR,0.0111857,CHF
2011-01-31,PKR,0.011174,CHF
2011-02-01,PKR,0.0111738,CHF
2011-02-02,PKR,0.0111112,CHF
2011-02-03,PKR,0.0111754,CHF
2011-02-04,PKR,0.0112336,CHF
2011-02-07,PKR,0.0113187,CHF
2011-02-08,PKR,0.0113321,CHF
2011-02-09,PKR,0.0114687,CHF
2011-02-10,PKR,0.0114703,CHF
2011-02-11,PKR,0.0115815,CHF
2011-02-14,PKR,0.0116328,CHF
2011-02-15,PKR,0.0115693,CHF
2011-02-16,PKR,0.0114997,CHF
2011-02-17,PKR,0.0114228,CHF
2011-02-18,PKR,0.0113202,CHF
2011-02-21,PKR,0.0112365,CHF
2011-02-22,PKR,0.0112696,CHF
2011-02-23,PKR,0.0111314,CHF
2011-02-24,PKR,0.0110387,CHF
2011-02-25,PKR,0.0109976,CHF
2011-02-28,PKR,0.0109954,CHF
2011-03-01,PKR,0.0110216,CHF
2011-03-02,PKR,0.0110238,CHF
2011-03-03,PKR,0.010925,CHF
2011-03-04,PKR,0.0110619,CHF
2011-03-07,PKR,0.011003,CHF
2011-03-08,PKR,0.0110331,CHF
2011-03-09,PKR,0.0111921,CHF
2011-03-10,PKR,0.0110445,CHF
2011-03-11,PKR,0.0110819,CHF
2011-03-14,PKR,0.0110717,CHF
2011-03-15,PKR,0.0109785,CHF
2011-03-16,PKR,0.0109067,CHF
2011-03-17,PKR,0.010726,CHF
2011-03-18,PKR,0.0107855,CHF
2011-03-21,PKR,0.0107527,CHF
2011-03-22,PKR,0.0107451,CHF
2011-03-23,PKR,0.0107518,CHF
2011-03-24,PKR,0.0108241,CHF
2011-03-25,PKR,0.0108309,CHF
2011-03-28,PKR,0.0110262,CHF
2011-03-29,PKR,0.0109078,CHF
2011-03-30,PKR,0.0109807,CHF
2011-03-31,PKR,0.0109538,CHF
