date,symbol,price,currency
2002-01-03,PLN,0.42950,CHF
2002-01-04,PLN,0.42900,CHF
2002-01-07,PLN,0.43350,CHF
2002-01-08,PLN,0.43300,CHF
2002-01-09,PLN,0.43000,CHF
2002-01-10,PLN,0.43150,CHF
2002-01-11,PLN,0.41850,CHF
2002-01-14,PLN,0.42500,CHF
2002-01-15,PLN,0.42200,CHF
2002-01-16,PLN,0.41900,CHF
2002-01-17,PLN,0.41600,CHF
2002-01-18,PLN,0.41100,CHF
2002-01-21,PLN,0.41400,CHF
2002-01-22,PLN,0.41450,CHF
2002-01-23,PLN,0.41650,CHF
2002-01-24,PLN,0.41750,CHF
2002-01-25,PLN,0.41550,CHF
2002-01-28,PLN,0.42300,CHF
2002-01-29,PLN,0.42800,CHF
2002-01-30,PLN,0.42400,CHF
2002-01-31,PLN,0.42250,CHF
2002-02-01,PLN,0.42500,CHF
2002-02-04,PLN,0.42250,CHF
2002-02-05,PLN,0.41700,CHF
2002-02-06,PLN,0.41550,CHF
2002-02-07,PLN,0.41000,CHF
2002-02-08,PLN,0.41050,CHF
2002-02-11,PLN,0.41450,CHF
2002-02-12,PLN,0.41400,CHF
2002-02-13,PLN,0.41750,CHF
2002-02-14,PLN,0.41850,CHF
2002-02-15,PLN,0.42050,CHF
2002-02-18,PLN,0.42150,CHF
2002-02-19,PLN,0.42350,CHF
2002-02-20,PLN,0.41750,CHF
2002-02-21,PLN,0.41900,CHF
2002-02-22,PLN,0.42000,CHF
2002-02-25,PLN,0.41800,CHF
2002-02-26,PLN,0.41700,CHF
2002-02-27,PLN,0.41950,CHF
2002-02-28,PLN,0.41850,CHF
2002-03-01,PLN,0.41350,CHF
2002-03-04,PLN,0.42000,CHF
2002-03-05,PLN,0.42000,CHF
2002-03-06,PLN,0.42100,CHF
2002-03-07,PLN,0.41650,CHF
2002-03-08,PLN,0.41400,CHF
2002-03-11,PLN,0.41750,CHF
2002-03-12,PLN,0.41850,CHF
2002-03-13,PLN,0.41550,CHF
2002-03-14,PLN,0.41300,CHF
2002-03-15,PLN,0.41450,CHF
2002-03-18,PLN,0.41700,CHF
2002-03-19,PLN,0.41750,CHF
2002-03-20,PLN,0.41600,CHF
2002-03-21,PLN,0.41600,CHF
2002-03-22,PLN,0.41650,CHF
2002-03-25,PLN,0.41550,CHF
2002-03-26,PLN,0.41450,CHF
2002-03-27,PLN,0.41850,CHF
2002-03-28,PLN,0.42000,CHF
2002-04-02,PLN,0.41800,CHF
2002-04-03,PLN,0.41850,CHF
2002-04-04,PLN,0.41800,CHF
2002-04-05,PLN,0.41900,CHF
2002-04-08,PLN,0.42100,CHF
2002-04-09,PLN,0.42100,CHF
2002-04-10,PLN,0.41900,CHF
2002-04-11,PLN,0.42050,CHF
2002-04-12,PLN,0.42100,CHF
2002-04-15,PLN,0.42200,CHF
2002-04-16,PLN,0.42250,CHF
2002-04-17,PLN,0.42100,CHF
2002-04-18,PLN,0.42050,CHF
2002-04-19,PLN,0.42050,CHF
2002-04-22,PLN,0.42050,CHF
2002-04-23,PLN,0.42250,CHF
2002-04-24,PLN,0.42050,CHF
2002-04-25,PLN,0.41900,CHF
2002-04-26,PLN,0.41650,CHF
2002-04-29,PLN,0.41950,CHF
2002-04-30,PLN,0.41800,CHF
2002-05-01,PLN,0.41600,CHF
2002-05-02,PLN,0.41600,CHF
2002-05-03,PLN,0.41200,CHF
2002-05-06,PLN,0.41200,CHF
2002-05-07,PLN,0.41250,CHF
2002-05-08,PLN,0.41300,CHF
2002-05-10,PLN,0.40950,CHF
2002-05-13,PLN,0.40800,CHF
2002-05-14,PLN,0.40050,CHF
2002-05-15,PLN,0.40800,CHF
2002-05-16,PLN,0.40200,CHF
2002-05-17,PLN,0.40000,CHF
2002-05-21,PLN,0.39950,CHF
2002-05-22,PLN,0.39650,CHF
2002-05-23,PLN,0.39600,CHF
2002-05-24,PLN,0.39650,CHF
2002-05-27,PLN,0.40100,CHF
2002-05-28,PLN,0.40150,CHF
2002-05-29,PLN,0.40000,CHF
2002-05-30,PLN,0.40100,CHF
2002-05-31,PLN,0.39950,CHF
2002-06-03,PLN,0.40200,CHF
2002-06-04,PLN,0.40100,CHF
2002-06-05,PLN,0.40100,CHF
2002-06-06,PLN,0.40300,CHF
2002-06-07,PLN,0.39900,CHF
2002-06-10,PLN,0.39900,CHF
2002-06-11,PLN,0.39750,CHF
2002-06-12,PLN,0.39750,CHF
2002-06-13,PLN,0.40050,CHF
2002-06-14,PLN,0.40050,CHF
2002-06-17,PLN,0.39850,CHF
2002-06-18,PLN,0.39650,CHF
2002-06-19,PLN,0.39650,CHF
2002-06-20,PLN,0.39200,CHF
2002-06-21,PLN,0.38950,CHF
2002-06-24,PLN,0.38600,CHF
2002-06-25,PLN,0.38500,CHF
2002-06-26,PLN,0.38200,CHF
2002-06-27,PLN,0.38000,CHF
2002-06-28,PLN,0.37950,CHF
2002-07-01,PLN,0.37450,CHF
2002-07-02,PLN,0.38200,CHF
2002-07-03,PLN,0.37600,CHF
2002-07-04,PLN,0.37600,CHF
2002-07-05,PLN,0.37500,CHF
2002-07-08,PLN,0.37100,CHF
2002-07-09,PLN,0.36350,CHF
2002-07-10,PLN,0.36300,CHF
2002-07-11,PLN,0.37000,CHF
2002-07-12,PLN,0.36500,CHF
2002-07-15,PLN,0.36450,CHF
2002-07-16,PLN,0.36000,CHF
2002-07-17,PLN,0.36250,CHF
2002-07-18,PLN,0.36550,CHF
2002-07-19,PLN,0.36850,CHF
2002-07-22,PLN,0.36900,CHF
2002-07-23,PLN,0.37050,CHF
2002-07-24,PLN,0.36800,CHF
2002-07-25,PLN,0.36700,CHF
2002-07-26,PLN,0.36400,CHF
2002-07-29,PLN,0.36800,CHF
2002-07-30,PLN,0.37000,CHF
2002-07-31,PLN,0.36700,CHF
2002-08-02,PLN,0.36100,CHF
2002-08-05,PLN,0.36600,CHF
2002-08-06,PLN,0.36950,CHF
2002-08-07,PLN,0.36800,CHF
2002-08-08,PLN,0.37100,CHF
2002-08-09,PLN,0.37100,CHF
2002-08-12,PLN,0.36850,CHF
2002-08-13,PLN,0.36950,CHF
2002-08-14,PLN,0.36650,CHF
2002-08-15,PLN,0.36950,CHF
2002-08-16,PLN,0.36850,CHF
2002-08-19,PLN,0.36750,CHF
2002-08-20,PLN,0.37200,CHF
2002-08-21,PLN,0.37300,CHF
2002-08-22,PLN,0.37050,CHF
2002-08-23,PLN,0.37200,CHF
2002-08-26,PLN,0.37400,CHF
2002-08-27,PLN,0.37250,CHF
2002-08-28,PLN,0.36950,CHF
