date,symbol,price,currency
2007-04-02,QAR,0.003389,CHF
2007-04-03,QAR,0.003395,CHF
2007-04-04,QAR,0.003402,CHF
2007-04-05,QAR,0.003404,CHF
2007-04-10,QAR,0.003403,CHF
2007-04-11,QAR,0.00340,CHF
2007-04-12,QAR,0.003401,CHF
2007-04-13,QAR,0.003377,CHF
2007-04-16,QAR,0.003386,CHF
2007-04-17,QAR,0.003383,CHF
2007-04-18,QAR,0.003362,CHF
2007-04-19,QAR,0.003354,CHF
2007-04-20,QAR,0.003366,CHF
2007-04-23,QAR,0.003375,CHF
2007-04-24,QAR,0.003376,CHF
2007-04-25,QAR,0.003353,CHF
2007-04-26,QAR,0.003361,CHF
2007-04-27,QAR,0.003366,CHF
2007-04-30,QAR,0.003371,CHF
2007-05-01,QAR,0.003371,CHF
2007-05-02,QAR,0.003393,CHF
2007-05-03,QAR,0.003378,CHF
2007-05-04,QAR,0.003389,CHF
2007-05-07,QAR,0.003373,CHF
2007-05-08,QAR,0.00339,CHF
2007-05-09,QAR,0.003394,CHF
2007-05-10,QAR,0.003395,CHF
2007-05-11,QAR,0.003399,CHF
2007-05-14,QAR,0.003403,CHF
2007-05-15,QAR,0.003396,CHF
2007-05-16,QAR,0.00339,CHF
2007-05-18,QAR,0.003422,CHF
2007-05-21,QAR,0.003424,CHF
2007-05-22,QAR,0.003431,CHF
2007-05-23,QAR,0.003431,CHF
2007-05-24,QAR,0.003427,CHF
2007-05-25,QAR,0.003424,CHF
2007-05-29,QAR,0.003421,CHF
2007-05-30,QAR,0.003417,CHF
2007-05-31,QAR,0.00342,CHF
2007-06-01,QAR,0.003428,CHF
2007-06-04,QAR,0.003427,CHF
2007-06-05,QAR,0.003409,CHF
2007-06-06,QAR,0.003396,CHF
2007-06-07,QAR,0.003403,CHF
2007-06-08,QAR,0.003429,CHF
2007-06-11,QAR,0.345292,CHF
2007-06-12,QAR,0.345595,CHF
2007-06-13,QAR,0.347058,CHF
2007-06-14,QAR,0.347363,CHF
2007-06-15,QAR,0.347249,CHF
2007-06-18,QAR,0.345972,CHF
2007-06-19,QAR,0.346055,CHF
2007-06-20,QAR,0.345456,CHF
2007-06-21,QAR,0.346119,CHF
2007-06-22,QAR,0.344406,CHF
2007-06-25,QAR,0.34267,CHF
2007-06-26,QAR,0.342876,CHF
2007-06-27,QAR,0.34285,CHF
2007-06-28,QAR,0.34265,CHF
2007-06-29,QAR,0.343294,CHF
2007-07-02,QAR,0.339438,CHF
2007-07-03,QAR,0.337962,CHF
2007-07-04,QAR,0.339197,CHF
2007-07-05,QAR,0.338259,CHF
2007-07-06,QAR,0.340034,CHF
