date,symbol,price,currency
2009-11-02,RON,0.361066,CHF
2009-11-03,RON,0.361785,CHF
2009-11-04,RON,0.362315,CHF
2009-11-05,RON,0.362014,CHF
2009-11-06,RON,0.361978,CHF
2009-11-09,RON,0.362282,CHF
2009-11-10,RON,0.362324,CHF
2009-11-11,RON,0.362345,CHF
2009-11-12,RON,0.362482,CHF
2009-11-13,RON,0.362332,CHF
2009-11-16,RON,0.361884,CHF
2009-11-17,RON,0.362326,CHF
2009-11-18,RON,0.363353,CHF
2009-11-19,RON,0.36410,CHF
2009-11-20,RON,0.36396,CHF
2009-11-23,RON,0.36395,CHF
2009-11-24,RON,0.364451,CHF
2009-11-25,RON,0.365313,CHF
2009-11-26,RON,0.365504,CHF
2009-11-27,RON,0.36198,CHF
2009-11-30,RON,0.36372,CHF
2009-12-01,RON,0.363998,CHF
2009-12-02,RON,0.365362,CHF
2009-12-03,RON,0.366429,CHF
2009-12-04,RON,0.368423,CHF
2009-12-07,RON,0.367617,CHF
2009-12-08,RON,0.367702,CHF
2009-12-09,RON,0.367204,CHF
2009-12-10,RON,0.366461,CHF
2009-12-11,RON,0.36744,CHF
2009-12-14,RON,0.36702,CHF
2009-12-15,RON,0.366833,CHF
2009-12-16,RON,0.366741,CHF
2009-12-17,RON,0.367714,CHF
2009-12-18,RON,0.367005,CHF
2009-12-21,RON,0.36523,CHF
2009-12-22,RON,0.365449,CHF
2009-12-23,RON,0.365774,CHF
2009-12-24,RON,0.36635,CHF
2009-12-28,RON,0.365186,CHF
2009-12-29,RON,0.364809,CHF
2009-12-30,RON,0.363812,CHF
2009-12-31,RON,0.361946,CHF
2010-01-04,RON,0.361037,CHF
2010-01-05,RON,0.36349,CHF
2010-01-06,RON,0.367157,CHF
2010-01-07,RON,0.367035,CHF
2010-01-08,RON,0.366895,CHF
2010-01-11,RON,0.365958,CHF
2010-01-12,RON,0.368836,CHF
2010-01-13,RON,0.367949,CHF
2010-01-14,RON,0.370432,CHF
2010-01-15,RON,0.368546,CHF
2010-01-18,RON,0.370481,CHF
2010-01-19,RON,0.370411,CHF
2010-01-20,RON,0.368405,CHF
2010-01-21,RON,0.36750,CHF
2010-01-22,RON,0.366164,CHF
2010-01-25,RON,0.36586,CHF
2010-01-26,RON,0.367294,CHF
2010-01-27,RON,0.368771,CHF
2010-01-28,RON,0.367854,CHF
2010-01-29,RON,0.366568,CHF
2010-02-01,RON,0.369529,CHF
2010-02-02,RON,0.372725,CHF
2010-02-03,RON,0.37082,CHF
2010-02-04,RON,0.36934,CHF
2010-02-05,RON,0.365157,CHF
2010-02-08,RON,0.364742,CHF
2010-02-09,RON,0.36583,CHF
2010-02-10,RON,0.367202,CHF
2010-02-11,RON,0.367746,CHF
2010-02-12,RON,0.366726,CHF
2010-02-15,RON,0.366792,CHF
2010-02-16,RON,0.36700,CHF
2010-02-17,RON,0.368065,CHF
2010-02-18,RON,0.365473,CHF
2010-02-19,RON,0.365574,CHF
2010-02-22,RON,0.36544,CHF
2010-02-23,RON,0.366761,CHF
2010-02-24,RON,0.365478,CHF
2010-02-25,RON,0.365574,CHF
2010-02-26,RON,0.366428,CHF
2010-03-01,RON,0.366714,CHF
2010-03-02,RON,0.366657,CHF
2010-03-03,RON,0.36729,CHF
2010-03-04,RON,0.36916,CHF
2010-03-05,RON,0.368605,CHF
2010-03-08,RON,0.368832,CHF
2010-03-09,RON,0.368332,CHF
2010-03-10,RON,0.367667,CHF
2010-03-11,RON,0.367973,CHF
2010-03-12,RON,0.368047,CHF
2010-03-15,RON,0.366776,CHF
2010-03-16,RON,0.365763,CHF
2010-03-17,RON,0.366505,CHF
2010-03-18,RON,0.36512,CHF
2010-03-19,RON,0.363601,CHF
2010-03-22,RON,0.362034,CHF
2010-03-23,RON,0.362077,CHF
2010-03-24,RON,0.361563,CHF
2010-03-25,RON,0.362276,CHF
2010-03-26,RON,0.362043,CHF
2010-03-29,RON,0.362713,CHF
2010-03-30,RON,0.363313,CHF
2010-03-31,RON,0.360356,CHF
2010-05-03,RON,0.357739,CHF
2010-05-04,RON,0.357519,CHF
2010-05-05,RON,0.355505,CHF
2010-05-06,RON,0.352878,CHF
2010-05-07,RON,0.348803,CHF
2010-05-10,RON,0.352475,CHF
2010-05-11,RON,0.349692,CHF
2010-05-12,RON,0.346509,CHF
2010-05-14,RON,0.345754,CHF
2010-05-17,RON,0.344697,CHF
2010-05-18,RON,0.344418,CHF
2010-05-19,RON,0.343887,CHF
2010-05-20,RON,0.349697,CHF
2010-05-21,RON,0.356722,CHF
2010-05-25,RON,0.35110,CHF
2010-05-26,RON,0.35218,CHF
2010-05-27,RON,0.352217,CHF
2010-05-28,RON,0.352675,CHF
2010-05-31,RON,0.351603,CHF
2010-06-01,RON,0.348963,CHF
2010-06-02,RON,0.348191,CHF
2010-06-03,RON,0.349119,CHF
2010-06-04,RON,0.345541,CHF
2010-06-07,RON,0.339929,CHF
2010-06-08,RON,0.338851,CHF
2010-06-09,RON,0.33599,CHF
2010-06-10,RON,0.336918,CHF
2010-06-11,RON,0.338634,CHF
2010-06-14,RON,0.340029,CHF
2010-06-15,RON,0.339559,CHF
2010-06-16,RON,0.340075,CHF
2010-06-17,RON,0.334865,CHF
2010-06-18,RON,0.334887,CHF
2010-06-21,RON,0.335481,CHF
2010-06-22,RON,0.333184,CHF
2010-06-23,RON,0.332232,CHF
2010-06-24,RON,0.331686,CHF
2010-06-25,RON,0.323704,CHF
2010-06-28,RON,0.3161502,CHF
2010-06-29,RON,0.313908,CHF
2010-06-30,RON,0.3063239,CHF
2010-07-01,RON,0.3047423,CHF
2010-07-02,RON,0.3029576,CHF
2010-07-05,RON,0.3145089,CHF
2010-07-06,RON,0.3154806,CHF
2010-07-07,RON,0.3195266,CHF
2010-07-08,RON,0.3177591,CHF
2010-07-09,RON,0.3186742,CHF
2010-07-12,RON,0.3668997,CHF
2010-07-13,RON,0.3183379,CHF
2010-07-14,RON,0.3189509,CHF
2010-07-15,RON,0.3189509,CHF
2010-07-16,RON,0.3191489,CHF
2010-07-19,RON,0.3191489,CHF
2010-07-20,RON,0.3234283,CHF
2010-07-21,RON,0.3223294,CHF
2010-07-22,RON,0.3193953,CHF
2010-07-23,RON,0.3186469,CHF
2010-07-26,RON,0.31966,CHF
2010-07-27,RON,0.321568,CHF
2010-07-28,RON,0.3278288,CHF
2010-07-29,RON,0.3266108,CHF
2010-07-30,RON,0.3227516,CHF
2010-08-02,RON,0.3241393,CHF
2010-08-03,RON,0.326033,CHF
2010-08-04,RON,0.3282955,CHF
2010-08-05,RON,0.3303205,CHF
2010-08-06,RON,0.3280106,CHF
2010-08-09,RON,0.3258765,CHF
2010-08-10,RON,0.331182,CHF
2010-08-11,RON,0.3295539,CHF
2010-08-12,RON,0.3285833,CHF
2010-08-13,RON,0.3222152,CHF
2010-08-16,RON,0.3202074,CHF
2010-08-17,RON,0.3182621,CHF
2010-08-18,RON,0.3202245,CHF
2010-08-19,RON,0.3195165,CHF
2010-08-20,RON,0.3164158,CHF
2010-08-23,RON,0.3137191,CHF
2010-08-24,RON,0.3142312,CHF
2010-08-25,RON,0.3112477,CHF
2010-08-26,RON,0.3109739,CHF
2010-08-27,RON,0.3093782,CHF
2010-08-30,RON,0.312801,CHF
2010-08-31,RON,0.3087045,CHF
2010-09-01,RON,0.305925,CHF
2010-09-02,RON,0.3093024,CHF
2010-09-03,RON,0.3074925,CHF
2010-09-06,RON,0.3092657,CHF
2010-09-07,RON,0.3058453,CHF
2010-09-08,RON,0.3029581,CHF
2010-09-09,RON,0.3039223,CHF
2010-09-10,RON,0.3061668,CHF
2010-09-13,RON,0.3076992,CHF
2010-09-14,RON,0.3075412,CHF
2010-09-15,RON,0.3098289,CHF
2010-09-16,RON,0.3103951,CHF
2010-09-17,RON,0.3160428,CHF
2010-09-20,RON,0.3136956,CHF
2010-09-21,RON,0.3114805,CHF
2010-09-22,RON,0.3147019,CHF
2010-09-23,RON,0.3139065,CHF
2010-09-24,RON,0.3116862,CHF
2010-09-27,RON,0.3163365,CHF
2010-09-28,RON,0.3153171,CHF
2010-09-29,RON,0.3141836,CHF
2010-09-30,RON,0.3147914,CHF
2010-10-01,RON,0.3170648,CHF
2010-10-04,RON,0.3185788,CHF
2010-10-05,RON,0.3143184,CHF
2010-10-06,RON,0.3154965,CHF
2010-10-07,RON,0.3170099,CHF
2010-10-08,RON,0.3184465,CHF
2010-10-11,RON,0.3185788,CHF
2010-10-12,RON,0.3170334,CHF
2010-10-13,RON,0.3155239,CHF
2010-10-14,RON,0.3169462,CHF
2010-10-15,RON,0.3163085,CHF
2010-10-18,RON,0.3155469,CHF
2010-10-19,RON,0.3159126,CHF
2010-10-20,RON,0.3134304,CHF
2010-10-21,RON,0.314748,CHF
2010-10-22,RON,0.3158813,CHF
2010-10-25,RON,0.3212902,CHF
2010-10-26,RON,0.3213381,CHF
2010-10-27,RON,0.3223863,CHF
2010-10-28,RON,0.3230276,CHF
2010-10-29,RON,0.3243029,CHF
2010-11-01,RON,0.3259357,CHF
2010-11-02,RON,0.3257831,CHF
2010-11-03,RON,0.3234798,CHF
2010-11-04,RON,0.3238437,CHF
2010-11-05,RON,0.3208786,CHF
2010-11-08,RON,0.31709,CHF
2010-11-09,RON,0.3164313,CHF
2010-11-10,RON,0.3144658,CHF
2010-11-11,RON,0.3162975,CHF
2010-11-12,RON,0.3140558,CHF
2010-11-15,RON,0.3159015,CHF
2010-11-16,RON,0.315635,CHF
2010-11-17,RON,0.3168422,CHF
2010-11-18,RON,0.3163928,CHF
2010-11-19,RON,0.319516,CHF
2010-11-22,RON,0.320736,CHF
2010-11-23,RON,0.3162917,CHF
2010-11-24,RON,0.3127807,CHF
2010-11-25,RON,0.3115462,CHF
2010-11-26,RON,0.3135704,CHF
2010-11-29,RON,0.309961,CHF
2010-11-30,RON,0.3079002,CHF
2010-12-01,RON,0.3062922,CHF
2010-12-02,RON,0.3097161,CHF
2010-12-03,RON,0.3085525,CHF
2010-12-06,RON,0.306615,CHF
2010-12-07,RON,0.3069139,CHF
2010-12-08,RON,0.3076726,CHF
2010-12-09,RON,0.3080184,CHF
2010-12-10,RON,0.306104,CHF
2010-12-13,RON,0.3051633,CHF
2010-12-14,RON,0.3056695,CHF
2010-12-15,RON,0.3028994,CHF
2010-12-16,RON,0.3014712,CHF
2010-12-17,RON,0.300635,CHF
2010-12-20,RON,0.3001815,CHF
2010-12-21,RON,0.2992892,CHF
2010-12-22,RON,0.2962704,CHF
2010-12-23,RON,0.2941736,CHF
2010-12-24,RON,0.2964289,CHF
2010-12-27,RON,0.297499,CHF
2010-12-28,RON,0.2982469,CHF
2010-12-29,RON,0.2945808,CHF
2010-12-30,RON,0.2935367,CHF
2010-12-31,RON,0.2938558,CHF
2011-01-03,RON,0.2937549,CHF
2011-01-04,RON,0.2957069,CHF
2011-01-05,RON,0.2983998,CHF
2011-01-06,RON,0.3014716,CHF
2011-01-07,RON,0.2982208,CHF
2011-01-10,RON,0.2953161,CHF
2011-01-11,RON,0.2975846,CHF
2011-01-12,RON,0.3006526,CHF
2011-01-13,RON,0.3019125,CHF
2011-01-14,RON,0.3052076,CHF
2011-01-17,RON,0.3055779,CHF
2011-01-18,RON,0.303636,CHF
2011-01-19,RON,0.3064579,CHF
2011-01-21,RON,0.308682,CHF
2011-01-24,RON,0.3089609,CHF
2011-01-25,RON,0.3068776,CHF
2011-01-26,RON,0.3060163,CHF
2011-01-27,RON,0.3060114,CHF
2011-01-28,RON,0.307315,CHF
2011-01-31,RON,0.3040138,CHF
2011-02-01,RON,0.3069624,CHF
2011-02-02,RON,0.3076499,CHF
2011-02-03,RON,0.3083707,CHF
2011-02-04,RON,0.306092,CHF
2011-02-07,RON,0.3082287,CHF
2011-02-08,RON,0.3083716,CHF
2011-02-09,RON,0.312305,CHF
2011-02-10,RON,0.3127462,CHF
2011-02-11,RON,0.3121226,CHF
2011-02-14,RON,0.312346,CHF
2011-02-15,RON,0.3119203,CHF
2011-02-16,RON,0.3105566,CHF
2011-02-17,RON,0.3101345,CHF
2011-02-18,RON,0.3076065,CHF
2011-02-21,RON,0.3079423,CHF
2011-02-22,RON,0.3084766,CHF
2011-02-23,RON,0.3068189,CHF
2011-02-24,RON,0.3057714,CHF
2011-02-25,RON,0.3056301,CHF
2011-02-28,RON,0.305335,CHF
2011-03-01,RON,0.3089404,CHF
2011-03-02,RON,0.3070347,CHF
2011-03-03,RON,0.3080797,CHF
2011-03-04,RON,0.3126749,CHF
2011-03-07,RON,0.3112579,CHF
2011-03-08,RON,0.3123086,CHF
2011-03-09,RON,0.3140471,CHF
2011-03-10,RON,0.3116393,CHF
2011-03-11,RON,0.3102745,CHF
2011-03-14,RON,0.3122105,CHF
2011-03-15,RON,0.3115868,CHF
2011-03-16,RON,0.3104675,CHF
2011-03-17,RON,0.3033737,CHF
2011-03-18,RON,0.308879,CHF
2011-03-21,RON,0.3108036,CHF
2011-03-22,RON,0.312909,CHF
2011-03-23,RON,0.3135631,CHF
2011-03-24,RON,0.3152976,CHF
2011-03-25,RON,0.3179195,CHF
2011-03-28,RON,0.321145,CHF
2011-03-29,RON,0.3175711,CHF
2011-03-30,RON,0.3190639,CHF
2011-03-31,RON,0.3197939,CHF
2011-04-01,RON,0.3196036,CHF
2011-04-04,RON,0.3216877,CHF
2011-04-05,RON,0.3218544,CHF
2011-04-06,RON,0.3251663,CHF
2011-04-07,RON,0.3240035,CHF
2011-04-08,RON,0.3224575,CHF
2011-04-11,RON,0.3225234,CHF
2011-04-12,RON,0.3219328,CHF
2011-04-13,RON,0.3199651,CHF
2011-04-14,RON,0.3184406,CHF
2011-04-15,RON,0.3190753,CHF
2011-04-18,RON,0.317388,CHF
2011-04-19,RON,0.3151352,CHF
2011-04-20,RON,0.3199248,CHF
2011-04-21,RON,0.3200239,CHF
2011-04-22,RON,0.3199318,CHF
2011-04-25,RON,0.3171599,CHF
2011-04-26,RON,0.318089,CHF
2011-04-27,RON,0.31799,CHF
2011-04-28,RON,0.321238,CHF
2011-04-29,RON,0.3210078,CHF
2011-05-02,RON,0.3176131,CHF
2011-05-03,RON,0.316481,CHF
2011-05-04,RON,0.314583,CHF
2011-05-05,RON,0.3146585,CHF
2011-05-06,RON,0.3112347,CHF
2011-05-09,RON,0.3093926,CHF
2011-05-10,RON,0.3086533,CHF
2011-05-11,RON,0.3137826,CHF
2011-05-12,RON,0.3113502,CHF
2011-05-13,RON,0.3093452,CHF
2011-05-16,RON,0.3089945,CHF
2011-05-17,RON,0.3086789,CHF
2011-05-18,RON,0.3085644,CHF
2011-05-19,RON,0.308335,CHF
2011-05-20,RON,0.3104527,CHF
2011-05-23,RON,0.3053084,CHF
2011-05-24,RON,0.3049615,CHF
2011-05-25,RON,0.3032067,CHF
2011-05-26,RON,0.3019291,CHF
2011-05-27,RON,0.2993736,CHF
2011-05-30,RON,0.2981131,CHF
2011-05-31,RON,0.2992018,CHF
2011-06-01,RON,0.3010305,CHF
2011-06-02,RON,0.2961459,CHF
2011-06-03,RON,0.2989968,CHF
2011-06-06,RON,0.2990947,CHF
2011-06-07,RON,0.2974692,CHF
2011-06-08,RON,0.2984602,CHF
2011-06-09,RON,0.2964504,CHF
2011-06-10,RON,0.2972002,CHF
2011-06-13,RON,0.2931441,CHF
2011-06-14,RON,0.2910223,CHF
2011-06-15,RON,0.2952372,CHF
2011-06-16,RON,0.291831,CHF
2011-06-17,RON,0.2866084,CHF
2011-06-20,RON,0.2899317,CHF
2011-06-21,RON,0.2873487,CHF
2011-06-22,RON,0.2885421,CHF
2011-06-23,RON,0.2893803,CHF
2011-06-24,RON,0.2854918,CHF
2011-06-27,RON,0.2849739,CHF
2011-06-28,RON,0.2862369,CHF
2011-06-29,RON,0.2869408,CHF
2011-06-30,RON,0.2887249,CHF
2011-07-01,RON,0.2913262,CHF
2011-07-04,RON,0.2939084,CHF
2011-07-05,RON,0.29671,CHF
2011-07-06,RON,0.2932326,CHF
2011-07-07,RON,0.2891708,CHF
2011-07-08,RON,0.2919999,CHF
2011-07-11,RON,0.285701,CHF
2011-07-12,RON,0.2786207,CHF
2011-07-13,RON,0.2745663,CHF
2011-07-14,RON,0.2731838,CHF
2011-07-15,RON,0.2734913,CHF
2011-07-18,RON,0.27276,CHF
2011-07-19,RON,0.2734051,CHF
2011-07-20,RON,0.2777004,CHF
2011-07-21,RON,0.2795945,CHF
2011-07-22,RON,0.2805746,CHF
2011-07-25,RON,0.2792266,CHF
2011-07-26,RON,0.2746416,CHF
2011-07-27,RON,0.2779753,CHF
2011-07-28,RON,0.2742572,CHF
2011-07-29,RON,0.2736205,CHF
2011-08-01,RON,0.2705814,CHF
2011-08-02,RON,0.2671103,CHF
2011-08-03,RON,0.2595529,CHF
2011-08-04,RON,0.2651267,CHF
2011-08-05,RON,0.2580744,CHF
2011-08-08,RON,0.2602261,CHF
2011-08-09,RON,0.2537746,CHF
2011-08-10,RON,0.246295,CHF
2011-08-11,RON,0.2427492,CHF
2011-08-12,RON,0.2548395,CHF
2011-08-15,RON,0.2667688,CHF
2011-08-16,RON,0.2679146,CHF
2011-08-17,RON,0.2699653,CHF
2011-08-18,RON,0.2708711,CHF
2011-08-19,RON,0.2698678,CHF
2011-08-22,RON,0.2678126,CHF
2011-08-23,RON,0.2689289,CHF
2011-08-24,RON,0.2717928,CHF
2011-08-25,RON,0.2723349,CHF
2011-08-26,RON,0.2717808,CHF
2011-08-29,RON,0.2798616,CHF
2011-08-30,RON,0.2837773,CHF
2011-08-31,RON,0.2832632,CHF
2011-09-01,RON,0.2774517,CHF
2011-09-02,RON,0.2711045,CHF
2011-09-05,RON,0.2664218,CHF
2011-09-06,RON,0.2629203,CHF
2011-09-07,RON,0.287363,CHF
2011-09-08,RON,0.2879296,CHF
2011-09-09,RON,0.2888505,CHF
2011-09-12,RON,0.2845495,CHF
2011-09-13,RON,0.2845571,CHF
2011-09-14,RON,0.2843439,CHF
2011-09-15,RON,0.2830294,CHF
2011-09-16,RON,0.2855573,CHF
2011-09-19,RON,0.2855416,CHF
2011-09-20,RON,0.2844835,CHF
2011-09-21,RON,0.2874561,CHF
2011-09-22,RON,0.2876497,CHF
2011-09-23,RON,0.2877824,CHF
2011-09-26,RON,0.2872859,CHF
2011-09-27,RON,0.286298,CHF
2011-09-28,RON,0.2866561,CHF
2011-09-29,RON,0.2856293,CHF
2011-09-30,RON,0.2859932,CHF
2011-10-03,RON,0.2819945,CHF
2011-10-04,RON,0.2847289,CHF
2011-10-05,RON,0.2863252,CHF
2011-10-06,RON,0.2888706,CHF
2011-10-07,RON,0.2893123,CHF
2011-10-10,RON,0.2907261,CHF
2011-10-11,RON,0.2886856,CHF
2011-10-12,RON,0.2891109,CHF
2011-10-13,RON,0.290169,CHF
2011-10-14,RON,0.2892928,CHF
2011-10-17,RON,0.2890841,CHF
2011-10-18,RON,0.2874119,CHF
2011-10-19,RON,0.287024,CHF
2011-10-20,RON,0.289487,CHF
2011-10-21,RON,0.2840225,CHF
2011-10-24,RON,0.2860718,CHF
2011-10-25,RON,0.2865311,CHF
2011-10-26,RON,0.2857496,CHF
2011-10-27,RON,0.2855048,CHF
2011-10-28,RON,0.2851012,CHF
2011-10-31,RON,0.2849925,CHF
2011-11-01,RON,0.283622,CHF
2011-11-02,RON,0.2824954,CHF
2011-11-03,RON,0.2821652,CHF
2011-11-04,RON,0.282155,CHF
2011-11-07,RON,0.2850085,CHF
2011-11-08,RON,0.2890051,CHF
2011-11-09,RON,0.2872969,CHF
2011-11-10,RON,0.2853789,CHF
2011-11-11,RON,0.2866601,CHF
2011-11-14,RON,0.2884525,CHF
2011-11-15,RON,0.2875598,CHF
2011-11-16,RON,0.2875091,CHF
2011-11-17,RON,0.286657,CHF
2011-11-18,RON,0.2871299,CHF
2011-11-21,RON,0.2870734,CHF
2011-11-22,RON,0.2866694,CHF
2011-11-23,RON,0.2860381,CHF
