date,symbol,price,currency
2010-07-01,RSD,0.0126886,CHF
2010-07-02,RSD,0.0125402,CHF
2010-07-05,RSD,0.0129856,CHF
2010-07-06,RSD,0.0128937,CHF
2010-07-07,RSD,0.0130179,CHF
2010-07-08,RSD,0.0129371,CHF
2010-07-09,RSD,0.0129613,CHF
2010-07-12,RSD,0.0133317,CHF
2010-07-13,RSD,0.0129846,CHF
2010-07-14,RSD,0.013034,CHF
2010-07-15,RSD,0.013034,CHF
2010-07-16,RSD,0.013034,CHF
2010-07-19,RSD,0.013034,CHF
2010-07-20,RSD,0.0131371,CHF
2010-07-21,RSD,0.0131512,CHF
2010-07-22,RSD,0.0130451,CHF
2010-07-23,RSD,0.0129391,CHF
2010-07-26,RSD,0.012943,CHF
2010-07-27,RSD,0.012939,CHF
2010-07-28,RSD,0.0131522,CHF
2010-07-29,RSD,0.0130755,CHF
2010-07-30,RSD,0.0128906,CHF
2010-08-02,RSD,0.012928,CHF
2010-08-03,RSD,0.0129634,CHF
2010-08-04,RSD,0.0129755,CHF
2010-08-05,RSD,0.0129755,CHF
2010-08-06,RSD,0.0129755,CHF
2010-08-09,RSD,0.0129714,CHF
2010-08-10,RSD,0.0133047,CHF
2010-08-11,RSD,0.0132855,CHF
2010-08-12,RSD,0.0133674,CHF
2010-08-13,RSD,0.0129694,CHF
2010-08-16,RSD,0.0130219,CHF
2010-08-17,RSD,0.0128664,CHF
2010-08-18,RSD,0.012931,CHF
2010-08-19,RSD,0.0129219,CHF
2010-08-20,RSD,0.0127957,CHF
2010-08-23,RSD,0.0126937,CHF
2010-08-24,RSD,0.0126381,CHF
2010-08-25,RSD,0.0125119,CHF
2010-08-26,RSD,0.0125089,CHF
2010-08-27,RSD,0.0125058,CHF
2010-08-30,RSD,0.0126331,CHF
2010-08-31,RSD,0.0124563,CHF
2010-09-01,RSD,0.0123806,CHF
2010-09-02,RSD,0.0124725,CHF
2010-09-03,RSD,0.0124422,CHF
2010-09-06,RSD,0.0125041,CHF
2010-09-07,RSD,0.012387,CHF
2010-09-08,RSD,0.012302,CHF
2010-09-09,RSD,0.0123759,CHF
2010-09-10,RSD,0.0124569,CHF
2010-09-13,RSD,0.0125275,CHF
2010-09-14,RSD,0.0124377,CHF
2010-09-15,RSD,0.0124478,CHF
2010-09-16,RSD,0.0124836,CHF
2010-09-17,RSD,0.0127362,CHF
2010-09-20,RSD,0.0126466,CHF
2010-09-21,RSD,0.0126021,CHF
2010-09-22,RSD,0.0127377,CHF
2010-09-23,RSD,0.0126731,CHF
2010-09-24,RSD,0.0125892,CHF
2010-09-27,RSD,0.0127039,CHF
2010-09-28,RSD,0.0126351,CHF
2010-09-29,RSD,0.0126289,CHF
2010-09-30,RSD,0.0126668,CHF
2010-10-01,RSD,0.0127033,CHF
2010-10-04,RSD,0.0127716,CHF
2010-10-05,RSD,0.0126712,CHF
2010-10-06,RSD,0.0127496,CHF
2010-10-07,RSD,0.0127582,CHF
2010-10-08,RSD,0.0128253,CHF
2010-10-11,RSD,0.0127716,CHF
2010-10-12,RSD,0.0127128,CHF
2010-10-13,RSD,0.0125362,CHF
2010-10-14,RSD,0.0127534,CHF
2010-10-15,RSD,0.012757,CHF
2010-10-18,RSD,0.0127925,CHF
2010-10-19,RSD,0.0127628,CHF
2010-10-20,RSD,0.012704,CHF
2010-10-21,RSD,0.0127707,CHF
2010-10-22,RSD,0.0128287,CHF
2010-10-25,RSD,0.0129544,CHF
2010-10-26,RSD,0.0128397,CHF
2010-10-27,RSD,0.0128613,CHF
2010-10-28,RSD,0.0128534,CHF
2010-10-29,RSD,0.0129152,CHF
2010-11-01,RSD,0.0129808,CHF
2010-11-02,RSD,0.0129748,CHF
2010-11-03,RSD,0.0128857,CHF
2010-11-04,RSD,0.0129286,CHF
2010-11-05,RSD,0.0128373,CHF
2010-11-08,RSD,0.0126952,CHF
2010-11-09,RSD,0.0126564,CHF
2010-11-10,RSD,0.0125706,CHF
2010-11-11,RSD,0.0126258,CHF
2010-11-12,RSD,0.012569,CHF
2010-11-15,RSD,0.0126616,CHF
2010-11-16,RSD,0.0126717,CHF
2010-11-17,RSD,0.0127438,CHF
2010-11-18,RSD,0.0127156,CHF
2010-11-19,RSD,0.0128451,CHF
2010-11-22,RSD,0.0128901,CHF
2010-11-23,RSD,0.0127168,CHF
2010-11-24,RSD,0.0125951,CHF
2010-11-25,RSD,0.0125989,CHF
2010-11-26,RSD,0.0125729,CHF
2010-11-29,RSD,0.0124904,CHF
2010-11-30,RSD,0.0123616,CHF
2010-12-01,RSD,0.0122461,CHF
2010-12-02,RSD,0.0124076,CHF
2010-12-03,RSD,0.0123573,CHF
2010-12-06,RSD,0.0122822,CHF
2010-12-07,RSD,0.0123289,CHF
2010-12-08,RSD,0.0123122,CHF
2010-12-09,RSD,0.0123337,CHF
2010-12-10,RSD,0.012293,CHF
2010-12-13,RSD,0.0122491,CHF
2010-12-14,RSD,0.0123347,CHF
2010-12-15,RSD,0.0123193,CHF
2010-12-16,RSD,0.0123579,CHF
2010-12-17,RSD,0.0123434,CHF
2010-12-20,RSD,0.0122117,CHF
2010-12-21,RSD,0.0121695,CHF
2010-12-22,RSD,0.0119144,CHF
2010-12-23,RSD,0.0119062,CHF
2010-12-24,RSD,0.0119587,CHF
2010-12-27,RSD,0.0121999,CHF
2010-12-28,RSD,0.0120312,CHF
2010-12-29,RSD,0.0119509,CHF
2010-12-30,RSD,0.0119639,CHF
2010-12-31,RSD,0.0119678,CHF
2011-01-03,RSD,0.0118436,CHF
2011-01-04,RSD,0.0118852,CHF
2011-01-05,RSD,0.0119401,CHF
2011-01-06,RSD,0.0120913,CHF
2011-01-07,RSD,0.0119596,CHF
2011-01-10,RSD,0.011871,CHF
2011-01-11,RSD,0.0119488,CHF
2011-01-12,RSD,0.0121292,CHF
2011-01-13,RSD,0.0121624,CHF
2011-01-14,RSD,0.0120132,CHF
2011-01-17,RSD,0.012376,CHF
2011-01-18,RSD,0.0123707,CHF
2011-01-19,RSD,0.0124919,CHF
2011-01-21,RSD,0.0125488,CHF
2011-01-24,RSD,0.0125794,CHF
2011-01-25,RSD,0.012506,CHF
2011-01-26,RSD,0.0124753,CHF
2011-01-27,RSD,0.0125336,CHF
2011-01-28,RSD,0.0125576,CHF
2011-01-31,RSD,0.0123782,CHF
2011-02-01,RSD,0.0124776,CHF
2011-02-02,RSD,0.0125489,CHF
2011-02-03,RSD,0.0126066,CHF
2011-02-04,RSD,0.0125409,CHF
2011-02-07,RSD,0.0126722,CHF
2011-02-08,RSD,0.0127008,CHF
2011-02-09,RSD,0.0128361,CHF
2011-02-10,RSD,0.012871,CHF
2011-02-11,RSD,0.0128722,CHF
2011-02-14,RSD,0.0128929,CHF
2011-02-15,RSD,0.0128073,CHF
2011-02-16,RSD,0.0127672,CHF
2011-02-17,RSD,0.0126746,CHF
2011-02-18,RSD,0.01257,CHF
2011-02-21,RSD,0.0126679,CHF
2011-02-22,RSD,0.0126197,CHF
2011-02-23,RSD,0.0126005,CHF
2011-02-24,RSD,0.012549,CHF
2011-02-25,RSD,0.0124683,CHF
2011-02-28,RSD,0.0124617,CHF
2011-03-01,RSD,0.0125545,CHF
2011-03-02,RSD,0.0124386,CHF
2011-03-03,RSD,0.0124249,CHF
2011-03-04,RSD,0.0126396,CHF
2011-03-07,RSD,0.0126059,CHF
2011-03-08,RSD,0.0126301,CHF
2011-03-09,RSD,0.0126751,CHF
2011-03-10,RSD,0.0126097,CHF
2011-03-11,RSD,0.0126331,CHF
2011-03-14,RSD,0.012706,CHF
2011-03-15,RSD,0.012637,CHF
2011-03-16,RSD,0.0126267,CHF
2011-03-17,RSD,0.0123419,CHF
2011-03-18,RSD,0.0125427,CHF
2011-03-21,RSD,0.0125608,CHF
2011-03-22,RSD,0.0126236,CHF
2011-03-23,RSD,0.012543,CHF
2011-03-24,RSD,0.0124956,CHF
2011-03-25,RSD,0.0125425,CHF
2011-03-28,RSD,0.0126518,CHF
2011-03-29,RSD,0.0125893,CHF
2011-03-30,RSD,0.0126891,CHF
2011-03-31,RSD,0.0126738,CHF
2011-04-01,RSD,0.0127059,CHF
2011-04-04,RSD,0.0129563,CHF
2011-04-05,RSD,0.0129232,CHF
2011-04-06,RSD,0.0130483,CHF
2011-04-07,RSD,0.0129928,CHF
2011-04-08,RSD,0.0130349,CHF
2011-04-11,RSD,0.0130954,CHF
2011-04-12,RSD,0.0130566,CHF
2011-04-13,RSD,0.0129863,CHF
2011-04-14,RSD,0.0128616,CHF
2011-04-15,RSD,0.0128856,CHF
2011-04-18,RSD,0.0128039,CHF
2011-04-19,RSD,0.0126889,CHF
2011-04-20,RSD,0.0128944,CHF
2011-04-21,RSD,0.012879,CHF
2011-04-22,RSD,0.012947,CHF
2011-04-25,RSD,0.012964,CHF
2011-04-26,RSD,0.0128746,CHF
2011-04-27,RSD,0.0128177,CHF
2011-04-28,RSD,0.012974,CHF
2011-04-29,RSD,0.0131686,CHF
2011-05-02,RSD,0.0130055,CHF
2011-05-03,RSD,0.013002,CHF
2011-05-04,RSD,0.01301,CHF
2011-05-05,RSD,0.0130116,CHF
2011-05-06,RSD,0.0128174,CHF
2011-05-09,RSD,0.0128151,CHF
2011-05-10,RSD,0.0127234,CHF
2011-05-11,RSD,0.0129155,CHF
2011-05-12,RSD,0.0128357,CHF
2011-05-13,RSD,0.0127879,CHF
2011-05-16,RSD,0.0127326,CHF
2011-05-17,RSD,0.0127591,CHF
2011-05-18,RSD,0.0129406,CHF
2011-05-19,RSD,0.0129946,CHF
2011-05-20,RSD,0.0131107,CHF
2011-05-23,RSD,0.0129771,CHF
2011-05-24,RSD,0.0129466,CHF
2011-05-25,RSD,0.012914,CHF
2011-05-26,RSD,0.012782,CHF
2011-05-27,RSD,0.0127723,CHF
2011-05-30,RSD,0.012633,CHF
2011-05-31,RSD,0.0126965,CHF
2011-06-01,RSD,0.0128437,CHF
2011-06-02,RSD,0.0125974,CHF
2011-06-03,RSD,0.0126418,CHF
2011-06-06,RSD,0.0125226,CHF
2011-06-07,RSD,0.0124205,CHF
2011-06-08,RSD,0.0124204,CHF
2011-06-09,RSD,0.0125151,CHF
2011-06-10,RSD,0.0126123,CHF
2011-06-13,RSD,0.0125197,CHF
2011-06-14,RSD,0.0121273,CHF
2011-06-15,RSD,0.0122526,CHF
2011-06-16,RSD,0.012077,CHF
2011-06-17,RSD,0.0119831,CHF
2011-06-20,RSD,0.0121134,CHF
2011-06-21,RSD,0.0120744,CHF
2011-06-22,RSD,0.0122111,CHF
2011-06-23,RSD,0.012083,CHF
2011-06-24,RSD,0.0119706,CHF
2011-06-27,RSD,0.0118522,CHF
2011-06-28,RSD,0.0118619,CHF
2011-06-29,RSD,0.0118028,CHF
2011-06-30,RSD,0.0118516,CHF
2011-07-01,RSD,0.012259,CHF
2011-07-04,RSD,0.0124016,CHF
2011-07-05,RSD,0.0124295,CHF
2011-07-06,RSD,0.0121278,CHF
2011-07-07,RSD,0.0120489,CHF
2011-07-08,RSD,0.0120791,CHF
2011-07-11,RSD,0.0118819,CHF
2011-07-12,RSD,0.0117142,CHF
2011-07-13,RSD,0.0114786,CHF
2011-07-14,RSD,0.0113501,CHF
2011-07-15,RSD,0.0113331,CHF
2011-07-18,RSD,0.0113298,CHF
2011-07-19,RSD,0.0112372,CHF
2011-07-20,RSD,0.0113258,CHF
2011-07-21,RSD,0.0113005,CHF
2011-07-22,RSD,0.0113471,CHF
2011-07-25,RSD,0.0112922,CHF
2011-07-26,RSD,0.01124,CHF
2011-07-27,RSD,0.0113052,CHF
2011-07-28,RSD,0.0113637,CHF
2011-07-29,RSD,0.0113687,CHF
2011-08-01,RSD,0.0112514,CHF
2011-08-02,RSD,0.0110833,CHF
2011-08-03,RSD,0.0108101,CHF
2011-08-04,RSD,0.0109424,CHF
2011-08-05,RSD,0.0106769,CHF
2011-08-08,RSD,0.0107737,CHF
2011-08-09,RSD,0.0104231,CHF
2011-08-10,RSD,0.0100363,CHF
2011-08-11,RSD,0.0101743,CHF
2011-08-12,RSD,0.0106762,CHF
2011-08-15,RSD,0.0111836,CHF
2011-08-16,RSD,0.0111964,CHF
2011-08-17,RSD,0.0112371,CHF
2011-08-18,RSD,0.0112036,CHF
2011-08-19,RSD,0.0112122,CHF
2011-08-22,RSD,0.0111645,CHF
2011-08-23,RSD,0.0112938,CHF
