date,symbol,price,currency
2007-04-02,RUB,0.049073,CHF
2007-04-03,RUB,0.049182,CHF
2007-04-04,RUB,0.049278,CHF
2007-04-05,RUB,0.049336,CHF
2007-04-10,RUB,0.049402,CHF
2007-04-11,RUB,0.04938,CHF
2007-04-12,RUB,0.049484,CHF
2007-04-13,RUB,0.04924,CHF
2007-04-16,RUB,0.049412,CHF
2007-04-17,RUB,0.049361,CHF
2007-04-18,RUB,0.049158,CHF
2007-04-19,RUB,0.049035,CHF
2007-04-20,RUB,0.049242,CHF
2007-04-23,RUB,0.049306,CHF
2007-04-24,RUB,0.049793,CHF
2007-04-25,RUB,0.04915,CHF
2007-04-26,RUB,0.049244,CHF
2007-04-27,RUB,0.049243,CHF
2007-04-30,RUB,0.049309,CHF
2007-05-01,RUB,0.049892,CHF
2007-05-02,RUB,0.049569,CHF
2007-05-03,RUB,0.049459,CHF
2007-05-04,RUB,0.049502,CHF
2007-05-07,RUB,0.049346,CHF
2007-05-08,RUB,0.049536,CHF
2007-05-09,RUB,0.049543,CHF
2007-05-10,RUB,0.049566,CHF
2007-05-11,RUB,0.049485,CHF
2007-05-14,RUB,0.049653,CHF
2007-05-15,RUB,0.050064,CHF
2007-05-16,RUB,0.049594,CHF
2007-05-18,RUB,0.049835,CHF
2007-05-21,RUB,0.049867,CHF
2007-05-22,RUB,0.04989,CHF
2007-05-23,RUB,0.049842,CHF
2007-05-24,RUB,0.049799,CHF
2007-05-25,RUB,0.049729,CHF
2007-05-29,RUB,0.049736,CHF
2007-05-30,RUB,0.049666,CHF
2007-05-31,RUB,0.049712,CHF
2007-06-01,RUB,0.049823,CHF
2007-06-04,RUB,0.049828,CHF
2007-06-05,RUB,0.049666,CHF
2007-06-06,RUB,0.049514,CHF
2007-06-07,RUB,0.049559,CHF
2007-06-08,RUB,0.04974,CHF
2007-06-11,RUB,0.049543,CHF
2007-06-12,RUB,0.049612,CHF
2007-06-13,RUB,0.049681,CHF
2007-06-14,RUB,0.049723,CHF
2007-06-15,RUB,0.049738,CHF
2007-06-18,RUB,0.049709,CHF
2007-06-19,RUB,0.049752,CHF
2007-06-20,RUB,0.049654,CHF
2007-06-21,RUB,0.049706,CHF
2007-06-22,RUB,0.049533,CHF
2007-06-25,RUB,0.049353,CHF
2007-06-26,RUB,0.049602,CHF
2007-06-27,RUB,0.049466,CHF
2007-06-28,RUB,0.049552,CHF
2007-06-29,RUB,0.049617,CHF
2007-07-02,RUB,0.049216,CHF
2007-07-03,RUB,0.049147,CHF
2007-07-04,RUB,0.04929,CHF
2007-07-05,RUB,0.049191,CHF
2007-07-06,RUB,0.049267,CHF
2007-07-09,RUB,0.049317,CHF
2007-07-10,RUB,0.049346,CHF
2007-07-11,RUB,0.048979,CHF
2007-07-12,RUB,0.049053,CHF
