date,symbol,price,currency
2002-01-03,SEK,0.16150,CHF
2002-01-04,SEK,0.16100,CHF
2002-01-07,SEK,0.16200,CHF
2002-01-08,SEK,0.16000,CHF
2002-01-09,SEK,0.16050,CHF
2002-01-10,SEK,0.16100,CHF
2002-01-11,SEK,0.16300,CHF
2002-01-14,SEK,0.16200,CHF
2002-01-15,SEK,0.16050,CHF
2002-01-16,SEK,0.16100,CHF
2002-01-17,SEK,0.15950,CHF
2002-01-18,SEK,0.15950,CHF
2002-01-21,SEK,0.16050,CHF
2002-01-22,SEK,0.16000,CHF
2002-01-23,SEK,0.15950,CHF
2002-01-24,SEK,0.16000,CHF
2002-01-25,SEK,0.16000,CHF
2002-01-28,SEK,0.16050,CHF
2002-01-29,SEK,0.16000,CHF
2002-01-30,SEK,0.16000,CHF
2002-01-31,SEK,0.16200,CHF
2002-02-01,SEK,0.16200,CHF
2002-02-04,SEK,0.16150,CHF
2002-02-05,SEK,0.16050,CHF
2002-02-06,SEK,0.16100,CHF
2002-02-07,SEK,0.16050,CHF
2002-02-08,SEK,0.16050,CHF
2002-02-11,SEK,0.16100,CHF
2002-02-12,SEK,0.16050,CHF
2002-02-13,SEK,0.16100,CHF
2002-02-14,SEK,0.16200,CHF
2002-02-15,SEK,0.16200,CHF
2002-02-18,SEK,0.16250,CHF
2002-02-19,SEK,0.16200,CHF
2002-02-20,SEK,0.16150,CHF
2002-02-21,SEK,0.16300,CHF
2002-02-22,SEK,0.16250,CHF
2002-02-25,SEK,0.16250,CHF
2002-02-26,SEK,0.16400,CHF
2002-02-27,SEK,0.16350,CHF
2002-02-28,SEK,0.16350,CHF
2002-03-01,SEK,0.16350,CHF
2002-03-04,SEK,0.16400,CHF
2002-03-05,SEK,0.16450,CHF
2002-03-06,SEK,0.16450,CHF
2002-03-07,SEK,0.16350,CHF
2002-03-08,SEK,0.16300,CHF
2002-03-11,SEK,0.16350,CHF
2002-03-12,SEK,0.16300,CHF
2002-03-13,SEK,0.16200,CHF
2002-03-14,SEK,0.16150,CHF
2002-03-15,SEK,0.16100,CHF
2002-03-18,SEK,0.16200,CHF
2002-03-19,SEK,0.16300,CHF
2002-03-20,SEK,0.16350,CHF
2002-03-21,SEK,0.16350,CHF
2002-03-22,SEK,0.16350,CHF
2002-03-25,SEK,0.16300,CHF
2002-03-26,SEK,0.16300,CHF
2002-03-27,SEK,0.16350,CHF
2002-03-28,SEK,0.16350,CHF
2002-04-02,SEK,0.16350,CHF
2002-04-03,SEK,0.16250,CHF
2002-04-04,SEK,0.16200,CHF
2002-04-05,SEK,0.16350,CHF
2002-04-08,SEK,0.16300,CHF
2002-04-09,SEK,0.16250,CHF
2002-04-10,SEK,0.16200,CHF
2002-04-11,SEK,0.16250,CHF
2002-04-12,SEK,0.16200,CHF
2002-04-15,SEK,0.16250,CHF
2002-04-16,SEK,0.16200,CHF
2002-04-17,SEK,0.16150,CHF
2002-04-18,SEK,0.16150,CHF
2002-04-19,SEK,0.16100,CHF
2002-04-22,SEK,0.16500,CHF
2002-04-23,SEK,0.16050,CHF
2002-04-24,SEK,0.16100,CHF
2002-04-25,SEK,0.16000,CHF
2002-04-26,SEK,0.16000,CHF
2002-04-29,SEK,0.15950,CHF
2002-04-30,SEK,0.15950,CHF
2002-05-01,SEK,0.15850,CHF
2002-05-02,SEK,0.15800,CHF
2002-05-03,SEK,0.15850,CHF
2002-05-06,SEK,0.15800,CHF
2002-05-07,SEK,0.15700,CHF
2002-05-08,SEK,0.15700,CHF
2002-05-10,SEK,0.15700,CHF
2002-05-13,SEK,0.15650,CHF
2002-05-14,SEK,0.15750,CHF
2002-05-15,SEK,0.15900,CHF
2002-05-16,SEK,0.15850,CHF
2002-05-17,SEK,0.15900,CHF
2002-05-21,SEK,0.15900,CHF
2002-05-22,SEK,0.15900,CHF
2002-05-23,SEK,0.16000,CHF
2002-05-24,SEK,0.16050,CHF
2002-05-27,SEK,0.16050,CHF
2002-05-28,SEK,0.16100,CHF
2002-05-29,SEK,0.16100,CHF
2002-05-30,SEK,0.16200,CHF
