date,symbol,price,currency
2002-01-03,SGD,0.89950,CHF
2002-01-04,SGD,0.90200,CHF
2002-01-07,SGD,0.90200,CHF
2002-01-08,SGD,0.90150,CHF
2002-01-09,SGD,0.90700,CHF
2002-01-10,SGD,0.90800,CHF
2002-01-11,SGD,0.91000,CHF
2002-01-14,SGD,0.91000,CHF
2002-01-15,SGD,0.91650,CHF
2002-01-16,SGD,0.92000,CHF
2002-01-17,SGD,0.91650,CHF
2002-01-18,SGD,0.91650,CHF
2002-01-21,SGD,0.91650,CHF
2002-01-22,SGD,0.91250,CHF
2002-01-23,SGD,0.91300,CHF
2002-01-24,SGD,0.91750,CHF
2002-01-25,SGD,0.92250,CHF
2002-01-28,SGD,0.93700,CHF
2002-01-29,SGD,0.94000,CHF
2002-01-30,SGD,0.93650,CHF
2002-01-31,SGD,0.94250,CHF
2002-02-01,SGD,0.94600,CHF
2002-02-04,SGD,0.94600,CHF
2002-02-05,SGD,0.93300,CHF
2002-02-06,SGD,0.93650,CHF
2002-02-07,SGD,0.93350,CHF
2002-02-08,SGD,0.93000,CHF
2002-02-11,SGD,0.93200,CHF
2002-02-12,SGD,0.92900,CHF
2002-02-13,SGD,0.93200,CHF
2002-02-14,SGD,0.94050,CHF
2002-02-15,SGD,0.94150,CHF
2002-02-18,SGD,0.93800,CHF
2002-02-19,SGD,0.94150,CHF
2002-02-20,SGD,0.93250,CHF
2002-02-21,SGD,0.93950,CHF
2002-02-22,SGD,0.93750,CHF
2002-02-25,SGD,0.93200,CHF
2002-02-26,SGD,0.93500,CHF
2002-02-27,SGD,0.94000,CHF
2002-02-28,SGD,0.94050,CHF
2002-03-01,SGD,0.93800,CHF
2002-03-04,SGD,0.94550,CHF
2002-03-05,SGD,0.93900,CHF
2002-03-06,SGD,0.93750,CHF
2002-03-07,SGD,0.92750,CHF
2002-03-08,SGD,0.92850,CHF
2002-03-11,SGD,0.93250,CHF
2002-03-12,SGD,0.93250,CHF
2002-03-13,SGD,0.93000,CHF
2002-03-14,SGD,0.92100,CHF
2002-03-15,SGD,0.91850,CHF
2002-03-18,SGD,0.92100,CHF
2002-03-19,SGD,0.91850,CHF
2002-03-20,SGD,0.91950,CHF
2002-03-21,SGD,0.91600,CHF
2002-03-22,SGD,0.91650,CHF
2002-03-25,SGD,0.91600,CHF
2002-03-26,SGD,0.91250,CHF
2002-03-27,SGD,0.91650,CHF
2002-03-28,SGD,0.92200,CHF
2002-04-02,SGD,0.91150,CHF
2002-04-03,SGD,0.91050,CHF
2002-04-04,SGD,0.90950,CHF
2002-04-05,SGD,0.91700,CHF
2002-04-08,SGD,0.91850,CHF
2002-04-09,SGD,0.92150,CHF
2002-04-10,SGD,0.91600,CHF
2002-04-11,SGD,0.91800,CHF
2002-04-12,SGD,0.91450,CHF
2002-04-15,SGD,0.91550,CHF
2002-04-16,SGD,0.91900,CHF
2002-04-17,SGD,0.91450,CHF
2002-04-18,SGD,0.91400,CHF
2002-04-19,SGD,0.91400,CHF
2002-04-22,SGD,0.91700,CHF
2002-04-23,SGD,0.91950,CHF
2002-04-24,SGD,0.91650,CHF
2002-04-25,SGD,0.91500,CHF
2002-04-26,SGD,0.91100,CHF
2002-04-29,SGD,0.90800,CHF
