date,symbol,price,currency
2002-01-03,THB,0.03790,CHF
2002-01-04,THB,0.03810,CHF
2002-01-07,THB,0.03810,CHF
2002-01-08,THB,0.03800,CHF
2002-01-09,THB,0.03820,CHF
2002-01-10,THB,0.03820,CHF
2002-01-11,THB,0.03830,CHF
2002-01-14,THB,0.03820,CHF
2002-01-15,THB,0.03840,CHF
2002-01-16,THB,0.03860,CHF
2002-01-17,THB,0.03840,CHF
2002-01-18,THB,0.03860,CHF
2002-01-21,THB,0.03840,CHF
2002-01-22,THB,0.03820,CHF
2002-01-23,THB,0.03820,CHF
2002-01-24,THB,0.03840,CHF
2002-01-25,THB,0.03860,CHF
2002-01-28,THB,0.03920,CHF
2002-01-29,THB,0.03930,CHF
2002-01-30,THB,0.03920,CHF
2002-01-31,THB,0.03940,CHF
2002-02-01,THB,0.03960,CHF
2002-02-04,THB,0.03960,CHF
2002-02-05,THB,0.03910,CHF
2002-02-06,THB,0.03920,CHF
2002-02-07,THB,0.03920,CHF
2002-02-08,THB,0.03900,CHF
2002-02-11,THB,0.03910,CHF
2002-02-12,THB,0.03900,CHF
2002-02-13,THB,0.03920,CHF
2002-02-14,THB,0.03960,CHF
2002-02-15,THB,0.03960,CHF
2002-02-18,THB,0.03950,CHF
2002-02-19,THB,0.03960,CHF
2002-02-20,THB,0.03920,CHF
2002-02-21,THB,0.03940,CHF
2002-02-22,THB,0.03930,CHF
2002-02-25,THB,0.03920,CHF
2002-02-26,THB,0.03930,CHF
2002-02-27,THB,0.03950,CHF
2002-02-28,THB,0.03960,CHF
2002-03-01,THB,0.03950,CHF
2002-03-04,THB,0.03980,CHF
2002-03-05,THB,0.03950,CHF
2002-03-06,THB,0.03950,CHF
2002-03-07,THB,0.03920,CHF
2002-03-08,THB,0.03930,CHF
2002-03-11,THB,0.03940,CHF
2002-03-12,THB,0.03950,CHF
2002-03-13,THB,0.03940,CHF
2002-03-14,THB,0.03900,CHF
2002-03-15,THB,0.03890,CHF
2002-03-18,THB,0.03900,CHF
2002-03-19,THB,0.03880,CHF
2002-03-20,THB,0.03890,CHF
2002-03-21,THB,0.03880,CHF
2002-03-22,THB,0.03890,CHF
2002-03-25,THB,0.03890,CHF
2002-03-26,THB,0.03900,CHF
2002-03-27,THB,0.03920,CHF
2002-03-28,THB,0.03920,CHF
2002-04-02,THB,0.03870,CHF
2002-04-03,THB,0.03860,CHF
2002-04-04,THB,0.03860,CHF
2002-04-05,THB,0.03880,CHF
2002-04-08,THB,0.03890,CHF
2002-04-09,THB,0.03910,CHF
2002-04-10,THB,0.03880,CHF
2002-04-11,THB,0.03890,CHF
2002-04-12,THB,0.03880,CHF
2002-04-15,THB,0.03880,CHF
2002-04-16,THB,0.03900,CHF
2002-04-17,THB,0.03880,CHF
2002-04-18,THB,0.03870,CHF
2002-04-19,THB,0.03860,CHF
2002-04-22,THB,0.03870,CHF
2002-04-23,THB,0.03880,CHF
2002-04-24,THB,0.03870,CHF
2002-04-25,THB,0.03860,CHF
2002-04-26,THB,0.03830,CHF
2002-04-29,THB,0.03820,CHF
2002-04-30,THB,0.03800,CHF
2002-05-01,THB,0.03790,CHF
2002-05-02,THB,0.03780,CHF
2002-05-03,THB,0.03800,CHF
2002-05-06,THB,0.03760,CHF
2002-05-07,THB,0.03760,CHF
