date,symbol,price,currency
2010-07-01,TND,0.7141421,CHF
2010-07-02,TND,0.7165021,CHF
2010-07-05,TND,0.7190677,CHF
2010-07-06,TND,0.7166069,CHF
2010-07-07,TND,0.7252333,CHF
2010-07-08,TND,0.7161756,CHF
2010-07-09,TND,0.7178687,CHF
2010-07-12,TND,0.7141926,CHF
2010-07-13,TND,0.7193574,CHF
2010-07-14,TND,0.7142452,CHF
2010-07-15,TND,0.7080759,CHF
2010-07-16,TND,0.7171447,CHF
2010-07-19,TND,0.7166793,CHF
2010-07-20,TND,0.7270125,CHF
2010-07-21,TND,0.7252465,CHF
2010-07-22,TND,0.7154876,CHF
2010-07-23,TND,0.7172374,CHF
2010-07-26,TND,0.7179068,CHF
2010-07-27,TND,0.7184419,CHF
2010-07-28,TND,0.7332839,CHF
2010-07-29,TND,0.7308147,CHF
2010-07-30,TND,0.7199746,CHF
2010-08-02,TND,0.723663,CHF
2010-08-03,TND,0.7257477,CHF
2010-08-04,TND,0.7268924,CHF
2010-08-05,TND,0.734254,CHF
2010-08-06,TND,0.7343542,CHF
2010-08-09,TND,0.7307026,CHF
2010-08-10,TND,0.7345518,CHF
2010-08-11,TND,0.7309695,CHF
2010-08-12,TND,0.7268841,CHF
2010-08-13,TND,0.722943,CHF
2010-08-16,TND,0.7199512,CHF
2010-08-17,TND,0.7130825,CHF
2010-08-18,TND,0.7174815,CHF
2010-08-19,TND,0.7155338,CHF
2010-08-20,TND,0.7080215,CHF
2010-08-23,TND,0.7031646,CHF
2010-08-24,TND,0.7033133,CHF
2010-08-25,TND,0.6997474,CHF
2010-08-26,TND,0.699022,CHF
2010-08-27,TND,0.69418,CHF
2010-08-30,TND,0.7023775,CHF
2010-08-31,TND,0.6923665,CHF
2010-09-01,TND,0.6896652,CHF
2010-09-02,TND,0.692183,CHF
2010-09-03,TND,0.6892797,CHF
2010-09-06,TND,0.6965092,CHF
2010-09-07,TND,0.6894884,CHF
2010-09-08,TND,0.6851783,CHF
2010-09-09,TND,0.6865666,CHF
2010-09-10,TND,0.6921863,CHF
2010-09-13,TND,0.6890306,CHF
2010-09-14,TND,0.6872692,CHF
2010-09-15,TND,0.68658,CHF
2010-09-16,TND,0.6926208,CHF
2010-09-17,TND,0.7037254,CHF
2010-09-20,TND,0.6999184,CHF
2010-09-21,TND,0.6950761,CHF
2010-09-22,TND,0.6974392,CHF
2010-09-23,TND,0.6924773,CHF
2010-09-24,TND,0.6893007,CHF
2010-09-27,TND,0.6946699,CHF
2010-09-28,TND,0.6953936,CHF
2010-09-29,TND,0.6924256,CHF
2010-09-30,TND,0.6938557,CHF
2010-10-01,TND,0.6975248,CHF
2010-10-04,TND,0.6983959,CHF
2010-10-05,TND,0.6916289,CHF
2010-10-06,TND,0.6937381,CHF
2010-10-07,TND,0.6946907,CHF
2010-10-08,TND,0.7032189,CHF
2010-10-11,TND,0.6983959,CHF
2010-10-12,TND,0.696201,CHF
2010-10-13,TND,0.6971778,CHF
2010-10-14,TND,0.6946026,CHF
2010-10-15,TND,0.6956595,CHF
2010-10-18,TND,0.6973481,CHF
2010-10-19,TND,0.6972773,CHF
2010-10-20,TND,0.6976088,CHF
2010-10-21,TND,0.6993144,CHF
2010-10-22,TND,0.7027283,CHF
2010-10-25,TND,0.7097534,CHF
2010-10-26,TND,0.7060194,CHF
2010-10-27,TND,0.7108796,CHF
2010-10-28,TND,0.7130769,CHF
2010-10-29,TND,0.7117717,CHF
2010-11-01,TND,0.7168188,CHF
2010-11-02,TND,0.717563,CHF
2010-11-03,TND,0.7134035,CHF
