date,symbol,price,currency
2007-04-02,TRY,0.90060,CHF
2007-04-03,TRY,0.90500,CHF
2007-04-04,TRY,0.91530,CHF
2007-04-05,TRY,0.91650,CHF
2007-04-10,TRY,0.91320,CHF
2007-04-11,TRY,0.91650,CHF
2007-04-12,TRY,0.91300,CHF
2007-04-13,TRY,0.90720,CHF
2007-04-16,TRY,0.91780,CHF
2007-04-17,TRY,0.91930,CHF
2007-04-18,TRY,0.92220,CHF
2007-04-19,TRY,0.90790,CHF
2007-04-20,TRY,0.92230,CHF
2007-04-23,TRY,0.92810,CHF
2007-04-24,TRY,0.92730,CHF
2007-04-25,TRY,0.92550,CHF
2007-04-26,TRY,0.93370,CHF
2007-04-27,TRY,0.92870,CHF
2007-04-30,TRY,0.90350,CHF
2007-05-01,TRY,0.90540,CHF
2007-05-02,TRY,0.92420,CHF
2007-05-03,TRY,0.92090,CHF
2007-05-04,TRY,0.92320,CHF
2007-05-07,TRY,0.92810,CHF
2007-05-08,TRY,0.93470,CHF
2007-05-09,TRY,0.93760,CHF
2007-05-10,TRY,0.93810,CHF
2007-05-11,TRY,0.92940,CHF
2007-05-14,TRY,0.94120,CHF
2007-05-15,TRY,0.93680,CHF
2007-05-16,TRY,0.94390,CHF
2007-05-18,TRY,0.94920,CHF
2007-05-21,TRY,0.95730,CHF
2007-05-22,TRY,0.95910,CHF
2007-05-23,TRY,0.95350,CHF
2007-05-24,TRY,0.95050,CHF
2007-05-25,TRY,0.94700,CHF
2007-05-29,TRY,0.95200,CHF
2007-05-30,TRY,0.94930,CHF
2007-05-31,TRY,0.95210,CHF
2007-06-01,TRY,0.96280,CHF
2007-06-04,TRY,0.96440,CHF
2007-06-05,TRY,0.95960,CHF
2007-06-06,TRY,0.95220,CHF
2007-06-07,TRY,0.95160,CHF
2007-06-08,TRY,0.94000,CHF
2007-06-11,TRY,0.95400,CHF
2007-06-12,TRY,0.95600,CHF
2007-06-13,TRY,0.95180,CHF
2007-06-14,TRY,0.95950,CHF
2007-06-15,TRY,0.96680,CHF
2007-06-18,TRY,0.97950,CHF
2007-06-19,TRY,0.98230,CHF
2007-06-20,TRY,0.97840,CHF
2007-06-21,TRY,0.97340,CHF
2007-06-22,TRY,0.97040,CHF
2007-06-25,TRY,0.96240,CHF
2007-06-26,TRY,0.95500,CHF
2007-06-27,TRY,0.95020,CHF
2007-06-28,TRY,0.95600,CHF
2007-06-29,TRY,0.96630,CHF
2007-07-02,TRY,0.95960,CHF
2007-07-03,TRY,0.96610,CHF
2007-07-04,TRY,0.96840,CHF
2007-07-05,TRY,0.96560,CHF
2007-07-06,TRY,0.96550,CHF
2007-07-09,TRY,0.97590,CHF
2007-07-10,TRY,0.97540,CHF
2007-07-11,TRY,0.95820,CHF
2007-07-12,TRY,0.95990,CHF
2007-07-13,TRY,0.97550,CHF
2007-07-16,TRY,0.97430,CHF
2007-07-17,TRY,0.96920,CHF
2007-07-18,TRY,0.96410,CHF
2007-07-19,TRY,0.97130,CHF
2007-07-20,TRY,0.97970,CHF
2007-07-23,TRY,0.98620,CHF
2007-07-24,TRY,0.99680,CHF
2007-07-25,TRY,0.99660,CHF
2007-07-26,TRY,0.99170,CHF
2007-07-27,TRY,0.94980,CHF
2007-07-30,TRY,0.94790,CHF
2007-07-31,TRY,0.96740,CHF
2007-08-02,TRY,0.96290,CHF
2007-08-03,TRY,0.97650,CHF
2007-08-06,TRY,0.94960,CHF
2007-08-07,TRY,0.96260,CHF
2007-08-08,TRY,0.97650,CHF
2007-08-09,TRY,0.97110,CHF
2007-08-10,TRY,0.95210,CHF
2007-08-13,TRY,0.95680,CHF
2007-08-14,TRY,0.95400,CHF
2007-08-15,TRY,0.93620,CHF
2007-08-16,TRY,0.91610,CHF
2007-08-17,TRY,0.88550,CHF
2007-08-20,TRY,0.92610,CHF
2007-08-21,TRY,0.89840,CHF
2007-08-22,TRY,0.92310,CHF
2007-08-23,TRY,0.94380,CHF
2007-08-24,TRY,0.93340,CHF
2007-08-27,TRY,0.94280,CHF
2007-08-28,TRY,0.93440,CHF
2007-08-29,TRY,0.92840,CHF
2007-08-30,TRY,0.93950,CHF
2007-08-31,TRY,0.95570,CHF
2007-09-03,TRY,0.95700,CHF
2007-09-04,TRY,0.95330,CHF
2007-09-05,TRY,0.95850,CHF
2007-09-06,TRY,0.95400,CHF
2007-09-07,TRY,0.95540,CHF
2007-09-10,TRY,0.93980,CHF
2007-09-11,TRY,0.94370,CHF
2007-09-12,TRY,0.95660,CHF
2007-09-13,TRY,0.95620,CHF
2007-09-14,TRY,0.96770,CHF
2007-09-17,TRY,0.96420,CHF
2007-09-18,TRY,0.96370,CHF
2007-09-19,TRY,0.97900,CHF
2007-09-20,TRY,0.97580,CHF
2007-09-21,TRY,0.97710,CHF
2007-09-24,TRY,0.98440,CHF
2007-09-25,TRY,0.98070,CHF
2007-09-26,TRY,0.98400,CHF
2007-09-27,TRY,0.98810,CHF
2007-09-28,TRY,0.99460,CHF
2007-10-01,TRY,1.00170,CHF
2007-10-02,TRY,1.00240,CHF
2007-10-03,TRY,1.00330,CHF
2007-10-04,TRY,1.00530,CHF
2007-10-05,TRY,1.01220,CHF
2007-10-08,TRY,1.02710,CHF
2007-10-09,TRY,1.02580,CHF
2007-10-10,TRY,1.02840,CHF
2007-10-11,TRY,1.02160,CHF
2007-10-12,TRY,1.01670,CHF
2007-10-15,TRY,1.01550,CHF
2007-10-16,TRY,0.99560,CHF
2007-10-17,TRY,1.00540,CHF
2007-10-18,TRY,1.00970,CHF
2007-10-19,TRY,0.99980,CHF
2007-10-22,TRY,0.97250,CHF
2007-10-23,TRY,0.99270,CHF
2007-10-24,TRY,0.99600,CHF
2007-10-25,TRY,1.00040,CHF
2007-10-26,TRY,1.01100,CHF
2007-10-29,TRY,1.00650,CHF
2007-10-30,TRY,1.00710,CHF
2007-10-31,TRY,1.01180,CHF
2007-11-01,TRY,1.02170,CHF
2007-11-02,TRY,1.01120,CHF
2007-11-05,TRY,1.00520,CHF
2007-11-06,TRY,1.00280,CHF
2007-11-07,TRY,1.00510,CHF
2007-11-08,TRY,0.97990,CHF
2007-11-09,TRY,0.97880,CHF
2007-11-12,TRY,0.95980,CHF
2007-11-13,TRY,0.96130,CHF
2007-11-14,TRY,0.98050,CHF
2007-11-15,TRY,0.97930,CHF
2007-11-16,TRY,0.97120,CHF
2007-11-19,TRY,0.97250,CHF
2007-11-20,TRY,0.95580,CHF
2007-11-21,TRY,0.94440,CHF
2007-11-22,TRY,0.94310,CHF
2007-11-23,TRY,0.94380,CHF
2007-11-26,TRY,0.95300,CHF
2007-11-27,TRY,0.93280,CHF
2007-11-28,TRY,0.94010,CHF
2007-11-29,TRY,0.96740,CHF
2007-11-30,TRY,0.97780,CHF
2007-12-03,TRY,0.98280,CHF
2007-12-04,TRY,0.98240,CHF
2007-12-05,TRY,0.97820,CHF
2007-12-06,TRY,0.98640,CHF
2007-12-07,TRY,0.99030,CHF
2007-12-10,TRY,0.99080,CHF
2007-12-11,TRY,0.99610,CHF
2007-12-12,TRY,0.99380,CHF
2007-12-13,TRY,0.99680,CHF
2007-12-14,TRY,1.00140,CHF
2007-12-17,TRY,0.99580,CHF
2007-12-18,TRY,0.99780,CHF
2007-12-19,TRY,0.99870,CHF
2007-12-20,TRY,0.99630,CHF
2007-12-21,TRY,0.99680,CHF
2007-12-24,TRY,0.99680,CHF
2007-12-27,TRY,1.00690,CHF
2007-12-28,TRY,0.99530,CHF
2007-12-31,TRY,0.99530,CHF
2008-01-03,TRY,0.98510,CHF
2008-01-04,TRY,0.98380,CHF
2008-01-07,TRY,0.98100,CHF
2008-01-08,TRY,0.98980,CHF
2008-01-09,TRY,0.98830,CHF
2008-01-10,TRY,0.99060,CHF
2008-01-11,TRY,0.98650,CHF
2008-01-14,TRY,0.97740,CHF
2008-01-15,TRY,0.97920,CHF
2008-01-16,TRY,0.95490,CHF
2008-01-17,TRY,0.96790,CHF
2008-01-18,TRY,0.96010,CHF
2008-01-21,TRY,0.94350,CHF
2008-01-22,TRY,0.92590,CHF
2008-01-23,TRY,0.94140,CHF
2008-01-24,TRY,0.93650,CHF
2008-01-25,TRY,0.95310,CHF
2008-01-28,TRY,0.94440,CHF
2008-01-29,TRY,0.95210,CHF
2008-01-30,TRY,0.95230,CHF
2008-01-31,TRY,0.95690,CHF
2008-02-01,TRY,0.95030,CHF
2008-02-04,TRY,0.96240,CHF
2008-02-05,TRY,0.96540,CHF
