date,symbol,price,currency
2007-04-02,TWD,0.038174,CHF
2007-04-03,TWD,0.038194,CHF
2007-04-04,TWD,0.038343,CHF
2007-04-05,TWD,0.038354,CHF
2007-04-10,TWD,0.038335,CHF
2007-04-11,TWD,0.038301,CHF
2007-04-12,TWD,0.03827,CHF
2007-04-13,TWD,0.03805,CHF
2007-04-16,TWD,0.038055,CHF
2007-04-17,TWD,0.038028,CHF
2007-04-18,TWD,0.037797,CHF
2007-04-19,TWD,0.037752,CHF
2007-04-20,TWD,0.037834,CHF
2007-04-23,TWD,0.037941,CHF
2007-04-24,TWD,0.037913,CHF
2007-04-25,TWD,0.037661,CHF
2007-04-26,TWD,0.037728,CHF
2007-04-27,TWD,0.03773,CHF
2007-04-30,TWD,0.037717,CHF
2007-05-01,TWD,0.037715,CHF
2007-05-02,TWD,0.037994,CHF
2007-05-03,TWD,0.03783,CHF
2007-05-04,TWD,0.037976,CHF
2007-05-07,TWD,0.037843,CHF
2007-05-08,TWD,0.038003,CHF
2007-05-09,TWD,0.038042,CHF
2007-05-10,TWD,0.038002,CHF
2007-05-11,TWD,0.038045,CHF
2007-05-14,TWD,0.038077,CHF
2007-05-15,TWD,0.037993,CHF
2007-05-16,TWD,0.037899,CHF
2007-05-18,TWD,0.038225,CHF
2007-05-21,TWD,0.038256,CHF
2007-05-22,TWD,0.038304,CHF
2007-05-23,TWD,0.038297,CHF
2007-05-24,TWD,0.038348,CHF
2007-05-25,TWD,0.038389,CHF
2007-05-29,TWD,0.038628,CHF
2007-05-30,TWD,0.038644,CHF
2007-05-31,TWD,0.038607,CHF
2007-06-01,TWD,0.038697,CHF
2007-06-04,TWD,0.038688,CHF
2007-06-05,TWD,0.038501,CHF
2007-06-06,TWD,0.038343,CHF
2007-06-07,TWD,0.038398,CHF
2007-06-08,TWD,0.03874,CHF
2007-06-11,TWD,0.039005,CHF
2007-06-12,TWD,0.039021,CHF
2007-06-13,TWD,0.039174,CHF
2007-06-14,TWD,0.039128,CHF
2007-06-15,TWD,0.039058,CHF
2007-06-18,TWD,0.038902,CHF
2007-06-19,TWD,0.03891,CHF
2007-06-20,TWD,0.038976,CHF
2007-06-21,TWD,0.039203,CHF
2007-06-22,TWD,0.039219,CHF
2007-06-25,TWD,0.039034,CHF
2007-06-26,TWD,0.039019,CHF
2007-06-27,TWD,0.038987,CHF
2007-06-28,TWD,0.038937,CHF
2007-06-29,TWD,0.038983,CHF
2007-07-02,TWD,0.038633,CHF
2007-07-03,TWD,0.038446,CHF
2007-07-04,TWD,0.038584,CHF
2007-07-05,TWD,0.038456,CHF
2007-07-06,TWD,0.038599,CHF
2007-07-09,TWD,0.038645,CHF
2007-07-10,TWD,0.038606,CHF
2007-07-11,TWD,0.038188,CHF
2007-07-12,TWD,0.038145,CHF
2007-07-13,TWD,0.038224,CHF
2007-07-16,TWD,0.038103,CHF
2007-07-17,TWD,0.038049,CHF
2007-07-18,TWD,0.037934,CHF
2007-07-19,TWD,0.038067,CHF
2007-07-20,TWD,0.038207,CHF
2007-07-23,TWD,0.038087,CHF
2007-07-24,TWD,0.038287,CHF
2007-07-25,TWD,0.038346,CHF
2007-07-26,TWD,0.038428,CHF
2007-07-27,TWD,0.03819,CHF
2007-07-30,TWD,0.038129,CHF
2007-07-31,TWD,0.03820,CHF
2007-08-02,TWD,0.038106,CHF
2007-08-03,TWD,0.03818,CHF
2007-08-06,TWD,0.037482,CHF
2007-08-07,TWD,0.037622,CHF
2007-08-08,TWD,0.037902,CHF
2007-08-09,TWD,0.037809,CHF
2007-08-10,TWD,0.037704,CHF
2007-08-13,TWD,0.037823,CHF
2007-08-14,TWD,0.038095,CHF
2007-08-15,TWD,0.038212,CHF
2007-08-16,TWD,0.038251,CHF
2007-08-17,TWD,0.038022,CHF
2007-08-20,TWD,0.038189,CHF
2007-08-21,TWD,0.038032,CHF
2007-08-22,TWD,0.038088,CHF
2007-08-23,TWD,0.038171,CHF
2007-08-24,TWD,0.038027,CHF
2007-08-27,TWD,0.037885,CHF
2007-08-28,TWD,0.037856,CHF
2007-08-29,TWD,0.037833,CHF
2007-08-30,TWD,0.037839,CHF
2007-08-31,TWD,0.037996,CHF
2007-09-03,TWD,0.03804,CHF
2007-09-04,TWD,0.038099,CHF
2007-09-05,TWD,0.038171,CHF
2007-09-06,TWD,0.037931,CHF
2007-09-07,TWD,0.037825,CHF
2007-09-10,TWD,0.03734,CHF
2007-09-11,TWD,0.037365,CHF
2007-09-12,TWD,0.037325,CHF
2007-09-13,TWD,0.037189,CHF
2007-09-14,TWD,0.037281,CHF
2007-09-17,TWD,0.037269,CHF
2007-09-18,TWD,0.037261,CHF
2007-09-19,TWD,0.037126,CHF
2007-09-20,TWD,0.036925,CHF
2007-09-21,TWD,0.03700,CHF
2007-09-24,TWD,0.03706,CHF
2007-09-25,TWD,0.037085,CHF
2007-09-26,TWD,0.036948,CHF
2007-09-27,TWD,0.037109,CHF
2007-09-28,TWD,0.037305,CHF
2007-10-01,TWD,0.037409,CHF
2007-10-02,TWD,0.037446,CHF
2007-10-03,TWD,0.037479,CHF
2007-10-04,TWD,0.037619,CHF
2007-10-05,TWD,0.037568,CHF
2007-10-08,TWD,0.03770,CHF
2007-10-09,TWD,0.037843,CHF
2007-10-10,TWD,0.037692,CHF
2007-10-11,TWD,0.037656,CHF
2007-10-12,TWD,0.037744,CHF
2007-10-15,TWD,0.037655,CHF
2007-10-16,TWD,0.037673,CHF
2007-10-17,TWD,0.037644,CHF
2007-10-18,TWD,0.037539,CHF
2007-10-19,TWD,0.037404,CHF
2007-10-22,TWD,0.037148,CHF
2007-10-23,TWD,0.037463,CHF
2007-10-24,TWD,0.037533,CHF
2007-10-25,TWD,0.037497,CHF
2007-10-26,TWD,0.037349,CHF
2007-10-29,TWD,0.037308,CHF
2007-10-30,TWD,0.037422,CHF
2007-10-31,TWD,0.037188,CHF
2007-11-01,TWD,0.037345,CHF
2007-11-02,TWD,0.037022,CHF
2007-11-05,TWD,0.037064,CHF
2007-11-06,TWD,0.036984,CHF
2007-11-07,TWD,0.036527,CHF
2007-11-08,TWD,0.036461,CHF
2007-11-09,TWD,0.036209,CHF
2007-11-12,TWD,0.036247,CHF
2007-11-13,TWD,0.036194,CHF
2007-11-14,TWD,0.036238,CHF
2007-11-15,TWD,0.036195,CHF
2007-11-16,TWD,0.036046,CHF
2007-11-19,TWD,0.035958,CHF
2007-11-20,TWD,0.035683,CHF
2007-11-21,TWD,0.035623,CHF
2007-11-22,TWD,0.035423,CHF
2007-11-23,TWD,0.035164,CHF
2007-11-26,TWD,0.035453,CHF
2007-11-27,TWD,0.035446,CHF
2007-11-28,TWD,0.035654,CHF
2007-11-29,TWD,0.03598,CHF
2007-11-30,TWD,0.036146,CHF
2007-12-03,TWD,0.036377,CHF
2007-12-04,TWD,0.036351,CHF
2007-12-05,TWD,0.036087,CHF
2007-12-06,TWD,0.03639,CHF
