date,symbol,price,currency
2010-07-01,UAH,0.1372267,CHF
2010-07-02,UAH,0.1354794,CHF
2010-07-05,UAH,0.1361137,CHF
2010-07-06,UAH,0.1357511,CHF
2010-07-07,UAH,0.1356198,CHF
2010-07-08,UAH,0.1342149,CHF
2010-07-09,UAH,0.1343472,CHF
2010-07-12,UAH,0.1351824,CHF
2010-07-13,UAH,0.1356804,CHF
2010-07-14,UAH,0.1350925,CHF
2010-07-15,UAH,0.1346067,CHF
2010-07-16,UAH,0.1333069,CHF
2010-07-19,UAH,0.1339634,CHF
2010-07-20,UAH,0.1348623,CHF
2010-07-21,UAH,0.1346279,CHF
2010-07-22,UAH,0.1342108,CHF
2010-07-23,UAH,0.1333594,CHF
2010-07-26,UAH,0.133452,CHF
2010-07-27,UAH,0.132924,CHF
2010-07-28,UAH,0.1358824,CHF
2010-07-29,UAH,0.1353572,CHF
2010-07-30,UAH,0.1330756,CHF
2010-08-02,UAH,0.133216,CHF
2010-08-03,UAH,0.13302,CHF
2010-08-04,UAH,0.1330453,CHF
2010-08-05,UAH,0.1348461,CHF
2010-08-06,UAH,0.134027,CHF
2010-08-09,UAH,0.1329897,CHF
2010-08-10,UAH,0.1345007,CHF
2010-08-11,UAH,0.1346754,CHF
2010-08-12,UAH,0.1354733,CHF
2010-08-13,UAH,0.1344451,CHF
2010-08-16,UAH,0.1345643,CHF
2010-08-17,UAH,0.1329645,CHF
2010-08-18,UAH,0.133621,CHF
2010-08-19,UAH,0.1336129,CHF
2010-08-20,UAH,0.1321918,CHF
2010-08-23,UAH,0.1323797,CHF
2010-08-24,UAH,0.1333523,CHF
2010-08-25,UAH,0.1320464,CHF
2010-08-26,UAH,0.131902,CHF
2010-08-27,UAH,0.1310223,CHF
2010-08-30,UAH,0.1319009,CHF
2010-08-31,UAH,0.1310889,CHF
2010-09-01,UAH,0.1303253,CHF
2010-09-02,UAH,0.1303324,CHF
2010-09-03,UAH,0.1296618,CHF
2010-09-06,UAH,0.1298681,CHF
2010-09-07,UAH,0.1291549,CHF
2010-09-08,UAH,0.1287686,CHF
2010-09-09,UAH,0.1289115,CHF
2010-09-10,UAH,0.1304004,CHF
2010-09-13,UAH,0.1298608,CHF
2010-09-14,UAH,0.1286534,CHF
2010-09-15,UAH,0.1273146,CHF
2010-09-16,UAH,0.1278483,CHF
2010-09-17,UAH,0.1297113,CHF
2010-09-20,UAH,0.1288133,CHF
2010-09-21,UAH,0.1277679,CHF
2010-09-22,UAH,0.1268479,CHF
2010-09-23,UAH,0.125614,CHF
2010-09-24,UAH,0.1254957,CHF
2010-09-27,UAH,0.125645,CHF
2010-09-28,UAH,0.1254671,CHF
2010-09-29,UAH,0.1243469,CHF
2010-09-30,UAH,0.1242989,CHF
2010-10-01,UAH,0.1249827,CHF
2010-10-04,UAH,0.124481,CHF
2010-10-05,UAH,0.1237753,CHF
2010-10-06,UAH,0.1228521,CHF
2010-10-07,UAH,0.122472,CHF
2010-10-08,UAH,0.1229571,CHF
2010-10-11,UAH,0.124481,CHF
2010-10-12,UAH,0.1227491,CHF
2010-10-13,UAH,0.1215432,CHF
2010-10-14,UAH,0.1213018,CHF
2010-10-15,UAH,0.1213857,CHF
2010-10-18,UAH,0.1220491,CHF
2010-10-19,UAH,0.1220893,CHF
2010-10-20,UAH,0.12311,CHF
2010-10-21,UAH,0.1226265,CHF
2010-10-22,UAH,0.12334,CHF
2010-10-25,UAH,0.1239476,CHF
2010-10-26,UAH,0.1235801,CHF
2010-10-27,UAH,0.1253346,CHF
2010-10-28,UAH,0.1257352,CHF
2010-10-29,UAH,0.1250748,CHF
2010-11-01,UAH,0.1250555,CHF
2010-11-02,UAH,0.126034,CHF
2010-11-03,UAH,0.124554,CHF
2010-11-04,UAH,0.123601,CHF
2010-11-05,UAH,0.1216591,CHF
2010-11-08,UAH,0.1225731,CHF
2010-11-09,UAH,0.1226365,CHF
2010-11-10,UAH,0.1231144,CHF
2010-11-11,UAH,0.123225,CHF
2010-11-12,UAH,0.1240781,CHF
2010-11-15,UAH,0.124337,CHF
2010-11-16,UAH,0.1250742,CHF
2010-11-17,UAH,0.1267488,CHF
2010-11-18,UAH,0.1260831,CHF
2010-11-19,UAH,0.1266726,CHF
2010-11-22,UAH,0.1259833,CHF
2010-11-23,UAH,0.1258561,CHF
2010-11-24,UAH,0.1262754,CHF
2010-11-25,UAH,0.126415,CHF
2010-11-26,UAH,0.1269925,CHF
2010-11-29,UAH,0.1268174,CHF
2010-11-30,UAH,0.1267667,CHF
2010-12-01,UAH,0.1270743,CHF
2010-12-02,UAH,0.1272668,CHF
2010-12-03,UAH,0.1259745,CHF
2010-12-06,UAH,0.1239009,CHF
2010-12-07,UAH,0.1246772,CHF
2010-12-08,UAH,0.1257098,CHF
2010-12-09,UAH,0.1249962,CHF
2010-12-10,UAH,0.1247371,CHF
2010-12-13,UAH,0.1246353,CHF
2010-12-14,UAH,0.1228358,CHF
2010-12-15,UAH,0.1219955,CHF
2010-12-16,UAH,0.1223806,CHF
2010-12-17,UAH,0.1216424,CHF
2010-12-20,UAH,0.1228221,CHF
2010-12-21,UAH,0.1222144,CHF
2010-12-22,UAH,0.1212887,CHF
2010-12-23,UAH,0.120541,CHF
2010-12-24,UAH,0.1214714,CHF
2010-12-27,UAH,0.1220295,CHF
2010-12-28,UAH,0.1214462,CHF
2010-12-29,UAH,0.1207992,CHF
2010-12-30,UAH,0.1198043,CHF
2010-12-31,UAH,0.1188668,CHF
2011-01-03,UAH,0.118778,CHF
2011-01-04,UAH,0.1186132,CHF
2011-01-05,UAH,0.1203377,CHF
2011-01-06,UAH,0.1228258,CHF
2011-01-07,UAH,0.1223286,CHF
2011-01-10,UAH,0.1222271,CHF
2011-01-11,UAH,0.122887,CHF
2011-01-12,UAH,0.1232461,CHF
2011-01-13,UAH,0.1227841,CHF
2011-01-14,UAH,0.1224562,CHF
2011-01-17,UAH,0.1226619,CHF
2011-01-18,UAH,0.1225471,CHF
2011-01-19,UAH,0.1220512,CHF
2011-01-21,UAH,0.1230063,CHF
2011-01-24,UAH,0.1219627,CHF
2011-01-25,UAH,0.1206933,CHF
2011-01-26,UAH,0.1199956,CHF
2011-01-27,UAH,0.120029,CHF
2011-01-28,UAH,0.1205373,CHF
2011-01-31,UAH,0.1197452,CHF
2011-02-01,UAH,0.1197771,CHF
2011-02-02,UAH,0.1190135,CHF
2011-02-03,UAH,0.1194699,CHF
2011-02-04,UAH,0.1202193,CHF
2011-02-07,UAH,0.1211746,CHF
2011-02-08,UAH,0.1212584,CHF
2011-02-09,UAH,0.1223888,CHF
2011-02-10,UAH,0.1218983,CHF
2011-02-11,UAH,0.1230394,CHF
2011-02-14,UAH,0.1234501,CHF
2011-02-15,UAH,0.1230818,CHF
2011-02-16,UAH,0.1226882,CHF
2011-02-17,UAH,0.1216646,CHF
2011-02-18,UAH,0.1207454,CHF
2011-02-21,UAH,0.1200443,CHF
2011-02-22,UAH,0.1205775,CHF
2011-02-23,UAH,0.1190897,CHF
2011-02-24,UAH,0.1180982,CHF
2011-02-25,UAH,0.1177379,CHF
2011-02-28,UAH,0.1180052,CHF
2011-03-01,UAH,0.1183655,CHF
2011-03-02,UAH,0.1180665,CHF
2011-03-03,UAH,0.1175451,CHF
2011-03-04,UAH,0.1187554,CHF
2011-03-07,UAH,0.117863,CHF
2011-03-08,UAH,0.1179776,CHF
2011-03-09,UAH,0.1192121,CHF
2011-03-10,UAH,0.1181834,CHF
2011-03-11,UAH,0.1185517,CHF
2011-03-14,UAH,0.1183861,CHF
2011-03-15,UAH,0.1174729,CHF
2011-03-16,UAH,0.1165238,CHF
2011-03-17,UAH,0.114377,CHF
2011-03-18,UAH,0.1150098,CHF
2011-03-21,UAH,0.1148752,CHF
2011-03-22,UAH,0.1148842,CHF
2011-03-23,UAH,0.1146188,CHF
2011-03-24,UAH,0.1152529,CHF
2011-03-25,UAH,0.1151894,CHF
2011-03-28,UAH,0.1168379,CHF
2011-03-29,UAH,0.1161943,CHF
2011-03-30,UAH,0.1169607,CHF
2011-03-31,UAH,0.1164098,CHF
2011-04-01,UAH,0.1167717,CHF
2011-04-04,UAH,0.1171347,CHF
2011-04-05,UAH,0.1171194,CHF
2011-04-06,UAH,0.1174366,CHF
2011-04-07,UAH,0.1165112,CHF
2011-04-08,UAH,0.1158597,CHF
2011-04-11,UAH,0.1151025,CHF
2011-04-12,UAH,0.1151332,CHF
2011-04-13,UAH,0.1138983,CHF
2011-04-14,UAH,0.1135981,CHF
2011-04-15,UAH,0.1131372,CHF
2011-04-18,UAH,0.1133557,CHF
2011-04-19,UAH,0.1135633,CHF
2011-04-20,UAH,0.113629,CHF
2011-04-21,UAH,0.1122771,CHF
2011-04-22,UAH,0.1125646,CHF
2011-04-25,UAH,0.1125012,CHF
2011-04-26,UAH,0.112314,CHF
2011-04-27,UAH,0.1105771,CHF
2011-04-28,UAH,0.1104664,CHF
2011-04-29,UAH,0.1107386,CHF
2011-05-02,UAH,0.1097404,CHF
2011-05-03,UAH,0.1098419,CHF
2011-05-04,UAH,0.1095503,CHF
2011-05-05,UAH,0.1091066,CHF
2011-05-06,UAH,0.1102314,CHF
2011-05-09,UAH,0.111005,CHF
2011-05-10,UAH,0.1105618,CHF
2011-05-11,UAH,0.1115702,CHF
2011-05-12,UAH,0.1120354,CHF
2011-05-13,UAH,0.1121899,CHF
2011-05-16,UAH,0.1130618,CHF
2011-05-17,UAH,0.1120676,CHF
2011-05-18,UAH,0.1113846,CHF
2011-05-19,UAH,0.1114797,CHF
2011-05-20,UAH,0.1116852,CHF
2011-05-23,UAH,0.1110532,CHF
2011-05-24,UAH,0.1119947,CHF
2011-05-25,UAH,0.1111947,CHF
2011-05-26,UAH,0.1100578,CHF
2011-05-27,UAH,0.1092573,CHF
2011-05-30,UAH,0.1079057,CHF
2011-05-31,UAH,0.1074059,CHF
2011-06-01,UAH,0.1080704,CHF
2011-06-02,UAH,0.1067595,CHF
2011-06-03,UAH,0.1068221,CHF
2011-06-06,UAH,0.1056709,CHF
2011-06-07,UAH,0.1057842,CHF
2011-06-08,UAH,0.1058571,CHF
2011-06-09,UAH,0.1058571,CHF
2011-06-10,UAH,0.1063231,CHF
2011-06-13,UAH,0.1068058,CHF
2011-06-14,UAH,0.1057812,CHF
2011-06-15,UAH,0.1069107,CHF
2011-06-16,UAH,0.1078387,CHF
2011-06-17,UAH,0.1073212,CHF
2011-06-20,UAH,0.1073634,CHF
2011-06-21,UAH,0.106524,CHF
2011-06-22,UAH,0.1064608,CHF
2011-06-23,UAH,0.1065999,CHF
2011-06-24,UAH,0.1059678,CHF
2011-06-27,UAH,0.1058872,CHF
2011-06-28,UAH,0.1056469,CHF
2011-06-29,UAH,0.105217,CHF
2011-06-30,UAH,0.1053512,CHF
2011-07-01,UAH,0.1065056,CHF
2011-07-04,UAH,0.1071189,CHF
2011-07-05,UAH,0.10751,CHF
2011-07-06,UAH,0.1062206,CHF
2011-07-07,UAH,0.1063105,CHF
2011-07-08,UAH,0.1068191,CHF
2011-07-11,UAH,0.1059728,CHF
2011-07-12,UAH,0.10573,CHF
2011-07-13,UAH,0.1052384,CHF
2011-07-14,UAH,0.1027384,CHF
2011-07-15,UAH,0.1029792,CHF
2011-07-18,UAH,0.1027493,CHF
2011-07-19,UAH,0.103313,CHF
2011-07-20,UAH,0.1042862,CHF
2011-07-21,UAH,0.1039698,CHF
2011-07-22,UAH,0.1033177,CHF
2011-07-25,UAH,0.102762,CHF
2011-07-26,UAH,0.1012463,CHF
2011-07-27,UAH,0.1013158,CHF
2011-07-28,UAH,0.1012463,CHF
2011-07-29,UAH,0.1013978,CHF
2011-08-01,UAH,0.1002107,CHF
2011-08-02,UAH,0.098929,CHF
2011-08-03,UAH,0.0968958,CHF
2011-08-04,UAH,0.097898,CHF
2011-08-05,UAH,0.0968114,CHF
2011-08-08,UAH,0.0962158,CHF
2011-08-09,UAH,0.095187,CHF
2011-08-10,UAH,0.0916847,CHF
2011-08-11,UAH,0.0918032,CHF
2011-08-12,UAH,0.0963258,CHF
2011-08-15,UAH,0.0995606,CHF
2011-08-16,UAH,0.099055,CHF
2011-08-17,UAH,0.1003809,CHF
2011-08-18,UAH,0.0997816,CHF
2011-08-19,UAH,0.1002993,CHF
2011-08-22,UAH,0.0993393,CHF
2011-08-23,UAH,0.0998484,CHF
2011-08-24,UAH,0.1002928,CHF
2011-08-25,UAH,0.1005201,CHF
2011-08-26,UAH,0.1001983,CHF
2011-08-29,UAH,0.1025552,CHF
2011-08-30,UAH,0.103338,CHF
2011-08-31,UAH,0.103559,CHF
2011-09-01,UAH,0.1018201,CHF
2011-09-02,UAH,0.100306,CHF
2011-09-05,UAH,0.099749,CHF
2011-09-06,UAH,0.0991551,CHF
2011-09-07,UAH,0.108539,CHF
2011-09-08,UAH,0.1085592,CHF
2011-09-09,UAH,0.1104454,CHF
2011-09-12,UAH,0.1120903,CHF
2011-09-13,UAH,0.1112262,CHF
2011-09-14,UAH,0.1112597,CHF
2011-09-15,UAH,0.1109951,CHF
2011-09-16,UAH,0.1101359,CHF
2011-09-19,UAH,0.1115668,CHF
2011-09-20,UAH,0.1117759,CHF
2011-09-21,UAH,0.1119936,CHF
2011-09-22,UAH,0.1138003,CHF
2011-09-23,UAH,0.1144439,CHF
2011-09-26,UAH,0.1148749,CHF
2011-09-27,UAH,0.1137323,CHF
2011-09-28,UAH,0.1134434,CHF
2011-09-29,UAH,0.1137229,CHF
2011-09-30,UAH,0.1135279,CHF
2011-10-03,UAH,0.1148697,CHF
2011-10-04,UAH,0.11621,CHF
2011-10-05,UAH,0.1162178,CHF
2011-10-06,UAH,0.1165836,CHF
2011-10-07,UAH,0.1162858,CHF
2011-10-10,UAH,0.1165958,CHF
2011-10-11,UAH,0.1140701,CHF
2011-10-12,UAH,0.1150857,CHF
2011-10-13,UAH,0.1130928,CHF
2011-10-14,UAH,0.1137008,CHF
2011-10-17,UAH,0.1128096,CHF
2011-10-18,UAH,0.1130367,CHF
2011-10-19,UAH,0.1134813,CHF
2011-10-20,UAH,0.1141399,CHF
2011-10-21,UAH,0.1120329,CHF
2011-10-24,UAH,0.111738,CHF
2011-10-25,UAH,0.1112579,CHF
2011-10-26,UAH,0.1109433,CHF
2011-10-27,UAH,0.1108916,CHF
2011-10-28,UAH,0.1086934,CHF
2011-10-31,UAH,0.1100831,CHF
2011-11-01,UAH,0.1109435,CHF
2011-11-02,UAH,0.1118201,CHF
2011-11-03,UAH,0.1117854,CHF
2011-11-04,UAH,0.110877,CHF
2011-11-07,UAH,0.1127486,CHF
2011-11-08,UAH,0.1139936,CHF
2011-11-09,UAH,0.1128075,CHF
2011-11-10,UAH,0.114664,CHF
2011-11-11,UAH,0.1142062,CHF
2011-11-14,UAH,0.1138477,CHF
2011-11-15,UAH,0.1149232,CHF
2011-11-16,UAH,0.11590,CHF
2011-11-17,UAH,0.1158496,CHF
2011-11-18,UAH,0.1157687,CHF
2011-11-21,UAH,0.1156177,CHF
2011-11-22,UAH,0.1158255,CHF
2011-11-23,UAH,0.1159166,CHF
2011-11-24,UAH,0.1158411,CHF
2011-11-25,UAH,0.1161399,CHF
2011-11-28,UAH,0.1170564,CHF
2011-11-29,UAH,0.116332,CHF
2011-11-30,UAH,0.115949,CHF
2011-12-01,UAH,0.1152917,CHF
2011-12-02,UAH,0.1155186,CHF
2011-12-05,UAH,0.1163742,CHF
2011-12-06,UAH,0.1162401,CHF
2011-12-07,UAH,0.1167033,CHF
2011-12-08,UAH,0.1166705,CHF
2011-12-09,UAH,0.1167442,CHF
2011-12-12,UAH,0.1170943,CHF
2011-12-13,UAH,0.1182494,CHF
2011-12-14,UAH,0.1191437,CHF
2011-12-15,UAH,0.1200989,CHF
2011-12-16,UAH,0.118173,CHF
2011-12-19,UAH,0.1185367,CHF
2011-12-20,UAH,0.1184713,CHF
2011-12-21,UAH,0.1174101,CHF
2011-12-22,UAH,0.1178942,CHF
2011-12-23,UAH,0.1175566,CHF
2011-12-26,UAH,0.1179519,CHF
2011-12-27,UAH,0.1179089,CHF
2011-12-28,UAH,0.1177032,CHF
2011-12-29,UAH,0.1186577,CHF
2011-12-30,UAH,0.1183908,CHF
2012-01-02,UAH,0.1186103,CHF
2012-01-03,UAH,0.1186229,CHF
2012-01-04,UAH,0.1180165,CHF
2012-01-05,UAH,0.1190398,CHF
2012-01-06,UAH,0.1197167,CHF
2012-01-09,UAH,0.1202947,CHF
2012-01-10,UAH,0.1193265,CHF
2012-01-11,UAH,0.1199241,CHF
2012-01-12,UAH,0.1203163,CHF
2012-01-13,UAH,0.1187297,CHF
2012-01-16,UAH,0.1205814,CHF
2012-01-17,UAH,0.1194196,CHF
2012-01-18,UAH,0.1189026,CHF
2012-01-19,UAH,0.1178459,CHF
2012-01-20,UAH,0.1172113,CHF
2012-01-23,UAH,0.1178774,CHF
2012-01-24,UAH,0.1167832,CHF
2012-01-25,UAH,0.1167852,CHF
2012-01-26,UAH,0.1159802,CHF
2012-01-27,UAH,0.1157949,CHF
2012-01-30,UAH,0.1149939,CHF
2012-01-31,UAH,0.1149614,CHF
2012-02-01,UAH,0.1159392,CHF
2012-02-02,UAH,0.1149492,CHF
2012-02-03,UAH,0.1153047,CHF
2012-02-06,UAH,0.1158487,CHF
2012-02-07,UAH,0.1157286,CHF
2012-02-08,UAH,0.1147762,CHF
2012-02-09,UAH,0.1148877,CHF
