date,symbol,price,currency
2002-01-03,USD,1.65950,CHF
2002-01-04,USD,1.66200,CHF
2002-01-07,USD,1.65650,CHF
2002-01-08,USD,1.66350,CHF
2002-01-09,USD,1.67050,CHF
2002-01-10,USD,1.66950,CHF
2002-01-11,USD,1.67450,CHF
2002-01-14,USD,1.66750,CHF
2002-01-15,USD,1.67200,CHF
2002-01-16,USD,1.67850,CHF
2002-01-17,USD,1.67350,CHF
2002-01-18,USD,1.67950,CHF
2002-01-21,USD,1.67500,CHF
2002-01-22,USD,1.67350,CHF
2002-01-23,USD,1.67350,CHF
2002-01-24,USD,1.68350,CHF
2002-01-25,USD,1.68950,CHF
2002-01-28,USD,1.71650,CHF
2002-01-29,USD,1.71850,CHF
2002-01-30,USD,1.71200,CHF
2002-01-31,USD,1.72200,CHF
2002-02-01,USD,1.73400,CHF
2002-02-04,USD,1.73000,CHF
2002-02-05,USD,1.70650,CHF
2002-02-06,USD,1.71300,CHF
2002-02-07,USD,1.70600,CHF
2002-02-08,USD,1.69850,CHF
2002-02-11,USD,1.70350,CHF
2002-02-12,USD,1.69650,CHF
2002-02-13,USD,1.70200,CHF
2002-02-14,USD,1.71500,CHF
2002-02-15,USD,1.71350,CHF
2002-02-18,USD,1.71100,CHF
2002-02-19,USD,1.71850,CHF
2002-02-20,USD,1.70050,CHF
2002-02-21,USD,1.71350,CHF
2002-02-22,USD,1.71450,CHF
2002-02-25,USD,1.70250,CHF
2002-02-26,USD,1.70850,CHF
2002-02-27,USD,1.72100,CHF
2002-02-28,USD,1.71950,CHF
2002-03-01,USD,1.71250,CHF
2002-03-04,USD,1.72400,CHF
2002-03-05,USD,1.71300,CHF
2002-03-06,USD,1.70750,CHF
2002-03-07,USD,1.68700,CHF
2002-03-08,USD,1.68600,CHF
2002-03-11,USD,1.69500,CHF
2002-03-12,USD,1.69450,CHF
2002-03-13,USD,1.69250,CHF
2002-03-14,USD,1.67500,CHF
2002-03-15,USD,1.66850,CHF
2002-03-18,USD,1.67600,CHF
2002-03-19,USD,1.67600,CHF
2002-03-20,USD,1.67600,CHF
2002-03-21,USD,1.66700,CHF
2002-03-22,USD,1.67250,CHF
2002-03-25,USD,1.67800,CHF
2002-03-26,USD,1.67750,CHF
2002-03-27,USD,1.68550,CHF
2002-03-28,USD,1.69150,CHF
2002-04-02,USD,1.68000,CHF
2002-04-03,USD,1.67450,CHF
2002-04-04,USD,1.67000,CHF
2002-04-05,USD,1.67850,CHF
2002-04-08,USD,1.68050,CHF
2002-04-09,USD,1.68900,CHF
2002-04-10,USD,1.67600,CHF
2002-04-11,USD,1.68000,CHF
2002-04-12,USD,1.67600,CHF
2002-04-15,USD,1.67600,CHF
2002-04-16,USD,1.68300,CHF
2002-04-17,USD,1.66950,CHF
2002-04-18,USD,1.66250,CHF
2002-04-19,USD,1.66050,CHF
2002-04-22,USD,1.66200,CHF
2002-04-23,USD,1.66850,CHF
2002-04-24,USD,1.66350,CHF
2002-04-25,USD,1.65400,CHF
2002-04-26,USD,1.64250,CHF
2002-04-29,USD,1.63550,CHF
2002-04-30,USD,1.63250,CHF
2002-05-01,USD,1.62650,CHF
2002-05-02,USD,1.61700,CHF
2002-05-03,USD,1.62400,CHF
2002-05-06,USD,1.60400,CHF
2002-05-07,USD,1.60050,CHF
2002-05-08,USD,1.61150,CHF
2002-05-10,USD,1.60400,CHF
2002-05-13,USD,1.60050,CHF
2002-05-14,USD,1.61700,CHF
2002-05-15,USD,1.62300,CHF
2002-05-16,USD,1.61100,CHF
2002-05-17,USD,1.60350,CHF
2002-05-21,USD,1.59300,CHF
2002-05-22,USD,1.58450,CHF
2002-05-23,USD,1.58550,CHF
2002-05-24,USD,1.59450,CHF
2002-05-27,USD,1.59550,CHF
2002-05-28,USD,1.59550,CHF
2002-05-29,USD,1.58800,CHF
2002-05-30,USD,1.57700,CHF
2002-05-31,USD,1.57350,CHF
2002-06-03,USD,1.58450,CHF
2002-06-04,USD,1.57150,CHF
2002-06-05,USD,1.57850,CHF
2002-06-06,USD,1.58500,CHF
2002-06-07,USD,1.56800,CHF
2002-06-10,USD,1.57400,CHF
2002-06-11,USD,1.56850,CHF
2002-06-12,USD,1.56750,CHF
2002-06-13,USD,1.57700,CHF
2002-06-14,USD,1.57650,CHF
2002-06-17,USD,1.57450,CHF
2002-06-18,USD,1.57250,CHF
2002-06-19,USD,1.56000,CHF
2002-06-20,USD,1.54500,CHF
2002-06-21,USD,1.53250,CHF
2002-06-24,USD,1.51700,CHF
2002-06-25,USD,1.52050,CHF
2002-06-26,USD,1.49400,CHF
2002-06-27,USD,1.50000,CHF
2002-06-28,USD,1.49800,CHF
2002-07-01,USD,1.48700,CHF
2002-07-02,USD,1.50550,CHF
2002-07-03,USD,1.50800,CHF
2002-07-04,USD,1.51000,CHF
2002-07-05,USD,1.51550,CHF
