date,symbol,price,currency
2010-07-01,UYU,0.0518968,CHF
2010-07-02,UYU,0.0509171,CHF
2010-07-05,UYU,0.0512696,CHF
2010-07-06,UYU,0.0508202,CHF
2010-07-07,UYU,0.0505475,CHF
2010-07-08,UYU,0.0501081,CHF
2010-07-09,UYU,0.0503798,CHF
2010-07-12,UYU,0.0508606,CHF
2010-07-13,UYU,0.0510676,CHF
2010-07-14,UYU,0.0509969,CHF
2010-07-15,UYU,0.0510575,CHF
2010-07-16,UYU,0.0505343,CHF
2010-07-19,UYU,0.0509969,CHF
2010-07-20,UYU,0.0508424,CHF
2010-07-21,UYU,0.0504475,CHF
2010-07-22,UYU,0.0503323,CHF
2010-07-23,UYU,0.0502303,CHF
2010-07-26,UYU,0.050411,CHF
2010-07-27,UYU,0.050095,CHF
2010-07-28,UYU,0.0511797,CHF
2010-07-29,UYU,0.0510939,CHF
2010-07-30,UYU,0.0503263,CHF
2010-08-02,UYU,0.0503071,CHF
2010-08-03,UYU,0.0502293,CHF
2010-08-04,UYU,0.050602,CHF
2010-08-05,UYU,0.0514221,CHF
2010-08-06,UYU,0.0510363,CHF
2010-08-09,UYU,0.0505677,CHF
2010-08-10,UYU,0.0511424,CHF
2010-08-11,UYU,0.0511716,CHF
2010-08-12,UYU,0.0514625,CHF
2010-08-13,UYU,0.0509707,CHF
2010-08-16,UYU,0.0514151,CHF
2010-08-17,UYU,0.0504859,CHF
2010-08-18,UYU,0.0508606,CHF
2010-08-19,UYU,0.0508363,CHF
2010-08-20,UYU,0.0501748,CHF
2010-08-23,UYU,0.0502091,CHF
2010-08-24,UYU,0.0505051,CHF
2010-08-25,UYU,0.0500829,CHF
2010-08-26,UYU,0.0500334,CHF
2010-08-27,UYU,0.049694,CHF
2010-08-30,UYU,0.0500243,CHF
2010-08-31,UYU,0.049694,CHF
2010-09-01,UYU,0.049489,CHF
2010-09-02,UYU,0.0495708,CHF
2010-09-03,UYU,0.0494213,CHF
2010-09-06,UYU,0.0495632,CHF
2010-09-07,UYU,0.0494011,CHF
2010-09-08,UYU,0.0493447,CHF
2010-09-09,UYU,0.0493393,CHF
2010-09-10,UYU,0.0498608,CHF
2010-09-13,UYU,0.0496169,CHF
2010-09-14,UYU,0.049287,CHF
2010-09-15,UYU,0.048724,CHF
2010-09-16,UYU,0.0492418,CHF
2010-09-17,UYU,0.0500812,CHF
2010-09-20,UYU,0.0501327,CHF
2010-09-21,UYU,0.049625,CHF
2010-09-22,UYU,0.0493712,CHF
2010-09-23,UYU,0.0490111,CHF
2010-09-24,UYU,0.0490664,CHF
2010-09-27,UYU,0.049325,CHF
2010-09-28,UYU,0.04928,CHF
2010-09-29,UYU,0.0487917,CHF
2010-09-30,UYU,0.048855,CHF
2010-10-01,UYU,0.0490165,CHF
2010-10-04,UYU,0.0488566,CHF
2010-10-05,UYU,0.0485679,CHF
2010-10-06,UYU,0.048335,CHF
2010-10-07,UYU,0.04814,CHF
2010-10-08,UYU,0.048355,CHF
2010-10-11,UYU,0.0488566,CHF
2010-10-12,UYU,0.048616,CHF
2010-10-13,UYU,0.0480428,CHF
2010-10-14,UYU,0.0480847,CHF
2010-10-15,UYU,0.0478672,CHF
2010-10-18,UYU,0.0481291,CHF
2010-10-19,UYU,0.0477427,CHF
2010-10-20,UYU,0.0483981,CHF
2010-10-21,UYU,0.0483207,CHF
2010-10-22,UYU,0.0486504,CHF
2010-10-25,UYU,0.0488409,CHF
2010-10-26,UYU,0.0487206,CHF
2010-10-27,UYU,0.0494614,CHF
2010-10-28,UYU,0.0497061,CHF
2010-10-29,UYU,0.0496676,CHF
2010-11-01,UYU,0.0495731,CHF
2010-11-02,UYU,0.0502871,CHF
2010-11-03,UYU,0.049759,CHF
2010-11-04,UYU,0.0493598,CHF
2010-11-05,UYU,0.0486881,CHF
2010-11-08,UYU,0.0490231,CHF
2010-11-09,UYU,0.0490484,CHF
2010-11-10,UYU,0.049345,CHF
2010-11-11,UYU,0.0493303,CHF
2010-11-12,UYU,0.0499579,CHF
2010-11-15,UYU,0.0500244,CHF
2010-11-16,UYU,0.0502701,CHF
2010-11-17,UYU,0.0508981,CHF
2010-11-18,UYU,0.0504491,CHF
2010-11-19,UYU,0.0506117,CHF
2010-11-22,UYU,0.0502165,CHF
2010-11-23,UYU,0.0499902,CHF
2010-11-24,UYU,0.0503836,CHF
2010-11-25,UYU,0.0503383,CHF
2010-11-26,UYU,0.0506569,CHF
2010-11-29,UYU,0.0506316,CHF
2010-11-30,UYU,0.0506114,CHF
2010-12-01,UYU,0.0507278,CHF
