date,symbol,price,currency
2008-06-02,VEF,0.50820,CHF
2008-06-03,VEF,0.50500,CHF
2008-06-04,VEF,0.50950,CHF
2008-06-05,VEF,0.51140,CHF
2008-06-06,VEF,0.50770,CHF
2008-06-09,VEF,0.49710,CHF
2008-06-10,VEF,0.50360,CHF
2008-06-11,VEF,0.50920,CHF
2008-06-12,VEF,0.50810,CHF
2008-06-13,VEF,0.50950,CHF
2008-06-16,VEF,0.51300,CHF
2008-06-17,VEF,0.50720,CHF
2008-06-18,VEF,0.50980,CHF
2008-06-19,VEF,0.50530,CHF
2008-06-20,VEF,0.50880,CHF
2008-06-23,VEF,0.50940,CHF
2008-06-24,VEF,0.50920,CHF
2008-06-25,VEF,0.50950,CHF
2008-06-26,VEF,0.50730,CHF
2008-06-27,VEF,0.50050,CHF
2008-06-30,VEF,0.49650,CHF
2008-07-01,VEF,0.49760,CHF
2008-07-02,VEF,0.49740,CHF
2008-07-03,VEF,0.49540,CHF
2008-07-04,VEF,0.50080,CHF
2008-07-07,VEF,0.50420,CHF
2008-07-08,VEF,0.50180,CHF
2008-07-09,VEF,0.50480,CHF
2008-07-10,VEF,0.50240,CHF
2008-07-11,VEF,0.50140,CHF
2008-07-14,VEF,0.49910,CHF
2008-07-15,VEF,0.49510,CHF
2008-07-16,VEF,0.49200,CHF
2008-07-17,VEF,0.49660,CHF
2008-07-18,VEF,0.49760,CHF
2008-07-21,VEF,0.49820,CHF
2008-07-22,VEF,0.49730,CHF
2008-07-23,VEF,0.50470,CHF
2008-07-24,VEF,0.50720,CHF
2008-07-25,VEF,0.50460,CHF
2008-07-28,VEF,0.50630,CHF
2008-07-29,VEF,0.50490,CHF
2008-07-30,VEF,0.51030,CHF
2008-07-31,VEF,0.51160,CHF
2008-08-04,VEF,0.51150,CHF
2008-08-05,VEF,0.51390,CHF
2008-08-06,VEF,0.51340,CHF
2008-08-07,VEF,0.51550,CHF
2008-08-08,VEF,0.52420,CHF
2008-08-11,VEF,0.52530,CHF
2008-08-12,VEF,0.53090,CHF
2008-08-13,VEF,0.53070,CHF
2008-08-14,VEF,0.53020,CHF
2008-08-15,VEF,0.53650,CHF
2008-08-18,VEF,0.53530,CHF
2008-08-19,VEF,0.53710,CHF
2008-08-20,VEF,0.53530,CHF
2008-08-21,VEF,0.53430,CHF
2008-08-22,VEF,0.53340,CHF
2008-08-25,VEF,0.53700,CHF
2008-08-26,VEF,0.54030,CHF
2008-08-27,VEF,0.53430,CHF
2008-08-28,VEF,0.53300,CHF
2008-08-29,VEF,0.53470,CHF
2008-09-01,VEF,0.53610,CHF
2008-09-02,VEF,0.53920,CHF
2008-09-03,VEF,0.54350,CHF
2008-09-04,VEF,0.53890,CHF
2008-09-05,VEF,0.54340,CHF
2008-09-08,VEF,0.54700,CHF
2008-09-09,VEF,0.55160,CHF
2008-09-10,VEF,0.55000,CHF
2008-09-11,VEF,0.55570,CHF
2008-09-12,VEF,0.55410,CHF
2008-09-15,VEF,0.54400,CHF
2008-09-16,VEF,0.54030,CHF
2008-09-17,VEF,0.54660,CHF
2008-09-18,VEF,0.53330,CHF
2008-09-19,VEF,0.54820,CHF
2008-09-22,VEF,0.53880,CHF
2008-09-23,VEF,0.52740,CHF
2008-09-24,VEF,0.53120,CHF
2008-09-25,VEF,0.52830,CHF
2008-09-26,VEF,0.53090,CHF
2008-09-29,VEF,0.53750,CHF
2008-09-30,VEF,0.53480,CHF
2008-10-01,VEF,0.54690,CHF
2008-10-02,VEF,0.55080,CHF
2008-10-03,VEF,0.55320,CHF
2008-10-06,VEF,0.55470,CHF
2008-10-07,VEF,0.55830,CHF
2008-10-08,VEF,0.55560,CHF
2008-10-09,VEF,0.55130,CHF
2008-10-10,VEF,0.54660,CHF
2008-10-13,VEF,0.55390,CHF
2008-10-14,VEF,0.55400,CHF
2008-10-15,VEF,0.55690,CHF
2008-10-16,VEF,0.55900,CHF
2008-10-17,VEF,0.55450,CHF
2008-10-20,VEF,0.55460,CHF
2008-10-21,VEF,0.56310,CHF
2008-10-22,VEF,0.57000,CHF
2008-10-23,VEF,0.57030,CHF
2008-10-24,VEF,0.57240,CHF
2008-10-27,VEF,0.57020,CHF
2008-10-28,VEF,0.56630,CHF
2008-10-29,VEF,0.56190,CHF
2008-10-30,VEF,0.55180,CHF
2008-10-31,VEF,0.56210,CHF
2008-11-03,VEF,0.56590,CHF
2008-11-04,VEF,0.57300,CHF
2008-11-05,VEF,0.56870,CHF
2008-11-06,VEF,0.56940,CHF
2008-11-07,VEF,0.57160,CHF
2008-11-10,VEF,0.57160,CHF
2008-11-11,VEF,0.57160,CHF
2008-11-12,VEF,0.57160,CHF
2008-11-13,VEF,0.58080,CHF
2008-11-14,VEF,0.58070,CHF
2008-11-17,VEF,0.58240,CHF
2008-11-18,VEF,0.58590,CHF
2008-11-19,VEF,0.59010,CHF
2008-11-20,VEF,0.59270,CHF
2008-11-21,VEF,0.60020,CHF
2008-11-24,VEF,0.59550,CHF
2008-11-25,VEF,0.58720,CHF
2008-11-26,VEF,0.58320,CHF
2008-11-27,VEF,0.58590,CHF
2008-11-28,VEF,0.58630,CHF
2008-12-01,VEF,0.59190,CHF
2008-12-02,VEF,0.59040,CHF
2008-12-03,VEF,0.59170,CHF
2008-12-04,VEF,0.59170,CHF
2008-12-05,VEF,0.58580,CHF
2008-12-08,VEF,0.59410,CHF
2008-12-09,VEF,0.59070,CHF
2008-12-10,VEF,0.58760,CHF
2008-12-11,VEF,0.58140,CHF
2008-12-12,VEF,0.57730,CHF
2008-12-15,VEF,0.57290,CHF
2008-12-16,VEF,0.56500,CHF
2008-12-17,VEF,0.54430,CHF
2008-12-18,VEF,0.51860,CHF
2008-12-19,VEF,0.52840,CHF
2008-12-22,VEF,0.53720,CHF
2008-12-23,VEF,0.53360,CHF
2008-12-24,VEF,0.53050,CHF
2008-12-29,VEF,0.51440,CHF
2008-12-30,VEF,0.51580,CHF
2008-12-31,VEF,0.51570,CHF
2009-01-05,VEF,0.52460,CHF
2009-01-06,VEF,0.54510,CHF
2009-01-07,VEF,0.54200,CHF
2009-01-08,VEF,0.53820,CHF
2009-01-09,VEF,0.53400,CHF
2009-01-12,VEF,0.54610,CHF
2009-01-13,VEF,0.54730,CHF
2009-01-14,VEF,0.54470,CHF
2009-01-15,VEF,0.54470,CHF
2009-01-16,VEF,0.54720,CHF
2009-01-19,VEF,0.54780,CHF
2009-01-20,VEF,0.55570,CHF
2009-01-21,VEF,0.55950,CHF
2009-01-22,VEF,0.56500,CHF
2009-01-23,VEF,0.56870,CHF
2009-01-26,VEF,0.56780,CHF
2009-01-27,VEF,0.55630,CHF
2009-01-28,VEF,0.55450,CHF
2009-01-29,VEF,0.56470,CHF
2009-01-30,VEF,0.56420,CHF
2009-02-02,VEF,0.57020,CHF
2009-02-03,VEF,0.56790,CHF
2009-02-04,VEF,0.55970,CHF
2009-02-05,VEF,0.56640,CHF
2009-02-06,VEF,0.57190,CHF
2009-02-09,VEF,0.56940,CHF
2009-02-10,VEF,0.57310,CHF
2009-02-11,VEF,0.56290,CHF
