date,symbol,price,currency
2002-01-03,ZAR,0.13450,CHF
2002-01-04,ZAR,0.13850,CHF
2002-01-07,ZAR,0.13800,CHF
2002-01-08,ZAR,0.14550,CHF
2002-01-09,ZAR,0.14700,CHF
2002-01-10,ZAR,0.14650,CHF
2002-01-11,ZAR,0.14400,CHF
2002-01-14,ZAR,0.14600,CHF
2002-01-15,ZAR,0.14600,CHF
2002-01-16,ZAR,0.14200,CHF
2002-01-17,ZAR,0.14450,CHF
2002-01-18,ZAR,0.14700,CHF
2002-01-21,ZAR,0.14550,CHF
2002-01-22,ZAR,0.14650,CHF
2002-01-23,ZAR,0.14400,CHF
2002-01-24,ZAR,0.14950,CHF
2002-01-25,ZAR,0.15200,CHF
2002-01-28,ZAR,0.14900,CHF
2002-01-29,ZAR,0.14950,CHF
2002-01-30,ZAR,0.14950,CHF
2002-01-31,ZAR,0.15050,CHF
2002-02-01,ZAR,0.15100,CHF
2002-02-04,ZAR,0.14950,CHF
2002-02-05,ZAR,0.14700,CHF
2002-02-06,ZAR,0.14950,CHF
2002-02-07,ZAR,0.14800,CHF
2002-02-08,ZAR,0.14850,CHF
2002-02-11,ZAR,0.14800,CHF
2002-02-12,ZAR,0.14650,CHF
2002-02-13,ZAR,0.14900,CHF
2002-02-14,ZAR,0.14950,CHF
2002-02-15,ZAR,0.14850,CHF
2002-02-18,ZAR,0.15050,CHF
2002-02-19,ZAR,0.14900,CHF
2002-02-20,ZAR,0.14800,CHF
2002-02-21,ZAR,0.15000,CHF
2002-02-22,ZAR,0.14950,CHF
2002-02-25,ZAR,0.14950,CHF
2002-02-26,ZAR,0.14900,CHF
2002-02-27,ZAR,0.15050,CHF
2002-02-28,ZAR,0.15050,CHF
2002-03-01,ZAR,0.15050,CHF
2002-03-04,ZAR,0.15300,CHF
2002-03-05,ZAR,0.15650,CHF
2002-03-06,ZAR,0.15550,CHF
2002-03-07,ZAR,0.15300,CHF
2002-03-08,ZAR,0.14200,CHF
2002-03-11,ZAR,0.14850,CHF
2002-03-12,ZAR,0.14700,CHF
2002-03-13,ZAR,0.14400,CHF
2002-03-14,ZAR,0.14350,CHF
2002-03-15,ZAR,0.14200,CHF
2002-03-18,ZAR,0.14100,CHF
2002-03-19,ZAR,0.14250,CHF
2002-03-20,ZAR,0.14650,CHF
2002-03-21,ZAR,0.14400,CHF
2002-03-22,ZAR,0.14500,CHF
2002-03-25,ZAR,0.14550,CHF
2002-03-26,ZAR,0.14550,CHF
2002-03-27,ZAR,0.14700,CHF
2002-03-28,ZAR,0.14850,CHF
2002-04-02,ZAR,0.14850,CHF
2002-04-03,ZAR,0.14950,CHF
2002-04-04,ZAR,0.15050,CHF
2002-04-05,ZAR,0.14950,CHF
2002-04-08,ZAR,0.15200,CHF
2002-04-09,ZAR,0.15100,CHF
2002-04-10,ZAR,0.15000,CHF
2002-04-11,ZAR,0.14950,CHF
2002-04-12,ZAR,0.14950,CHF
2002-04-15,ZAR,0.15000,CHF
2002-04-16,ZAR,0.15050,CHF
2002-04-17,ZAR,0.14900,CHF
2002-04-18,ZAR,0.14900,CHF
2002-04-19,ZAR,0.14950,CHF
2002-04-22,ZAR,0.15000,CHF
2002-04-23,ZAR,0.15350,CHF
2002-04-24,ZAR,0.15250,CHF
2002-04-25,ZAR,0.15200,CHF
2002-04-26,ZAR,0.15100,CHF
2002-04-29,ZAR,0.15450,CHF
2002-04-30,ZAR,0.15400,CHF
2002-05-01,ZAR,0.15350,CHF
2002-05-02,ZAR,0.15400,CHF
2002-05-03,ZAR,0.15500,CHF
2002-05-06,ZAR,0.15550,CHF
2002-05-07,ZAR,0.15400,CHF
2002-05-08,ZAR,0.16050,CHF
2002-05-10,ZAR,0.15550,CHF
2002-05-13,ZAR,0.15750,CHF
2002-05-14,ZAR,0.15950,CHF
2002-05-15,ZAR,0.15800,CHF
2002-05-16,ZAR,0.15850,CHF
2002-05-17,ZAR,0.15900,CHF
2002-05-21,ZAR,0.15950,CHF
2002-05-22,ZAR,0.15750,CHF
2002-05-23,ZAR,0.15700,CHF
2002-05-24,ZAR,0.15750,CHF
2002-05-27,ZAR,0.16000,CHF
2002-05-28,ZAR,0.16100,CHF
2002-05-29,ZAR,0.16050,CHF
2002-05-30,ZAR,0.16200,CHF
2002-05-31,ZAR,0.16200,CHF
2002-06-03,ZAR,0.16200,CHF
2002-06-04,ZAR,0.16150,CHF
2002-06-05,ZAR,0.16200,CHF
2002-06-06,ZAR,0.16050,CHF
2002-06-07,ZAR,0.16000,CHF
2002-06-10,ZAR,0.15800,CHF
2002-06-11,ZAR,0.15750,CHF
2002-06-12,ZAR,0.15650,CHF
2002-06-13,ZAR,0.15550,CHF
2002-06-14,ZAR,0.15300,CHF
2002-06-17,ZAR,0.14850,CHF
2002-06-18,ZAR,0.14900,CHF
2002-06-19,ZAR,0.15400,CHF
