date,AED,ALL,ARS,AUD,AZN,BAM,BDT,BGN,BHD,BRL,CAD,CLP,CNY,COP,CRC,CZK,DKK,DOP,EGP,ETB,EUR,GBP,GTQ,HKD,HNL,HRK,HUF,IDR,ILS,INR,ISK,JPY,KES,KHR,KRW,KWD,KYD,KZT,LBP,LKR,LYD,MAD,MUR,MXN,MYR,NGN,NOK,NZD,OMR,PAB,PEN,PHP,PKR,PLN,QAR,RON,RSD,RUB,SAR,SEK,SGD,THB,TND,TRY,TWD,TZS,UAH,USD,UYU,VEF,VND,ZAR,CHF,GBX
2002-01-03,0.00455,,,0.85750,,,,,,,1.04150,,,,,,0.20100,,,,1.49600,2.39800,,0.21350,,0.20700,,,0.37406,,,0.01259,,,,,,,,,,,,,,,0.18650,0.70550,,,,,,0.42950,,,,,0.00446,0.16150,0.89950,0.03790,,,,,,1.65950,,,,0.13450,1.0,0.02398
2002-01-04,0.00456,,,0.86100,,,,,,,1.04100,,,,,,0.20050,,,,1.49100,2.39100,,0.21350,,0.20600,,,0.373185,,,0.01266,,,,,,,,,,,,,,,0.18600,0.71100,,,,,,0.42900,,,,,0.004465,0.16100,0.90200,0.03810,,,,,,1.66200,,,,0.13850,1.0,0.02391
2002-01-07,0.004545,,,0.86350,,,,,,,1.03900,,,,,,0.20000,,,,1.48900,2.39850,,0.21300,,0.20450,,,0.368255,,,0.012695,,,,,,,,,,,,,,,0.18600,0.71250,,,,,,0.43350,,,,,0.00445,0.16200,0.90200,0.03810,,,,,,1.65650,,,,0.13800,1.0,0.023985
2002-01-08,0.004565,,,0.86750,,,,,,,1.03950,,,,,,0.19900,,,,1.48000,2.39700,,0.21400,,0.20300,,,0.371605,,,0.01255,,,,,,,,,,,,,,,0.18600,0.71500,,,,,,0.43300,,,,,0.00447,0.16000,0.90150,0.03800,,,,,,1.66350,,,,0.14550,1.0,0.02397
2002-01-09,0.004585,,,0.87550,,,,,,,1.04800,,,,,,0.20000,,,,1.48900,2.40450,,0.21500,,0.20350,,,0.376725,,,0.012625,,,,,,,,,,,,,,,0.18700,0.71900,,,,,,0.43000,,,,,0.00449,0.16050,0.90700,0.03820,,,,,,1.67050,,,,0.14700,1.0,0.024045
2002-01-10,0.00458,,,0.88050,,,,,,,1.04550,,,,,,0.20050,,,,1.48950,2.40600,,0.21450,,0.20300,,,0.376705,,,0.01261,,,,,,,,,,,,,,,0.18700,0.71700,,,,,,0.43150,,,,,0.004485,0.16100,0.90800,0.03820,,,,,,1.66950,,,,0.14650,1.0,0.02406
2002-01-11,0.004595,,,0.87650,,,,,,,1.04750,,,,,,0.20100,,,,1.49350,2.41600,,0.21550,,0.20350,,,0.37504,,,0.01265,,,,,,,,,,,,,,,0.18750,0.71600,,,,,,0.41850,,,,,0.00450,0.16300,0.91000,0.03830,,,,,,1.67450,,,,0.14400,1.0,0.02416
2002-01-14,0.004575,,,0.86650,,,,,,,1.04550,,,,,,0.20050,,,,1.49100,2.41650,,0.21450,,0.20300,,,0.37398,,,0.012655,,,,,,,,,,,,,,,0.18750,0.70700,,,,,,0.42500,,,,,0.00448,0.16200,0.91000,0.03820,,,,,,1.66750,,,,0.14600,1.0,0.024165
2002-01-15,0.004585,,,0.86950,,,,,,,1.05100,,,,,,0.20050,,,,1.49050,2.42000,,0.21500,,0.20200,,,0.37521,,,0.01273,,,,,,,,,,,,,,,0.18750,0.70950,,,,,,0.42200,,,,,0.00449,0.16050,0.91650,0.03840,,,,,,1.67200,,,,0.14600,1.0,0.02420
2002-01-16,0.004605,,,0.86900,,,,,,,1.05700,,,,,,0.19950,,,,1.48350,2.41850,,0.21600,,0.20050,,,0.373775,,,0.01278,,,,,,,,,,,,,,,0.18750,0.71000,,,,,,0.41900,,,,,0.00451,0.16100,0.92000,0.03860,,,,,,1.67850,,,,0.14200,1.0,0.024185
2002-01-17,0.00459,,,0.86050,,,,,,,1.04700,,,,,,0.19900,,,,1.47850,2.40150,,0.21500,,0.20050,,,0.37147,,,0.012685,,,,,,,,,,,,,,,0.18700,0.70350,,,,,,0.41600,,,,,0.004495,0.15950,0.91650,0.03840,,,,,,1.67350,,,,0.14450,1.0,0.024015
2002-01-18,0.004605,,,0.86700,,,,,,,1.04200,,,,,,0.19900,,,,1.48000,2.41450,,0.21600,,0.20050,,,0.373115,,,0.012635,,,,,,,,,,,,,,,0.18750,0.71100,,,,,,0.41100,,,,,0.00451,0.15950,0.91650,0.03860,,,,,,1.67950,,,,0.14700,1.0,0.024145
2002-01-21,0.004595,,,0.86600,,,,,,,1.03700,,,,,,0.19900,,,,1.48050,2.40850,,0.21550,,0.20000,,,0.37208,,,0.012655,,,,,,,,,,,,,,,0.18700,0.71400,,,,,,0.41400,,,,,0.00450,0.16050,0.91650,0.03840,,,,,,1.67500,,,,0.14550,1.0,0.024085
2002-01-22,0.00459,,,0.87200,,,,,,,1.03900,,,,,,0.19900,,,,1.48050,2.39800,,0.21500,,0.20000,,,0.369405,,,0.012525,,,,,,,,,,,,,,,0.18700,0.72150,,,,,,0.41450,,,,,0.004495,0.16000,0.91250,0.03820,,,,,,1.67350,,,,0.14650,1.0,0.02398
2002-01-23,0.00459,,,0.87450,,,,,,,1.03950,,,,,,0.20000,,,,1.48450,2.39550,,0.21500,,0.20100,,,0.36698,,,0.012505,,,,,,,,,,,,,,,0.18750,0.72200,,,,,,0.41650,,,,,0.004495,0.15950,0.91300,0.03820,,,,,,1.67350,,,,0.14400,1.0,0.023955
2002-01-24,0.004615,,,0.87150,,,,,,,1.05200,,,,,,0.19900,,,,1.47800,2.39700,,0.21650,,0.19950,,,0.370755,,,0.01253,,,,,,,,,,,,,,,0.18750,0.71850,,,,,,0.41750,,,,,0.00452,0.16000,0.91750,0.03840,,,,,,1.68350,,,,0.14950,1.0,0.02397
2002-01-25,0.004635,,,0.87950,,,,,,,1.05350,,,,,,0.19900,,,,1.47900,2.40350,,0.21700,,0.19950,,,0.37106,,,0.01254,,,,,,,,,,,,,,,0.18800,0.72550,,,,,,0.41550,,,,,0.00454,0.16000,0.92250,0.03860,,,,,,1.68950,,,,0.15200,1.0,0.024035
2002-01-28,0.004705,,,0.88850,,,,,,,1.06550,,,,,,0.20000,,,,1.48450,2.41700,,0.22050,,0.20000,,,0.37563,,,0.01285,,,,,,,,,,,,,,,0.18900,0.72750,,,,,,0.42300,,,,,0.00461,0.16050,0.93700,0.03920,,,,,,1.71650,,,,0.14900,1.0,0.02417
2002-01-29,0.004715,,,0.88600,,,,,,,1.07950,,,,,,0.19950,,,,1.48250,2.42050,,0.22100,,0.19950,,,0.37517,,,0.01291,,,,,,,,,,,,,,,0.18900,0.72750,,,,,,0.42800,,,,,0.004615,0.16000,0.94000,0.03930,,,,,,1.71850,,,,0.14950,1.0,0.024205
2002-01-30,0.004695,,,0.87350,,,,,,,1.07500,,,,,,0.19950,,,,1.48100,2.42050,,0.22000,,0.19950,,,0.372655,,,0.012915,,,,,,,,,,,,,,,0.18850,0.71600,,,,,,0.42400,,,,,0.00460,0.16000,0.93650,0.03920,,,,,,1.71200,,,,0.14950,1.0,0.024205
2002-01-31,0.004725,,,0.87750,,,,,,,1.08600,,,,,,0.20000,,,,1.48550,2.42950,,0.22150,,0.20050,,,0.377815,,,0.01296,,,,,,,,,,,,,,,0.18950,0.71750,,,,,,0.42250,,,,,0.004625,0.16200,0.94250,0.03940,,,,,,1.72200,,,,0.15050,1.0,0.024295
2002-02-01,0.004755,,,0.88150,,,,,,,1.09100,,,,,,0.20000,,,,1.48700,2.43900,,0.22300,,0.20050,,,0.38047,,,0.012945,,,,,,,,,,,,,,,0.19000,0.72400,,,,,,0.42500,,,,,0.00466,0.16200,0.94600,0.03960,,,,,,1.73400,,,,0.15100,1.0,0.02439
2002-02-04,0.004745,,,0.88500,,,,,,,1.08700,,,,,,0.20050,,,,1.49100,2.44900,,0.22250,,0.20100,,,0.38010,,,0.01299,,,,,,,,,,,,,,,0.19000,0.72600,,,,,,0.42250,,,,,0.004645,0.16150,0.94600,0.03960,,,,,,1.73000,,,,0.14950,1.0,0.02449
2002-02-05,0.00468,,,0.87500,,,,,,,1.06850,,,,,,0.20000,,,,1.48700,2.43100,,0.21950,,0.20100,,,0.372495,,,0.01286,,,,,,,,,,,,,,,0.18900,0.71600,,,,,,0.41700,,,,,0.00459,0.16050,0.93300,0.03910,,,,,,1.70650,,,,0.14700,1.0,0.02431
2002-02-06,0.00470,,,0.87150,,,,,,,1.07250,,,,,,0.19950,,,,1.48300,2.42250,,0.22000,,0.20200,,,0.37399,,,0.012795,,,,,,,,,,,,,,,0.18900,0.71550,,,,,,0.41550,,,,,0.00460,0.16100,0.93650,0.03920,,,,,,1.71300,,,,0.14950,1.0,0.024225
2002-02-07,0.00468,,,0.86800,,,,,,,1.06100,,,,,,0.19950,,,,1.48200,2.41000,,0.21950,,0.20200,,,0.36977,,,0.012755,,,,,,,,,,,,,,,0.18950,0.71050,,,,,,0.41000,,,,,0.004585,0.16050,0.93350,0.03920,,,,,,1.70600,,,,0.14800,1.0,0.02410
2002-02-08,0.00466,,,0.87100,,,,,,,1.06200,,,,,,0.19950,,,,1.48250,2.39900,,0.21850,,0.20200,,,0.366615,,,0.012695,,,,,,,,,,,,,,,0.18950,0.71250,,,,,,0.41050,,,,,0.00456,0.16050,0.93000,0.03900,,,,,,1.69850,,,,0.14850,1.0,0.02399
2002-02-11,0.004675,,,0.87650,,,,,,,1.06850,,,,,,0.20000,,,,1.48650,2.41200,,0.21900,,0.20300,,,0.363265,,,0.01267,,,,,,,,,,,,,,,0.19000,0.71800,,,,,,0.41450,,,,,0.004575,0.16100,0.93200,0.03910,,,,,,1.70350,,,,0.14800,1.0,0.02412
2002-02-12,0.004655,,,0.87050,,,,,,,1.06650,,,,,,0.20000,,,,1.48700,2.41450,,0.21800,,0.20350,,,0.35877,,,0.012715,,,,,,,,,,,,,,,0.18950,0.71400,,,,,,0.41400,,,,,0.004555,0.16050,0.92900,0.03900,,,,,,1.69650,,,,0.14650,1.0,0.024145
2002-02-13,0.00467,,,0.86750,,,,,,,1.06900,,,,,,0.20050,,,,1.48850,2.43600,,0.21900,,0.20400,,,0.366355,,,0.012775,,,,,,,,,,,,,,,0.19000,0.71300,,,,,,0.41750,,,,,0.00457,0.16100,0.93200,0.03920,,,,,,1.70200,,,,0.14900,1.0,0.02436
2002-02-14,0.004705,,,0.88250,,,,,,,1.07850,,,,,,0.20100,,,,1.49400,2.45000,,0.22050,,0.20500,,,0.370595,,,0.01295,,,,,,,,,,,,,,,0.19100,0.72300,,,,,,0.41850,,,,,0.004605,0.16200,0.94050,0.03960,,,,,,1.71500,,,,0.14950,1.0,0.02450
2002-02-15,0.00470,,,0.88850,,,,,,,1.07650,,,,,,0.20100,,,,1.49400,2.44800,,0.22050,,0.20500,,,0.372875,,,0.012905,,,,,,,,,,,,,,,0.19200,0.72350,,,,,,0.42050,,,,,0.004605,0.16200,0.94150,0.03960,,,,,,1.71350,,,,0.14850,1.0,0.02448
2002-02-18,0.00469,,,0.88800,,,,,,,1.07550,,,,,,0.20100,,,,1.49450,2.45100,,0.22000,,0.20600,,,0.36906,,,0.01290,,,,,,,,,,,,,,,0.19250,0.72500,,,,,,0.42150,,,,,0.004595,0.16250,0.93800,0.03950,,,,,,1.71100,,,,0.15050,1.0,0.02451
2002-02-19,0.004715,,,0.88850,,,,,,,1.07950,,,,,,0.20050,,,,1.49050,2.44600,,0.22100,,0.20550,,,0.36722,,,0.01286,,,,,,,,,,,,,,,0.19250,0.72350,,,,,,0.42350,,,,,0.004615,0.16200,0.94150,0.03960,,,,,,1.71850,,,,0.14900,1.0,0.02446
2002-02-20,0.004665,,,0.88300,,,,,,,1.07000,,,,,,0.20050,,,,1.48900,2.43150,,0.21850,,0.20550,,,0.361365,,,0.012755,,,,,,,,,,,,,,,0.19150,0.71800,,,,,,0.41750,,,,,0.00457,0.16150,0.93250,0.03920,,,,,,1.70050,,,,0.14800,1.0,0.024315
2002-02-21,0.00470,,,0.88650,,,,,,,1.07750,,,,,,0.20050,,,,1.49100,2.44500,,0.22050,,0.20500,,,0.368665,,,0.01282,,,,,,,,,,,,,,,0.19250,0.71900,,,,,,0.41900,,,,,0.004605,0.16300,0.93950,0.03940,,,,,,1.71350,,,,0.15000,1.0,0.02445
2002-02-22,0.00470,,,0.88300,,,,,,,1.07650,,,,,,0.20050,,,,1.48950,2.44400,,0.22050,,0.20450,,,0.368365,,,0.012765,,,,,,,,,,,,,,,0.19250,0.71850,,,,,,0.42000,,,,,0.004605,0.16250,0.93750,0.03930,,,,,,1.71450,,,,0.14950,1.0,0.02444
2002-02-25,0.00467,,,0.87600,,,,,,,1.06600,,,,,,0.20050,,,,1.48900,2.43600,,0.21900,,0.20350,,,0.36850,,,0.01273,,,,,,,,,,,,,,,0.19150,0.71400,,,,,,0.41800,,,,,0.004575,0.16250,0.93200,0.03920,,,,,,1.70250,,,,0.14950,1.0,0.02436
